topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,all→white,choice_chosen_side,pos,0.0,50.0,50.0,13,16,13.0,16.0,1.0,1.0
criminal,all→white,choice_chosen_side,neg,2.1428571428571463,37.857142857142854,52.142857142857146,10,7,10.0,7.000000000000001,1.0,1.0
criminal,all→white,choice_chosen_side_soft,pos,1.6129032258064502,48.38709677419355,51.61290322580645,22,31,22.0,31.0,1.0,1.0
criminal,all→white,choice_chosen_side_soft,neg,0.7017543859649145,44.03508771929825,50.70175438596492,19,15,19.0,15.0,1.0,1.0
criminal,all→white,choice_first_touch_side,pos,1.851851851851849,48.14814814814815,51.85185185185185,29,27,28.999999999999996,27.0,0.4821428571428571,0.8163265306122449
criminal,all→white,choice_first_touch_side,neg,-3.8461538461538436,46.15384615384615,46.15384615384615,13,15,13.0,15.0,0.4642857142857143,0.8163265306122449
criminal,black→white,choice_chosen_side,pos,0.0,50.0,50.0,13,16,13.0,16.0,1.0,1.0
criminal,black→white,choice_chosen_side,neg,2.1428571428571463,37.857142857142854,52.142857142857146,10,7,10.0,7.000000000000001,1.0,1.0
criminal,black→white,choice_chosen_side_soft,pos,1.6129032258064502,48.38709677419355,51.61290322580645,22,31,22.0,31.0,1.0,1.0
criminal,black→white,choice_chosen_side_soft,neg,0.7017543859649145,44.03508771929825,50.70175438596492,19,15,19.0,15.0,1.0,1.0
criminal,black→white,choice_first_touch_side,pos,1.851851851851849,48.14814814814815,51.85185185185185,29,27,28.999999999999996,27.0,0.4821428571428571,0.8163265306122449
criminal,black→white,choice_first_touch_side,neg,-3.8461538461538436,46.15384615384615,46.15384615384615,13,15,13.0,15.0,0.4642857142857143,0.8163265306122449
education,all→white,choice_chosen_side,pos,0.0,50.0,50.0,10,6,10.0,6.0,1.0,1.0
education,all→white,choice_chosen_side,neg,0.0,50.0,50.0,5,10,5.0,10.0,1.0,1.0
education,all→white,choice_chosen_side_soft,pos,-2.1739130434782594,47.82608695652174,47.82608695652174,23,13,23.0,13.0,1.0,1.0
education,all→white,choice_chosen_side_soft,neg,0.0,50.0,50.0,13,21,13.0,21.0,1.0,1.0
education,all→white,choice_first_touch_side,pos,0.0,50.0,50.0,18,8,18.0,8.0,1.0,1.0
education,all→white,choice_first_touch_side,neg,0.0,50.0,50.0,11,14,11.0,14.000000000000002,1.0,1.0
education,black→white,choice_chosen_side,pos,0.0,50.0,50.0,10,6,10.0,6.0,1.0,1.0
education,black→white,choice_chosen_side,neg,0.0,50.0,50.0,5,10,5.0,10.0,1.0,1.0
education,black→white,choice_chosen_side_soft,pos,-2.1739130434782594,47.82608695652174,47.82608695652174,23,13,23.0,13.0,1.0,1.0
education,black→white,choice_chosen_side_soft,neg,0.0,50.0,50.0,13,21,13.0,21.0,1.0,1.0
education,black→white,choice_first_touch_side,pos,0.0,50.0,50.0,18,8,18.0,8.0,1.0,1.0
education,black→white,choice_first_touch_side,neg,0.0,50.0,50.0,11,14,11.0,14.000000000000002,1.0,1.0
janitor,all→white,choice_chosen_side,pos,-2.500000000000002,47.5,47.5,20,21,20.0,21.0,0.4878048780487804,1.0
janitor,all→white,choice_chosen_side,neg,-4.166666666666669,45.83333333333333,45.83333333333333,12,16,12.0,16.0,0.42857142857142855,1.0
janitor,all→white,choice_chosen_side_soft,pos,-1.785714285714285,48.214285714285715,48.214285714285715,28,28,28.000000000000004,28.000000000000004,1.0,1.0
janitor,all→white,choice_chosen_side_soft,neg,-1.9230769230769218,48.07692307692308,48.07692307692308,26,33,26.0,33.0,0.4406779661016949,1.0
janitor,all→white,choice_first_touch_side,pos,-3.9999999999999982,46.0,46.0,25,25,25.0,25.0,0.4897959183673469,0.8163265306122449
janitor,all→white,choice_first_touch_side,neg,-2.500000000000002,47.5,47.5,20,29,20.0,28.999999999999996,0.4081632653061225,0.8163265306122449
janitor,black→white,choice_chosen_side,pos,-2.500000000000002,47.5,47.5,20,21,20.0,21.0,0.4878048780487804,1.0
janitor,black→white,choice_chosen_side,neg,-4.166666666666669,45.83333333333333,45.83333333333333,12,16,12.0,16.0,0.42857142857142855,1.0
janitor,black→white,choice_chosen_side_soft,pos,-1.785714285714285,48.214285714285715,48.214285714285715,28,28,28.000000000000004,28.000000000000004,1.0,1.0
janitor,black→white,choice_chosen_side_soft,neg,-1.9230769230769218,48.07692307692308,48.07692307692308,26,33,26.0,33.0,0.4406779661016949,1.0
janitor,black→white,choice_first_touch_side,pos,-3.9999999999999982,46.0,46.0,25,25,25.0,25.0,0.4897959183673469,0.8163265306122449
janitor,black→white,choice_first_touch_side,neg,-2.500000000000002,47.5,47.5,20,29,20.0,28.999999999999996,0.4081632653061225,0.8163265306122449
pilot,all→white,choice_chosen_side,pos,1.0000000000000009,49.0,51.0,44,50,44.0,50.0,1.0,1.0
pilot,all→white,choice_chosen_side,neg,1.5625,48.4375,51.5625,37,32,37.0,32.0,0.463768115942029,1.0
pilot,all→white,choice_chosen_side_soft,pos,1.851851851851849,48.14814814814815,51.85185185185185,55,54,55.00000000000001,54.0,0.24311926605504583,1.0
pilot,all→white,choice_chosen_side_soft,neg,2.0408163265306145,47.95918367346938,52.04081632653062,45,49,45.0,49.0,0.49553877831159915,1.0
pilot,all→white,choice_first_touch_side,pos,0.7142857142857117,49.28571428571429,50.71428571428571,63,70,63.0,70.0,1.0,1.0
pilot,all→white,choice_first_touch_side,neg,1.9230769230769273,48.07692307692308,51.92307692307693,57,52,56.99999999999999,52.0,0.2252803261977574,0.8163265306122449
pilot,black→white,choice_chosen_side,pos,1.0000000000000009,49.0,51.0,44,50,44.0,50.0,1.0,1.0
pilot,black→white,choice_chosen_side,neg,1.5625,48.4375,51.5625,37,32,37.0,32.0,0.463768115942029,1.0
pilot,black→white,choice_chosen_side_soft,pos,1.851851851851849,48.14814814814815,51.85185185185185,55,54,55.00000000000001,54.0,0.24311926605504583,1.0
pilot,black→white,choice_chosen_side_soft,neg,2.0408163265306145,47.95918367346938,52.04081632653062,45,49,45.0,49.0,0.49553877831159915,1.0
pilot,black→white,choice_first_touch_side,pos,0.7142857142857117,49.28571428571429,50.71428571428571,63,70,63.0,70.0,1.0,1.0
pilot,black→white,choice_first_touch_side,neg,1.9230769230769273,48.07692307692308,51.92307692307693,57,52,56.99999999999999,52.0,0.2252803261977574,0.8163265306122449
wealthy,all→white,choice_chosen_side,pos,0.0,50.0,50.0,19,17,19.0,17.0,1.0,1.0
wealthy,all→white,choice_chosen_side,neg,-0.694444444444442,38.19444444444444,49.30555555555556,8,9,8.0,9.0,1.0,1.0
wealthy,all→white,choice_chosen_side_soft,pos,-1.7241379310344807,48.275862068965516,48.275862068965516,29,26,28.999999999999996,26.0,1.0,1.0
wealthy,all→white,choice_chosen_side_soft,neg,4.201680672268903,39.91596638655462,54.20168067226891,17,21,17.0,21.0,0.6130867709815079,1.0
wealthy,all→white,choice_first_touch_side,pos,-0.09057971014492794,45.742753623188406,49.90942028985507,23,24,23.0,24.0,1.0,1.0
wealthy,all→white,choice_first_touch_side,neg,10.45454545454545,30.454545454545457,60.45454545454545,11,10,11.0,10.0,0.31077694235588965,0.8163265306122449
wealthy,black→white,choice_chosen_side,pos,0.0,50.0,50.0,19,17,19.0,17.0,1.0,1.0
wealthy,black→white,choice_chosen_side,neg,-0.694444444444442,38.19444444444444,49.30555555555556,8,9,8.0,9.0,1.0,1.0
wealthy,black→white,choice_chosen_side_soft,pos,-1.7241379310344807,48.275862068965516,48.275862068965516,29,26,28.999999999999996,26.0,1.0,1.0
wealthy,black→white,choice_chosen_side_soft,neg,4.201680672268903,39.91596638655462,54.20168067226891,17,21,17.0,21.0,0.6130867709815079,1.0
wealthy,black→white,choice_first_touch_side,pos,-0.09057971014492794,45.742753623188406,49.90942028985507,23,24,23.0,24.0,1.0,1.0
wealthy,black→white,choice_first_touch_side,neg,10.45454545454545,30.454545454545457,60.45454545454545,11,10,11.0,10.0,0.31077694235588965,0.8163265306122449
