topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,all→white,d_approach_retreat,0.115,0.0791510037311029,1000,1000,1.7698702483008555,0.07690332287348263,0.3793613960333322
criminal,all→white,d_latency,0.14250000000000002,0.04881950378730267,1000,1000,1.0916372909621719,0.27512995993511086,0.8597811247972215
criminal,all→white,d_peak_speed,-0.0005968799218535423,-0.15438982192682948,1000,1000,-3.4522613686247827,0.0005689310283050264,0.004741091902541886
criminal,all→white,d_time_to_half,-0.008000000000000007,-0.00301817014118287,1000,1000,-0.06748833603345034,0.9462000456843015,0.9462000456843015
criminal,all→white,pull_AUC,2.45399034686638,0.16766745677891154,1000,1000,3.749158309721541,0.00018266820664156446,0.0022833525830195556
criminal,all→white,pull_MAD,5.199333980700176,0.16614865080445307,1000,1000,3.715196775686322,0.00020898224883755744,0.0026122781104694678
criminal,all→white,pull_early,-0.028965098829939973,-0.0053095435736109356,1000,1000,-0.11872500360091211,0.9055055340313718,0.9239509272375115
criminal,all→white,pull_final,5.888079725218434,0.17283655431763098,900,887,3.651318078990652,0.00026857546588723543,0.006714386647180885
criminal,all→white,pull_release,4.605015153621935,0.15782554868933704,1000,1000,3.529086554555605,0.00042705382538313184,0.005338172817289148
criminal,all→white,pull_tcp,2.6611484401510097,0.09899104997612025,1000,1000,2.213507169106838,0.026976114225630395,0.33720142782037993
criminal,all→white,q_exploded,0.0,0.0,1000,1000,0.0,1.0,1.0
criminal,all→white,q_jerk_in_grasp,0.0,nan,1000,1000,nan,nan,nan
criminal,all→white,q_tile_drift,-8.964104205369961e-05,-0.0056822259923316595,1000,1000,-0.12705843582369789,0.8989073531586038,0.9209091207919429
criminal,all→white,xpos_reversals,0.08550000000000002,0.1477128114569082,1000,1000,3.302958875652565,0.0009740184463494948,0.002435046115873737
criminal,asian→white,d_approach_retreat,0.056,0.03853977827819345,250,250,0.43088782033905176,0.6667449115847213,0.922316254330578
criminal,asian→white,d_latency,-0.06599999999999999,-0.023041584915426676,250,250,-0.25761275090113894,0.7968159943000517,0.8771196097556276
criminal,asian→white,d_peak_speed,6.428301334381086e-06,0.0017333970643239648,250,250,0.019379968339134804,0.9845468450795525,0.9911919958763871
criminal,asian→white,d_time_to_half,-0.08800000000000001,-0.03604074066627348,250,250,-0.40294773044614285,0.6871601167121386,0.8524546818616313
