topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,all→white,choice_chosen_side,pos,8.232838589981451,3.13079777365492,58.23283858998145,44,49,4.3999999999999995,4.9,0.14619391904560353,0.7309695952280176
criminal,all→white,choice_chosen_side,neg,-0.17456501831502047,-3.471268315018314,49.82543498168498,192,182,19.2,18.2,1.0,1.0
criminal,all→white,choice_chosen_side_soft,pos,8.477112115617235,5.239702043674793,58.47711211561724,113,139,11.3,13.900000000000002,0.007806073096895375,0.06505060914079479
criminal,all→white,choice_chosen_side_soft,neg,0.4142850950254795,-1.5038734727494563,50.41428509502548,413,391,41.3,39.1,0.8324832720461182,0.9249814133845757
criminal,all→white,choice_first_touch_side,pos,12.16880341880342,2.446581196581199,62.16880341880342,65,72,6.5,7.199999999999999,0.006052853021415925,0.06925531709856517
criminal,all→white,choice_first_touch_side,neg,-0.028224322002701197,-3.764879126273166,49.9717756779973,290,281,28.999999999999996,28.1,1.0,1.0
criminal,asian→white,choice_chosen_side,pos,9.340659340659341,2.197802197802201,59.34065934065934,13,7,5.2,2.8000000000000003,0.6424148606811146,1.0
criminal,asian→white,choice_chosen_side,neg,1.5319148936170146,0.4680851063829816,51.531914893617014,50,47,20.0,18.8,0.8399991688268191,1.0
criminal,asian→white,choice_chosen_side_soft,pos,-4.999999999999999,4.999999999999999,45.0,26,30,10.4,12.0,0.590961007618669,0.8442300108838129
criminal,asian→white,choice_chosen_side_soft,neg,1.0257211288139167,-0.5206706237634029,51.02572112881391,99,97,39.6,38.800000000000004,0.7773337711687927,0.9066239238524536
criminal,asian→white,choice_first_touch_side,pos,11.324786324786329,-0.21367521367521292,61.32478632478633,18,13,7.199999999999999,5.2,0.2851631909003054,0.7647634766752082
criminal,asian→white,choice_first_touch_side,neg,-1.0656436487638532,4.006820119352089,48.93435635123615,68,69,27.200000000000003,27.6,0.8645444025790916,0.9397221767164039
criminal,black→white,choice_chosen_side,pos,18.125000000000004,11.875000000000002,68.125,10,16,4.0,6.4,0.10924754341095708,0.6827971463184818
criminal,black→white,choice_chosen_side,neg,1.7302573203194282,-4.791481810115347,51.73025732031943,49,46,19.6,18.4,0.837208684367849,1.0
criminal,black→white,choice_chosen_side_soft,pos,19.268292682926823,10.731707317073175,69.26829268292683,25,41,10.0,16.400000000000002,0.002515473693312159,0.05348106584839679
criminal,black→white,choice_chosen_side_soft,neg,0.92592592592593,0.9259259259259245,50.92592592592593,108,98,43.2,39.2,0.8890812347026782,0.9639171714057498
criminal,black→white,choice_first_touch_side,pos,18.055555555555557,9.722222222222221,68.05555555555556,18,24,7.199999999999999,9.6,0.028511067169739397,0.19675480201873388
criminal,black→white,choice_first_touch_side,neg,1.4482431149097863,-6.5764482431149105,51.448243114909786,78,81,31.2,32.4,0.7505280824211471,0.9397221767164039
criminal,latino→white,choice_chosen_side,pos,1.9230769230769162,-1.9230769230769218,51.92307692307692,10,13,4.0,5.2,1.0,1.0
criminal,latino→white,choice_chosen_side,neg,-0.7558139534883712,-4.244186046511625,49.24418604651163,40,43,16.0,17.2,1.0,1.0
criminal,latino→white,choice_chosen_side_soft,pos,5.428571428571427,12.571428571428575,55.42857142857143,25,35,10.0,14.000000000000002,0.4319132088193956,0.8010041059264927
criminal,latino→white,choice_chosen_side_soft,neg,2.423671689135598,-5.308287073750989,52.423671689135595,104,97,41.6,38.800000000000004,0.5704141583889095,0.8388443505719259
criminal,latino→white,choice_first_touch_side,pos,10.15037593984962,-3.007518796992481,60.150375939849624,14,19,5.6000000000000005,7.6,0.30410883268043404,0.7647634766752082
criminal,latino→white,choice_first_touch_side,neg,-0.6796375266524546,-6.036780383795312,49.320362473347544,67,56,26.8,22.400000000000002,1.0,1.0
criminal,middle_eastern→white,choice_chosen_side,pos,4.195804195804187,0.3496503496503489,54.195804195804186,11,13,4.3999999999999995,5.2,1.0,1.0
criminal,middle_eastern→white,choice_chosen_side,neg,-3.158326497128794,-5.332239540607054,46.8416735028712,53,46,21.2,18.4,0.5496120431318519,1.0
criminal,middle_eastern→white,choice_chosen_side_soft,pos,14.578214578214578,-5.11875511875512,64.57821457821457,37,33,14.799999999999999,13.200000000000001,0.017746587180612162,0.0985921510034009
criminal,middle_eastern→white,choice_chosen_side_soft,neg,-2.7183600713012512,-1.2032085561497348,47.28163992869875,102,99,40.8,39.6,0.48176511088712687,0.8010041059264927
criminal,middle_eastern→white,choice_first_touch_side,pos,8.125000000000004,1.874999999999999,58.12500000000001,15,16,6.0,6.4,0.4794877603643,0.7701060310429275
criminal,middle_eastern→white,choice_first_touch_side,neg,0.07792207792207684,-5.922077922077926,50.077922077922075,77,75,30.8,30.0,1.0,1.0
education,all→white,choice_chosen_side,pos,8.440366972477065,1.559633027522933,58.440366972477065,130,109,13.0,10.9,0.009755755083952187,0.1625959180658698
education,all→white,choice_chosen_side,neg,7.286634460547514,-3.5829307568437994,57.28663446054752,54,46,5.4,4.6,0.1639781716404652,0.7453553256384781
education,all→white,choice_chosen_side_soft,pos,6.106716942402302,0.9465745936478531,56.1067169424023,319,281,31.900000000000002,28.1,0.0032088639509038073,0.05348106584839679
education,all→white,choice_chosen_side_soft,neg,9.207150873817538,-1.1824595157928497,59.20715087381754,162,154,16.2,15.4,0.001132789426417363,0.05348106584839679
education,all→white,choice_first_touch_side,pos,7.726190476190475,2.392857142857141,57.726190476190474,168,150,16.8,15.0,0.006925531709856516,0.06925531709856517
education,all→white,choice_first_touch_side,neg,8.320802005012528,-3.583959899749373,58.32080200501253,95,84,9.5,8.4,0.0354158643633721,0.19675480201873388
education,asian→white,choice_chosen_side,pos,7.4074074074074066,9.25925925925926,57.407407407407405,30,27,12.0,10.8,0.29014911165823404,0.8533797401712766
education,asian→white,choice_chosen_side,neg,14.935064935064934,-7.792207792207795,64.93506493506493,14,11,5.6000000000000005,4.3999999999999995,0.2271570870911294,0.8112753110397478
education,asian→white,choice_chosen_side_soft,pos,2.7137159701751346,2.080804577770068,52.71371597017514,73,79,29.2,31.6,0.5201905330977735,0.8127977079652712
education,asian→white,choice_chosen_side_soft,neg,6.26984126984127,-4.841269841269846,56.26984126984127,35,36,14.000000000000002,14.399999999999999,0.3442166217866987,0.7171179620556223
education,asian→white,choice_first_touch_side,pos,7.147435897435894,14.647435897435898,57.1474358974359,39,40,15.6,16.0,0.24099583024620136,0.7531119695193792
education,asian→white,choice_first_touch_side,neg,8.333333333333325,-8.333333333333332,58.33333333333333,24,18,9.6,7.199999999999999,0.3530375070492816,0.7647634766752082
education,black→white,choice_chosen_side,pos,14.912280701754387,-1.7543859649122806,64.91228070175438,38,33,15.2,13.200000000000001,0.017392909505230387,0.21741136881537984
education,black→white,choice_chosen_side,neg,7.422969187675066,4.481792717086836,57.422969187675065,21,17,8.4,6.800000000000001,0.5133946249775432,1.0
education,black→white,choice_chosen_side_soft,pos,9.645447219983883,-1.9983883964544757,59.64544721998388,85,73,34.0,29.2,0.01737049240414003,0.0985921510034009
education,black→white,choice_chosen_side_soft,neg,13.087843833185442,2.218278615794139,63.087843833185445,49,46,19.6,18.4,0.013874919352396362,0.0985921510034009
education,black→white,choice_first_touch_side,pos,16.859925788497222,-3.5946196660482377,66.85992578849722,49,44,19.6,17.599999999999998,0.0017091732000624636,0.04272933000156159
education,black→white,choice_first_touch_side,neg,6.785714285714284,3.214285714285714,56.785714285714285,30,28,12.0,11.200000000000001,0.4298306945305226,0.7681388600126093
education,latino→white,choice_chosen_side,pos,2.759740259740262,-6.3311688311688314,52.75974025974026,28,22,11.200000000000001,8.799999999999999,0.7783420041486364,1.0
education,latino→white,choice_chosen_side,neg,-0.5681818181818177,-13.068181818181818,49.43181818181818,11,8,4.3999999999999995,3.2,1.0,1.0
education,latino→white,choice_chosen_side_soft,pos,4.314316087880932,-0.09744861800141669,54.31431608788093,83,68,33.2,27.200000000000003,0.32835527393324737,0.7171179620556223
education,latino→white,choice_chosen_side_soft,neg,11.014211886304913,-2.874677002583975,61.01421188630491,43,36,17.2,14.399999999999999,0.07081511756857155,0.35407558784285775
education,latino→white,choice_first_touch_side,pos,-1.7473118279569877,-6.586021505376341,48.252688172043015,36,31,14.399999999999999,12.4,0.8088819663929742,0.9397221767164039
education,latino→white,choice_first_touch_side,neg,6.060606060606055,-10.606060606060606,56.060606060606055,22,18,8.799999999999999,7.199999999999999,0.5255148363046025,0.7962346004615188
education,middle_eastern→white,choice_chosen_side,pos,6.808278867102402,4.956427015250547,56.8082788671024,34,27,13.600000000000001,10.8,0.3121422319622919,0.8661654847968364
education,middle_eastern→white,choice_chosen_side,neg,5.000000000000004,-4.999999999999999,55.00000000000001,8,10,3.2,4.0,1.0,1.0
education,middle_eastern→white,choice_chosen_side_soft,pos,7.81841109709962,3.7200504413619164,57.81841109709962,78,61,31.2,24.4,0.08603638790237297,0.35848494959322075
education,middle_eastern→white,choice_chosen_side_soft,neg,4.920634920634925,-0.6349206349206382,54.920634920634924,35,36,14.000000000000002,14.399999999999999,0.4798068860527195,0.8010041059264927
education,middle_eastern→white,choice_first_touch_side,pos,6.3961038961039,4.967532467532471,56.3961038961039,44,35,17.599999999999998,14.000000000000002,0.36196376944464403,0.7647634766752082
education,middle_eastern→white,choice_first_touch_side,neg,14.078947368421058,-0.9210526315789502,64.07894736842105,19,20,7.6,8.0,0.11283377548309599,0.4509497597366232
janitor,all→white,choice_chosen_side,pos,0.5903836068315016,0.08075733276581287,50.5903836068315,894,883,89.4,88.3,0.6352863892827214,1.0
janitor,all→white,choice_chosen_side,neg,2.3275671580542334,0.4572429685280488,52.32756715805424,790,802,79.0,80.2,0.06389455684962826,0.5324546404135688
janitor,all→white,choice_chosen_side_soft,pos,0.75885110613092,0.04846859246972479,50.75885110613092,929,915,92.9,91.5,0.5448662966422773,0.8255549949125414
janitor,all→white,choice_chosen_side_soft,neg,1.7541405476740324,0.4398548333883201,51.754140547674034,866,875,86.6,87.5,0.1504989964308458,0.4703093638463931
janitor,all→white,choice_first_touch_side,pos,0.27280943773189126,-0.05541813338407198,50.272809437731894,920,914,92.0,91.4,0.815570543051946,0.9397221767164039
janitor,all→white,choice_first_touch_side,neg,2.083142932910631,0.321296031331042,52.08314293291063,811,823,81.10000000000001,82.3,0.09285127654766884,0.42205125703485835
janitor,asian→white,choice_chosen_side,pos,-0.45860389610389296,0.9050324675324656,49.541396103896105,224,220,89.60000000000001,88.0,0.8500592677510513,1.0
