topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,all→white,choice_chosen_side,pos,0.0,-50.0,50.0,5,5,5.0,5.0,1.0,1.0
criminal,all→white,choice_chosen_side,neg,-8.597285067873301,35.52036199095023,41.4027149321267,13,17,13.0,17.0,0.2903484765553731,0.7258711913884328
criminal,all→white,choice_chosen_side_soft,pos,-0.37878787878787845,-41.28787878787878,49.621212121212125,12,11,12.0,11.0,1.0,1.0
criminal,all→white,choice_chosen_side_soft,neg,-0.15873015873015817,38.73015873015873,49.84126984126984,35,36,35.0,36.0,1.0,1.0
criminal,all→white,choice_first_touch_side,pos,0.0,-50.0,50.0,6,6,6.0,6.0,1.0,1.0
criminal,all→white,choice_first_touch_side,neg,-4.318181818181816,40.68181818181818,45.68181818181819,22,20,22.0,20.0,0.6078799249530957,1.0
criminal,black→white,choice_chosen_side,pos,0.0,-50.0,50.0,5,5,5.0,5.0,1.0,1.0
criminal,black→white,choice_chosen_side,neg,-8.597285067873301,35.52036199095023,41.4027149321267,13,17,13.0,17.0,0.2903484765553731,0.7258711913884328
criminal,black→white,choice_chosen_side_soft,pos,-0.37878787878787845,-41.28787878787878,49.621212121212125,12,11,12.0,11.0,1.0,1.0
criminal,black→white,choice_chosen_side_soft,neg,-0.15873015873015817,38.73015873015873,49.84126984126984,35,36,35.0,36.0,1.0,1.0
criminal,black→white,choice_first_touch_side,pos,0.0,-50.0,50.0,6,6,6.0,6.0,1.0,1.0
criminal,black→white,choice_first_touch_side,neg,-4.318181818181816,40.68181818181818,45.68181818181819,22,20,22.0,20.0,0.6078799249530957,1.0
education,all→white,choice_chosen_side,pos,9.523809523809524,-26.190476190476186,59.523809523809526,9,7,9.0,7.000000000000001,0.5846153846153848,0.9743589743589746
education,all→white,choice_chosen_side,neg,19.047619047619047,-2.3809523809523836,69.04761904761905,6,7,6.0,7.000000000000001,0.28613053613053613,0.7258711913884328
education,all→white,choice_chosen_side_soft,pos,2.7568922305764465,-5.137844611528824,52.75689223057645,21,19,21.0,19.0,0.7605168209269386,1.0
education,all→white,choice_chosen_side_soft,neg,17.361111111111114,4.861111111111111,67.36111111111111,18,16,18.0,16.0,0.08240718350502166,0.8240718350502165
education,all→white,choice_first_touch_side,pos,11.923076923076925,-8.076923076923077,61.92307692307693,13,10,13.0,10.0,0.40153452685421986,0.8030690537084396
education,all→white,choice_first_touch_side,neg,29.047619047619055,7.6190476190476195,79.04761904761905,15,7,15.0,7.000000000000001,0.013550755230321792,0.13550755230321793
education,black→white,choice_chosen_side,pos,9.523809523809524,-26.190476190476186,59.523809523809526,9,7,9.0,7.000000000000001,0.5846153846153848,0.9743589743589746
education,black→white,choice_chosen_side,neg,19.047619047619047,-2.3809523809523836,69.04761904761905,6,7,6.0,7.000000000000001,0.28613053613053613,0.7258711913884328
education,black→white,choice_chosen_side_soft,pos,2.7568922305764465,-5.137844611528824,52.75689223057645,21,19,21.0,19.0,0.7605168209269386,1.0
education,black→white,choice_chosen_side_soft,neg,17.361111111111114,4.861111111111111,67.36111111111111,18,16,18.0,16.0,0.08240718350502166,0.8240718350502165
education,black→white,choice_first_touch_side,pos,11.923076923076925,-8.076923076923077,61.92307692307693,13,10,13.0,10.0,0.40153452685421986,0.8030690537084396
education,black→white,choice_first_touch_side,neg,29.047619047619055,7.6190476190476195,79.04761904761905,15,7,15.0,7.000000000000001,0.013550755230321792,0.13550755230321793
janitor,all→white,choice_chosen_side,pos,0.7504690431519689,30.0187617260788,50.750469043151966,78,82,78.0,82.0,0.8455090346398986,1.0
janitor,all→white,choice_chosen_side,neg,0.0,-50.0,50.0,79,90,79.0,90.0,1.0,1.0
janitor,all→white,choice_chosen_side_soft,pos,0.027056277056280997,26.16341991341991,50.02705627705628,84,88,84.0,88.0,1.0,1.0
janitor,all→white,choice_chosen_side_soft,neg,0.0,-50.0,50.0,89,93,89.0,93.0,1.0,1.0
janitor,all→white,choice_first_touch_side,pos,0.47751983543932175,28.79077284748751,50.477519835439324,82,83,82.0,83.0,1.0,1.0
janitor,all→white,choice_first_touch_side,neg,0.0,-50.0,50.0,82,93,82.0,93.0,1.0,1.0
janitor,black→white,choice_chosen_side,pos,0.7504690431519689,30.0187617260788,50.750469043151966,78,82,78.0,82.0,0.8455090346398986,1.0
janitor,black→white,choice_chosen_side,neg,0.0,-50.0,50.0,79,90,79.0,90.0,1.0,1.0
janitor,black→white,choice_chosen_side_soft,pos,0.027056277056280997,26.16341991341991,50.02705627705628,84,88,84.0,88.0,1.0,1.0
janitor,black→white,choice_chosen_side_soft,neg,0.0,-50.0,50.0,89,93,89.0,93.0,1.0,1.0
janitor,black→white,choice_first_touch_side,pos,0.47751983543932175,28.79077284748751,50.477519835439324,82,83,82.0,83.0,1.0,1.0
janitor,black→white,choice_first_touch_side,neg,0.0,-50.0,50.0,82,93,82.0,93.0,1.0,1.0
pilot,all→white,choice_chosen_side,pos,-3.1061850027367277,-45.169677066228786,46.89381499726327,58,63,57.99999999999999,63.0,0.20939359290215814,0.7258711913884328
pilot,all→white,choice_chosen_side,neg,4.413082437275984,10.864695340501793,54.41308243727598,72,62,72.0,62.0,0.37426781414364674,0.7485356282872935
