topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,all→white,d_approach_retreat,0.044,0.03267580689647306,1000,1000,0.7306532544017017,0.46507693746636725,0.7137816126063343
criminal,all→white,d_latency,-0.2465,-0.06781361800567191,1000,1000,-1.5163585966088613,0.12958800044742275,0.5399500018642615
criminal,all→white,d_peak_speed,-0.0006073638089001178,-0.12589074352475432,1000,1000,-2.8150026025934216,0.004928250407089707,0.020534376696207113
criminal,all→white,d_time_to_half,-0.14550000000000002,-0.06648770301004908,1000,1000,-1.4867102359828712,0.13727805877082763,0.42899393365883637
criminal,all→white,pull_AUC,2.4789300320519017,0.12989272969145285,1000,1000,2.9044897337309385,0.003719862554514485,0.015499427310477022
criminal,all→white,pull_MAD,5.099025956956465,0.12223547933378472,1000,1000,2.733268410526133,0.00632774269824591,0.02259908106516396
criminal,all→white,pull_early,-0.3511133069638162,-0.06901092776168002,1000,1000,-1.543131256654439,0.12298226573691533,0.5332548834335994
criminal,all→white,pull_final,2.371581244143229,0.05523131577900902,872,921,1.1691715575509125,0.24249033234217368,0.4041505539036228
criminal,all→white,pull_release,4.332040894120837,0.1096918255299892,1000,1000,2.4527837846110274,0.014263007499173771,0.05093931249704919
criminal,all→white,pull_tcp,-1.201733682784834,-0.03981772669039115,1000,1000,-0.8903514358922235,0.3733866496263992,0.5834166400412488
criminal,all→white,q_exploded,0.005999999999999999,0.08575020423339111,1000,1000,1.9174328575035278,0.055337755739247735,0.1976348419258848
criminal,all→white,q_jerk_in_grasp,0.0,nan,1000,1000,nan,nan,nan
criminal,all→white,q_tile_drift,0.0005361630097031596,0.039478090589465054,1000,1000,0.8827569417993861,0.37754695042894326,0.496772303195978
criminal,all→white,xpos_reversals,0.01849999999999996,0.0353032553121979,1000,1000,0.7894047870510507,0.42997178521663515,0.6323114488479928
criminal,asian→white,d_approach_retreat,0.056,0.04321382298381739,250,250,0.4831452287972923,0.6292050432328085,0.7150057309463732
criminal,asian→white,d_latency,-0.5660000000000001,-0.15756191357020366,250,250,-1.7615957470396097,0.078758799743112,0.5399500018642615
criminal,asian→white,d_peak_speed,-0.0004749435335397722,-0.09937600191521509,250,250,-1.111057478072851,0.2671204024746974,0.47282386688743644
criminal,asian→white,d_time_to_half,-0.23399999999999999,-0.12077872619850158,250,250,-1.3503472100784215,0.17756001748646935,0.47427282773592233
