topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,all→white,choice_chosen_side,pos,23.752136752136753,0.24786324786324476,73.75213675213675,150,117,15.0,11.700000000000001,6.479542463753681e-15,1.0799237439589468e-13
criminal,all→white,choice_chosen_side,neg,15.104381976023152,1.9687887556841699,65.10438197602315,246,236,24.6,23.599999999999998,3.701251367761096e-11,3.701251367761096e-10
criminal,all→white,choice_chosen_side_soft,pos,22.55289976960153,0.3095537619969779,72.55289976960154,269,263,26.900000000000002,26.3,8.252176722163261e-26,2.0630441805408152e-24
criminal,all→white,choice_chosen_side_soft,neg,11.269093118408192,-0.146431995747065,61.26909311840819,481,438,48.1,43.8,8.796124632955895e-12,6.282946166397068e-11
criminal,all→white,choice_first_touch_side,pos,24.3354151653455,-0.30226599407478516,74.3354151653455,181,138,18.099999999999998,13.8,3.896271308910039e-18,9.740678272275098e-17
criminal,all→white,choice_first_touch_side,neg,14.849841329886726,2.470420108021776,64.84984132988673,306,311,30.599999999999998,31.1,1.5081211418529088e-13,1.5081211418529088e-12
criminal,asian→white,choice_chosen_side,pos,13.87096774193548,3.8709677419354827,63.87096774193548,31,20,12.4,8.0,0.08193834546099181,0.12049756685439972
criminal,asian→white,choice_chosen_side,neg,15.295667447306794,7.918618266978922,65.2956674473068,56,61,22.400000000000002,24.4,0.0013629812026133728,0.0036215523155431026
criminal,asian→white,choice_chosen_side_soft,pos,11.505681818181813,2.1306818181818175,61.50568181818181,55,64,22.0,25.6,0.01670740409383719,0.03285182312052148
criminal,asian→white,choice_chosen_side_soft,neg,8.134302526825888,-1.1249567324333687,58.134302526825884,107,108,42.8,43.2,0.02046551909405557,0.03654556981081352
criminal,asian→white,choice_first_touch_side,pos,15.904365904365903,4.365904365904366,65.9043659043659,37,26,14.799999999999999,10.4,0.019477917031210722,0.03212728300662052
criminal,asian→white,choice_first_touch_side,neg,15.270833333333334,6.604166666666666,65.27083333333333,64,75,25.6,30.0,0.0003400769123534554,0.0008949392430354089
criminal,black→white,choice_chosen_side,pos,26.973684210526315,-1.9736842105263164,76.97368421052632,48,38,19.2,15.2,9.789406840803214e-07,4.894703420401607e-06
criminal,black→white,choice_chosen_side,neg,17.836812144212534,3.130929791271347,67.83681214421253,62,51,24.8,20.4,0.00026773449265643935,0.0008924483088547979
criminal,black→white,choice_chosen_side_soft,pos,32.58341759352882,-0.025278058645095136,82.58341759352882,86,69,34.4,27.6,1.3363462546515663e-16,1.670432818314458e-15
criminal,black→white,choice_chosen_side_soft,neg,17.429538597394956,1.074398410479066,67.42953859739495,127,107,50.8,42.8,1.1854269538887817e-07,5.927134769443908e-07
criminal,black→white,choice_first_touch_side,pos,29.490777866880514,-1.9045709703287894,79.4907778668805,58,43,23.200000000000003,17.2,2.9146174465683106e-09,1.8216359041051943e-08
criminal,black→white,choice_first_touch_side,neg,17.3269768206477,1.504192010521127,67.3269768206477,77,79,30.8,31.6,1.5870781196045944e-05,6.104146613863826e-05
criminal,latino→white,choice_chosen_side,pos,21.581196581196583,6.196581196581197,71.58119658119658,36,26,14.399999999999999,10.4,0.001376189879906379,0.0036215523155431026
criminal,latino→white,choice_chosen_side,neg,10.411899313501149,-0.9916094584286828,60.41189931350115,69,57,27.6,22.8,0.03130549318557338,0.050492730944473194
criminal,latino→white,choice_chosen_side_soft,pos,14.754901960784306,1.421568627450981,64.75490196078431,68,60,27.200000000000003,24.0,0.0013282838047987966,0.0033207095119969915
criminal,latino→white,choice_chosen_side_soft,neg,7.193342453260376,3.271773825809393,57.19334245326038,129,102,51.6,40.8,0.03375530859189668,0.05625884765316114
criminal,latino→white,choice_first_touch_side,pos,20.3125,4.6875,70.3125,44,32,17.599999999999998,12.8,0.0008379754154535183,0.001995179560603615
criminal,latino→white,choice_first_touch_side,neg,9.060196560196566,2.3034398034398054,59.060196560196566,88,74,35.199999999999996,29.599999999999998,0.026985799895661577,0.04088757559948723
criminal,middle_eastern→white,choice_chosen_side,pos,28.05194805194806,-3.7662337662337677,78.05194805194806,35,33,14.000000000000002,13.200000000000001,3.606583439847615e-06,1.639356109021643e-05
criminal,middle_eastern→white,choice_chosen_side,neg,17.379205666582344,-1.2775107513281037,67.37920566658234,59,67,23.599999999999998,26.8,0.00015337004568045592,0.0005477501631444855
criminal,middle_eastern→white,choice_chosen_side_soft,pos,28.214285714285715,-3.214285714285714,78.21428571428571,60,70,24.0,28.000000000000004,7.035843460719665e-11,3.908801922622036e-10
criminal,middle_eastern→white,choice_chosen_side_soft,neg,11.458187421207455,-3.8310687771396568,61.458187421207455,118,121,47.199999999999996,48.4,0.00045294316014829987,0.0013321857651420585
criminal,middle_eastern→white,choice_first_touch_side,pos,27.606177606177607,-6.177606177606176,77.60617760617761,42,37,16.8,14.799999999999999,1.0916595920861477e-06,4.962089054937035e-06
criminal,middle_eastern→white,choice_first_touch_side,neg,18.150524174620553,0.6806446565482738,68.15052417462056,77,83,30.8,33.2,7.623170497421768e-06,3.1763210405924035e-05
education,all→white,choice_chosen_side,pos,24.687732274614316,-0.20213556679538058,74.68773227461432,243,227,24.3,22.7,2.0423913483827912e-27,1.0211956741913956e-25
education,all→white,choice_chosen_side,neg,22.853279242731574,-1.2846517917511846,72.85327924273157,102,116,10.2,11.600000000000001,1.2760993655393883e-11,1.5951242069242353e-10
education,all→white,choice_chosen_side_soft,pos,20.54354403917038,1.1459536777245982,70.54354403917038,438,415,43.8,41.5,5.7310056928498165e-34,2.8655028464249083e-32
education,all→white,choice_chosen_side_soft,neg,18.57699664368978,-0.018044678624273836,68.57699664368978,229,242,22.900000000000002,24.2,5.313445456492073e-16,5.313445456492073e-15
education,all→white,choice_first_touch_side,pos,24.51123262232081,-0.30628562585437447,74.5112326223208,283,274,28.299999999999997,27.400000000000002,5.944937683755912e-32,2.972468841877956e-30
education,all→white,choice_first_touch_side,neg,23.04124146074049,-1.2102555452475294,73.0412414607405,142,167,14.2,16.7,3.591304993845033e-16,4.489131242306291e-15
education,asian→white,choice_chosen_side,pos,15.286499215070648,-2.021193092621665,65.28649921507065,49,52,19.6,20.8,0.0027879184448843294,0.0069697961122108226
education,asian→white,choice_chosen_side,neg,11.578947368421044,-1.578947368421052,61.57894736842104,15,19,6.0,7.6,0.29981783301897424,0.3747722912737178
education,asian→white,choice_chosen_side_soft,pos,12.906615954358925,3.112801521369235,62.90661595435893,103,97,41.199999999999996,38.800000000000004,0.0003680871190708345,0.0011502722470963578
education,asian→white,choice_chosen_side_soft,neg,8.295625942684758,-4.449472096530921,58.29562594268476,52,51,20.8,20.4,0.11454160290623913,0.15908555959199877
education,asian→white,choice_first_touch_side,pos,18.106060606060616,-3.1060606060606064,68.10606060606061,60,66,24.0,26.400000000000002,7.091168725625651e-05,0.00020856378604781328
