topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,all→white,choice_chosen_side,pos,-2.020541549953314,-1.6937441643324003,47.979458450046685,175,153,17.5,15.299999999999999,0.5068328456325227,0.9529857862726931
criminal,all→white,choice_chosen_side,neg,-11.531531531531531,-1.5315315315315325,38.46846846846847,111,100,11.1,10.0,0.0009394216666565678,0.04603166166617182
criminal,all→white,choice_chosen_side_soft,pos,-1.9376800209478962,-0.6938989264205303,48.062319979052106,228,201,22.8,20.1,0.4400019723469981,0.8582179326889753
criminal,all→white,choice_chosen_side_soft,neg,-11.044445226448952,1.375936939156139,38.95555477355105,181,157,18.099999999999998,15.7,5.488189478033558e-05,0.002744094739016779
criminal,all→white,choice_first_touch_side,pos,0.9717666873504172,-1.6144402092013121,50.97176668735042,389,348,38.9,34.8,0.6060916551461053,1.0
criminal,all→white,choice_first_touch_side,neg,-7.169136833315937,-1.5721219079428028,42.83086316668406,286,268,28.599999999999998,26.8,0.0008950761959314227,0.044753809796571134
criminal,asian→white,choice_chosen_side,pos,-10.434782608695647,-0.43478260869565244,39.56521739130435,46,40,18.4,16.0,0.08307391147470172,0.4120275763770782
criminal,asian→white,choice_chosen_side,neg,1.94508009153318,4.576659038901601,51.94508009153318,23,19,9.2,7.6,1.0,1.0
criminal,asian→white,choice_chosen_side_soft,pos,-3.7733182589033354,-0.32504239683436853,46.22668174109666,61,58,24.4,23.200000000000003,0.4653108193550677,0.8582179326889753
criminal,asian→white,choice_chosen_side_soft,neg,-3.020833333333334,6.354166666666666,46.979166666666664,45,32,18.0,12.8,0.6469340548653622,0.980203113432367
criminal,asian→white,choice_first_touch_side,pos,-1.6666666666666663,-0.5555555555555536,48.333333333333336,90,90,36.0,36.0,0.7656808132191426,1.0
criminal,asian→white,choice_first_touch_side,neg,-7.8415300546448075,1.1748633879781423,42.15846994535519,60,61,24.0,24.4,0.10275168564685185,0.6248622253516911
criminal,black→white,choice_chosen_side,pos,12.765957446808507,-1.063829787234044,62.76595744680851,47,47,18.8,18.8,0.022725044629306745,0.31692224839484684
criminal,black→white,choice_chosen_side,neg,-14.680589680589678,-5.58968058968059,35.31941031941032,37,22,14.799999999999999,8.799999999999999,0.03233900493824968,0.31692224839484684
criminal,black→white,choice_chosen_side_soft,pos,7.690092165898621,1.2384792626728092,57.69009216589862,56,62,22.400000000000002,24.8,0.10175871214030607,0.4625396006377549
criminal,black→white,choice_chosen_side_soft,neg,-12.692307692307692,-2.692307692307694,37.30769230769231,52,35,20.8,14.000000000000002,0.027832508478318887,0.34790635597898606
