topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,all→white,d_approach_retreat,0.6599999999999999,0.1962585714462213,100,100,1.387757667356076,0.16678302399780848,0.6474830426968541
criminal,all→white,d_latency,0.25,0.1001581521698273,100,100,0.7082250859039899,0.47968172667813425,0.6300328695466875
criminal,all→white,d_peak_speed,0.0003400520235300064,0.12459060621349445,100,100,0.8809886252570472,0.37965441919460285,0.5086231078826857
criminal,all→white,d_time_to_half,0.515,0.15074108256102312,100,100,1.0659004168230066,0.28777949969859656,0.393677654987988
criminal,all→white,pull_AUC,2.2406804349640446,0.1913171417183245,100,100,1.35281648266255,0.1780503188626065,0.2560513788176054
criminal,all→white,pull_MAD,5.248259635857538,0.20766768449620998,100,100,1.4684322794057854,0.14385369934378084,0.23975616557296808
criminal,all→white,pull_early,-0.00825218141108039,-0.0012016752659037336,100,100,-0.008497127293046776,0.9932299472750377,0.9932299472750377
criminal,all→white,pull_release,3.3512743884057272,0.14842121951631962,100,100,1.0494965079196672,0.2954238079646206,0.3692797599557757
criminal,all→white,pull_tcp,-1.2248282344080508,-0.01919806625405072,100,100,-0.13575082833907887,0.892156511823185,0.9399374512896943
criminal,all→white,q_exploded,0.06000000000000001,0.2722758993495654,100,100,1.9252813478374362,0.055704875164369,0.08148313702640213
criminal,all→white,q_jerk_in_grasp,-0.034999999999999996,-0.16391431794630973,100,100,-1.159049257534034,0.24815522672397095,0.4135920445399515
criminal,all→white,q_tile_drift,0.03395125597715379,0.09088930610712093,100,100,0.642684446856851,0.5211831422107907,0.5211831422107907
criminal,all→white,xpos_reversals,-0.11499999999999999,-0.11619823704886653,100,100,-0.8216456137917546,0.4122738056582279,0.6399140332630291
criminal,black→white,d_approach_retreat,0.6599999999999999,0.1962585714462213,100,100,1.387757667356076,0.16678302399780848,0.6474830426968541
criminal,black→white,d_latency,0.25,0.1001581521698273,100,100,0.7082250859039899,0.47968172667813425,0.6300328695466875
criminal,black→white,d_peak_speed,0.0003400520235300064,0.12459060621349445,100,100,0.8809886252570472,0.37965441919460285,0.5086231078826857
criminal,black→white,d_time_to_half,0.515,0.15074108256102312,100,100,1.0659004168230066,0.28777949969859656,0.393677654987988
criminal,black→white,pull_AUC,2.2406804349640446,0.1913171417183245,100,100,1.35281648266255,0.1780503188626065,0.2560513788176054
criminal,black→white,pull_MAD,5.248259635857538,0.20766768449620998,100,100,1.4684322794057854,0.14385369934378084,0.23975616557296808
