topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,all→white,choice_chosen_side,pos,-3.8461538461538436,46.15384615384615,46.15384615384615,13,9,13.0,9.0,1.0,1.0
criminal,all→white,choice_chosen_side,neg,0.0,50.0,50.0,14,6,14.000000000000002,6.0,1.0,1.0
criminal,all→white,choice_chosen_side_soft,pos,-2.631578947368424,47.368421052631575,47.368421052631575,19,12,19.0,12.0,1.0,1.0
criminal,all→white,choice_chosen_side_soft,neg,8.333333333333337,41.66666666666667,58.333333333333336,16,12,16.0,12.0,0.1746031746031746,0.7857142857142857
criminal,all→white,choice_first_touch_side,pos,3.472222222222221,40.97222222222222,53.47222222222222,36,24,36.0,24.0,0.38032544833738346,0.6923076923076922
criminal,all→white,choice_first_touch_side,neg,7.36842105263158,37.368421052631575,57.36842105263158,19,15,19.0,15.0,0.2994221148870105,0.6923076923076922
criminal,black→white,choice_chosen_side,pos,-3.8461538461538436,46.15384615384615,46.15384615384615,13,9,13.0,9.0,1.0,1.0
criminal,black→white,choice_chosen_side,neg,0.0,50.0,50.0,14,6,14.000000000000002,6.0,1.0,1.0
criminal,black→white,choice_chosen_side_soft,pos,-2.631578947368424,47.368421052631575,47.368421052631575,19,12,19.0,12.0,1.0,1.0
criminal,black→white,choice_chosen_side_soft,neg,8.333333333333337,41.66666666666667,58.333333333333336,16,12,16.0,12.0,0.1746031746031746,0.7857142857142857
criminal,black→white,choice_first_touch_side,pos,3.472222222222221,40.97222222222222,53.47222222222222,36,24,36.0,24.0,0.38032544833738346,0.6923076923076922
criminal,black→white,choice_first_touch_side,neg,7.36842105263158,37.368421052631575,57.36842105263158,19,15,19.0,15.0,0.2994221148870105,0.6923076923076922
education,all→white,choice_chosen_side,neg,-14.285714285714285,35.714285714285715,35.714285714285715,7,5,7.000000000000001,5.0,0.4696969696969697,1.0
education,all→white,choice_chosen_side_soft,pos,19.047619047619047,2.3809523809523836,69.04761904761905,7,6,7.000000000000001,6.0,0.28613053613053613,0.8583916083916083
education,all→white,choice_chosen_side_soft,neg,-20.0,30.0,30.0,10,10,10.0,10.0,0.08668730650154799,0.7801857585139319
education,all→white,choice_first_touch_side,pos,12.5,12.5,62.5,4,12,4.0,12.0,0.5846153846153845,0.7516483516483515
education,all→white,choice_first_touch_side,neg,-7.386363636363635,30.113636363636363,42.61363636363637,22,16,22.0,16.0,0.4262098911055269,0.6923076923076922
education,black→white,choice_chosen_side,neg,-14.285714285714285,35.714285714285715,35.714285714285715,7,5,7.000000000000001,5.0,0.4696969696969697,1.0
education,black→white,choice_chosen_side_soft,pos,19.047619047619047,2.3809523809523836,69.04761904761905,7,6,7.000000000000001,6.0,0.28613053613053613,0.8583916083916083
education,black→white,choice_chosen_side_soft,neg,-20.0,30.0,30.0,10,10,10.0,10.0,0.08668730650154799,0.7801857585139319
education,black→white,choice_first_touch_side,pos,12.5,12.5,62.5,4,12,4.0,12.0,0.5846153846153845,0.7516483516483515
education,black→white,choice_first_touch_side,neg,-7.386363636363635,30.113636363636363,42.61363636363637,22,16,22.0,16.0,0.4262098911055269,0.6923076923076922
janitor,all→white,choice_chosen_side,pos,9.999999999999998,-40.0,60.0,5,5,5.0,5.0,1.0,1.0
janitor,all→white,choice_chosen_side,neg,-4.545454545454547,-45.45454545454545,45.45454545454545,8,11,8.0,11.0,1.0,1.0
janitor,all→white,choice_chosen_side_soft,pos,5.555555555555558,-33.33333333333333,55.55555555555556,9,9,9.0,9.0,1.0,1.0
janitor,all→white,choice_chosen_side_soft,neg,0.512820512820511,-42.820512820512825,50.51282051282051,13,15,13.0,15.0,1.0,1.0
janitor,all→white,choice_first_touch_side,pos,14.28571428571428,-35.714285714285715,64.28571428571428,7,6,7.000000000000001,6.0,0.4615384615384615,0.6923076923076922
janitor,all→white,choice_first_touch_side,neg,-4.761904761904762,-45.23809523809524,45.23809523809524,26,21,26.0,21.0,0.19426456984273818,0.6923076923076922
janitor,black→white,choice_chosen_side,pos,9.999999999999998,-40.0,60.0,5,5,5.0,5.0,1.0,1.0
janitor,black→white,choice_chosen_side,neg,-4.545454545454547,-45.45454545454545,45.45454545454545,8,11,8.0,11.0,1.0,1.0
janitor,black→white,choice_chosen_side_soft,pos,5.555555555555558,-33.33333333333333,55.55555555555556,9,9,9.0,9.0,1.0,1.0
janitor,black→white,choice_chosen_side_soft,neg,0.512820512820511,-42.820512820512825,50.51282051282051,13,15,13.0,15.0,1.0,1.0
janitor,black→white,choice_first_touch_side,pos,14.28571428571428,-35.714285714285715,64.28571428571428,7,6,7.000000000000001,6.0,0.4615384615384615,0.6923076923076922
janitor,black→white,choice_first_touch_side,neg,-4.761904761904762,-45.23809523809524,45.23809523809524,26,21,26.0,21.0,0.19426456984273818,0.6923076923076922
pilot,all→white,choice_chosen_side,pos,12.5,-37.5,62.5,8,12,8.0,12.0,0.1473684210526316,1.0
pilot,all→white,choice_chosen_side,neg,-3.125,-46.875,46.875,19,16,19.0,16.0,0.45714285714285713,1.0
pilot,all→white,choice_chosen_side_soft,pos,3.1798245614035103,-42.65350877192983,53.17982456140351,19,24,19.0,24.0,0.5750749534073414,1.0
pilot,all→white,choice_chosen_side_soft,neg,-0.2564102564102555,-46.41025641025641,49.743589743589745,30,26,30.0,26.0,1.0,1.0
pilot,all→white,choice_first_touch_side,pos,13.244047619047617,-31.994047619047617,63.24404761904761,16,21,16.0,21.0,0.06624271330153682,0.5961844197138314
pilot,all→white,choice_first_touch_side,neg,-0.2777777777777768,-46.94444444444444,49.72222222222222,36,30,36.0,30.0,1.0,1.0
pilot,black→white,choice_chosen_side,pos,12.5,-37.5,62.5,8,12,8.0,12.0,0.1473684210526316,1.0
pilot,black→white,choice_chosen_side,neg,-3.125,-46.875,46.875,19,16,19.0,16.0,0.45714285714285713,1.0
pilot,black→white,choice_chosen_side_soft,pos,3.1798245614035103,-42.65350877192983,53.17982456140351,19,24,19.0,24.0,0.5750749534073414,1.0
pilot,black→white,choice_chosen_side_soft,neg,-0.2564102564102555,-46.41025641025641,49.743589743589745,30,26,30.0,26.0,1.0,1.0
pilot,black→white,choice_first_touch_side,pos,13.244047619047617,-31.994047619047617,63.24404761904761,16,21,16.0,21.0,0.06624271330153682,0.5961844197138314
pilot,black→white,choice_first_touch_side,neg,-0.2777777777777768,-46.94444444444444,49.72222222222222,36,30,36.0,30.0,1.0,1.0
wealthy,all→white,choice_chosen_side,pos,2.777777777777779,2.777777777777779,52.77777777777778,9,12,9.0,12.0,1.0,1.0
wealthy,all→white,choice_chosen_side_soft,pos,1.4705882352941124,-1.470588235294118,51.470588235294116,14,17,14.000000000000002,17.0,1.0,1.0
wealthy,all→white,choice_first_touch_side,pos,-2.412280701754388,10.745614035087723,47.58771929824561,24,19,24.0,19.0,1.0,1.0
wealthy,black→white,choice_chosen_side,pos,2.777777777777779,2.777777777777779,52.77777777777778,9,12,9.0,12.0,1.0,1.0
