topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,all→white,choice_chosen_side,pos,9.329598506069093,1.813258636788051,59.32959850606909,175,153,17.5,15.299999999999999,0.0008776625677742263,0.04300546582093709
criminal,all→white,choice_chosen_side,neg,5.713678844519965,-3.377230246389129,55.71367884451996,107,110,10.7,11.0,0.10334834310222572,0.2836385709030062
criminal,all→white,choice_chosen_side_soft,pos,8.775539897320783,1.140071917025215,58.77553989732078,237,203,23.7,20.3,0.00027415624185084123,0.008137267674007844
criminal,all→white,choice_chosen_side_soft,neg,0.6989845597440536,-2.5977187369592425,50.698984559744055,158,182,15.8,18.2,0.8280435891308144,0.9329931054394492
criminal,all→white,choice_first_touch_side,pos,10.231980115990059,2.5849212924606513,60.231980115990055,355,340,35.5,34.0,6.613785985851194e-08,3.3068929929255966e-06
criminal,all→white,choice_first_touch_side,neg,5.811889973380646,-0.7098491570541265,55.811889973380644,245,276,24.5,27.6,0.008551531323100171,0.03889344756765278
criminal,asian→white,choice_chosen_side,pos,2.8782894736842035,-0.24671052631579093,52.878289473684205,38,32,15.2,12.8,0.810624388623745,1.0
criminal,asian→white,choice_chosen_side,neg,1.0822510822510845,-3.4632034632034623,51.082251082251084,21,22,8.4,8.799999999999999,1.0,1.0
criminal,asian→white,choice_chosen_side_soft,pos,3.356313497822927,-2.4129172714078386,53.356313497822924,53,52,21.2,20.8,0.5596453807117733,0.7846390067859516
criminal,asian→white,choice_chosen_side_soft,neg,-1.5625,-1.5625,48.4375,32,34,12.8,13.600000000000001,0.8109404103028608,0.9329931054394492
criminal,asian→white,choice_first_touch_side,pos,5.428432327166499,2.263875365141188,55.4284323271665,78,79,31.2,31.6,0.20233723976418022,0.3161519371315316
criminal,asian→white,choice_first_touch_side,neg,5.066771406127257,2.827965435978008,55.06677140612726,57,67,22.8,26.8,0.2835353085590354,0.393799039665327
criminal,black→white,choice_chosen_side,pos,13.879210220673643,1.974448315911731,63.87921022067364,41,42,16.400000000000002,16.8,0.01574793692600326,0.1528669528685497
criminal,black→white,choice_chosen_side,neg,11.507936507936511,0.3968253968253954,61.50793650793651,21,36,8.4,14.399999999999999,0.10818748685323605,0.2836385709030062
criminal,black→white,choice_chosen_side_soft,pos,13.15077755240026,2.366463826910076,63.150777552400264,58,51,23.200000000000003,20.4,0.0073664611322863385,0.06138717610238615
criminal,black→white,choice_chosen_side_soft,neg,5.142857142857138,-0.8571428571428619,55.14285714285714,35,50,14.000000000000002,20.0,0.3845210190949039,0.7120924325573599
