topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,all→white,d_approach_retreat,-0.009999999999999981,-0.0024753293828869856,1000,1000,-0.055350047668379046,0.9558651250034114,0.9558651250034115
criminal,all→white,d_latency,0.1945,0.06191067767101164,1000,1000,1.3843648380546036,0.1664014833843372,0.8087712802079577
criminal,all→white,d_peak_speed,-1.3780904002487658e-05,-0.003368921990922891,1000,1000,-0.07533138582597514,0.9399588087338286,0.9399588087338286
criminal,all→white,d_time_to_half,-0.18400000000000005,-0.02166905648860649,1000,1000,-0.48453483316807006,0.6280595575588698,0.9927573489638728
criminal,all→white,pull_AUC,0.39784465873257424,0.021425320485897334,1000,1000,0.47908473046185257,0.6319307806560273,0.7899134758200341
criminal,all→white,pull_MAD,-0.49501024567602153,-0.013051982156683165,1000,1000,-0.29185119343457866,0.7704307415694175,0.919717255884636
criminal,all→white,pull_early,0.5205261951326972,0.02866303492334514,1000,1000,0.640924945300502,0.5216456636404583,0.9345393670753757
criminal,all→white,pull_final,4.152639813206284,0.07913778782777744,768,765,1.5491744592062275,0.12154720598777927,0.8609920537144147
criminal,all→white,pull_release,0.44221345094410935,0.010589617036278224,1000,1000,0.23679103548807964,0.8128432129528405,0.8619605672311192
criminal,all→white,pull_tcp,3.2701985453313682,0.05222340429747084,1000,1000,1.1677508202559945,0.24304668121344342,0.8016172626437488
criminal,all→white,q_exploded,-0.003000000000000001,-0.037691639496472654,1000,1000,-0.8428106809752878,0.3994364854854331,0.8979509416781847
criminal,all→white,q_jerk_in_grasp,0.0,nan,1000,1000,nan,nan,nan
criminal,all→white,q_tile_drift,0.0013189483061432838,0.07539687487821962,1000,1000,1.6859253751874526,0.0920312174101914,0.16434145966105604
criminal,all→white,xpos_reversals,-0.052000000000000046,-0.05057310711146391,1000,1000,-1.1308490533461133,0.25825436871350316,0.35868662321319883
criminal,asian→white,d_approach_retreat,0.378,0.09371671974994863,250,250,1.0477847799459112,0.2952466549897083,0.7351219497679924
criminal,asian→white,d_latency,0.6859999999999999,0.21798485875983653,250,250,2.4371448112634253,0.015153027966150296,0.20346964565004888
criminal,asian→white,d_peak_speed,-3.727975487709045e-05,-0.00941125861738316,250,250,-0.10522107011149714,0.9162427612085446,0.9399588087338286
criminal,asian→white,d_time_to_half,-0.01999999999999999,-0.0021245568386125233,250,250,-0.023753267565998257,0.9810589882546791,0.9927573489638728
criminal,asian→white,pull_AUC,0.25903691962340414,0.014394708177804291,250,250,0.16093773000921263,0.8722077324953377,0.8722077324953377
criminal,asian→white,pull_MAD,-0.19023169565596432,-0.005137471178758467,250,250,-0.05743867394074953,0.954218828636263,0.954218828636263
criminal,asian→white,pull_early,-0.16272316304384693,-0.008807226694526684,250,250,-0.0984677879110622,0.9216016696057437,0.9632867409548797
criminal,asian→white,pull_final,1.2952889003623032,0.025889715071986945,191,193,0.25369804603205254,0.7998655818149526,0.9048629324717862
criminal,asian→white,pull_release,1.6577163407346234,0.03936514168772624,250,250,0.4401156637883334,0.6600445362021379,0.8619605672311192
criminal,asian→white,pull_tcp,1.9912528498098254,0.03009016016078469,250,250,0.33641821786685283,0.7366986504734552,0.9558061872987105
criminal,asian→white,q_exploded,-0.002,-0.02721756482279148,250,250,-0.30430162562884383,0.7610262239431401,0.9267160899165706
criminal,asian→white,q_jerk_in_grasp,0.0,nan,250,250,nan,nan,nan
criminal,asian→white,q_tile_drift,0.0007793590575456621,0.07466712089437227,250,250,0.8348037900200564,0.4042318510792752,0.48122839414199425
criminal,asian→white,xpos_reversals,-0.13200000000000012,-0.1248566101870294,250,250,-1.3959393390919526,0.16335502436366595,0.25524222556822806
criminal,black→white,d_approach_retreat,0.122,0.031056728294891863,250,250,0.3472247781305967,0.7285698827442144,0.8279203213002436
criminal,black→white,d_latency,0.164,0.05444020631724154,250,250,0.6086600101723277,0.5430273593621173,0.8087712802079577
criminal,black→white,d_peak_speed,-0.00013163442537188533,-0.03340610338200353,250,250,-0.37349159012772765,0.7089415626636222,0.8861769533295277
criminal,black→white,d_time_to_half,0.726,0.08874052754087644,250,250,0.9921492597029598,0.3216081419643927,0.8933559499010908
criminal,black→white,pull_AUC,0.7994011891476968,0.0446057666244756,250,250,0.49870763180409383,0.6182062698028625,0.7899134758200341
criminal,black→white,pull_MAD,-0.879461625248368,-0.0228235992754166,250,250,-0.2551755973552323,0.7986938192704987,0.919717255884636
criminal,black→white,pull_early,0.33617565771564784,0.021264335894724835,250,250,0.2377425027849677,0.8121841168592663,0.9632867409548797
criminal,black→white,pull_final,9.735064468480317,0.17979091393185703,181,181,1.7103777162623888,0.08805874691317452,0.8609920537144147
criminal,black→white,pull_release,-0.6957359426596668,-0.017118853157858334,250,250,-0.1913945967890409,0.8482945947564441,0.8619605672311192
criminal,black→white,pull_tcp,12.486973287072033,0.19417044505622882,250,250,2.170891571835578,0.030411630989735185,0.7602907747433796
criminal,black→white,q_exploded,0.0020000000000000018,0.020880172777855394,250,250,0.23344742856612638,0.8155101591265822,0.9267160899165706
criminal,black→white,q_jerk_in_grasp,0.0,nan,250,250,nan,nan,nan
criminal,black→white,q_tile_drift,0.00046888719499111123,0.03788912374692007,250,250,0.4236132815300741,0.672031080127335,0.730468565355799
criminal,black→white,xpos_reversals,-0.08800000000000008,-0.08926642098186807,250,250,-0.9980289271178526,0.3187501821815945,0.41090288701366384
criminal,latino→white,d_approach_retreat,-0.27199999999999996,-0.06713273321247386,250,250,-0.7505667748922468,0.4532688632939267,0.7351219497679924
criminal,latino→white,d_latency,-0.176,-0.05391071047680183,250,250,-0.6027400667071948,0.5469577411274572,0.8087712802079577
criminal,latino→white,d_peak_speed,0.0006006623655557632,0.14808502004624977,250,250,1.6556408563641678,0.0984655606091486,0.42520647420038077
criminal,latino→white,d_time_to_half,-1.07,-0.13275687802711417,250,250,-1.4842670187463771,0.1383742508843101,0.8881502751803109
criminal,latino→white,pull_AUC,1.5231288033845551,0.08346615851572348,250,250,0.9331800213096533,0.351179332634189,0.7031419032839794
criminal,latino→white,pull_MAD,0.5644660736620419,0.015342151963415514,250,250,0.17153047355664475,0.8638763494989721,0.919717255884636
criminal,latino→white,pull_early,0.5300453907810148,0.02820629686799759,250,250,0.31535598595191017,0.7526234845568092,0.9632867409548797
