topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,all→white,choice_chosen_side,pos,3.002542298588584,-2.735162619444198,53.00254229858859,187,183,18.7,18.3,0.25402839394154586,1.0
criminal,all→white,choice_chosen_side,neg,-1.781674926928456,-3.40958190367264,48.21832507307155,183,215,18.3,21.5,0.48256696287111545,1.0
criminal,all→white,choice_chosen_side_soft,pos,1.3100555616080145,-1.675019065257652,51.31005556160802,274,268,27.400000000000002,26.8,0.5485986437119682,1.0
criminal,all→white,choice_chosen_side_soft,neg,-5.112781954887219,-3.533834586466167,44.88721804511278,266,285,26.6,28.499999999999996,0.016949443047856783,0.28249071746427973
criminal,all→white,choice_first_touch_side,pos,0.6901527747278591,0.49094958747686324,50.690152774727856,254,251,25.4,25.1,0.7897055676912624,1.0
criminal,all→white,choice_first_touch_side,neg,-2.5551601423487558,-3.444839857651247,47.444839857651246,250,281,25.0,28.1,0.25773863394462837,1.0
criminal,asian→white,choice_chosen_side,pos,4.358490566037743,0.35849056603773355,54.358490566037744,53,50,21.2,20.0,0.4328507945975443,1.0
criminal,asian→white,choice_chosen_side,neg,-0.5978260869565211,8.09782608695652,49.40217391304348,40,46,16.0,18.4,1.0,1.0
criminal,asian→white,choice_chosen_side_soft,pos,-0.616033755274259,-1.28270042194093,49.38396624472574,79,75,31.6,30.0,1.0,1.0
criminal,asian→white,choice_chosen_side_soft,neg,-6.835637480798773,4.454685099846389,43.16436251920123,63,62,25.2,24.8,0.15189123145025538,1.0
criminal,asian→white,choice_first_touch_side,pos,-0.34205231388330093,1.770623742454727,49.6579476861167,70,71,28.000000000000004,28.4,1.0,1.0
criminal,asian→white,choice_first_touch_side,neg,-0.5330490405117294,7.675906183368869,49.46695095948827,56,67,22.400000000000002,26.8,1.0,1.0
criminal,black→white,choice_chosen_side,pos,-1.0180995475113142,-4.864253393665158,48.98190045248869,34,39,13.600000000000001,15.6,1.0,1.0
criminal,black→white,choice_chosen_side,neg,-12.768031189083823,-10.916179337231968,37.23196881091618,38,54,15.2,21.6,0.01832745604894325,0.9163728024471626
