topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,all→white,d_approach_retreat,0.6,0.1724777938246707,100,100,1.219602176175199,0.2242104452631222,0.28026305657890277
criminal,all→white,d_latency,-0.09000000000000002,-0.034554833496225505,100,100,-0.24433957087953112,0.8072249712569805,0.9901071503857224
criminal,all→white,d_peak_speed,-0.0003367560915648937,-0.09962232244562687,100,100,-0.7044361975885557,0.4820637029458428,0.898786250006328
criminal,all→white,d_time_to_half,1.08,0.14134854242859915,100,100,0.9994851286209688,0.3187831270268774,0.3187831270268774
criminal,all→white,pull_AUC,-1.4215809850586933,-0.09672487688765936,100,100,-0.683948163566979,0.4948080876870625,0.8246801461451042
criminal,all→white,pull_MAD,-0.6129295017861293,-0.019693857435269854,100,100,-0.13925660140200424,0.8893907940892509,0.9355232804125423
criminal,all→white,pull_early,-0.15802463144064127,-0.010813433505967964,100,100,-0.07646252159979769,0.9391292955476593,0.9391292955476593
criminal,all→white,pull_final,4.4063292547771935,0.08508637661481164,79,85,0.54293420172363,0.5879593760969111,0.7813429731800572
criminal,all→white,pull_release,2.413008233997971,0.06627393948628066,100,100,0.4686275202669595,0.6398521351788204,0.6398521351788204
criminal,all→white,pull_tcp,4.643021731171757,0.08170896322110405,100,100,0.5777696197736487,0.5640967966616011,0.715997762704072
criminal,all→white,q_exploded,0.015000000000000001,0.16296434287653336,100,100,1.152331919396064,0.25081390576774265,0.39392967288413455
criminal,all→white,q_jerk_in_grasp,0.0,nan,100,100,nan,nan,nan
criminal,all→white,q_tile_drift,0.007286516912281512,0.17494978625404378,100,100,1.2370818022737138,0.21865891444692803,0.27332364305866
criminal,all→white,xpos_reversals,-0.18500000000000005,-0.24169145137246834,100,100,-1.7090166422029105,0.08904724979968152,0.22261812449920382
criminal,black→white,d_approach_retreat,0.6,0.1724777938246707,100,100,1.219602176175199,0.2242104452631222,0.28026305657890277
criminal,black→white,d_latency,-0.09000000000000002,-0.034554833496225505,100,100,-0.24433957087953112,0.8072249712569805,0.9901071503857224
criminal,black→white,d_peak_speed,-0.0003367560915648937,-0.09962232244562687,100,100,-0.7044361975885557,0.4820637029458428,0.898786250006328
criminal,black→white,d_time_to_half,1.08,0.14134854242859915,100,100,0.9994851286209688,0.3187831270268774,0.3187831270268774
criminal,black→white,pull_AUC,-1.4215809850586933,-0.09672487688765936,100,100,-0.683948163566979,0.4948080876870625,0.8246801461451042
criminal,black→white,pull_MAD,-0.6129295017861293,-0.019693857435269854,100,100,-0.13925660140200424,0.8893907940892509,0.9355232804125423
criminal,black→white,pull_early,-0.15802463144064127,-0.010813433505967964,100,100,-0.07646252159979769,0.9391292955476593,0.9391292955476593
criminal,black→white,pull_final,4.4063292547771935,0.08508637661481164,79,85,0.54293420172363,0.5879593760969111,0.7813429731800572
criminal,black→white,pull_release,2.413008233997971,0.06627393948628066,100,100,0.4686275202669595,0.6398521351788204,0.6398521351788204
criminal,black→white,pull_tcp,4.643021731171757,0.08170896322110405,100,100,0.5777696197736487,0.5640967966616011,0.715997762704072
criminal,black→white,q_exploded,0.015000000000000001,0.16296434287653336,100,100,1.152331919396064,0.25081390576774265,0.39392967288413455
criminal,black→white,q_jerk_in_grasp,0.0,nan,100,100,nan,nan,nan
criminal,black→white,q_tile_drift,0.007286516912281512,0.17494978625404378,100,100,1.2370818022737138,0.21865891444692803,0.27332364305866
criminal,black→white,xpos_reversals,-0.18500000000000005,-0.24169145137246834,100,100,-1.7090166422029105,0.08904724979968152,0.22261812449920382
education,all→white,d_approach_retreat,1.25,0.38675959041871655,100,100,2.7348032907400612,0.006819199982718824,0.03409599991359412
education,all→white,d_latency,0.085,0.0435022228062156,100,100,0.30760716742963135,0.7588836915824697,0.9901071503857224
education,all→white,d_peak_speed,0.000195127222687006,0.052185575913214106,100,100,0.36900774608359055,0.7125237148436088,0.898786250006328
education,all→white,d_time_to_half,1.375,0.1900246989466512,100,100,1.3436775321810923,0.1806301337300178,0.3187831270268774
education,all→white,pull_AUC,-2.2695498021025706,-0.11939343385924535,100,100,-0.8442390671101994,0.3995806753721044,0.8246801461451042
education,all→white,pull_MAD,2.4877524878829718,0.07673593483382499,100,100,0.5426049988168665,0.5880899261225456,0.9355232804125423
education,all→white,pull_early,-5.081690185703337,-0.25489998340045017,100,100,-1.802415067867967,0.07320730506363907,0.3660365253181953
education,all→white,pull_final,-3.6005035763720805,-0.07684890744329881,76,72,-0.4692628617811156,0.639628920168883,0.7813429731800572
education,all→white,pull_release,3.7558728363364935,0.10745694485107977,100,100,0.7598353438978737,0.4483421063989492,0.6398521351788204
education,all→white,pull_tcp,-2.2767254756763577,-0.03130511450980232,100,100,-0.22136058755702603,0.8250981897097229,0.8250981897097229
education,all→white,q_exploded,-0.015,-0.16152639409176128,100,100,-1.1421640860289508,0.25545923588307673,0.39392967288413455
education,all→white,q_jerk_in_grasp,0.0,nan,100,100,nan,nan,nan
education,all→white,q_tile_drift,-0.006695944666862488,-0.5651370778396981,100,100,-3.9961226004040027,0.00010416241109748958,0.0005208120554874479
education,all→white,xpos_reversals,0.17000000000000004,0.28630088962203215,100,100,2.0244530051148018,0.0447475198552754,0.22261812449920382
education,black→white,d_approach_retreat,1.25,0.38675959041871655,100,100,2.7348032907400612,0.006819199982718824,0.03409599991359412
education,black→white,d_latency,0.085,0.0435022228062156,100,100,0.30760716742963135,0.7588836915824697,0.9901071503857224
education,black→white,d_peak_speed,0.000195127222687006,0.052185575913214106,100,100,0.36900774608359055,0.7125237148436088,0.898786250006328
education,black→white,d_time_to_half,1.375,0.1900246989466512,100,100,1.3436775321810923,0.1806301337300178,0.3187831270268774
education,black→white,pull_AUC,-2.2695498021025706,-0.11939343385924535,100,100,-0.8442390671101994,0.3995806753721044,0.8246801461451042
education,black→white,pull_MAD,2.4877524878829718,0.07673593483382499,100,100,0.5426049988168665,0.5880899261225456,0.9355232804125423
education,black→white,pull_early,-5.081690185703337,-0.25489998340045017,100,100,-1.802415067867967,0.07320730506363907,0.3660365253181953
education,black→white,pull_final,-3.6005035763720805,-0.07684890744329881,76,72,-0.4692628617811156,0.639628920168883,0.7813429731800572
education,black→white,pull_release,3.7558728363364935,0.10745694485107977,100,100,0.7598353438978737,0.4483421063989492,0.6398521351788204
