topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,all→white,choice_chosen_side,pos,4.06162464985994,-36.41456582633053,54.061624649859944,17,21,17.0,21.0,0.6396396396396395,0.9769810450468419
criminal,all→white,choice_chosen_side,neg,5.7644110275689275,-34.711779448621556,55.764411027568926,19,21,19.0,21.0,0.3976091476091476,0.9769810450468419
criminal,all→white,choice_chosen_side_soft,pos,-0.14492753623188137,-36.811594202898554,49.85507246376812,23,30,23.0,30.0,1.0,1.0
criminal,all→white,choice_chosen_side_soft,neg,2.0396270396270455,-32.80885780885781,52.03962703962704,26,33,26.0,33.0,0.7364543245470471,1.0
criminal,all→white,choice_first_touch_side,pos,8.854166666666663,-25.520833333333336,58.854166666666664,24,32,24.0,32.0,0.20007745530970314,1.0
criminal,all→white,choice_first_touch_side,neg,1.1904761904761862,-27.380952380952383,51.19047619047619,21,28,21.0,28.000000000000004,1.0,1.0
criminal,black→white,choice_chosen_side,pos,4.06162464985994,-36.41456582633053,54.061624649859944,17,21,17.0,21.0,0.6396396396396395,0.9769810450468419
criminal,black→white,choice_chosen_side,neg,5.7644110275689275,-34.711779448621556,55.764411027568926,19,21,19.0,21.0,0.3976091476091476,0.9769810450468419
criminal,black→white,choice_chosen_side_soft,pos,-0.14492753623188137,-36.811594202898554,49.85507246376812,23,30,23.0,30.0,1.0,1.0
criminal,black→white,choice_chosen_side_soft,neg,2.0396270396270455,-32.80885780885781,52.03962703962704,26,33,26.0,33.0,0.7364543245470471,1.0
criminal,black→white,choice_first_touch_side,pos,8.854166666666663,-25.520833333333336,58.854166666666664,24,32,24.0,32.0,0.20007745530970314,1.0
criminal,black→white,choice_first_touch_side,neg,1.1904761904761862,-27.380952380952383,51.19047619047619,21,28,21.0,28.000000000000004,1.0,1.0
education,all→white,choice_chosen_side,pos,3.749999999999998,-33.75,53.75,20,24,20.0,24.0,0.6838867315327893,0.9769810450468419
education,all→white,choice_chosen_side,neg,3.125,-46.875,53.125,16,15,16.0,15.0,1.0,1.0
education,all→white,choice_chosen_side_soft,pos,-1.621417797888386,-33.672699849170435,48.378582202111616,34,39,34.0,39.0,0.761339203203004,1.0
education,all→white,choice_chosen_side_soft,neg,0.6315789473684164,-45.36842105263158,50.63157894736842,19,25,19.0,25.0,1.0,1.0
education,all→white,choice_first_touch_side,pos,0.24630541871920597,-35.960591133004925,50.2463054187192,28,29,28.000000000000004,28.999999999999996,1.0,1.0
education,all→white,choice_first_touch_side,neg,-1.7162471395881007,-43.02059496567505,48.2837528604119,19,23,19.0,23.0,1.0,1.0
education,black→white,choice_chosen_side,pos,3.749999999999998,-33.75,53.75,20,24,20.0,24.0,0.6838867315327893,0.9769810450468419
education,black→white,choice_chosen_side,neg,3.125,-46.875,53.125,16,15,16.0,15.0,1.0,1.0
education,black→white,choice_chosen_side_soft,pos,-1.621417797888386,-33.672699849170435,48.378582202111616,34,39,34.0,39.0,0.761339203203004,1.0
education,black→white,choice_chosen_side_soft,neg,0.6315789473684164,-45.36842105263158,50.63157894736842,19,25,19.0,25.0,1.0,1.0
education,black→white,choice_first_touch_side,pos,0.24630541871920597,-35.960591133004925,50.2463054187192,28,29,28.000000000000004,28.999999999999996,1.0,1.0
education,black→white,choice_first_touch_side,neg,-1.7162471395881007,-43.02059496567505,48.2837528604119,19,23,19.0,23.0,1.0,1.0
janitor,all→white,choice_chosen_side,pos,-3.70967741935484,23.709677419354836,46.29032258064516,30,31,30.0,31.0,0.569955935026196,0.9769810450468419
janitor,all→white,choice_chosen_side,neg,8.622685185185187,-11.747685185185187,58.62268518518518,32,27,32.0,27.0,0.19416629807464034,0.9769810450468419
janitor,all→white,choice_chosen_side_soft,pos,-2.6739926739926756,24.46886446886447,47.32600732600732,39,35,39.0,35.0,0.7904157301036998,1.0
janitor,all→white,choice_chosen_side_soft,neg,3.6130536130536184,-10.023310023310023,53.613053613053616,39,33,39.0,33.0,0.6318659569599612,1.0
janitor,all→white,choice_first_touch_side,pos,-1.944444444444443,23.055555555555557,48.05555555555556,45,44,45.0,44.0,0.8119720159248915,1.0
