topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,all→white,d_approach_retreat,0.2365,0.05743688997063873,1000,1000,1.2843279039052409,0.19917628537453452,0.8905520944195963
criminal,all→white,d_latency,0.060000000000000005,0.01733716937424357,1000,1000,0.38767089258236115,0.6983008932354728,0.943826741242192
criminal,all→white,d_peak_speed,5.7531168684363395e-05,0.013443103633607862,1000,1000,0.30059693553321604,0.7637539947501162,0.8040212196715345
criminal,all→white,d_time_to_half,-0.04150000000000001,-0.00520992161683148,1000,1000,-0.11649738892680803,0.9072701176217177,0.9841859341647445
criminal,all→white,pull_AUC,-1.9322467535454075,-0.09322592648641434,1000,1000,-2.0845950888902056,0.03723292122618388,0.30186682635137546
criminal,all→white,pull_MAD,-2.118323231385002,-0.05402612723164325,1000,1000,-1.2080609305100685,0.22716705799309275,0.8113109214039026
criminal,all→white,pull_early,-1.7921552631742088,-0.09360971173910633,1000,1000,-2.093176788028018,0.03645923047072688,0.8665276804147679
criminal,all→white,pull_final,-7.861256187967778,-0.1376436259080862,782,763,-2.705236703703368,0.006900682908700427,0.10472558605963468
criminal,all→white,pull_release,-3.549621232159552,-0.07698965466720142,1000,1000,-1.7215410140009635,0.08530774312397112,0.4850527711249228
criminal,all→white,pull_tcp,-0.5970083533320576,-0.009192926204997067,1000,1000,-0.2055600790651261,0.8371555804206544,0.995183431520488
criminal,all→white,q_exploded,0.0014999999999999996,0.019396696198386226,1000,1000,0.4337233123850334,0.6645363673060948,0.9590013998596854
criminal,all→white,q_jerk_in_grasp,0.0,nan,1000,1000,nan,nan,nan
criminal,all→white,q_tile_drift,0.0005494410283863544,0.02250334124835422,1000,1000,0.5031900075219502,0.6148861581605292,0.7602125317337306
criminal,all→white,xpos_reversals,-0.0035000000000000586,-0.004085213148183482,1000,1000,-0.09134814301914186,0.927225137060568,0.965859517771425
criminal,asian→white,d_approach_retreat,0.29,0.06824959027211526,250,250,0.7630536164247904,0.44580895524459674,0.8905520944195963
criminal,asian→white,d_latency,-0.11200000000000002,-0.031059771287817513,250,250,-0.3472587998257808,0.7285452003820776,0.943826741242192
criminal,asian→white,d_peak_speed,0.00038547818362712856,0.08329322475427062,250,250,0.9312465630785866,0.35218526635734615,0.6442402629211237
criminal,asian→white,d_time_to_half,-0.764,-0.09024252439019134,250,250,-1.008942094988253,0.3135048482356172,0.9841859341647445
criminal,asian→white,pull_AUC,-2.5742401716834773,-0.12315930523052063,250,250,-1.3769628927854476,0.16914695901552143,0.5045657998605975
criminal,asian→white,pull_MAD,-4.566679187295958,-0.1160961139324741,250,250,-1.2979940133828627,0.19489165692907978,0.8113109214039026
criminal,asian→white,pull_early,-2.599936086923117,-0.1258669865653905,250,250,-1.4072356904163295,0.15998847923179513,0.8665276804147679
criminal,asian→white,pull_final,-11.133364146037426,-0.1839610783399269,186,196,-1.7937122091129676,0.07368507203155082,0.3070211334647951
criminal,asian→white,pull_release,-5.983970891451463,-0.12722444355333198,250,250,-1.422412520924176,0.15553881223480753,0.5106135914807259
criminal,asian→white,pull_tcp,-6.9239429836161435,-0.10205980386191293,250,250,-1.1410632960276645,0.2543924559066442,0.9920893739663388
criminal,asian→white,q_exploded,0.0019999999999999983,0.02202866032606763,250,250,0.2462879097116995,0.8055611758821356,0.9590013998596854
criminal,asian→white,q_jerk_in_grasp,0.0,nan,250,250,nan,nan,nan
criminal,asian→white,q_tile_drift,-0.001096588522195816,-0.04205189557782882,250,250,-0.47015448547374006,0.6385785266563337,0.7602125317337306
criminal,asian→white,xpos_reversals,0.21000000000000008,0.26301503071609816,250,250,2.9405974389269534,0.003428279446901367,0.012243855167504881
criminal,black→white,d_approach_retreat,0.172,0.04402989369987516,250,250,0.49226917677505294,0.6227489548324983,0.8905520944195963
criminal,black→white,d_latency,-0.18,-0.05538478911631448,250,250,-0.6192207669178483,0.5360552755921535,0.943826741242192
criminal,black→white,d_peak_speed,-0.00030956066399812695,-0.0870875354082255,250,250,-0.9736682458285607,0.33069469207399094,0.6442402629211237
criminal,black→white,d_time_to_half,-0.020000000000000018,-0.0025615475595773215,250,250,-0.028638972354067916,0.9771640024243515,0.9841859341647445
criminal,black→white,pull_AUC,-2.0127888173290094,-0.09918506680494141,250,250,-1.1089227586435342,0.2679987777176916,0.5583307869118576
criminal,black→white,pull_MAD,-2.647123816418462,-0.06568847422325891,250,250,-0.734419468507248,0.463040483802327,0.8900834276542332
criminal,black→white,pull_early,-1.2293482573237267,-0.07139258224857485,250,250,-0.7981933349852907,0.4251394931755712,0.8834782016880101
criminal,black→white,pull_final,-2.133764898243564,-0.03773888823468927,187,183,-0.36298777166464075,0.7168224231156824,0.7998747322260396
criminal,black→white,pull_release,-2.4535506732354406,-0.05370252412242114,250,250,-0.6004124725052795,0.5485047430801571,0.8119724678490416
criminal,black→white,pull_tcp,-0.2745778728276491,-0.004500110887145182,250,250,-0.05031276924971755,0.9598933649823842,0.995183431520488
criminal,black→white,q_exploded,0.0,0.0,250,250,0.0,1.0,1.0
criminal,black→white,q_jerk_in_grasp,0.0,nan,250,250,nan,nan,nan
criminal,black→white,q_tile_drift,-0.0006587840616703033,-0.0477381175443135,250,250,-0.5337283797348016,0.5938282708920885,0.7602125317337306
criminal,black→white,xpos_reversals,-0.15200000000000002,-0.1808949383977535,250,250,-2.022466895215069,0.043662176070964405,0.08908820563024666
criminal,latino→white,d_approach_retreat,0.37,0.08798307126582011,250,250,0.9836806410979111,0.3257519618869775,0.8905520944195963
criminal,latino→white,d_latency,0.458,0.13722587082217189,250,250,1.5342318771499066,0.12560978000754053,0.6280489000377026
criminal,latino→white,d_peak_speed,0.0002824366614222527,0.07329052862735955,250,250,0.8194130205883514,0.41294285762447325,0.6442402629211237
criminal,latino→white,d_time_to_half,0.39999999999999997,0.05152063372116625,250,250,0.5760181962219784,0.5648633221612558,0.9841859341647445
criminal,latino→white,pull_AUC,-2.3070984883356114,-0.1143138696092363,250,250,-1.2780679160864985,0.201826319944239,0.5045657998605975
criminal,latino→white,pull_MAD,-1.8359846654901055,-0.04789333491240785,250,250,-0.5354637626665395,0.5925702930646202,0.8900834276542332
criminal,latino→white,pull_early,-2.5661493474442985,-0.14196082255532477,250,250,-1.5871702468774582,0.11311633491009243,0.8665276804147679
criminal,latino→white,pull_final,-11.196950246928873,-0.1968603141110266,203,184,-1.9338748442851428,0.05386868842868181,0.26934344214340905
criminal,latino→white,pull_release,-2.7917658627557103,-0.05952694131792869,250,250,-0.6655314363976473,0.5060203840879653,0.8119724678490416
criminal,latino→white,pull_tcp,-0.30753327533602715,-0.004484473922108331,250,250,-0.05013794266579662,0.960032731730069,0.995183431520488
criminal,latino→white,q_exploded,0.004,0.0570517480957798,250,250,0.637857934886789,0.5238706016322904,0.8747993603007334
criminal,latino→white,q_jerk_in_grasp,0.0,nan,250,250,nan,nan,nan
criminal,latino→white,q_tile_drift,0.0039955188333988196,0.1094992823015242,250,250,1.2242391935682386,0.22157790560924923,0.4616206366859359
