topic,demo,metric,pol,mean,sd,n,t,p,q
criminal,all→white,d_approach_retreat,neg,0.06,4.053434387076018,1000,0.46808864160984,0.6398233050246741,1.0
criminal,all→white,d_approach_retreat,pos,0.2965,4.18070760351236,1000,2.2427192120592228,0.025133559675404704,0.5542163677610574
criminal,all→white,d_latency,neg,-0.0105,3.456745411342704,1000,-0.09605542636381366,0.9234958170617631,0.9678693423815181
criminal,all→white,d_latency,pos,0.0495,3.464795023454426,1000,0.45178067712147224,0.6515250579581049,0.9678693423815181
criminal,all→white,d_peak_speed,neg,-0.0005163580812513829,0.003910522092196176,1000,-4.175574479548913,3.2317857820476154e-05,0.0002693154818373013
criminal,all→white,d_peak_speed,pos,-0.00045882691256701947,0.004619290931873118,1000,-3.1410407287474356,0.0017329884770500355,0.009627713761389087
criminal,all→white,d_time_to_half,neg,0.183,8.232422716538782,1000,0.7029483685868345,0.4822517005862834,0.9075750062044583
criminal,all→white,d_time_to_half,pos,0.1415,7.689463934866046,1000,0.5819161032603511,0.5607544825586942,0.9092566780175647
criminal,all→white,pull_AUC,neg,2.580042794569785,21.062940596333185,1000,3.8735387655068356,0.00011424992646175083,0.0019041654410291806
criminal,all→white,pull_AUC,pos,0.6477960410243773,20.384498319625866,1000,1.0049356706044779,0.3151711711957547,0.4377377377718815
criminal,all→white,pull_MAD,neg,3.9171992430217504,40.042279560387215,1000,3.0935480678504055,0.00203274530698207,0.01693954422485058
criminal,all→white,pull_MAD,pos,1.7988760116367484,38.35810726705722,1000,1.4830099372231351,0.13838716199504947,0.3008416565109771
criminal,all→white,pull_early,neg,1.006760300809401,18.97614273308182,1000,1.6777148302345872,0.09371557732957546,0.669396980925539
criminal,all→white,pull_early,pos,-0.7853949623648079,19.312324414385294,1000,-1.2860372944258405,0.19872803399148065,0.8106199735206785
criminal,all→white,pull_final,neg,7.042504529997237,56.6001063162745,763,3.436941634025021,0.0006202282237151185,0.009805287092168444
criminal,all→white,pull_final,pos,-0.8187516579705412,57.62155582846286,782,-0.39734759485128074,0.6912197223734544,0.735340130184526
criminal,all→white,pull_release,neg,3.471662337451562,47.036344245820814,1000,2.334016477980523,0.019792361361297608,0.10995756311832004
criminal,all→white,pull_release,pos,-0.07795889470799011,45.154800388035646,1000,-0.05459611581226627,0.9564711493688068,0.9759909687436804
criminal,all→white,pull_tcp,neg,4.047263070242479,62.95816166991839,1000,2.0328690121153072,0.042329771552283846,0.23684868606445614
criminal,all→white,pull_tcp,pos,3.450254716910422,66.86728994332287,1000,1.6316891895012267,0.10306014342572925,0.2937885101116046
criminal,all→white,q_exploded,neg,0.0115,0.0749891550384012,1000,4.849526984710468,1.4345752305153466e-06,8.966095190720917e-06
criminal,all→white,q_exploded,pos,0.013,0.07960739499152913,1000,5.164044067333609,2.9160970068676894e-07,2.9160970068676894e-06
criminal,all→white,q_jerk_in_grasp,neg,0.0,0.0,1000,nan,nan,nan
criminal,all→white,q_jerk_in_grasp,pos,0.0,0.0,1000,nan,nan,nan
criminal,all→white,q_tile_drift,neg,0.006387313529849052,0.024509596175303204,1000,8.241041076101295,5.32271285027671e-16,8.871188083794517e-16
criminal,all→white,q_tile_drift,pos,0.0069367545582354065,0.02432199444292793,1000,9.018974173788317,9.497964490277003e-19,1.8995928980554007e-18
criminal,all→white,xpos_reversals,neg,0.9775,0.8737890233101222,1000,35.376118609325886,2.2471692948288763e-178,1.8726410790240636e-177
criminal,all→white,xpos_reversals,pos,0.974,0.8393619770566979,1000,36.695234299324795,2.338189556691061e-187,2.3381895566910612e-186
criminal,asian→white,d_approach_retreat,neg,-0.076,3.7718871311480786,250,-0.31858469489733215,0.7503085227898999,1.0
criminal,asian→white,d_approach_retreat,pos,0.214,4.677898560225417,250,0.7233241706329596,0.470159667657866,1.0
criminal,asian→white,d_latency,neg,-0.058,3.7893366555581505,250,-0.24201083324272535,0.8089709683309434,0.9678693423815181
criminal,asian→white,d_latency,pos,-0.17,3.412724241275282,250,-0.7876218003886193,0.4316670539359633,0.8891933376783754
criminal,asian→white,d_peak_speed,neg,-0.0005495076924562454,0.004308589789300067,250,-2.016548319661862,0.04481630805129378,0.08299316305795144
criminal,asian→white,d_peak_speed,pos,-0.00016402950882911683,0.0049266810606206435,250,-0.526426254304113,0.5990606726708565,0.6372985879477197
criminal,asian→white,d_time_to_half,neg,0.07,9.11682873948284,250,0.12140155449730616,0.903470897982831,0.9674833467749212
criminal,asian→white,d_time_to_half,pos,-0.694,7.760946667301018,250,-1.4138872422634923,0.1586440517938782,0.6546852047258565
criminal,asian→white,pull_AUC,neg,2.3025609576343555,21.78369944398377,250,1.671281110039827,0.09592242763614417,0.23980606909036042
criminal,asian→white,pull_AUC,pos,-0.27167921404912193,19.980827346422004,250,-0.21498737124954098,0.8299531406594789,0.8645345215202905
criminal,asian→white,pull_MAD,neg,5.396990191731602,40.28284851390834,250,2.1183682566003372,0.03513467419795714,0.11711558065985714
criminal,asian→white,pull_MAD,pos,0.8303110044356438,38.36442108537901,250,0.34220168922599353,0.7324877743805167,0.7976715349912176
criminal,asian→white,pull_early,neg,1.237457572069252,21.734697066393288,250,0.9002160056814084,0.3688751141778508,0.9137917120965892
criminal,asian→white,pull_early,pos,-1.3624785148538652,19.518241247702797,250,-1.103720185467239,0.2707800299746268,0.8689997654117533
criminal,asian→white,pull_final,neg,6.388374238408038,55.94156542410992,196,1.5987618269110238,0.1114925727328874,0.3097015909246872
