topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,all→white,choice_chosen_side,pos,-1.8888923723234141,0.9906887795090441,48.11110762767659,167,191,16.7,19.1,0.5251273957912913,0.898833393488079
criminal,all→white,choice_chosen_side,neg,3.5557802494101787,0.06740815638692776,53.55578024941018,207,172,20.7,17.2,0.18068829992760987,0.5314361762576761
criminal,all→white,choice_chosen_side_soft,pos,-2.2638297872340396,-0.13617021276595975,47.73617021276596,250,282,25.0,28.199999999999996,0.33930677901142303,0.7518609829877273
criminal,all→white,choice_chosen_side_soft,neg,1.3779239766081863,0.26681286549707917,51.37792397660819,304,270,30.4,27.0,0.5583430237538072,0.8552370958795773
criminal,all→white,choice_first_touch_side,pos,-2.472182174411297,-0.10997745000184689,47.527817825588706,213,254,21.3,25.4,0.30740122822208527,0.74793047403604
criminal,all→white,choice_first_touch_side,neg,1.2643270707786813,-0.34857615502776884,51.264327070778684,273,248,27.3,24.8,0.5989500230741225,0.8423160186904496
criminal,asian→white,choice_chosen_side,pos,-0.5984042553191515,6.848404255319148,49.40159574468085,32,47,12.8,18.8,1.0,1.0
criminal,asian→white,choice_chosen_side,neg,-0.05656108597285048,5.825791855203621,49.94343891402715,52,34,20.8,13.600000000000001,1.0,1.0
criminal,asian→white,choice_chosen_side_soft,pos,-2.3776223776223793,1.468531468531467,47.62237762237762,55,65,22.0,26.0,0.7142022446123176,0.904614160982073
criminal,asian→white,choice_chosen_side_soft,neg,-2.0529959417522115,5.574122702315587,47.947004058247785,71,59,28.4,23.599999999999998,0.7237659246957462,0.904614160982073
criminal,asian→white,choice_first_touch_side,pos,-0.39015606242497336,5.492196878751498,49.60984393757503,49,68,19.6,27.200000000000003,1.0,1.0
criminal,asian→white,choice_first_touch_side,neg,4.3636363636363695,1.6363636363636413,54.36363636363637,75,55,30.0,22.0,0.37588785922526435,0.7517757184505287
criminal,black→white,choice_chosen_side,pos,0.1626016260162677,3.4959349593495945,50.16260162601627,41,45,16.400000000000002,18.0,1.0,1.0
criminal,black→white,choice_chosen_side,neg,5.537280701754388,-7.6206140350877165,55.53728070175439,48,38,19.2,15.2,0.38170560777996726,0.8705395153447426
criminal,black→white,choice_chosen_side_soft,pos,0.49350024073182563,2.7323062108810774,50.49350024073183,62,67,24.8,26.8,1.0,1.0
criminal,black→white,choice_chosen_side_soft,neg,2.249621457927753,-2.9742591390871738,52.24962145792775,69,67,27.6,26.8,0.6110871685789261,0.8552370958795773
criminal,black→white,choice_first_touch_side,pos,-0.39037085230969604,1.3337670787247875,49.609629147690306,53,58,21.2,23.200000000000003,1.0,1.0
criminal,black→white,choice_first_touch_side,neg,-0.1556310130164107,-6.295981890209393,49.84436898698359,62,57,24.8,22.8,1.0,1.0
criminal,latino→white,choice_chosen_side,pos,-3.4313725490196068,-3.4313725490196068,46.568627450980394,51,44,20.4,17.599999999999998,0.5410790485224327,0.898833393488079
criminal,latino→white,choice_chosen_side,neg,3.0701754385964897,3.0701754385964897,53.07017543859649,57,46,22.8,18.4,0.557276703962609,0.898833393488079
criminal,latino→white,choice_chosen_side_soft,pos,-2.898550724637683,-5.072463768115942,47.10144927536232,69,69,27.6,27.6,0.6078481676105696,0.8552370958795773
