topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,all→white,choice_chosen_side,pos,-23.214285714285715,-1.785714285714285,26.785714285714285,8,7,0.8,0.7000000000000001,0.13193473193473193,1.0
criminal,all→white,choice_chosen_side,neg,5.108359133126927,-8.049535603715169,55.108359133126925,17,19,1.7000000000000002,1.9,0.7360013541616288,1.0
criminal,all→white,choice_chosen_side_soft,pos,-15.338164251207731,4.227053140096618,34.66183574879227,18,23,1.7999999999999998,2.3,0.0639880760035946,1.0
criminal,all→white,choice_chosen_side_soft,neg,3.0487804878048808,-3.0487804878048808,53.04878048780488,38,41,3.8,4.1000000000000005,0.6549827850004929,1.0
criminal,all→white,choice_first_touch_side,pos,-9.999999999999998,-6.666666666666668,40.0,15,15,1.5,1.5,0.46213735237644327,0.9603989381684129
criminal,all→white,choice_first_touch_side,neg,-1.0683760683760646,-6.623931623931625,48.93162393162393,26,27,2.6,2.7,1.0,1.0
criminal,asian→white,choice_chosen_side_soft,neg,15.000000000000002,-15.000000000000002,65.0,14,10,5.6000000000000005,4.0,0.20992058150491316,1.0
criminal,asian→white,choice_first_touch_side,neg,6.428571428571428,-13.571428571428571,56.42857142857143,7,10,2.8000000000000003,4.0,0.6436651583710407,0.9603989381684129
criminal,black→white,choice_chosen_side,neg,4.761904761904756,11.904761904761903,54.76190476190476,3,7,1.2,2.8000000000000003,1.0,1.0
criminal,black→white,choice_chosen_side_soft,pos,-16.07142857142857,8.928571428571427,33.92857142857143,7,8,2.8000000000000003,3.2,0.3146853146853147,1.0
criminal,black→white,choice_chosen_side_soft,neg,-9.999999999999998,0.0,40.0,5,10,2.0,4.0,0.6083916083916083,1.0
criminal,black→white,choice_first_touch_side,neg,-14.583333333333337,-2.0833333333333344,35.416666666666664,6,8,2.4,3.2,0.592074592074592,0.9603989381684129
criminal,latino→white,choice_chosen_side_soft,neg,17.613636363636363,-5.113636363636365,67.61363636363636,8,11,3.2,4.3999999999999995,0.18091609113280943,1.0
criminal,middle_eastern→white,choice_chosen_side_soft,pos,-19.047619047619047,2.380952380952381,30.952380952380953,6,7,2.4,2.8000000000000003,0.2861305361305361,1.0
criminal,middle_eastern→white,choice_chosen_side_soft,neg,-12.272727272727273,7.727272727272727,37.72727272727273,11,10,4.3999999999999995,4.0,0.38699690402476783,1.0
