topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,all→white,d_approach_retreat,0.34,0.08887000474754278,100,100,0.6284058300106816,0.5305673434672338,0.5305673434672338
criminal,all→white,d_latency,0.40499999999999997,0.27154729060420163,100,100,1.9201293059906508,0.05666762975915957,0.271359073654194
criminal,all→white,d_peak_speed,-0.0006529597193002701,-0.234681276019581,100,100,-1.659447216909576,0.09879439011333727,0.23277291623753574
criminal,all→white,d_time_to_half,-1.625,-0.2893010079502812,100,100,-2.0456670452574715,0.042353240738600424,0.10588310184650106
criminal,all→white,pull_AUC,1.7400596007548736,0.2785048385659656,100,100,1.9693265994325893,0.05033276565777841,0.12583191414444603
criminal,all→white,pull_MAD,3.103364678216167,0.2948262234190338,100,100,2.0847362185121887,0.03843086529735698,0.09607716324339245
criminal,all→white,pull_early,0.4223155220970512,0.2002909318073408,100,100,1.4162707609114302,0.1586077304100262,0.3644399003758948
criminal,all→white,pull_final,6.325187109487171,0.31460511480818176,95,93,2.1590669791556265,0.032169635740561316,0.08042408935140329
criminal,all→white,pull_release,2.4986448185518384,0.24619283086274402,100,100,1.7408462018255901,0.08330909184415682,0.20827272961039203
criminal,all→white,pull_tcp,3.4608033363474533,0.22247261699465462,100,100,1.5731189610523786,0.11729012557792931,0.29322531394482326
criminal,all→white,q_exploded,0.005,0.08192596906219458,100,100,0.5793040827915708,0.5631136383346664,0.5631136383346664
criminal,all→white,q_jerk_in_grasp,0.0,nan,100,100,nan,nan,nan
criminal,all→white,q_tile_drift,2.3236870765686035e-06,0.07571602562180617,100,100,0.5353931516167351,0.5929824587413919,0.5929824587413919
criminal,all→white,xpos_reversals,-0.14500000000000002,-0.20411730131219494,100,100,-1.4433272791535081,0.150564795775896,0.37641198943973997
criminal,black→white,d_approach_retreat,0.34,0.08887000474754278,100,100,0.6284058300106816,0.5305673434672338,0.5305673434672338
criminal,black→white,d_latency,0.40499999999999997,0.27154729060420163,100,100,1.9201293059906508,0.05666762975915957,0.271359073654194
criminal,black→white,d_peak_speed,-0.0006529597193002701,-0.234681276019581,100,100,-1.659447216909576,0.09879439011333727,0.23277291623753574
criminal,black→white,d_time_to_half,-1.625,-0.2893010079502812,100,100,-2.0456670452574715,0.042353240738600424,0.10588310184650106
criminal,black→white,pull_AUC,1.7400596007548736,0.2785048385659656,100,100,1.9693265994325893,0.05033276565777841,0.12583191414444603
criminal,black→white,pull_MAD,3.103364678216167,0.2948262234190338,100,100,2.0847362185121887,0.03843086529735698,0.09607716324339245
criminal,black→white,pull_early,0.4223155220970512,0.2002909318073408,100,100,1.4162707609114302,0.1586077304100262,0.3644399003758948
criminal,black→white,pull_final,6.325187109487171,0.31460511480818176,95,93,2.1590669791556265,0.032169635740561316,0.08042408935140329
criminal,black→white,pull_release,2.4986448185518384,0.24619283086274402,100,100,1.7408462018255901,0.08330909184415682,0.20827272961039203
criminal,black→white,pull_tcp,3.4608033363474533,0.22247261699465462,100,100,1.5731189610523786,0.11729012557792931,0.29322531394482326
criminal,black→white,q_exploded,0.005,0.08192596906219458,100,100,0.5793040827915708,0.5631136383346664,0.5631136383346664
criminal,black→white,q_jerk_in_grasp,0.0,nan,100,100,nan,nan,nan
criminal,black→white,q_tile_drift,2.3236870765686035e-06,0.07571602562180617,100,100,0.5353931516167351,0.5929824587413919,0.5929824587413919
criminal,black→white,xpos_reversals,-0.14500000000000002,-0.20411730131219494,100,100,-1.4433272791535081,0.150564795775896,0.37641198943973997
education,all→white,d_approach_retreat,0.74,0.21527403556201774,100,100,1.5222173035929674,0.13055850450270137,0.5146152969907237
education,all→white,d_latency,0.095,0.10663566023516668,100,100,0.7540279846859104,0.451728376689738,0.5646604708621725
education,all→white,d_peak_speed,0.000927528664469719,0.26297333445385584,100,100,1.859502280635594,0.06485183037604196,0.23277291623753574
education,all→white,d_time_to_half,-0.615,-0.16102925849567032,100,100,-1.1386488065172997,0.2562803247001204,0.4271338745002007
education,all→white,pull_AUC,-0.35386572340858424,-0.06431266045955372,100,100,-0.45475918327098386,0.6497922489322805,0.8122403111653507
education,all→white,pull_MAD,-1.0883815210312597,-0.10254813951181263,100,100,-0.7251248484686684,0.4692729531394194,0.782121588565699
education,all→white,pull_early,0.046266388148069305,0.08602067722602753,100,100,0.6082580418878328,0.5440444526998647,0.5440444526998647
education,all→white,pull_final,4.559386565556957,0.18377267519391252,90,90,1.2327845824217332,0.2192932616141955,0.2741165770177444
education,all→white,pull_release,-0.6820057728327811,-0.07530715696849057,100,100,-0.5325020136429944,0.5949765578460451,0.6665810997512145
education,all→white,pull_tcp,0.38765465113101527,0.02985813790744771,100,100,0.2111289178795939,0.8330189113989448,0.9831496474642136
education,all→white,q_exploded,-0.005,-0.1414213562373095,100,100,-1.0,0.3197484741393017,0.5329141235655028
education,all→white,q_jerk_in_grasp,0.0,nan,100,100,nan,nan,nan
education,all→white,q_tile_drift,-6.290376186370849e-06,-0.08282999781237924,100,100,-0.5856965313880026,0.5588460334922942,0.5929824587413919
