topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
education,all→white,choice_chosen_side_soft,pos,12.5,37.5,62.5,6,8,6.0,8.0,0.4725274725274725,1.0
education,black→white,choice_chosen_side_soft,pos,12.5,37.5,62.5,6,8,6.0,8.0,0.4725274725274725,1.0
janitor,all→white,choice_chosen_side_soft,pos,-9.999999999999998,-40.0,40.0,5,5,5.0,5.0,1.0,1.0
janitor,black→white,choice_chosen_side_soft,pos,-9.999999999999998,-40.0,40.0,5,5,5.0,5.0,1.0,1.0
pilot,all→white,choice_chosen_side_soft,neg,0.0,-50.0,50.0,7,5,7.000000000000001,5.0,1.0,1.0
pilot,black→white,choice_chosen_side_soft,neg,0.0,-50.0,50.0,7,5,7.000000000000001,5.0,1.0,1.0
wealthy,all→white,choice_chosen_side_soft,pos,0.0,-50.0,50.0,10,13,10.0,13.0,1.0,1.0
wealthy,all→white,choice_chosen_side_soft,neg,11.818181818181817,1.8181818181818188,61.81818181818181,11,15,11.0,15.0,0.42830798223179434,1.0
wealthy,all→white,choice_first_touch_side,pos,0.0,-50.0,50.0,3,9,3.0,9.0,1.0,1.0
wealthy,black→white,choice_chosen_side_soft,pos,0.0,-50.0,50.0,10,13,10.0,13.0,1.0,1.0
wealthy,black→white,choice_chosen_side_soft,neg,11.818181818181817,1.8181818181818188,61.81818181818181,11,15,11.0,15.0,0.42830798223179434,1.0
wealthy,black→white,choice_first_touch_side,pos,0.0,-50.0,50.0,3,9,3.0,9.0,1.0,1.0
