topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,all→white,choice_chosen_side,pos,19.047619047619047,2.3809523809523836,69.04761904761905,7,9,0.7000000000000001,0.8999999999999999,0.3146853146853147,0.47202797202797203
criminal,all→white,choice_chosen_side,neg,26.140350877192976,-2.8070175438596525,76.14035087719297,15,19,1.5,1.9,0.00472908706936854,0.018443439570537307
criminal,all→white,choice_chosen_side_soft,pos,15.937500000000004,-5.937500000000001,65.9375,25,32,2.5,3.2,0.02956630051063389,0.05475240835302572
criminal,all→white,choice_chosen_side_soft,neg,22.711670480549195,-0.97254004576659,72.7116704805492,46,57,4.6,5.7,4.7135559384198676e-06,2.6186421880110378e-05
criminal,all→white,choice_first_touch_side,pos,23.214285714285722,1.785714285714285,73.21428571428572,16,14,1.6,1.4000000000000001,0.026133042869690024,0.08322927072927072
criminal,all→white,choice_first_touch_side,neg,17.816091954022983,-1.149425287356326,67.81609195402298,18,29,1.7999999999999998,2.9000000000000004,0.03331468831756721,0.08426656456796412
criminal,asian→white,choice_chosen_side_soft,pos,-17.777777777777782,-12.22222222222222,32.22222222222222,5,9,2.0,3.5999999999999996,0.3006993006993006,0.3579753579753579
criminal,asian→white,choice_chosen_side_soft,neg,25.396825396825395,3.1746031746031744,75.39682539682539,14,18,5.6000000000000005,7.199999999999999,0.011342206655585621,0.025777742399058227
criminal,asian→white,choice_first_touch_side,neg,9.999999999999998,0.0,60.0,5,5,2.0,2.0,1.0,1.0
criminal,black→white,choice_chosen_side_soft,pos,20.714285714285708,-0.7142857142857173,70.71428571428571,10,7,4.0,2.8000000000000003,0.15343480049362404,0.20734432499138383
criminal,black→white,choice_chosen_side_soft,neg,13.765182186234814,-9.91902834008097,63.76518218623482,13,19,5.2,7.6,0.15024273577496963,0.20734432499138383
criminal,black→white,choice_first_touch_side,neg,33.33333333333333,16.666666666666668,83.33333333333333,5,9,2.0,3.5999999999999996,0.030969030969030965,0.08322927072927072
criminal,latino→white,choice_chosen_side_soft,pos,45.45454545454546,4.545454545454547,95.45454545454545,3,11,1.2,4.3999999999999995,0.01098901098901099,0.025777742399058227
criminal,latino→white,choice_chosen_side_soft,neg,28.409090909090917,3.409090909090912,78.40909090909092,11,8,4.3999999999999995,3.2,0.02373581011351909,0.04944960440316477
criminal,latino→white,choice_first_touch_side,neg,9.999999999999998,0.0,60.0,5,5,2.0,2.0,1.0,1.0
criminal,middle_eastern→white,choice_chosen_side,neg,10.416666666666663,-27.083333333333336,60.416666666666664,3,8,1.2,3.2,0.49090909090909096,0.6578251427281749
criminal,middle_eastern→white,choice_chosen_side_soft,pos,18.571428571428573,-11.428571428571432,68.57142857142857,7,5,2.8000000000000003,2.0,0.29292929292929293,0.3572308450357231
criminal,middle_eastern→white,choice_chosen_side_soft,neg,25.0,0.0,75.0,8,12,3.2,4.8,0.06477732793522267,0.09814746656851919
criminal,middle_eastern→white,choice_first_touch_side,neg,6.666666666666665,-23.333333333333336,56.666666666666664,3,10,1.2,4.0,1.0,1.0
education,all→white,choice_chosen_side,pos,18.785677218474305,-7.810067462376752,68.7856772184743,41,47,4.1000000000000005,4.7,0.000478881835330972,0.0023345489472384883
education,all→white,choice_chosen_side,neg,29.9164151381472,3.6452286974692383,79.9164151381472,73,59,7.3,5.8999999999999995,3.4236910225390094e-12,1.3352394987902136e-10
education,all→white,choice_chosen_side_soft,pos,18.16581440187778,-5.251907117109567,68.16581440187778,151,158,15.1,15.8,1.0819792042188922e-10,1.7027685724005068e-09
education,all→white,choice_chosen_side_soft,neg,24.221758664955072,3.8270218228498076,74.22175866495508,164,152,16.400000000000002,15.2,1.971434675927302e-18,9.85717337963651e-17
education,all→white,choice_first_touch_side,pos,19.30358350236646,-6.558485463150776,69.30358350236646,51,58,5.1,5.800000000000001,8.288142121278482e-05,0.0005091287303071067
education,all→white,choice_first_touch_side,neg,29.714189074919673,3.0018603077963837,79.71418907491967,81,73,8.1,7.3,5.5589199521012814e-14,2.390335579403551e-12
education,asian→white,choice_chosen_side,pos,13.888888888888884,-13.88888888888889,63.888888888888886,8,9,3.2,3.5999999999999996,0.334841628959276,0.48366013071895425
education,asian→white,choice_chosen_side,neg,23.29411764705882,2.705882352941175,73.29411764705883,25,17,10.0,6.800000000000001,0.004320013110267866,0.018443439570537307
education,asian→white,choice_chosen_side_soft,pos,19.40993788819876,-2.018633540372672,69.40993788819875,46,28,18.4,11.200000000000001,0.001710810441323679,0.005346282629136497
education,asian→white,choice_chosen_side_soft,neg,19.333333333333336,2.666666666666667,69.33333333333334,50,45,20.0,18.0,0.00020380080351977615,0.0007278600125706291
education,asian→white,choice_first_touch_side,pos,17.500000000000004,-7.500000000000001,67.5,10,12,4.0,4.8,0.19195046439628483,0.33015479876160986
education,asian→white,choice_first_touch_side,neg,25.303643724696357,1.619433198380571,75.30364372469636,26,19,10.4,7.6,0.0010179886496736947,0.004863723548440986
education,black→white,choice_chosen_side,pos,25.624999999999996,-5.625000000000002,75.625,10,16,4.0,6.4,0.015205766100906772,0.03953499186235761
education,black→white,choice_chosen_side,neg,34.11764705882353,4.117647058823525,84.11764705882354,17,15,6.800000000000001,6.0,0.00021224532046370704,0.0013795945830140958
education,black→white,choice_chosen_side_soft,pos,23.464052287581705,-8.75816993464052,73.46405228758171,34,45,13.600000000000001,18.0,4.622630237635128e-05,0.00021011955625614218
education,black→white,choice_chosen_side_soft,neg,29.188311688311686,4.902597402597403,79.18831168831169,44,35,17.599999999999998,14.000000000000002,1.9566037046924753e-07,1.3975740747803396e-06
education,black→white,choice_first_touch_side,pos,18.88888888888889,-8.888888888888891,68.88888888888889,15,18,6.0,7.199999999999999,0.03770534087794813,0.0900738698750983
education,black→white,choice_first_touch_side,neg,33.09523809523809,6.904761904761908,83.09523809523809,20,21,8.0,8.4,2.488176882490347e-05,0.00021398321189416985
education,latino→white,choice_chosen_side,pos,13.541666666666675,-19.791666666666668,63.54166666666667,16,12,6.4,4.8,0.22318840579710142,0.36268115942028983
education,latino→white,choice_chosen_side,neg,28.235294117647058,-1.764705882352946,78.23529411764706,17,10,6.800000000000001,4.0,0.0069158403254513095,0.020979020979020976
education,latino→white,choice_chosen_side_soft,pos,8.03571428571429,-9.464285714285717,58.03571428571429,35,40,14.000000000000002,16.0,0.16730614899094925,0.2201396697249332
education,latino→white,choice_chosen_side_soft,neg,17.238562091503272,3.349673202614384,67.23856209150327,34,36,13.600000000000001,14.399999999999999,0.00466832414708572,0.012872764605756865
education,latino→white,choice_first_touch_side,pos,19.649122807017537,-17.017543859649127,69.64912280701753,19,15,7.6,6.0,0.02967709693540326,0.08322927072927072
education,latino→white,choice_first_touch_side,neg,20.574162679425847,-2.15311004784689,70.57416267942584,19,11,7.6,4.3999999999999995,0.05667166416791603,0.11604197901049472
education,middle_eastern→white,choice_chosen_side,pos,30.000000000000004,20.0,80.0,7,10,2.8000000000000003,4.0,0.034502262443438916,0.0672794117647059
education,middle_eastern→white,choice_chosen_side,neg,38.23529411764706,11.764705882352944,88.23529411764706,14,17,5.6000000000000005,6.800000000000001,1.9107593911024115e-05,0.0001490392325059881
education,middle_eastern→white,choice_chosen_side_soft,pos,20.27777777777777,-0.8333333333333359,70.27777777777777,36,45,14.399999999999999,18.0,0.00035002046086257205,0.0011667348695419068
