topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,asian→black,d_approach_retreat,0.736,0.17458233180060767,250,250,1.9518898078829099,0.05151450117855895,0.7476516146566393
criminal,asian→black,d_latency,0.162,0.08321299487573905,250,250,0.9303495657674709,0.352654595301896,0.8138182968505293
criminal,asian→black,d_peak_speed,-4.250183701515203e-07,-0.00013457695639877264,250,250,-0.0015046161135634046,0.9988001816191728,0.9988001816191728
criminal,asian→black,d_time_to_half,0.057999999999999996,0.010148411040901782,250,250,0.1134626847553289,0.9097135394991045,0.9873643353026874
criminal,asian→black,pull_AUC,-1.6763434751192192,-0.1311089205229311,250,250,-1.4658422937294562,0.14333120826672294,0.5429169559631442
criminal,asian→black,pull_MAD,-0.40959558818489317,-0.015950015449790515,250,250,-0.17832659393951736,0.858543565306633,0.9198681056856782
criminal,asian→black,pull_early,3.6890900939702993,0.19600781320558444,250,250,2.1914339722438387,0.028897893582587805,0.5616560171590496
criminal,asian→black,pull_final,-1.6843087520904463,-0.04578568151133939,212,216,-0.47368586025702386,0.6359667444644269,0.8295218406057742
criminal,asian→black,pull_release,-0.709003527648747,-0.0276018105254094,250,250,-0.30859762318442296,0.7577569624694759,0.8419521805216399
criminal,asian→black,pull_tcp,0.4639521208591759,0.018437461188994163,250,250,0.20613708275552522,0.8367688845272572,0.8756186797321507
criminal,asian→black,q_exploded,-0.002,-0.0233135107120091,250,250,-0.2606529737311094,0.7944722336860114,0.9294936644793871
criminal,asian→black,q_jerk_in_grasp,0.0,nan,250,250,nan,nan,nan
criminal,asian→black,q_tile_drift,0.00013424986600875854,0.07889770135169603,250,250,0.8821031174543468,0.3781911041728474,0.5157151420538828
criminal,asian→black,xpos_reversals,0.0040000000000000036,0.00533986621550971,250,250,0.05970151924317126,0.9524179209952022,0.9524179209952022
criminal,asian→latino,d_approach_retreat,-0.23199999999999998,-0.0537677421632961,250,250,-0.6011416323690584,0.5480217523191246,0.7476516146566393
criminal,asian→latino,d_latency,-0.18,-0.09943745171296366,250,250,-1.1117445076976984,0.2668070862455088,0.8138182968505293
criminal,asian→latino,d_peak_speed,-0.00013465774804353713,-0.04539097963321713,250,250,-0.5074865801259099,0.6120482998312394,0.9673775222543185
criminal,asian→latino,d_time_to_half,-0.118,-0.020079705560051824,250,250,-0.22449793300228182,0.8224719157886555,0.9873643353026874
criminal,asian→latino,pull_AUC,-0.13430586907446734,-0.010438529095463606,250,250,-0.11670630321283008,0.9071408774571217,0.9384215973694362
criminal,asian→latino,pull_MAD,-2.239054728811607,-0.08300871673279267,250,250,-0.9280656666977433,0.35384164608370794,0.7200072676565227
