topic,demo,metric,pol,mean,sd,n,t,p,q
criminal,asian→black,d_approach_retreat,neg,-0.498,4.05521578962225,250,-1.9417145183666658,0.053299640089958855,0.7189106465210454
criminal,asian→black,d_approach_retreat,pos,0.238,4.370441515012479,250,0.8610366716209508,0.39004620263491885,0.9049459559095306
criminal,asian→black,d_latency,neg,-0.136,2.1098126070691188,250,-1.0192131764259817,0.30909102212699635,0.8063244055486861
criminal,asian→black,d_latency,pos,0.026,1.7688525538975028,250,0.23240834569058744,0.8164117744303279,0.960484440506268
criminal,asian→black,d_peak_speed,neg,-1.8492251634597777e-05,0.0024795904042574923,250,-0.11791793138474366,0.9062277494006564,0.993487282313625
criminal,asian→black,d_peak_speed,pos,-1.8917270004749297e-05,0.003714814171370131,250,-0.08051770232335487,0.9358901946470981,0.993487282313625
criminal,asian→black,d_time_to_half,neg,0.126,6.512200782849417,250,0.3059234492819761,0.7599185483520574,0.9790611574291571
criminal,asian→black,d_time_to_half,pos,0.184,4.787255504048659,250,0.607716769011905,0.5439291855775588,0.9598750333721625
criminal,asian→black,pull_AUC,neg,0.7621967695421855,12.004631785971391,250,1.0038949381989417,0.31640382155916263,0.7301626651365292
criminal,asian→black,pull_AUC,pos,-0.9141467055770336,13.5220739950641,250,-1.0689135802015224,0.28614374987226326,0.7301626651365292
criminal,asian→black,pull_MAD,neg,0.49004301670938744,22.230635878955216,250,0.34853975673467,0.7277293746561637,0.8910971934565269
criminal,asian→black,pull_MAD,pos,0.08044742852449428,28.717911155981064,250,0.044292411216687255,0.9647068196824606,0.9810577827279261
criminal,asian→black,pull_early,neg,-2.8170231953263287,20.446824298109757,250,-2.1783846207305966,0.030315819673197922,0.767622793763307
criminal,asian→black,pull_early,pos,0.8720668986439708,17.041063478866622,250,0.8091389587199527,0.4192076991117346,0.9291474990108946
criminal,asian→black,pull_final,neg,3.524312493499127,37.57413158752575,216,1.378517656448733,0.16947620720293535,0.5845083836271523
criminal,asian→black,pull_final,pos,1.8400037414086807,35.98224678401048,212,0.744557698942527,0.45736758659402654,0.858164082995908
criminal,asian→black,pull_release,neg,1.715986787341535,26.283565658180205,250,1.0322851079882656,0.3029401630423686,0.7753929255321408
criminal,asian→black,pull_release,pos,1.0069832596927881,25.075935810840253,250,0.6349435351707687,0.5260482411876461,0.8825789137088488
criminal,asian→black,pull_tcp,neg,1.9796111211180687,26.366713935737877,250,1.1871179774980478,0.23631237362286556,0.6538203991348545
criminal,asian→black,pull_tcp,pos,2.4435632419772446,23.899909654898146,250,1.6165804730834226,0.10723505649310043,0.5126625466200261
criminal,asian→black,q_exploded,neg,0.014,0.09401785697259259,250,2.3544403514357457,0.0193278448016503,0.02828465092924434
criminal,asian→black,q_exploded,pos,0.012,0.0766780155734951,250,2.4744597025759245,0.014010888417100414,0.02101633262565062
criminal,asian→black,q_jerk_in_grasp,neg,0.0,0.0,250,nan,nan,nan
criminal,asian→black,q_jerk_in_grasp,pos,0.0,0.0,250,nan,nan,nan
criminal,asian→black,q_tile_drift,neg,0.000508394718170166,0.0013996116735741383,250,5.7433261317106155,2.6957290648310426e-08,5.1464180509279414e-08
criminal,asian→black,q_tile_drift,pos,0.0006426445841789246,0.0019574881452860795,250,5.190888682700577,4.3469381373474814e-07,5.927642914564748e-07
criminal,asian→black,xpos_reversals,neg,0.952,0.6867185226257327,250,21.919376231249828,4.7466663384623674e-60,1.9936498219333143e-59
criminal,asian→black,xpos_reversals,pos,0.956,0.8066391179868893,250,18.739095189592003,1.78528901877378e-49,2.4344850256006093e-49
criminal,asian→latino,d_approach_retreat,neg,-0.246,4.099966206149298,250,-0.9486911175446574,0.3436975599821481,0.9049459559095306
