topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,asian→black,choice_chosen_side,pos,2.2727272727272707,-2.2727272727272707,52.27272727272727,36,33,14.399999999999999,13.200000000000001,0.8106420988651535,1.0
criminal,asian→black,choice_chosen_side,neg,2.1739130434782594,13.043478260869565,52.17391304347826,23,23,9.2,9.2,1.0,1.0
criminal,asian→black,choice_chosen_side_soft,pos,-1.7241379310344862,1.7241379310344835,48.275862068965516,64,58,25.6,23.200000000000003,0.7205396518883982,1.0
criminal,asian→black,choice_chosen_side_soft,neg,2.9326364692218387,6.591173054587688,52.93263646922184,42,41,16.8,16.400000000000002,0.6605536541531944,1.0
criminal,asian→black,choice_first_touch_side,pos,0.7056451612903247,5.544354838709678,50.70564516129033,64,62,25.6,24.8,1.0,1.0
criminal,asian→black,choice_first_touch_side,neg,3.007518796992481,10.150375939849624,53.00751879699248,38,42,15.2,16.8,0.6511622567001121,0.9770821718086324
criminal,asian→latino,choice_chosen_side,pos,-1.6967126193001059,0.47720042417815356,48.30328738069989,41,46,16.400000000000002,18.4,0.8311633802250995,1.0
criminal,asian→latino,choice_chosen_side,neg,5.032467532467533,-8.603896103896103,55.032467532467535,28,22,11.200000000000001,8.799999999999999,0.5689932758579203,1.0
criminal,asian→latino,choice_chosen_side_soft,pos,3.335478335478337,0.632775632775634,53.335478335478335,63,74,25.2,29.599999999999998,0.4943888416720472,1.0
criminal,asian→latino,choice_chosen_side_soft,neg,-1.1911514463981865,-0.028360748723765816,48.80884855360181,41,43,16.400000000000002,17.2,1.0,1.0
criminal,asian→latino,choice_first_touch_side,pos,1.6883116883116833,-0.2597402597402598,51.688311688311686,70,77,28.000000000000004,30.8,0.7422366808548873,0.9770821718086324
criminal,asian→latino,choice_first_touch_side,neg,2.786377708978327,-0.1547987616099089,52.78637770897833,38,34,15.2,13.600000000000001,0.8136054463007538,0.9770821718086324
criminal,asian→middle_eastern,choice_chosen_side,pos,-2.0962732919254656,-8.618012422360247,47.90372670807454,28,46,11.200000000000001,18.4,0.8102007360006795,1.0
criminal,asian→middle_eastern,choice_chosen_side,neg,-6.845238095238093,-13.988095238095235,43.154761904761905,24,21,9.6,8.4,0.3688424413288555,1.0
criminal,asian→middle_eastern,choice_chosen_side_soft,pos,-0.18558614290132835,-2.644602536343954,49.81441385709867,53,61,21.2,24.4,1.0,1.0
criminal,asian→middle_eastern,choice_chosen_side_soft,neg,-1.32275132275132,-6.084656084656087,48.67724867724868,54,42,21.6,16.8,0.8377407784338281,1.0
criminal,asian→middle_eastern,choice_first_touch_side,pos,-3.1191148775894573,-4.508003766478341,46.88088512241054,59,72,23.599999999999998,28.799999999999997,0.4872600010801595,0.9770821718086324
criminal,asian→middle_eastern,choice_first_touch_side,neg,-5.678353658536583,-15.053353658536587,44.32164634146341,41,32,16.400000000000002,12.8,0.33194727908684996,0.9770821718086324
criminal,black→latino,choice_chosen_side,pos,1.247248716067495,-10.821716801173883,51.247248716067496,47,29,18.8,11.600000000000001,1.0,1.0
criminal,black→latino,choice_chosen_side,neg,-8.333333333333337,-8.333333333333334,41.666666666666664,18,10,7.199999999999999,4.0,0.4442628309905199,1.0
criminal,black→latino,choice_chosen_side_soft,pos,0.1768867924528239,-6.426886792452829,50.17688679245283,64,53,25.6,21.2,1.0,1.0
criminal,black→latino,choice_chosen_side_soft,neg,-4.987760097919214,-10.801713586291308,45.012239902080786,38,43,15.2,17.2,0.37442854554524063,1.0
criminal,black→latino,choice_first_touch_side,pos,1.4973262032085488,-10.320855614973262,51.49732620320855,68,55,27.200000000000003,22.0,0.8532811919926935,0.9770821718086324
criminal,black→latino,choice_first_touch_side,neg,0.37715517241379004,-8.997844827586206,50.377155172413794,29,32,11.600000000000001,12.8,1.0,1.0
criminal,black→middle_eastern,choice_chosen_side,pos,6.690837178642051,-5.471324983520104,56.69083717864205,41,37,16.400000000000002,14.799999999999999,0.26208353168341353,1.0
criminal,black→middle_eastern,choice_chosen_side,neg,6.25,-6.25,56.25,16,24,6.4,9.6,0.5218668724341694,1.0
criminal,black→middle_eastern,choice_chosen_side_soft,pos,1.0027472527472492,-7.925824175824175,51.00274725274725,65,56,26.0,22.400000000000002,0.8552264643596067,1.0
criminal,black→middle_eastern,choice_chosen_side_soft,neg,7.499999999999996,-7.500000000000001,57.49999999999999,44,40,17.599999999999998,16.0,0.19056234464562316,1.0
criminal,black→middle_eastern,choice_first_touch_side,pos,1.8509127789046675,-3.3215010141987826,51.850912778904664,68,58,27.200000000000003,23.200000000000003,0.7223789324420669,0.9770821718086324
criminal,black→middle_eastern,choice_first_touch_side,neg,2.3809523809523836,-2.3809523809523836,52.38095238095239,30,42,12.0,16.8,0.8115881004904381,0.9770821718086324
criminal,latino→middle_eastern,choice_chosen_side,pos,0.4901960784313708,-0.4901960784313708,50.49019607843137,42,51,16.8,20.4,1.0,1.0
criminal,latino→middle_eastern,choice_chosen_side,neg,-9.276018099547512,5.429864253393665,40.723981900452486,26,17,10.4,6.800000000000001,0.34947530094214163,1.0
criminal,latino→middle_eastern,choice_chosen_side_soft,pos,-3.3252319929297447,0.09942554131683601,46.674768007070256,62,73,24.8,29.2,0.491701015572258,1.0
criminal,latino→middle_eastern,choice_chosen_side_soft,neg,-1.3783783783783754,5.378378378378379,48.62162162162163,50,37,20.0,14.799999999999999,0.8304161611794136,1.0
