topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,asian→black,d_approach_retreat,-0.07199999999999998,-0.0166033433608749,250,250,-0.18563102204343052,0.8528135147381939,0.9624501727897047
criminal,asian→black,d_latency,0.222,0.0967946599304785,250,250,1.0821971973176248,0.2796960878157193,0.7862096656804347
criminal,asian→black,d_peak_speed,0.0001516849175095558,0.039311258575084294,250,250,0.4395132322748,0.6605125102916685,0.9249652637244633
criminal,asian→black,d_time_to_half,-0.14400000000000002,-0.025405662656841778,250,250,-0.2840439435706306,0.7764950997561191,0.935699416228521
criminal,asian→black,pull_AUC,-0.2961770842110736,-0.022096516295833202,250,250,-0.24704656251707446,0.8049764569974219,0.921820813232678
criminal,asian→black,pull_MAD,-1.3804398396611215,-0.04700540136904802,250,250,-0.5255363638542653,0.5994551862312483,0.8543235421189388
criminal,asian→black,pull_early,-1.5212822332978253,-0.08711459761618101,250,250,-0.9739708105116094,0.3305456754738212,0.9533009464101146
criminal,asian→black,pull_final,-5.710225962563085,-0.15617289036645615,213,209,-1.6031864687431505,0.10965789290803786,0.9002552330896717
criminal,asian→black,pull_release,-1.382270961534232,-0.05272900740087045,250,250,-0.5895282246721791,0.5557752894270789,0.8385076008197434
criminal,asian→black,pull_tcp,2.499193958705291,0.09988572832020402,250,250,1.1167563925302606,0.2646370147847417,0.8011256105354208
criminal,asian→black,q_exploded,-0.006,-0.07531017795852205,250,250,-0.841993386564308,0.4002162511372196,0.8818850470646309
criminal,asian→black,q_jerk_in_grasp,0.0,nan,250,250,nan,nan,nan
criminal,asian→black,q_tile_drift,-3.303095698356626e-05,-0.016013423499658532,250,250,-0.17903551748864524,0.8579828149103328,0.8875684292175856
criminal,asian→black,xpos_reversals,-0.11399999999999999,-0.16204076138241405,250,250,-1.811670787884503,0.07064071224632575,0.15137295481355517
criminal,asian→latino,d_approach_retreat,-0.622,-0.13967899980624407,250,250,-1.5616586929797083,0.11900554286732147,0.8448028983417297
criminal,asian→latino,d_latency,-0.07600000000000001,-0.02840886824013445,250,250,-0.3176208027438772,0.750910620260943,0.8674991590079275
criminal,asian→latino,d_peak_speed,-0.00010932892560958863,-0.024964449503100544,250,250,-0.27911103054896835,0.7802765847997312,0.9534616606899498
criminal,asian→latino,d_time_to_half,-0.21400000000000002,-0.028202737419833757,250,250,-0.31531619011162654,0.752657147157745,0.935699416228521
criminal,asian→latino,pull_AUC,1.4657270749619116,0.10283665539519143,250,250,1.1497487602118426,0.2508052252656716,0.8508611082494382
criminal,asian→latino,pull_MAD,1.3101471960218625,0.04044010678839378,250,250,0.45213413898099597,0.6513780130697686,0.8543235421189388
criminal,asian→latino,pull_early,-1.8146513320505617,-0.09432035001477411,250,250,-1.0545335714730408,0.2921778086052679,0.9533009464101146
criminal,asian→latino,pull_final,1.2892039335441243,0.03185571350136468,222,223,0.33609957996026185,0.7369661229388612,0.9364735840682784
criminal,asian→latino,pull_release,0.9591416533803567,0.036424317090401476,250,250,0.40723624524072527,0.6840098547847819,0.8385076008197434
criminal,asian→latino,pull_tcp,1.8439049392472953,0.06892698967319012,250,250,0.7706271719683957,0.44129840775885854,0.8011256105354208
criminal,asian→latino,q_exploded,-0.006,-0.10206468195576261,250,250,-1.141117834774907,0.2544676660323189,0.8818850470646309
criminal,asian→latino,q_jerk_in_grasp,0.0,nan,250,250,nan,nan,nan
criminal,asian→latino,q_tile_drift,0.00015150144696235652,0.11062319536562945,250,250,1.2368049236289356,0.21677927420081575,0.3278063580121387
criminal,asian→latino,xpos_reversals,0.02200000000000002,0.02999128503966329,250,250,0.3353127604062979,0.7375322020383529,0.8194802244870588
criminal,asian→middle_eastern,d_approach_retreat,0.15800000000000003,0.036943918972425854,250,250,0.41304557088794197,0.6797510538575211,0.9624501727897047
criminal,asian→middle_eastern,d_latency,-0.088,-0.050079157906650726,250,250,-0.5599020066760854,0.5758004222181781,0.7862096656804347
criminal,asian→middle_eastern,d_peak_speed,0.00012339532375335693,0.037120563656900786,250,250,0.4150205184996917,0.6783078600646064,0.9249652637244633
criminal,asian→middle_eastern,d_time_to_half,0.744,0.13699884940921225,250,250,1.5316937005912774,0.12633580661465404,0.935699416228521
criminal,asian→middle_eastern,pull_AUC,-2.925175471300451,-0.1965963275084704,250,250,-2.1980137621787583,0.02841493577577653,0.6219782077575159
criminal,asian→middle_eastern,pull_MAD,-6.501072526052593,-0.18248452701216367,250,250,-2.0402390362054725,0.04187223074337935,0.1794524174716258
criminal,asian→middle_eastern,pull_early,-0.9645453408360484,-0.05345857593101407,250,250,-0.597685048810408,0.5503278907293296,0.9907000705542679
criminal,asian→middle_eastern,pull_final,-3.365884189367862,-0.09664469014545392,215,209,-0.993046711691809,0.3213053906252956,0.9002552330896717
criminal,asian→middle_eastern,pull_release,-4.800297927024076,-0.185824782412282,250,250,-2.07758422688985,0.03826717443366978,0.5740076165050467
criminal,asian→middle_eastern,pull_tcp,-3.266664536204189,-0.1372685164253617,250,250,-1.534708669488276,0.12549606363680593,0.8011256105354208
criminal,asian→middle_eastern,q_exploded,0.01,0.17050455669245226,250,250,1.9062988961889498,0.057476450670444906,0.574764506704449
criminal,asian→middle_eastern,q_jerk_in_grasp,0.0,nan,250,250,nan,nan,nan
criminal,asian→middle_eastern,q_tile_drift,0.00013853797316551214,0.06863554758937696,250,250,0.7673687504138436,0.44322888741139743,0.5932346203581301
criminal,asian→middle_eastern,xpos_reversals,-0.19199999999999995,-0.2610780195132097,250,250,-2.9189409953127665,0.0036712047118696006,0.015733734479441146
criminal,black→latino,d_approach_retreat,0.34600000000000003,0.07633203363626043,250,250,0.8534180803573939,0.39383818283307137,0.9126700116488267
criminal,black→latino,d_latency,0.108,0.0523181074058799,250,250,0.5849342230684133,0.5588996399543327,0.7862096656804347
criminal,black→latino,d_peak_speed,-0.0002598925530910492,-0.08007702059609201,250,250,-0.8952883074425622,0.3710860304262711,0.9249652637244633
criminal,black→latino,d_time_to_half,0.922,0.14522262747477757,250,250,1.6236383345236565,0.10526478642695024,0.935699416228521
criminal,black→latino,pull_AUC,-1.796510916557201,-0.12745720238724695,250,250,-1.4250148437991634,0.15478670113349344,0.6633715762864004
criminal,black→latino,pull_MAD,-0.5979722546739505,-0.01920271798348354,250,250,-0.21469291381913436,0.8300993858655815,0.9223326509617572
criminal,black→latino,pull_early,1.7505810625851153,0.1035575599660975,250,250,1.157808718341024,0.24750498781267044,0.9533009464101146
criminal,black→latino,pull_final,-6.120194174069846,-0.1610686410850635,213,207,-1.6504555267093564,0.0996010991966929,0.9002552330896717
criminal,black→latino,pull_release,-2.6050857442896813,-0.0971968636390712,250,250,-1.0866939714837036,0.27769785617003545,0.7122512782734931
criminal,black→latino,pull_tcp,-1.1021370093803853,-0.04381029247187044,250,250,-0.48981396040624786,0.624481840436155,0.8011256105354208
criminal,black→latino,q_exploded,-0.004,-0.051988935259500685,250,250,-0.5812539665903961,0.5613322883524441,0.8818850470646309
criminal,black→latino,q_jerk_in_grasp,0.0,nan,250,250,nan,nan,nan
criminal,black→latino,q_tile_drift,-6.920228898525237e-05,-0.04657750069249042,250,250,-0.5207522888522605,0.6027849955190915,0.6955211486758748
criminal,black→latino,xpos_reversals,-0.02200000000000002,-0.0301544442502438,250,250,-0.33713693583636406,0.7361570476788031,0.8194802244870588
criminal,black→middle_eastern,d_approach_retreat,-0.982,-0.23407793663602786,250,250,-2.6170708917552337,0.00914119900381528,0.13711798505722922
criminal,black→middle_eastern,d_latency,0.10999999999999999,0.055396409747774385,250,250,0.6193506895272775,0.535979924571544,0.7862096656804347
criminal,black→middle_eastern,d_peak_speed,0.0004906097650527953,0.10928732015225397,250,250,1.2218693846961126,0.2223936019295189,0.9249652637244633
criminal,black→middle_eastern,d_time_to_half,0.182,0.037634972820392985,250,250,0.4207717877887785,0.6741079627038498,0.935699416228521
criminal,black→middle_eastern,pull_AUC,0.8947263692840118,0.06783652959722063,250,250,0.7584354576853087,0.44854912237438116,0.921820813232678
criminal,black→middle_eastern,pull_MAD,-1.2530691314954312,-0.04133937644843265,250,250,-0.46218827943074625,0.6441545394048922,0.8543235421189388
criminal,black→middle_eastern,pull_early,-0.2101517226547005,-0.011361388913936342,250,250,-0.12702418965187084,0.8989743585679396,0.9907000705542679
criminal,black→middle_eastern,pull_final,3.1348535599045957,0.09030165718321884,222,210,0.9393107954951644,0.34809931564964836,0.9002552330896717
criminal,black→middle_eastern,pull_release,5.1657869218615815,0.1954037585367319,250,250,2.184680435735437,0.029378372532232744,0.5740076165050467
criminal,black→middle_eastern,pull_tcp,-1.015042684506625,-0.0417452119178468,250,250,-0.4667256579171991,0.6409004884283366,0.8011256105354208
criminal,black→middle_eastern,q_exploded,-0.016,-0.209814440512358,250,250,-2.3457967582335915,0.019547749998276836,0.2932162499741525
