topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,asian→black,d_approach_retreat,0.058,0.04024870825822393,250,250,0.44999423835972935,0.6529243326122285,0.937732078984584
criminal,asian→black,d_latency,-0.204,-0.0703300853010832,250,250,-0.7863142579829039,0.43206883866258616,0.8615600480367485
criminal,asian→black,d_peak_speed,0.0009814983010292054,0.2504077303400844,250,250,2.799643535659326,0.005336815952402267,0.04002611964301701
criminal,asian→black,d_time_to_half,0.28400000000000003,0.12626076552764107,250,250,1.4116382730548378,0.15868224872927786,0.4760467461878336
criminal,asian→black,pull_AUC,-4.193597699981018,-0.303330088696921,250,250,-3.3913334897367804,0.0007541318543213556,0.007541318543213557
criminal,asian→black,pull_MAD,-8.776262210134883,-0.2953909177072949,250,250,-3.302570859647789,0.001032881944641386,0.01032881944641386
criminal,asian→black,pull_early,-0.29774314424139436,-0.06137951660908647,250,250,-0.6862438578199737,0.49289229165985815,0.9669785582584907
criminal,asian→black,pull_final,-9.669758597068247,-0.2850236397878123,228,233,-3.05763963110838,0.002363953660251147,0.017729652451883602
criminal,asian→black,pull_release,-7.606773131003138,-0.2734954329136862,250,250,-3.057771897653679,0.002360613660438328,0.02137657120106546
criminal,asian→black,pull_tcp,-2.7837745808064938,-0.10393303236239679,250,250,-1.162006627350024,0.2457930616625247,0.8504812872312435
criminal,asian→black,q_exploded,0.002,0.030029410662769963,250,250,0.3357390178310532,0.7372107601953803,1.0
criminal,asian→black,q_jerk_in_grasp,0.0,nan,250,250,nan,nan,nan
criminal,asian→black,q_tile_drift,0.0017686039209365847,0.07579696392535562,250,250,0.8474358191259722,0.3975437866242769,0.5679196951775385
criminal,asian→black,xpos_reversals,0.01200000000000001,0.022019721936441795,250,250,0.24618797547763577,0.8056384683635458,0.9295828481117836
criminal,asian→latino,d_approach_retreat,0.024,0.021192633849198134,250,250,0.2369408495453503,0.8128113462190829,0.937732078984584
criminal,asian→latino,d_latency,-0.538,-0.21062101804915614,250,250,-2.3548145692406166,0.018927298400521504,0.1636653736591725
criminal,asian→latino,d_peak_speed,0.00038101513683795927,0.10273908900878087,250,250,1.1486579348501775,0.25128895835327464,0.5025779167065493
criminal,asian→latino,d_time_to_half,0.04200000000000001,0.016531810554063307,250,250,0.1848312609501701,0.8534920678998059,0.8534920678998059
criminal,asian→latino,pull_AUC,-1.1300972823544582,-0.08990387737711766,250,250,-1.0051559062802031,0.31533231475101986,0.7276899571177382
criminal,asian→latino,pull_MAD,-2.576874234997667,-0.09466462382135983,250,250,-1.0583826696450322,0.2904349742750438,0.6223606591608081
criminal,asian→latino,pull_early,0.0540043607354163,0.013318391762781689,250,250,0.14890414666276555,0.8817068321521094,0.9669785582584907
criminal,asian→latino,pull_final,-3.073734765205901,-0.09694173832265741,235,223,-1.0351083918243187,0.30118651635343596,0.8043985614693291
criminal,asian→latino,pull_release,-1.802516683077556,-0.07133813763243314,250,250,-0.797584625671782,0.4255240171554936,0.8510480343109872
criminal,asian→latino,pull_tcp,-1.5401778440573253,-0.05827186557756236,250,250,-0.6514992630357974,0.5150248379471142,0.8822445386764478
criminal,asian→latino,q_exploded,-0.018000000000000002,-0.24680059213124003,250,250,-2.759314504463262,0.006148182679256869,0.046111370094426514
criminal,asian→latino,q_jerk_in_grasp,0.0,nan,250,250,nan,nan,nan
criminal,asian→latino,q_tile_drift,-0.0023755800276994707,-0.08045880081389117,250,250,-0.8995567400398803,0.36919888823803737,0.553798332357056
criminal,asian→latino,xpos_reversals,-0.10200000000000009,-0.16774660753972645,250,250,-1.8754640872690354,0.061315128933614016,0.15328782233403504
criminal,asian→middle_eastern,d_approach_retreat,-0.013999999999999999,-0.010514096200609505,250,250,-0.11755116913267558,0.9064743430184312,0.937732078984584
criminal,asian→middle_eastern,d_latency,0.0,0.0,250,250,0.0,1.0,1.0
criminal,asian→middle_eastern,d_peak_speed,4.26016449928284e-05,0.011322591204559262,250,250,0.12659041807417867,0.8993203129707024,0.9776103359936432
criminal,asian→middle_eastern,d_time_to_half,-0.14200000000000002,-0.052312465818069066,250,250,-0.5848711481991828,0.5589686456480172,0.8319024965788951
criminal,asian→middle_eastern,pull_AUC,-1.7471855585238143,-0.12546165632397654,250,250,-1.4027039605506395,0.16136232439321457,0.5378744146440486
criminal,asian→middle_eastern,pull_MAD,-4.188024671070743,-0.1370927609894957,250,250,-1.5327436639782184,0.12601579260801107,0.4200526420267036
criminal,asian→middle_eastern,pull_early,0.4889666315168142,0.1172559379912746,250,250,1.3109612405699507,0.19047806325255764,0.9669785582584907
criminal,asian→middle_eastern,pull_final,-3.8540275791566945,-0.1355596275315416,224,230,-1.4452605540310803,0.14908423165163998,0.5778797792861878
criminal,asian→middle_eastern,pull_release,-3.50025590725636,-0.12286467567088345,250,250,-1.3736688341677998,0.17020553869053165,0.5638185019855204
criminal,asian→middle_eastern,pull_tcp,-2.4514458931516856,-0.09603178576418948,250,250,-1.0736680048471212,0.2834937624104145,0.8504812872312435
criminal,asian→middle_eastern,q_exploded,0.0,0.0,250,250,0.0,1.0,1.0
criminal,asian→middle_eastern,q_jerk_in_grasp,0.0,nan,250,250,nan,nan,nan
criminal,asian→middle_eastern,q_tile_drift,-3.975278139114395e-05,-0.009839959185878497,250,250,-0.11001408817723905,0.9124436204553259,0.9656245013709694
criminal,asian→middle_eastern,xpos_reversals,0.06999999999999995,0.11639269241675866,250,250,1.3013098616404832,0.19375771498953234,0.3875154299790647
criminal,black→latino,d_approach_retreat,-0.14200000000000002,-0.09670830330220719,250,250,-1.0812317008620131,0.28012055747035297,0.930014070975807
criminal,black→latino,d_latency,-0.14600000000000002,-0.049090837017456826,250,250,-0.5488522432169826,0.5833682598300156,0.8906940642995326
criminal,black→latino,d_peak_speed,-0.0005178563296794891,-0.13326079462446552,250,250,-1.4899009775797172,0.13698925494581013,0.34247313736452534
criminal,black→latino,d_time_to_half,-0.49,-0.1772912261093711,250,250,-1.9821761669741969,0.04807483933879537,0.36056129504096524
criminal,black→latino,pull_AUC,3.0386282306368293,0.2211801232824301,250,250,2.472868954656488,0.013742451628064898,0.0824547097683894
criminal,black→latino,pull_MAD,6.824412762359716,0.2309769417239909,250,250,2.582400714649255,0.01010842501690246,0.060650550101414756
criminal,black→latino,pull_early,0.32093613632023343,0.057428988197209575,250,250,0.6420756074399685,0.5211198677044151,0.9669785582584907
