topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,asian→black,d_approach_retreat,-0.15600000000000003,-0.12480713776893256,250,250,-1.3953862206425731,0.16352304498355363,0.5157420205897552
criminal,asian→black,d_latency,0.206,0.05601685652871134,250,250,0.6262874954202573,0.5314133402215255,0.731843347240741
criminal,asian→black,d_peak_speed,0.0004134567975997926,0.09032776019968611,250,250,1.0098950603089907,0.3130526639500607,0.5999845978098172
criminal,asian→black,d_time_to_half,-0.222,-0.09588944912455395,250,250,-1.0720766328375517,0.2842649049654611,0.9238128683642437
criminal,asian→black,pull_AUC,-3.497836673399518,-0.18751517805777154,250,250,-2.096483424750771,0.036562163557015234,0.18281081778507616
criminal,asian→black,pull_MAD,-8.297953095688788,-0.20196295524505692,250,250,-2.258014484323475,0.024396945356652083,0.1463816721399125
criminal,asian→black,pull_early,0.44162580240517835,0.0940179687819044,250,250,1.0511528465139566,0.29369871165335837,0.9237216800923275
criminal,asian→black,pull_final,-2.832812433709428,-0.06490198282642524,224,221,-0.6843532733886509,0.494113120775478,0.9080593723036025
criminal,asian→black,pull_release,-6.615327485546004,-0.17115424567638698,250,250,-1.9135626398505037,0.05628006686511161,0.28140033432555805
criminal,asian→black,pull_tcp,-2.7342855343595147,-0.09200609420894976,250,250,-1.028659404977307,0.30416331912738415,0.6083266382547683
criminal,asian→black,q_exploded,-0.008,-0.1044752051596487,250,250,-1.1680683035010562,0.2433974815912739,0.5967774403421267
criminal,asian→black,q_jerk_in_grasp,0.0,nan,250,250,nan,nan,nan
criminal,asian→black,q_tile_drift,-0.00011336685717105869,-0.025445242297094772,250,250,-0.2844864574012841,0.7761587029822103,0.7761587029822103
criminal,asian→black,xpos_reversals,0.14,0.2703971278352879,250,250,3.0231317938020217,0.002631463590927655,0.009624331477821336
criminal,asian→latino,d_approach_retreat,-0.048,-0.03472311285664814,250,250,-0.3882162036893108,0.6980266969514124,0.8725333711892654
criminal,asian→latino,d_latency,-0.502,-0.1427130568310148,250,250,-1.595580481754699,0.11121836065060732,0.6682373442978005
criminal,asian→latino,d_peak_speed,0.0006026250571012497,0.12160965677656596,250,250,1.359637296364097,0.1745974827817441,0.40291726795787103
criminal,asian→latino,d_time_to_half,0.25,0.11451021633384817,250,250,1.2802631392034565,0.20104879488285363,0.9238128683642437
criminal,asian→latino,pull_AUC,-2.235581471086468,-0.12070533710435842,250,250,-1.3495266950618652,0.17779213246630815,0.5333763973989244
criminal,asian→latino,pull_MAD,-4.467392919873819,-0.1122857528347192,250,250,-1.2553928812158592,0.20994262337466185,0.5248565584366546
