topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,asian→black,choice_chosen_side,pos,-19.89942528735632,-0.933908045977011,30.10057471264368,24,29,9.6,11.600000000000001,0.005817916373099968,0.029089581865499838
criminal,asian→black,choice_chosen_side,neg,-19.61259079903148,-1.815980629539951,30.38740920096852,56,59,22.400000000000002,23.599999999999998,3.4741300442620094e-05,0.0006948260088524018
criminal,asian→black,choice_chosen_side_soft,pos,-25.426136363636363,-2.6988636363636354,24.573863636363637,64,55,25.6,22.0,2.3630697749158592e-08,7.089209324747577e-07
criminal,asian→black,choice_chosen_side_soft,neg,-14.731142643764006,0.6534727408513824,35.268857356236,103,104,41.199999999999996,41.6,2.8087732431773903e-05,0.000280877324317739
criminal,asian→black,choice_first_touch_side,pos,-21.865079365079364,-2.420634920634923,28.134920634920636,35,36,14.000000000000002,14.399999999999999,0.0003283304428386064,0.0024418568451344148
criminal,asian→black,choice_first_touch_side,neg,-16.216216216216218,1.3513513513513513,33.78378378378378,74,74,29.599999999999998,29.599999999999998,0.00013788142652287286,0.0011818407987674816
criminal,asian→latino,choice_chosen_side,pos,-8.54700854700855,-2.9914529914529893,41.45299145299145,26,27,10.4,10.8,0.27493847517722386,0.44823745018832906
criminal,asian→latino,choice_chosen_side,neg,-5.003259452411996,-0.7659713168187754,44.996740547588004,52,59,20.8,23.599999999999998,0.34353183425557726,0.5152977513833659
criminal,asian→latino,choice_chosen_side_soft,pos,-7.3956442831216,0.4990925589836659,42.6043557168784,58,57,23.200000000000003,22.8,0.13701051964734484,0.26518165093034485
criminal,asian→latino,choice_chosen_side_soft,neg,1.27271091923008,2.6488577082209,51.27271091923008,102,109,40.8,43.6,0.7829124353667403,0.8099094158966279
criminal,asian→latino,choice_first_touch_side,pos,-9.335288367546434,-1.2707722385141755,40.66471163245357,33,31,13.200000000000001,12.4,0.2105938828664889,0.3627287294113275
criminal,asian→latino,choice_first_touch_side,neg,-3.2827004219409317,-1.3839662447257401,46.71729957805907,75,79,30.0,31.6,0.42553341410161694,0.6079048772880242
criminal,asian→middle_eastern,choice_chosen_side,pos,-23.214285714285715,-1.785714285714285,26.785714285714285,24,28,9.6,11.200000000000001,0.0019070584920103577,0.011442350952062145
criminal,asian→middle_eastern,choice_chosen_side,neg,-8.207784055241685,-4.504080351537978,41.79221594475832,59,54,23.599999999999998,21.6,0.09126837734170873,0.21904410562010096
criminal,asian→middle_eastern,choice_chosen_side_soft,pos,-21.05171208944794,2.533193570929421,28.94828791055206,54,53,21.6,21.2,1.705704618947644e-05,0.00020468455427371726
criminal,asian→middle_eastern,choice_chosen_side_soft,neg,-4.799833194328606,-1.163469557964969,45.200166805671394,109,110,43.6,44.0,0.17723873945681068,0.30642741484235564
criminal,asian→middle_eastern,choice_first_touch_side,pos,-20.089285714285715,1.339285714285715,29.910714285714285,32,35,12.8,14.000000000000002,0.0014292000012655081,0.007795636370539136
criminal,asian→middle_eastern,choice_first_touch_side,neg,-5.861111111111112,-3.86111111111111,44.138888888888886,72,75,28.799999999999997,30.0,0.1863499204271457,0.3388180371402649
criminal,black→latino,choice_chosen_side,pos,20.78598484848485,-1.0890151515151492,70.78598484848484,33,32,13.200000000000001,12.8,0.0011901086802420095,0.00892581510181507
criminal,black→latino,choice_chosen_side,neg,19.245901639344265,-1.2459016393442601,69.24590163934427,50,61,20.0,24.4,6.112086438069022e-05,0.0009168129657103533
criminal,black→latino,choice_chosen_side_soft,pos,18.744778613199664,4.271094402673348,68.74477861319967,63,76,25.2,30.4,1.617846702692934e-05,0.00020468455427371726
criminal,black→latino,choice_chosen_side_soft,neg,15.090843891943573,-2.3248864451350713,65.09084389194358,94,89,37.6,35.6,5.887108732726434e-05,0.00050460931994798
criminal,black→latino,choice_first_touch_side,pos,20.175438596491226,-3.508771929824561,70.17543859649122,42,38,16.8,15.2,0.0003662785267701622,0.0024418568451344148
criminal,black→latino,choice_first_touch_side,neg,16.613756613756614,-3.756613756613758,66.6137566137566,70,81,28.000000000000004,32.4,7.172051294143989e-05,0.0007172051294143988
criminal,black→middle_eastern,choice_chosen_side,pos,-5.2584670231729085,-2.3172905525846694,44.741532976827095,33,34,13.200000000000001,13.600000000000001,0.46640206453416067,0.6739654903486976
criminal,black→middle_eastern,choice_chosen_side,neg,9.068627450980383,-1.7156862745098034,59.06862745098038,68,51,27.200000000000003,20.4,0.06431821196876805,0.17541330536936742
criminal,black→middle_eastern,choice_chosen_side_soft,pos,4.305210918114144,1.0794044665012437,54.30521091811414,65,62,26.0,24.8,0.3768524149035729,0.5024698865380972
criminal,black→middle_eastern,choice_chosen_side_soft,neg,5.563186813186816,-0.2060439560439553,55.56318681318682,112,104,44.800000000000004,41.6,0.1339659357787411,0.26518165093034485
criminal,black→middle_eastern,choice_first_touch_side,pos,-1.5018315018315076,-2.7838827838827824,48.49816849816849,35,39,14.000000000000002,15.6,0.8197021605999917,0.8941295642582971
criminal,black→middle_eastern,choice_first_touch_side,neg,8.202614379084972,-2.9084967320261446,58.20261437908497,85,72,34.0,28.799999999999997,0.0541462222146496,0.14767151513086255
criminal,latino→middle_eastern,choice_chosen_side,pos,-11.168981481481483,1.7939814814814825,38.83101851851852,32,27,12.8,10.8,0.11876489919201852,0.2639219982044856
criminal,latino→middle_eastern,choice_chosen_side,neg,-6.0737812911725975,3.3465085638998664,43.926218708827406,55,69,22.0,27.6,0.2064275969081214,0.3921049955812554
criminal,latino→middle_eastern,choice_chosen_side_soft,pos,-10.434782608695647,-0.43478260869565244,39.56521739130435,69,55,27.6,22.0,0.029697223659725235,0.080992428162887
criminal,latino→middle_eastern,choice_chosen_side_soft,neg,-5.181623931623935,0.3739316239316254,44.81837606837607,104,126,41.6,50.4,0.14493030900095333,0.2717443293767875
criminal,latino→middle_eastern,choice_first_touch_side,pos,-8.681408681408682,1.9246519246519267,41.31859131859132,37,33,14.799999999999999,13.200000000000001,0.16059951256499383,0.32119902512998766
criminal,latino→middle_eastern,choice_first_touch_side,neg,-6.3049853372434015,1.7595307917888547,43.6950146627566,77,93,30.8,37.2,0.12332925904858597,0.2740650201079688
education,asian→black,choice_chosen_side,pos,-25.123355263157897,1.4391447368421044,24.876644736842106,57,64,22.8,25.6,2.954359422379136e-08,1.7726156534274818e-06
education,asian→black,choice_chosen_side,neg,-17.04545454545454,7.954545454545456,32.95454545454546,22,20,8.799999999999999,8.0,0.03341949073520738,0.11139830245069127
education,asian→black,choice_chosen_side_soft,pos,-25.148683092608326,2.421410365335598,24.851316907391674,110,107,44.0,42.8,6.868154908182548e-14,4.120892944909529e-12
education,asian→black,choice_chosen_side_soft,neg,-14.978723404255323,0.9787234042553189,35.02127659574468,50,47,20.0,18.8,0.004397599390984264,0.016490997716190992
education,asian→black,choice_first_touch_side,pos,-23.79185692541857,0.18074581430745917,26.20814307458143,72,73,28.799999999999997,29.2,9.763756286813162e-09,5.858253772087897e-07
education,asian→black,choice_first_touch_side,neg,-14.904610492845782,2.742448330683625,35.095389507154216,37,34,14.799999999999999,13.600000000000001,0.017403508662732874,0.06526315748524827
education,asian→latino,choice_chosen_side,pos,-11.764705882352944,4.901960784313728,38.23529411764706,51,51,20.4,20.4,0.028098077390320185,0.1053677902137007
education,asian→latino,choice_chosen_side,neg,-22.115384615384613,-2.8846153846153855,27.884615384615387,20,26,8.0,10.4,0.006724733714513121,0.031037232528522092
education,asian→latino,choice_chosen_side_soft,pos,-7.914046121593287,3.19706498951782,42.08595387840671,106,108,42.4,43.2,0.02812898695583093,0.08036853415951695
education,asian→latino,choice_chosen_side_soft,neg,-11.444805194805197,4.626623376623376,38.5551948051948,44,56,17.599999999999998,22.400000000000002,0.026691287590616973,0.08007386277185093
education,asian→latino,choice_first_touch_side,pos,-11.063508064516125,2.998991935483872,38.93649193548387,62,64,24.8,25.6,0.019914197924536893,0.07028540443954197
education,asian→latino,choice_first_touch_side,neg,-16.964285714285715,-4.464285714285715,33.035714285714285,35,40,14.000000000000002,16.0,0.005148922107575728,0.022066809032467407
education,asian→middle_eastern,choice_chosen_side,pos,-18.10850439882698,-4.4721407624633445,31.89149560117302,62,55,24.8,22.0,9.552528224484732e-05,0.001146303386938168
education,asian→middle_eastern,choice_chosen_side,neg,-26.0,0.0,24.0,25,25,10.0,10.0,0.0005435083494028826,0.00465864299488185
education,asian→middle_eastern,choice_chosen_side_soft,pos,-12.151376146788989,-1.1513761467889905,37.84862385321101,109,100,43.6,40.0,0.000530345322255486,0.0028927926668481053
education,asian→middle_eastern,choice_chosen_side_soft,neg,-18.050847457627118,-1.949152542372881,31.949152542372882,50,59,20.0,23.599999999999998,0.00023819372769315428,0.0014291623661589258
education,asian→middle_eastern,choice_first_touch_side,pos,-17.72435897435897,-3.108974358974359,32.27564102564103,72,65,28.799999999999997,26.0,3.7314985045202825e-05,0.0005597247756780424
education,asian→middle_eastern,choice_first_touch_side,neg,-26.363636363636367,-3.636363636363635,23.636363636363637,40,44,16.0,17.599999999999998,1.2978472566630299e-06,3.8935417699890896e-05
education,black→latino,choice_chosen_side,pos,12.401883830455262,-0.8634222919937207,62.40188383045526,52,49,20.8,19.6,0.01697085055703019,0.06788340222812075
education,black→latino,choice_chosen_side,neg,16.564952048823024,4.402789886660857,66.56495204882302,31,37,12.4,14.799999999999999,0.00800499878293425,0.03430713764114678
education,black→latino,choice_chosen_side_soft,pos,10.927795031055897,-6.463509316770189,60.9277950310559,112,92,44.800000000000004,36.8,0.001929486849930682,0.008281437219669601
education,black→latino,choice_chosen_side_soft,neg,17.684659090909083,-0.4971590909090884,67.68465909090908,64,66,25.6,26.400000000000002,9.787505144710292e-05,0.0006601763598820093
education,black→latino,choice_first_touch_side,pos,14.453551912568297,1.1202185792349717,64.4535519125683,61,60,24.4,24.0,0.0019556952094665955,0.009778476047332977
education,black→latino,choice_first_touch_side,neg,13.874680306905374,-0.831202046035806,63.874680306905375,46,51,18.4,20.4,0.008289501506989951,0.033158006027959805
education,black→middle_eastern,choice_chosen_side,pos,2.7447089947089998,0.9589947089947093,52.744708994709,54,56,21.6,22.400000000000002,0.5740751340532351,0.7328618732594491
education,black→middle_eastern,choice_chosen_side,neg,1.2016718913270719,-6.374085684430514,51.201671891327074,29,33,11.600000000000001,13.200000000000001,1.0,1.0
education,black→middle_eastern,choice_chosen_side_soft,pos,5.9935897435897445,-2.660256410256412,55.993589743589745,105,104,42.0,41.6,0.09691058873901717,0.2153568638644826
education,black→middle_eastern,choice_chosen_side_soft,neg,10.08602150537634,-5.247311827956991,60.086021505376344,62,75,24.8,30.0,0.024352356804128956,0.07690217938145986
education,black→middle_eastern,choice_first_touch_side,pos,3.176930596285432,1.6617790811339184,53.17693059628543,62,66,24.8,26.400000000000002,0.48523504173649623,0.6329152718302125
education,black→middle_eastern,choice_first_touch_side,neg,1.1904761904761862,-1.1904761904761918,51.19047619047619,46,42,18.4,16.8,0.8345209266410774,0.8941295642582971
education,latino→middle_eastern,choice_chosen_side,pos,-5.87284482758621,-2.7478448275862073,44.127155172413794,58,64,23.200000000000003,25.6,0.20912266431000287,0.3921049955812554
education,latino→middle_eastern,choice_chosen_side,neg,-1.470588235294118,-1.470588235294118,48.529411764705884,34,34,13.600000000000001,13.600000000000001,1.0,1.0
education,latino→middle_eastern,choice_chosen_side_soft,pos,-6.234947819106234,-2.180893765052183,43.76505218089377,101,111,40.400000000000006,44.4,0.07517283976272397,0.1841870538121813
education,latino→middle_eastern,choice_chosen_side_soft,neg,-1.8535539215686292,-2.833946078431371,48.14644607843137,64,51,25.6,20.4,0.7108960054432758,0.7616742915463669
education,latino→middle_eastern,choice_first_touch_side,pos,-6.131504638967322,-2.0774505849132736,43.86849536103268,67,74,26.8,29.599999999999998,0.17770420476630222,0.334844159181635
education,latino→middle_eastern,choice_first_touch_side,neg,-5.48463356973995,-2.2931442080378255,44.51536643026005,45,47,18.0,18.8,0.30613761988958754,0.47098095367628856
janitor,asian→black,choice_chosen_side,pos,0.7768389861049885,-0.5505946422135921,50.77683898610499,221,226,88.4,90.4,0.7768525403744395,0.8631694893049328
janitor,asian→black,choice_chosen_side,neg,-3.548238448326424,-0.5802019186460533,46.45176155167358,218,219,87.2,87.6,0.15160822606141447,0.32487477013160243
janitor,asian→black,choice_chosen_side_soft,pos,0.20896976966471303,-0.8639916037258472,50.20896976966471,229,233,91.60000000000001,93.2,1.0,1.0
janitor,asian→black,choice_chosen_side_soft,neg,-2.8413424866514103,-0.6674294431731509,47.15865751334859,228,230,91.2,92.0,0.22629055112955754,0.3573008702045645
