topic,demo,metric,pol,mean,sd,n,t,p,q
criminal,asian→black,d_approach_retreat,neg,0.22,3.9760326132170323,250,0.8748684340822691,0.38248857237282585,0.9110298645203798
criminal,asian→black,d_approach_retreat,pos,0.128,3.4302598634686112,250,0.5900012777636263,0.5557248148462322,0.9110298645203798
criminal,asian→black,d_latency,neg,-0.15,2.990362699791653,250,-0.793117251392792,0.428464587855389,0.7984474371261613
criminal,asian→black,d_latency,pos,-0.232,2.1289211401279133,250,-1.7230521209324454,0.08612057151091672,0.563113167643201
criminal,asian→black,d_peak_speed,neg,-9.838121384382248e-05,0.002869203030312802,250,-0.5421517951705404,0.5881987867199557,0.8344461270834415
criminal,asian→black,d_peak_speed,pos,-4.8595994710922244e-05,0.0040256980705641,250,-0.19086631157422665,0.8487858644697864,0.9259482157852216
criminal,asian→black,d_time_to_half,neg,-0.13,3.3461750626948383,250,-0.6142776276188215,0.539592731768623,0.8699189937451774
criminal,asian→black,d_time_to_half,pos,-0.266,3.1610461640737904,250,-1.3305181480183423,0.1845648153136218,0.8699189937451774
criminal,asian→black,pull_AUC,neg,-0.31944065552813866,18.63619214728801,250,-0.2710210435540011,0.7865993828420241,0.897051044886248
criminal,asian→black,pull_AUC,pos,-2.6977894511232643,16.223134458489227,250,-2.629319055128966,0.009088059949402276,0.0605870663293485
criminal,asian→black,pull_MAD,neg,-1.0654785440536214,40.66336174713263,250,-0.4142966607387159,0.6790135263630143,0.8597597930901316
criminal,asian→black,pull_MAD,pos,-5.963045131986146,35.68733969803124,250,-2.6419459347506176,0.00876515620264146,0.055622647095650166
criminal,asian→black,pull_early,neg,-0.163564492203295,8.238299262944295,250,-0.31392179573870516,0.7538432721567798,0.9134288741790955
criminal,asian→black,pull_early,pos,-0.3994930576067421,6.425092226710597,250,-0.9831049321053291,0.3265100647560262,0.6996644244771989
criminal,asian→black,pull_final,neg,3.95236361744198,51.248478164296785,118,0.8377547965431837,0.4038765309939075,0.7127232899892485
criminal,asian→black,pull_final,pos,-0.5142902196312957,67.88487725256803,97,-0.07461413273471754,0.9406769881928589,0.9566206659588397
