topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,asian→black,choice_chosen_side,pos,-2.2035256410256387,-0.9214743589743585,47.796474358974365,32,39,12.8,15.6,0.8127581983293933,1.0
criminal,asian→black,choice_chosen_side,neg,-11.206896551724139,-11.206896551724139,38.793103448275865,29,34,11.600000000000001,13.600000000000001,0.0787493792227433,0.5525915236705002
criminal,asian→black,choice_chosen_side_soft,pos,-1.3157894736842146,-1.315789473684212,48.68421052631579,38,48,15.2,19.2,0.8313151335462461,1.0
criminal,asian→black,choice_chosen_side_soft,neg,-2.599179206566349,-5.540355677154582,47.40082079343365,43,51,17.2,20.4,0.6795757280391986,1.0
criminal,asian→black,choice_first_touch_side,pos,-5.305867665418229,-0.24968789013732895,44.694132334581774,90,89,36.0,35.6,0.17955887451486657,0.8658592648267827
criminal,asian→black,choice_first_touch_side,neg,-5.316455696202526,-4.6835443037974684,44.683544303797476,70,79,28.000000000000004,31.6,0.24873748810877272,0.9327655804078977
criminal,asian→latino,choice_chosen_side,pos,-1.2854317732366505,0.06591957811469817,48.71456822676335,41,37,16.400000000000002,14.799999999999999,1.0,1.0
criminal,asian→latino,choice_chosen_side,neg,2.9761904761904767,0.5952380952380931,52.976190476190474,28,21,11.200000000000001,8.4,0.776130071924499,1.0
criminal,asian→latino,choice_chosen_side_soft,pos,0.05145797598627988,2.778730703259005,50.05145797598628,53,55,21.2,22.0,1.0,1.0
criminal,asian→latino,choice_chosen_side_soft,neg,-1.282051282051283,-2.5641025641025603,48.717948717948715,39,39,15.6,15.6,1.0,1.0
criminal,asian→latino,choice_first_touch_side,pos,0.06701414743112144,-1.8317200297840648,50.067014147431124,85,79,34.0,31.6,1.0,1.0
criminal,asian→latino,choice_first_touch_side,neg,3.1400966183574908,2.4154589371980673,53.14009661835749,72,69,28.799999999999997,27.6,0.5020114941811598,1.0
criminal,asian→middle_eastern,choice_chosen_side,pos,-8.31571529245948,6.800563777307963,41.68428470754052,33,43,13.200000000000001,17.2,0.16619183667683113,0.5996279764384966
criminal,asian→middle_eastern,choice_chosen_side,neg,-10.072595281306718,8.348457350272234,39.92740471869328,29,19,11.600000000000001,7.6,0.2369270510152871,0.6769344314722489
criminal,asian→middle_eastern,choice_chosen_side_soft,pos,-3.5299003322259104,0.04152823920265669,46.47009966777409,43,56,17.2,22.400000000000002,0.5458508799604918,1.0
criminal,asian→middle_eastern,choice_chosen_side_soft,neg,-7.6330532212885105,10.014005602240896,42.36694677871149,42,34,16.8,13.600000000000001,0.24136245484900545,0.8304552388912868
criminal,asian→middle_eastern,choice_first_touch_side,pos,-4.518113465481887,1.27136021872864,45.48188653451811,77,95,30.8,38.0,0.283328349257463,0.9931065281878226
criminal,asian→middle_eastern,choice_first_touch_side,neg,-1.4393939393939403,3.1060606060606095,48.56060606060606,60,55,24.0,22.0,0.8520659767321463,1.0
criminal,black→latino,choice_chosen_side,pos,5.785592739648326,-7.005104934770278,55.78559273964833,41,43,16.400000000000002,17.2,0.3780729984840083,0.9620476731612272
criminal,black→latino,choice_chosen_side,neg,-3.2608695652173947,3.260869565217392,46.7391304347826,24,23,9.6,9.2,0.7724818212447504,1.0
criminal,black→latino,choice_chosen_side_soft,pos,3.256704980842917,-8.812260536398469,53.25670498084292,54,58,21.6,23.200000000000003,0.5653505399227282,1.0
criminal,black→latino,choice_chosen_side_soft,neg,-4.222766217870255,1.5911872705018344,45.77723378212974,38,43,15.2,17.2,0.5078248092274347,1.0
criminal,black→latino,choice_first_touch_side,pos,4.8211036992116485,1.879927228623407,54.82110369921165,97,102,38.800000000000004,40.8,0.20219780516933822,0.8665620221543067
criminal,black→latino,choice_first_touch_side,neg,-2.34375,2.34375,47.65625,60,64,24.0,25.6,0.719192241969923,1.0
