topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,asian→black,d_approach_retreat,0.20600000000000002,0.05873249804645709,250,250,0.6566492906012582,0.5117125062172865,0.731017866024695
criminal,asian→black,d_latency,-0.08399999999999999,-0.030701789832572622,250,250,-0.34325644548272133,0.731560385758779,0.81284487306531
criminal,asian→black,d_peak_speed,0.001026822380721569,0.13075785561714387,250,250,1.461917268760182,0.14465977625199347,0.48219925417331155
criminal,asian→black,d_time_to_half,-0.013999999999999999,-0.0039149984808521925,250,250,-0.043771013674969564,0.965106752862301,0.9910620446095122
criminal,asian→black,pull_AUC,-3.9855655229672555,-0.2216976347717473,250,250,-2.47865490900274,0.013526955830008004,0.10145216872506002
criminal,asian→black,pull_MAD,-10.70271888339892,-0.2831594164592644,250,250,-3.1658185183604397,0.0016426466420966697,0.024639699631450046
criminal,asian→black,pull_early,0.1681651146151127,0.027837598405235472,250,250,0.3112338118222313,0.7557746937255382,0.8677317633182201
criminal,asian→black,pull_final,-14.843208190063772,-0.21211558197314306,124,132,-1.6977513393129209,0.09077945461208463,0.2760673250209905
criminal,asian→black,pull_release,-10.261249361326918,-0.2893501154421302,250,250,-3.2350326371300735,0.0012987947599498399,0.0194819213992476
criminal,asian→black,pull_tcp,-4.595945226494223,-0.06313140492702124,250,250,-0.7058305646594233,0.480624816259444,0.758881288830701
criminal,asian→black,q_exploded,-0.009999999999999995,-0.05178138257450965,250,250,-0.5789334570276332,0.5629021383376446,0.7342201804404059
criminal,asian→black,q_jerk_in_grasp,0.0040000000000000036,0.025049957959302017,250,250,0.28006704415255607,0.779542973084231,0.8064237652595494
criminal,asian→black,q_tile_drift,-0.004119381919503201,-0.005633920317892362,250,250,-0.06298914405312273,0.9498063567733697,0.9752783713733212
criminal,asian→black,xpos_reversals,0.061999999999999944,0.08229557580765987,250,250,0.9200925087670729,0.35797059843154944,0.6317128207615578
criminal,asian→latino,d_approach_retreat,0.256,0.07294329384518349,250,250,0.8155308177028613,0.41516237190233873,0.6227435578535081
criminal,asian→latino,d_latency,-0.18,-0.06675883948227938,250,250,-0.7463865159068678,0.4558229092631588,0.6511755846616555
criminal,asian→latino,d_peak_speed,-0.000532735213637352,-0.11233056535770226,250,250,-1.2558939004540262,0.2099232478245075,0.5725179486122932
criminal,asian→latino,d_time_to_half,0.332,0.07390851679378675,250,250,0.8263223383354598,0.4090171613060235,0.6921518208685316
criminal,asian→latino,pull_AUC,-2.2806127106065723,-0.1389446110456148,250,250,-1.5534479770263143,0.12098492954137713,0.28577690949400475
criminal,asian→latino,pull_MAD,-4.798379896886182,-0.1326396287465677,250,250,-1.4829561319383031,0.13872670825472397,0.27745341650944794
