topic,demo,metric,pol,mean,sd,n,t,p,q
criminal,asian→black,d_approach_retreat,neg,-0.096,3.6705142281150716,250,-0.4135369549187961,0.6795691870744334,0.8553663735772089
criminal,asian→black,d_approach_retreat,pos,0.11,3.336379130556245,250,0.52129948217325,0.6026214851008402,0.8408671885128003
criminal,asian→black,d_latency,neg,0.092,3.0743033951550465,250,0.4731633598589875,0.6365111621245527,0.9942886725311559
criminal,asian→black,d_latency,pos,0.008,2.3494714435925856,250,0.05383811186626604,0.9571073143106854,0.9942886725311559
criminal,asian→black,d_peak_speed,neg,-0.00039496859908103943,0.004655071519155744,250,-1.3415480000707853,0.1809648143405541,0.4776357533942165
criminal,asian→black,d_peak_speed,pos,0.0006318537816405297,0.010082903775149251,250,0.9908341598475583,0.3227284273343497,0.5214962134598632
criminal,asian→black,d_time_to_half,neg,-0.076,4.170587392297055,250,-0.2881286010415278,0.773487985853712,0.9075940459055173
criminal,asian→black,d_time_to_half,pos,-0.09,2.8603542623290727,250,-0.4974995460586962,0.6192758594430825,0.9075940459055173
criminal,asian→black,pull_AUC,neg,2.3765899348391804,19.3960138917652,250,1.937366435253413,0.05383148810081305,0.14148921311715731
criminal,asian→black,pull_AUC,pos,-1.6089755881280754,16.43698437926652,250,-1.547737541355727,0.12295550884023689,0.23684989604311385
criminal,asian→black,pull_MAD,neg,6.912401758693158,40.04521691210555,250,2.7292814654496347,0.006800033113182739,0.024000116870056726
criminal,asian→black,pull_MAD,pos,-3.7903171247057617,35.40738712972319,250,-1.6925896175983064,0.09178440461195153,0.18989876816265833
criminal,asian→black,pull_early,neg,-0.2512946979142725,7.165764620099569,250,-0.5544862631296026,0.5797437842788575,0.849092626946471
criminal,asian→black,pull_early,pos,-0.0831295832991598,4.651623576159971,250,-0.2825667424093808,0.7777437201504913,0.9079064287359776
criminal,asian→black,pull_final,neg,5.8675427095625885,72.1263925638619,132,0.9346500075260389,0.3516883590275681,0.636117419964189
criminal,asian→black,pull_final,pos,-8.975665480501183,67.75942311523612,124,-1.475053596900563,0.14275328628073225,0.3568832157018306
criminal,asian→black,pull_release,neg,6.121648802887648,37.90331188148831,250,2.553649310816898,0.011256863388416818,0.037522877961389395
criminal,asian→black,pull_release,pos,-4.13960055843927,32.8420544324054,250,-1.9929579002001367,0.04735750641148667,0.1183937660287167
criminal,asian→black,pull_tcp,neg,1.6916578272357583,70.51388413169168,250,0.3793218755136159,0.7047721384867511,0.89970911296181
criminal,asian→black,pull_tcp,pos,-2.9042873992584646,75.01583192575056,250,-0.6121483242679957,0.5409982015533313,0.819367114574815
criminal,asian→black,q_exploded,neg,0.078,0.20757734320887386,250,5.941343445294396,9.476274527418339e-09,2.5316798236863836e-08
criminal,asian→black,q_exploded,pos,0.068,0.17748805039249405,250,6.057728405262363,5.066892692962458e-09,1.7077174147097952e-08
criminal,asian→black,q_jerk_in_grasp,neg,0.038,0.1537875235825018,250,3.906901817751591,0.0001205061326749786,nan
criminal,asian→black,q_jerk_in_grasp,pos,0.042,0.1653643901391845,250,4.015848321857057,7.845714793691529e-05,nan
criminal,asian→black,q_tile_drift,neg,0.17505190707743168,0.8909070224532808,250,3.1067368489053644,0.002110900869351999,0.002261679502877142
criminal,asian→black,q_tile_drift,pos,0.17093252515792848,0.5248986173980412,250,5.148957225135795,5.32307064833061e-07,7.604386640472299e-07
criminal,asian→black,xpos_reversals,neg,0.934,0.7381214623438954,250,20.00732592992385,9.667347579028552e-54,3.2224491930095176e-53
criminal,asian→black,xpos_reversals,pos,0.996,0.768339366117671,250,20.49633722037705,2.273277224515785e-55,9.742616676496223e-55
criminal,asian→latino,d_approach_retreat,neg,-0.17,3.6824368786799115,250,-0.7299340354495636,0.46611664555346155,0.745738742582295
criminal,asian→latino,d_approach_retreat,pos,0.086,3.3277469252323826,250,0.40861863129133447,0.6831707522118805,0.8553663735772089
criminal,asian→latino,d_latency,neg,0.026,3.10141890056586,250,0.1325509739258002,0.8946555583248856,0.9942886725311559
criminal,asian→latino,d_latency,pos,-0.154,2.2183254656352713,250,-1.0976539899353064,0.27341592454306846,0.719319230901831
criminal,asian→latino,d_peak_speed,neg,-0.00010024672746658326,0.003170993907881,250,-0.4998558748168694,0.6176179913941089,0.7720224892426361
criminal,asian→latino,d_peak_speed,pos,-0.0006329819411039352,0.005910048897753889,250,-1.6934417009677558,0.0916219820700845,0.366487928280338
criminal,asian→latino,d_time_to_half,neg,-0.31,4.442956159782696,250,-1.1032137606103951,0.27099941001628164,0.8215097701785089
criminal,asian→latino,d_time_to_half,pos,0.022,4.540592905749532,250,0.07660905741584002,0.9389960721463906,0.9639864737078592
criminal,asian→latino,pull_AUC,neg,0.5185739843027175,18.20229632735633,250,0.45045825433585945,0.6527720142119168,0.753198477936827
criminal,asian→latino,pull_AUC,pos,-1.7620387263038546,14.404992045367802,250,-1.9340710786209787,0.0542375316949103,0.14148921311715731
criminal,asian→latino,pull_MAD,neg,1.0472503377939577,38.1679943184584,250,0.4338315920111179,0.6647863768105965,0.7525883511063357
criminal,asian→latino,pull_MAD,pos,-3.751129559092224,34.06786813453068,250,-1.740953258107064,0.08292695440612875,0.1842821209025083
criminal,asian→latino,pull_early,neg,0.050028157420456354,6.968017073377173,250,0.11352076417446276,0.9097091760323242,0.9410784579644733
criminal,asian→latino,pull_early,pos,-0.22563550397753718,4.783117120761776,250,-0.7458756450598487,0.45644608975484047,0.8116032226228067
criminal,asian→latino,pull_final,neg,11.385449644933047,59.23740142435654,129,2.1829764120177684,0.030861754378522194,0.11793607807168335
criminal,asian→latino,pull_final,pos,-3.227325907949033,54.691397776115615,126,-0.6623828415816034,0.5089453225771368,0.7920144834417928
criminal,asian→latino,pull_release,neg,0.2169821779243648,35.506398282891766,250,0.09662454192594273,0.9231022902287102,0.9231022902287102
criminal,asian→latino,pull_release,pos,-3.356580635532737,31.012714519362316,250,-1.7113045605330666,0.08827018008366172,0.1891503858935608
criminal,asian→latino,pull_tcp,neg,0.3456696744542569,72.69890506724818,250,0.07518018932425645,0.940131711280083,0.9896123276632453
criminal,asian→latino,pull_tcp,pos,-6.608047469402663,71.31862682136061,250,-1.465008639479689,0.14418005061639844,0.4475620159080928
criminal,asian→latino,q_exploded,neg,0.086,0.18906873869523547,250,7.191984265914339,7.455052482907708e-12,7.455052482907708e-11
criminal,asian→latino,q_exploded,pos,0.076,0.17987054693478438,250,6.6807241727000015,1.5438128449707677e-10,7.719064224853838e-10
criminal,asian→latino,q_jerk_in_grasp,neg,0.028,0.11519147670388154,250,3.8433301238220436,0.00015413562876865312,nan
