topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,asian→black,choice_chosen_side,pos,-7.1980676328502415,5.024154589371982,42.80193236714976,46,45,18.4,18.0,0.20797588472400824,0.5475630923486131
criminal,asian→black,choice_chosen_side,neg,10.636442894507404,3.879686137750654,60.636442894507404,31,37,12.4,14.799999999999999,0.09345932698095363,0.509778147168838
criminal,asian→black,choice_chosen_side_soft,pos,-5.686630369026013,3.962492437991533,44.31336963097399,58,57,23.200000000000003,22.8,0.26335714041837216,0.4788311643970403
criminal,asian→black,choice_chosen_side_soft,neg,8.566433566433563,2.7972027972027966,58.56643356643356,44,52,17.599999999999998,20.8,0.10548214644036638,0.37843748321127385
criminal,asian→black,choice_first_touch_side,pos,-3.1516936671575846,4.580265095729011,46.84830633284241,105,97,42.0,38.800000000000004,0.3982699913268411,0.6114733657014412
criminal,asian→black,choice_first_touch_side,neg,12.997266929851193,4.570300637716368,62.99726692985119,74,89,29.599999999999998,35.6,0.000999719202070477,0.00999719202070477
criminal,asian→latino,choice_chosen_side,pos,-7.2916666666666625,-5.208333333333334,42.708333333333336,24,48,9.6,19.2,0.31845334138964915,0.5475630923486131
criminal,asian→latino,choice_chosen_side,neg,7.820197044334975,4.248768472906406,57.820197044334975,29,28,11.600000000000001,11.200000000000001,0.29237190334030627,0.5475630923486131
criminal,asian→latino,choice_chosen_side_soft,pos,-9.077380952380953,-2.8273809523809534,40.922619047619044,42,64,16.8,25.6,0.07686758774007829,0.3074703509603131
criminal,asian→latino,choice_chosen_side_soft,neg,3.3591731266149893,-2.1963824289405687,53.35917312661499,43,45,17.2,18.0,0.6696959207657871,0.8133638836992637
criminal,asian→latino,choice_first_touch_side,pos,-4.82758620689655,-1.4942528735632177,45.17241379310345,87,105,34.8,42.0,0.19482441811601348,0.37707951893421965
criminal,asian→latino,choice_first_touch_side,neg,1.429422275163783,0.7444907683144708,51.42942227516378,69,73,27.6,29.2,0.7404697077089971,0.8584769902636787
criminal,asian→middle_eastern,choice_chosen_side,pos,-7.239819004524883,4.2986425339366505,42.76018099547512,51,52,20.4,20.8,0.1682549826189439,0.5475630923486131
criminal,asian→middle_eastern,choice_chosen_side,neg,12.375000000000004,-6.374999999999997,62.375,25,32,10.0,12.8,0.10394484505136672,0.5197242252568336
criminal,asian→middle_eastern,choice_chosen_side_soft,pos,-5.807916937053859,5.061648280337441,44.19208306294614,67,69,26.8,27.6,0.22737133489194492,0.4400735514037643
criminal,asian→middle_eastern,choice_chosen_side_soft,neg,8.295625942684758,-4.449472096530921,58.29562594268476,39,51,15.6,20.4,0.1375010318699904,0.38530858899302844
criminal,asian→middle_eastern,choice_first_touch_side,pos,-8.660130718954251,3.104575163398693,41.33986928104575,90,102,36.0,40.8,0.020346013061024012,0.08649905614078962
criminal,asian→middle_eastern,choice_first_touch_side,neg,9.41617446615175,0.2612448886869623,59.41617446615175,62,71,24.8,28.4,0.037405173264152304,0.12468391088050769
criminal,black→latino,choice_chosen_side,pos,6.09201213346815,-2.603640040444899,56.09201213346815,43,46,17.2,18.4,0.2917728230128148,0.5475630923486131
criminal,black→latino,choice_chosen_side,neg,-6.887532693984305,-5.274629468177855,43.112467306015695,37,31,14.799999999999999,12.4,0.3285378554091679,0.5475630923486131
criminal,black→latino,choice_chosen_side_soft,pos,1.7097829319060454,-0.8325899494498967,51.70978293190605,57,59,22.8,23.599999999999998,0.8527490595296201,0.9302717013050401
criminal,black→latino,choice_chosen_side_soft,neg,-7.415094339622641,-4.584905660377359,42.58490566037736,50,53,20.0,21.2,0.16678049768565398,0.40863691794215307
criminal,black→latino,choice_first_touch_side,pos,2.8222075346992725,-2.2339722405816276,52.822207534699274,85,89,34.0,35.6,0.5438342881741167,0.679792860217646
criminal,black→latino,choice_first_touch_side,neg,-4.321946169772256,0.7505175983436863,45.678053830227746,84,69,33.6,27.6,0.33095455119733197,0.5585809982097412
criminal,black→middle_eastern,choice_chosen_side,pos,12.280058651026394,5.46187683284457,62.280058651026394,31,44,12.4,17.599999999999998,0.05931748418859524,0.3559049051315714
criminal,black→middle_eastern,choice_chosen_side,neg,-0.9576612903225812,-10.332661290322582,49.042338709677416,31,32,12.4,12.8,1.0,1.0
criminal,black→middle_eastern,choice_chosen_side_soft,pos,10.108695652173916,5.108695652173911,60.108695652173914,46,60,18.4,24.0,0.04979310233450388,0.2990507944068316
criminal,black→middle_eastern,choice_chosen_side_soft,neg,-2.0964749536178107,-3.005565862708717,47.90352504638219,49,55,19.6,22.0,0.6979651796673976,0.8133638836992637
criminal,black→middle_eastern,choice_first_touch_side,pos,7.150735294117649,4.025735294117649,57.15073529411765,85,96,34.0,38.4,0.07289537562431403,0.19448750097097314
criminal,black→middle_eastern,choice_first_touch_side,neg,-0.8301158301158296,-4.884169884169887,49.16988416988417,70,74,28.000000000000004,29.599999999999998,0.8682348132642069,0.9139313823833757
criminal,latino→middle_eastern,choice_chosen_side,pos,-4.858803986710958,-12.998338870431894,45.14119601328904,28,43,11.200000000000001,17.2,0.46118220729368675,0.6485484500307929
criminal,latino→middle_eastern,choice_chosen_side,neg,5.116796440489435,3.5038932146829795,55.11679644048944,29,31,11.600000000000001,12.4,0.4508308453619295,0.6485484500307929
criminal,latino→middle_eastern,choice_chosen_side_soft,pos,2.3569023569023573,-6.902356902356901,52.35690235690236,44,54,17.599999999999998,21.6,0.6848512592243498,0.8133638836992637
criminal,latino→middle_eastern,choice_chosen_side_soft,neg,2.197802197802201,9.340659340659343,52.197802197802204,52,49,20.8,19.6,0.6890654924602515,0.8133638836992637
criminal,latino→middle_eastern,choice_first_touch_side,pos,3.370786516853941,2.808988764044945,53.37078651685394,89,89,35.6,35.6,0.4529252577108798,0.6114733657014412
criminal,latino→middle_eastern,choice_first_touch_side,neg,3.467465753424659,2.782534246575341,53.46746575342466,80,73,32.0,29.2,0.42065431745981097,0.6114733657014412
education,asian→black,choice_chosen_side,pos,-7.568238213399503,3.7220843672456594,42.4317617866005,26,31,10.4,12.4,0.2942722469371395,0.5475630923486131
education,asian→black,choice_chosen_side,neg,-9.051036682615631,1.4752791068580544,40.94896331738437,33,38,13.200000000000001,15.2,0.15681228683179016,0.5475630923486131
education,asian→black,choice_chosen_side_soft,pos,1.0204081632653073,6.1224489795918355,51.02040816326531,35,49,14.000000000000002,19.6,1.0,1.0
education,asian→black,choice_chosen_side_soft,neg,-4.624893435635125,0.27706734867860017,45.37510656436488,46,51,18.4,20.4,0.4188003995845998,0.6267921691196989
education,asian→black,choice_first_touch_side,pos,-4.135220125786166,2.468553459119496,45.86477987421384,60,53,24.0,21.2,0.4515286861368426,0.6114733657014412
education,asian→black,choice_first_touch_side,neg,1.6684704184704136,0.2795815295815296,51.66847041847041,77,72,30.8,28.799999999999997,0.744013391561855,0.8584769902636787
education,asian→latino,choice_chosen_side,pos,11.272727272727279,6.727272727272732,61.27272727272728,25,22,10.0,8.799999999999999,0.14756387773376875,0.5475630923486131
education,asian→latino,choice_chosen_side,neg,-7.578947368421051,-5.578947368421053,42.421052631578945,19,25,7.6,10.0,0.3715209810411071,0.5715707400632416
education,asian→latino,choice_chosen_side_soft,pos,8.680555555555557,2.430555555555558,58.68055555555556,36,32,14.399999999999999,12.8,0.2236104742033544,0.4400735514037643
education,asian→latino,choice_chosen_side_soft,neg,-5.934959349593494,2.601626016260164,44.06504065040651,30,41,12.0,16.400000000000002,0.34617141657293404,0.57695236095489
education,asian→latino,choice_first_touch_side,pos,1.0384615384615437,2.9615384615384626,51.03846153846155,50,52,20.0,20.8,0.8455266074246324,0.9059213650978204
education,asian→latino,choice_first_touch_side,neg,-5.4297478126608345,-3.19094184251158,44.570252187339165,58,67,23.200000000000003,26.8,0.28157653798911203,0.5119573417983855
education,asian→middle_eastern,choice_chosen_side,pos,0.0,0.0,50.0,26,22,10.4,8.799999999999999,1.0,1.0
education,asian→middle_eastern,choice_chosen_side,neg,7.272727272727275,2.7272727272727284,57.27272727272727,30,33,12.0,13.200000000000001,0.31530471075971434,0.5475630923486131
education,asian→middle_eastern,choice_chosen_side_soft,pos,-3.5885167464114853,-0.9569377990430616,46.411483253588514,44,38,17.599999999999998,15.2,0.6580710747547505,0.8133638836992637
education,asian→middle_eastern,choice_chosen_side_soft,neg,4.388888888888887,-1.6111111111111132,54.388888888888886,36,50,14.399999999999999,20.0,0.5128525524161944,0.7127962301762758
education,asian→middle_eastern,choice_first_touch_side,pos,-4.670329670329671,-1.0989010989011005,45.32967032967033,52,56,20.8,22.400000000000002,0.3438174309993688,0.5585809982097412
education,asian→middle_eastern,choice_first_touch_side,neg,5.584415584415581,-4.155844155844157,55.58441558441558,70,77,28.000000000000004,30.8,0.1884725133272423,0.3769450266544846
education,black→latino,choice_chosen_side,pos,2.8508771929824595,5.48245614035088,52.85087719298246,24,19,9.6,7.6,0.7643097397221127,0.8991879290848385
education,black→latino,choice_chosen_side,neg,-6.366723259762308,1.5280135823429548,43.63327674023769,31,38,12.4,15.2,0.33858016819571674,0.5490489213984596
education,black→latino,choice_chosen_side_soft,pos,4.139784946236558,2.5268817204301075,54.13978494623656,30,31,12.0,12.4,0.611128966498043,0.8133638836992637
education,black→latino,choice_chosen_side_soft,neg,-7.98319327731093,0.8403361344537813,42.01680672268907,42,51,16.8,20.4,0.1477016257806609,0.38530858899302844
education,black→latino,choice_first_touch_side,pos,4.807692307692313,-0.9615384615384637,54.807692307692314,52,52,20.8,20.8,0.4328507945975443,0.6114733657014412
education,black→latino,choice_first_touch_side,neg,-5.966353677621283,3.1885758998435043,44.033646322378715,72,71,28.799999999999997,28.4,0.18117588549811764,0.3748466596512779
education,black→middle_eastern,choice_chosen_side,pos,11.111111111111116,-11.11111111111111,61.111111111111114,22,18,8.799999999999999,7.199999999999999,0.2025950756095361,0.5475630923486131
education,black→middle_eastern,choice_chosen_side,neg,9.677419354838701,-4.838709677419356,59.677419354838705,31,31,12.4,12.4,0.201634202040044,0.5475630923486131
education,black→middle_eastern,choice_chosen_side_soft,pos,-0.2450980392156854,-8.578431372549023,49.754901960784316,34,36,13.600000000000001,14.399999999999999,1.0,1.0
education,black→middle_eastern,choice_chosen_side_soft,neg,7.72357723577235,-8.943089430894307,57.72357723577235,41,42,16.400000000000002,16.8,0.18388661307396886,0.40863691794215307
education,black→middle_eastern,choice_first_touch_side,pos,3.6868973340896227,-4.849688031764038,53.68689733408962,43,41,17.2,16.400000000000002,0.5191685764730385,0.6627683954974959
education,black→middle_eastern,choice_first_touch_side,neg,6.389058991630947,-2.7658705858338406,56.38905899163095,69,71,27.6,28.4,0.17536054376734253,0.3748466596512779
education,latino→middle_eastern,choice_chosen_side,pos,-4.731457800511507,1.7902813299232738,45.26854219948849,17,23,6.800000000000001,9.2,0.7496312218781631,0.8991879290848385
education,latino→middle_eastern,choice_chosen_side,neg,2.857142857142858,-7.857142857142854,52.85714285714286,40,28,16.0,11.200000000000001,0.8036945391179513,0.9098428744731524
education,latino→middle_eastern,choice_chosen_side_soft,pos,-5.277777777777781,0.27777777777777957,44.72222222222222,40,36,16.0,14.399999999999999,0.49099534150924046,0.7014219164417721
education,latino→middle_eastern,choice_chosen_side_soft,neg,5.683387022549469,-2.8531983433041863,55.68338702254947,53,41,21.2,16.400000000000002,0.3037606101242973,0.5360481355134658
education,latino→middle_eastern,choice_first_touch_side,pos,-4.944697462589459,0.22771633051398843,45.05530253741054,53,58,21.2,23.200000000000003,0.3444582822293404,0.5585809982097412
education,latino→middle_eastern,choice_first_touch_side,neg,7.0524596856501365,-6.327822004490713,57.052459685650135,69,71,27.6,28.4,0.12476476156492905,0.2994354277558297
janitor,asian→black,choice_chosen_side,pos,-2.777777777777779,2.777777777777779,47.22222222222222,6,9,2.4,3.5999999999999996,1.0,1.0
janitor,asian→black,choice_chosen_side,neg,-4.194078947368418,1.0690789473684208,45.80592105263158,32,38,12.8,15.2,0.6316246510808788,0.7802281751861584
janitor,asian→black,choice_chosen_side_soft,pos,-10.256410256410254,-6.410256410256412,39.743589743589745,12,13,4.8,5.2,0.4283079822317942,0.6267921691196989
janitor,asian→black,choice_chosen_side_soft,neg,-3.968253968253971,1.5873015873015872,46.03174603174603,42,45,16.8,18.0,0.5227172354626023,0.7127962301762758
janitor,asian→black,choice_first_touch_side,pos,-7.777777777777778,2.2222222222222197,42.22222222222222,9,15,3.5999999999999996,6.0,0.6751749899044288,0.8267448855972598
janitor,asian→black,choice_first_touch_side,neg,-0.3571428571428559,-2.0238095238095277,49.642857142857146,63,60,25.2,24.0,1.0,1.0
janitor,asian→latino,choice_chosen_side,pos,-18.75,-18.75,31.25,8,12,3.2,4.8,0.15768833849329206,0.5475630923486131
janitor,asian→latino,choice_chosen_side,neg,-15.127919911012233,3.8375973303670734,34.872080088987765,31,29,12.4,11.600000000000001,0.02267532466415289,0.34012986996229333
janitor,asian→latino,choice_chosen_side_soft,pos,-5.882352941176472,8.823529411764705,44.11764705882353,17,17,6.800000000000001,6.800000000000001,0.7282820955113842,0.8244702968053407
janitor,asian→latino,choice_chosen_side_soft,neg,-12.684275184275185,3.224815724815727,37.31572481572481,37,44,14.799999999999999,17.599999999999998,0.026936080552690603,0.24996012374274887
janitor,asian→latino,choice_first_touch_side,pos,-9.027777777777779,-3.472222222222221,40.97222222222222,16,18,6.4,7.199999999999999,0.3269188835124034,0.5585809982097412
janitor,asian→latino,choice_first_touch_side,neg,-12.978723404255321,2.978723404255321,37.02127659574468,45,47,18.0,18.8,0.020999118930209663,0.08649905614078962
janitor,asian→middle_eastern,choice_chosen_side,pos,-0.7142857142857173,20.71428571428571,49.285714285714285,10,7,4.0,2.8000000000000003,1.0,1.0
janitor,asian→middle_eastern,choice_chosen_side,neg,5.138888888888893,2.361111111111108,55.13888888888889,40,36,16.0,14.399999999999999,0.49051729085142737,0.668887214797401
janitor,asian→middle_eastern,choice_chosen_side_soft,pos,3.3333333333333326,20.0,53.333333333333336,15,12,6.0,4.8,1.0,1.0
janitor,asian→middle_eastern,choice_chosen_side_soft,neg,0.8012820512820484,4.96794871794872,50.80128205128205,52,48,20.8,19.2,1.0,1.0
janitor,asian→middle_eastern,choice_first_touch_side,pos,1.4583333333333393,4.791666666666666,51.45833333333334,16,15,6.4,6.0,1.0,1.0
janitor,asian→middle_eastern,choice_first_touch_side,neg,3.6830357142857206,-5.245535714285715,53.68303571428572,64,56,25.6,22.400000000000002,0.4648968139275723,0.6114733657014412
janitor,black→latino,choice_chosen_side,pos,-9.027777777777779,-3.472222222222221,40.97222222222222,8,9,3.2,3.5999999999999996,0.637186343068696,0.7802281751861584
janitor,black→latino,choice_chosen_side,neg,-2.6806526806526785,-1.165501165501165,47.31934731934732,26,33,10.4,13.200000000000001,0.7947745256391849,0.9098428744731524
janitor,black→latino,choice_chosen_side_soft,pos,-14.166666666666666,-10.833333333333334,35.833333333333336,12,15,4.8,6.0,0.2388298111006416,0.447805895813703
janitor,black→latino,choice_chosen_side_soft,neg,-1.5625,-1.5625,48.4375,32,48,12.8,19.2,0.822586150380496,0.9139846115338843
janitor,black→latino,choice_first_touch_side,pos,-16.26984126984127,-5.15873015873016,33.730158730158735,14,18,5.6000000000000005,7.199999999999999,0.08697421238446992,0.21743553096117482
janitor,black→latino,choice_first_touch_side,neg,-0.3373015873015861,1.448412698412696,49.66269841269841,45,56,18.0,22.400000000000002,1.0,1.0
janitor,black→middle_eastern,choice_chosen_side,pos,-19.999999999999996,10.0,30.000000000000004,5,10,2.0,4.0,0.25074925074925075,0.5475630923486131
janitor,black→middle_eastern,choice_chosen_side,neg,7.692307692307687,8.974358974358973,57.692307692307686,36,39,14.399999999999999,15.6,0.241243827534959,0.5475630923486131
janitor,black→middle_eastern,choice_chosen_side_soft,pos,-19.374999999999996,0.6250000000000006,30.625000000000004,16,20,6.4,8.0,0.04246645005942776,0.2990507944068316
janitor,black→middle_eastern,choice_chosen_side_soft,neg,6.870567375886516,2.703900709219859,56.870567375886516,47,48,18.8,19.2,0.21959253306966273,0.4400735514037643
janitor,black→middle_eastern,choice_first_touch_side,pos,-21.42857142857143,7.142857142857144,28.57142857142857,14,14,5.6000000000000005,5.6000000000000005,0.05423789653161035,0.16271368959483104
janitor,black→middle_eastern,choice_first_touch_side,neg,9.77229601518026,4.933586337760914,59.77229601518026,68,62,27.200000000000003,24.8,0.03392456857607525,0.11973377144497147
janitor,latino→middle_eastern,choice_chosen_side,pos,-8.333333333333337,-8.333333333333334,41.666666666666664,9,8,3.5999999999999996,3.2,0.637186343068696,0.7802281751861584
janitor,latino→middle_eastern,choice_chosen_side,neg,12.926829268292684,2.9268292682926855,62.926829268292686,41,35,16.400000000000002,14.000000000000002,0.03731147780178095,0.3559049051315714
janitor,latino→middle_eastern,choice_chosen_side_soft,pos,-10.714285714285715,-10.714285714285715,39.285714285714285,14,12,5.6000000000000005,4.8,0.42164490510162866,0.6267921691196989
janitor,latino→middle_eastern,choice_chosen_side_soft,neg,11.130811662726558,3.6840031520882555,61.13081166272656,54,47,21.6,18.8,0.029162014436654032,0.24996012374274887
janitor,latino→middle_eastern,choice_first_touch_side,pos,9.523809523809524,-7.14285714285714,59.523809523809526,21,12,8.4,4.8,0.46879624703777156,0.6114733657014412
janitor,latino→middle_eastern,choice_first_touch_side,neg,11.388140161725069,-2.8975741239892217,61.38814016172507,53,56,21.2,22.400000000000002,0.021624764035197405,0.08649905614078962
pilot,asian→black,choice_chosen_side,pos,-8.333333333333337,5.000000000000002,41.666666666666664,30,30,12.0,12.0,0.29930159468235956,0.5475630923486131
pilot,asian→black,choice_chosen_side,neg,-0.60606060606061,3.93939393939394,49.39393939393939,45,33,18.0,13.200000000000001,1.0,1.0
pilot,asian→black,choice_chosen_side_soft,pos,-2.62820512820513,0.7051282051282054,47.37179487179487,52,60,20.8,24.0,0.7049153658726952,0.8133638836992637
pilot,asian→black,choice_chosen_side_soft,neg,-5.121527777777779,0.434027777777779,44.87847222222222,64,45,25.6,18.0,0.33385300998910417,0.5723194456956071
pilot,asian→black,choice_first_touch_side,pos,-6.1268472906403915,0.7697044334975395,43.87315270935961,56,58,22.400000000000002,23.200000000000003,0.2608397106290685,0.4890744574295035
pilot,asian→black,choice_first_touch_side,neg,-4.306722689075632,2.8361344537815136,45.693277310924366,68,56,27.200000000000003,22.400000000000002,0.37039502619992726,0.584834251894622
pilot,asian→latino,choice_chosen_side,pos,-12.247474747474751,1.641414141414141,37.752525252525245,33,36,13.200000000000001,14.399999999999999,0.05509771362937369,0.3559049051315714
pilot,asian→latino,choice_chosen_side,neg,-9.006211180124224,1.8633540372670787,40.993788819875775,28,23,11.200000000000001,9.2,0.2639666446957788,0.5475630923486131
pilot,asian→latino,choice_chosen_side_soft,pos,-7.023060796645702,-1.4675052410901446,42.9769392033543,53,54,21.2,21.6,0.1773802487192416,0.40863691794215307
