topic,demo,metric,pol,mean,sd,n,t,p,q
criminal,asian→black,d_approach_retreat,neg,0.056,4.47133485006049,250,0.1980253715140944,0.843186785147562,0.9115111961207257
criminal,asian→black,d_approach_retreat,pos,-0.254,2.6279475705833515,250,-1.5282240305587032,0.12772622175515477,0.8515081450343652
criminal,asian→black,d_latency,neg,0.16,3.3338955349187236,250,0.7588186557250294,0.44867872987339186,0.9857622317291209
criminal,asian→black,d_latency,pos,0.018,2.448808414433928,250,0.11622182761935011,0.9075704167886791,0.9857622317291209
criminal,asian→black,d_peak_speed,neg,0.00022833894193172453,0.004968944811018873,250,0.7265839755514591,0.4681633281056734,0.9240236361161629
criminal,asian→black,d_peak_speed,pos,2.986446022987366e-05,0.0030150064726109206,250,0.15661610725520939,0.8756743163280907,0.9240236361161629
criminal,asian→black,d_time_to_half,neg,-0.122,6.307237189440034,250,-0.30583745541270346,0.759983948214777,0.876904555632435
criminal,asian→black,d_time_to_half,pos,0.752,5.416627679810266,250,2.195122999971376,0.029078232973675303,0.5160198607647606
criminal,asian→black,pull_AUC,neg,0.6018683481737506,9.67693743713849,250,0.983407634985755,0.32636142013932434,0.6955854393777551
criminal,asian→black,pull_AUC,pos,-0.40765046282210393,5.832883844932852,250,-1.1050313927128097,0.2702125923655988,0.6955854393777551
criminal,asian→black,pull_MAD,neg,1.0684304586984217,21.30758348801017,250,0.7928336342989484,0.4286295242508338,0.8296055308080654
criminal,asian→black,pull_MAD,pos,-0.8228058835677803,15.03652564891901,250,-0.8652067389146348,0.38775813074522625,0.7755162614904525
criminal,asian→black,pull_early,neg,-0.22078972905874256,5.0637758675908,250,-0.6894049480603036,0.4912104129198608,0.9253863577629997
criminal,asian→black,pull_early,pos,-0.050470113009214404,1.5122031723904148,250,-0.5277085572533342,0.5981715480704745,0.9253863577629997
criminal,asian→black,pull_final,neg,3.2182633385596646,24.893659313469676,237,1.9902471435851838,0.04771751934088312,0.6280350980640514
criminal,asian→black,pull_final,pos,0.3208582978098501,20.42250561721204,232,0.23930305527193316,0.811082783574089,0.9957116749747343
criminal,asian→black,pull_release,neg,1.8414909285493195,20.167230948745168,250,1.443754385407227,0.150065053985607,0.6641662163322664
criminal,asian→black,pull_release,pos,-0.41185418888926506,14.772805520836027,250,-0.4408090592319614,0.6597337045447381,0.9205586575042858
criminal,asian→black,pull_tcp,neg,1.8123636400559917,24.38698007681682,250,1.1750526373084627,0.2410960811538569,0.6575347667832461
criminal,asian→black,pull_tcp,pos,-1.5976721686311066,19.915662605113766,250,-1.2684195116454815,0.20583276891146518,0.6575347667832461
criminal,asian→black,q_exploded,neg,0.006,0.054551843364434825,250,1.7390490211537188,0.08326201990151932,nan
criminal,asian→black,q_exploded,pos,0.0,0.0,250,nan,nan,nan
criminal,asian→black,q_jerk_in_grasp,neg,0.0,0.0,250,nan,nan,nan
criminal,asian→black,q_jerk_in_grasp,pos,0.0,0.0,250,nan,nan,nan
criminal,asian→black,q_tile_drift,neg,7.027474045753479e-05,0.0010525773520283146,250,1.0556385304831033,0.2921565500272408,0.2921565500272408
criminal,asian→black,q_tile_drift,pos,2.6806533336639403e-05,0.0002902603920388216,250,1.4602354272586384,0.14548594078192312,0.1558777936949176
criminal,asian→black,xpos_reversals,neg,0.386,0.5542859656593405,250,11.01091541595326,3.111315036668113e-23,3.111315036668113e-23
criminal,asian→black,xpos_reversals,pos,0.51,0.5901636829649577,250,13.663680545229644,4.30124070281494e-32,6.45186105422241e-32
criminal,asian→latino,d_approach_retreat,neg,0.21,4.321760109234091,250,0.7682961245540402,0.44303930651594636,0.9115111961207257
