topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,asian→black,choice_chosen_side_soft,pos,3.57142857142857,3.57142857142857,53.57142857142857,7,6,2.8000000000000003,2.4,1.0,1.0
criminal,asian→black,choice_chosen_side_soft,neg,7.738095238095233,-0.5952380952380987,57.738095238095234,7,12,2.8000000000000003,4.8,0.6499166468206716,1.0
criminal,asian→black,choice_first_touch_side,neg,8.333333333333337,-25.0,58.333333333333336,6,6,2.4,2.4,1.0,1.0
criminal,asian→latino,choice_chosen_side_soft,neg,-8.333333333333337,8.333333333333334,41.666666666666664,4,9,1.6,3.5999999999999996,1.0,1.0
criminal,asian→middle_eastern,choice_chosen_side_soft,neg,9.82142857142857,2.67857142857143,59.82142857142857,8,7,3.2,2.8000000000000003,0.6192696192696192,1.0
criminal,asian→middle_eastern,choice_first_touch_side,neg,-8.333333333333337,8.333333333333334,41.666666666666664,4,6,1.6,2.4,1.0,1.0
criminal,black→latino,choice_chosen_side,neg,7.777777777777772,-2.2222222222222197,57.77777777777777,9,5,3.5999999999999996,2.0,1.0,1.0
criminal,black→latino,choice_chosen_side_soft,pos,0.0,0.0,50.0,6,6,2.4,2.4,1.0,1.0
criminal,black→latino,choice_chosen_side_soft,neg,2.3026315789473673,-10.197368421052634,52.30263157894737,19,8,7.6,3.2,1.0,1.0
criminal,black→latino,choice_first_touch_side,neg,10.256410256410254,-6.41025641025641,60.256410256410255,13,6,5.2,2.4,0.6284829721362228,1.0
criminal,black→middle_eastern,choice_chosen_side,neg,-4.999999999999999,-4.999999999999999,45.0,5,8,2.0,3.2,1.0,1.0
criminal,black→middle_eastern,choice_chosen_side_soft,pos,-11.904761904761907,4.761904761904762,38.095238095238095,7,3,2.8000000000000003,1.2,1.0,1.0
criminal,black→middle_eastern,choice_chosen_side_soft,neg,2.500000000000002,5.833333333333335,52.5,12,15,4.8,6.0,1.0,1.0
criminal,black→middle_eastern,choice_first_touch_side,neg,-4.999999999999999,-4.999999999999999,45.0,5,8,2.0,3.2,1.0,1.0
criminal,latino→middle_eastern,choice_chosen_side_soft,neg,-5.555555555555558,0.0,44.44444444444444,9,9,3.5999999999999996,3.5999999999999996,1.0,1.0
education,asian→black,choice_chosen_side,pos,-9.375,15.625,40.625,16,4,6.4,1.6,0.6185758513931889,1.0
education,asian→black,choice_chosen_side_soft,pos,3.0487804878048808,3.0487804878048808,53.04878048780488,41,30,16.400000000000002,12.0,0.6378915149316966,1.0
education,asian→black,choice_chosen_side_soft,neg,-12.393162393162394,6.8376068376068355,37.60683760683761,18,13,7.199999999999999,5.2,0.2749422232856407,1.0
education,asian→black,choice_first_touch_side,pos,-12.222222222222223,17.77777777777778,37.77777777777778,18,5,7.199999999999999,2.0,0.6105679217807365,1.0
education,asian→black,choice_first_touch_side,neg,-14.583333333333337,2.0833333333333344,35.416666666666664,8,6,3.2,2.4,0.592074592074592,1.0
education,asian→latino,choice_chosen_side,pos,-8.18181818181818,-21.818181818181817,41.81818181818182,5,11,2.0,4.3999999999999995,1.0,1.0
education,asian→latino,choice_chosen_side,neg,30.000000000000004,20.0,80.0,3,10,1.2,4.0,0.1923076923076923,0.985576923076923
education,asian→latino,choice_chosen_side_soft,pos,1.7857142857142794,-1.785714285714285,51.78571428571428,28,28,11.200000000000001,11.200000000000001,1.0,1.0
education,asian→latino,choice_chosen_side_soft,neg,2.5862068965517238,-2.5862068965517238,52.58620689655172,12,29,4.8,11.600000000000001,1.0,1.0
education,asian→latino,choice_first_touch_side,pos,0.0,-9.999999999999998,50.0,10,15,4.0,6.0,1.0,1.0
education,asian→latino,choice_first_touch_side,neg,29.166666666666675,20.833333333333332,79.16666666666667,4,12,1.6,4.8,0.08846153846153845,1.0
education,asian→middle_eastern,choice_chosen_side,pos,2.777777777777779,-2.777777777777779,52.77777777777778,8,9,3.2,3.5999999999999996,1.0,1.0
education,asian→middle_eastern,choice_chosen_side,neg,4.761904761904756,-11.904761904761903,54.76190476190476,7,9,2.8000000000000003,3.5999999999999996,1.0,1.0
education,asian→middle_eastern,choice_chosen_side_soft,pos,5.987394957983194,-11.869747899159666,55.98739495798319,34,28,13.600000000000001,11.200000000000001,0.4341292898156449,1.0
education,asian→middle_eastern,choice_chosen_side_soft,neg,12.352941176470589,-2.352941176470591,62.35294117647059,15,17,6.0,6.800000000000001,0.2871874051655553,1.0
education,asian→middle_eastern,choice_first_touch_side,pos,5.000000000000004,4.999999999999999,55.00000000000001,10,12,4.0,4.8,0.6913550845439389,1.0
education,asian→middle_eastern,choice_first_touch_side,neg,3.749999999999998,-16.249999999999996,53.75,8,10,3.2,4.0,1.0,1.0
education,black→latino,choice_chosen_side,pos,1.2987012987012991,5.844155844155844,51.298701298701296,7,11,2.8000000000000003,4.3999999999999995,1.0,1.0
education,black→latino,choice_chosen_side,neg,17.500000000000004,7.500000000000001,67.5,8,5,3.2,2.0,0.29292929292929293,1.0
education,black→latino,choice_chosen_side_soft,pos,1.5625,1.5625,51.5625,32,28,12.8,11.200000000000001,1.0,1.0
education,black→latino,choice_chosen_side_soft,neg,-4.411764705882354,4.411764705882354,45.588235294117645,24,17,9.6,6.800000000000001,0.7519798970950657,1.0
education,black→latino,choice_first_touch_side,pos,-12.142857142857144,2.1428571428571437,37.857142857142854,10,14,4.0,5.6000000000000005,0.40809664827029213,1.0
education,black→latino,choice_first_touch_side,neg,20.833333333333325,4.166666666666669,70.83333333333333,8,6,3.2,2.4,0.2773892773892774,1.0
education,black→middle_eastern,choice_chosen_side,pos,0.0,-7.142857142857142,50.0,7,7,2.8000000000000003,2.8000000000000003,1.0,1.0
education,black→middle_eastern,choice_chosen_side,neg,-5.2083333333333375,-11.458333333333334,44.791666666666664,12,16,4.8,6.4,0.70465293668955,1.0
education,black→middle_eastern,choice_chosen_side_soft,pos,-3.3119658119658113,-0.5341880341880323,46.68803418803419,26,36,10.4,14.399999999999999,0.7972043354449142,1.0
