topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,asian→black,d_approach_retreat,-0.298,-0.07560574988689295,250,250,-0.8452979811846983,0.3983659018399156,0.9458846579553039
criminal,asian→black,d_latency,0.18,0.05872136938500153,250,250,0.6565248683836923,0.511807526114662,0.844726474441897
criminal,asian→black,d_peak_speed,-0.00018966983258724213,-0.04120662030995231,250,250,-0.4607040206803841,0.6452666643662877,0.8605478079439105
criminal,asian→black,d_time_to_half,0.274,0.03710300955603853,250,250,0.4148242576856322,0.6784495484981643,0.992998069714941
criminal,asian→black,pull_AUC,-0.41954641152946287,-0.046470747931140456,250,250,-0.5195587566964388,0.6036297519474847,0.7894373822693328
criminal,asian→black,pull_MAD,-2.1215701002825513,-0.10188048431608976,250,250,-1.1390584425568893,0.25528298755082945,0.49793538693059525
criminal,asian→black,pull_early,0.15192480161786073,0.06562397016618324,250,250,0.7336982912250194,0.4637106648424282,0.8694574965795528
criminal,asian→black,pull_final,0.5213193692422162,0.021638492492625557,225,225,0.22951087164284595,0.8185792168858688,0.9416531409255811
criminal,asian→black,pull_release,-2.4461052189581096,-0.12052123355820805,250,250,-1.3474683548414101,0.1785064003668305,0.39622371323743616
criminal,asian→black,pull_tcp,-1.8167073449585587,-0.07458283210944779,250,250,-0.8338614127558965,0.4047775781110574,0.6707532658540393
criminal,asian→black,q_exploded,0.002,0.033982092470824274,250,250,0.3799313439122343,0.7041615674945862,1.0
criminal,asian→black,q_jerk_in_grasp,0.0,nan,250,250,nan,nan,nan
criminal,asian→black,q_tile_drift,-4.52028214931488e-05,-0.09500606212677798,250,250,-1.062200065950219,0.28916309885651337,0.47036706080768714
criminal,asian→black,xpos_reversals,0.08399999999999996,0.15058098751200405,250,250,1.6835466209794399,0.09290150208921248,0.15393589113621511
criminal,asian→latino,d_approach_retreat,0.126,0.035598958744577226,250,250,0.39800845840542626,0.6908147054699008,0.9458846579553039
criminal,asian→latino,d_latency,0.364,0.12346727388173048,250,250,1.3804060869806685,0.16813673543133362,0.840683677156668
criminal,asian→latino,d_peak_speed,3.9228305220603957e-05,0.009124905562974387,250,250,0.1020195456353836,0.9187822903844113,0.9504644383287013
criminal,asian→latino,d_time_to_half,-0.040000000000000036,-0.006268837816699168,250,250,-0.07008773749030352,0.9441527254798703,0.992998069714941
criminal,asian→latino,pull_AUC,-0.7555690635423087,-0.08604812526613637,250,250,-0.9620472871574907,0.33656301326809523,0.7146661758835173
criminal,asian→latino,pull_MAD,-1.8106743371731138,-0.09067591799845073,250,250,-1.0137875828336624,0.3112116804865784,0.5491970832116089
criminal,asian→latino,pull_early,-0.2725800484418869,-0.07158431761024582,250,250,-0.8003370014972248,0.42410330918396766,0.8694574965795528
criminal,asian→latino,pull_final,-4.865071667051186,-0.17244164699466344,237,233,-1.8688963943598191,0.06226318352787147,0.3735791011672288
criminal,asian→latino,pull_release,-1.6912973138969392,-0.08651729833944782,250,250,-0.967292801583175,0.33389698161351755,0.5564949693558625
criminal,asian→latino,pull_tcp,-2.231662426958792,-0.09011426687151083,250,250,-1.0075081323362776,0.3141931695637813,0.6127561512920556
criminal,asian→latino,q_exploded,-0.002,-0.0517090466297311,250,250,-0.5781247165789257,0.5634699597298454,0.9808224514842759
criminal,asian→latino,q_jerk_in_grasp,0.0,nan,250,250,nan,nan,nan
criminal,asian→latino,q_tile_drift,5.770543217658997e-05,0.08248074810548611,250,250,0.9221627979945195,0.3573271068835565,0.5104672955479378
criminal,asian→latino,xpos_reversals,0.040000000000000036,0.0698293509576381,250,250,0.7807158778298442,0.4353464302424105,0.5224157162908926
criminal,asian→middle_eastern,d_approach_retreat,0.07,0.02185355559509421,250,250,0.24433017930350764,0.807075765675513,0.9458846579553039
criminal,asian→middle_eastern,d_latency,0.546,0.15211758947296403,250,250,1.7007263531747698,0.0897286753603592,0.672965065202694
criminal,asian→middle_eastern,d_peak_speed,-0.00016175836324691773,-0.041288307940636745,250,250,-0.46161731615604057,0.6446193220132364,0.8605478079439105
criminal,asian→middle_eastern,d_time_to_half,-0.068,-0.011446247756412776,250,250,-0.1279729403532171,0.8982226158442529,0.992998069714941
criminal,asian→middle_eastern,pull_AUC,-0.04772626093167931,-0.005853040664972357,250,250,-0.06543898400974381,0.9478514264736297,0.9478514264736297
