topic,demo,metric,pol,mean,sd,n,t,p,q
criminal,asian→black,d_approach_retreat,neg,0.304,4.30927644202774,250,1.115422068674283,0.26574493460803394,0.711598070430707
criminal,asian→black,d_approach_retreat,pos,0.006,3.5356707809814454,250,0.026831776961631436,0.9786153995051574,0.9961696604795246
criminal,asian→black,d_latency,neg,0.084,3.4166706827285633,250,0.38872830910646894,0.6978093258240963,0.8741851932668847
criminal,asian→black,d_latency,pos,0.264,2.668104030293021,250,1.5644841670449536,0.11897389265722476,0.5948694632861238
criminal,asian→black,d_peak_speed,neg,6.751421093940734e-05,0.005676782513210531,250,0.18804549980622587,0.850994139035022,0.9117794346803807
criminal,asian→black,d_peak_speed,pos,-0.00012215562164783478,0.0031855083555992836,250,-0.6063239368403051,0.5448520285005483,0.8483328712520863
criminal,asian→black,d_time_to_half,neg,-0.06,7.220035710621562,250,-0.13139592878396486,0.8955682116703537,0.9782928370290481
criminal,asian→black,d_time_to_half,pos,0.214,7.546056977230855,250,0.4483980317919419,0.6542558955542606,0.9782928370290481
criminal,asian→black,pull_AUC,neg,-0.015689264040405475,10.477513732213255,250,-0.02367632744155658,0.9811297512589943,0.9811297512589943
criminal,asian→black,pull_AUC,pos,-0.43523567556986836,7.296429175668866,250,-0.9431572764061799,0.34651466224928285,0.5197719933739242
criminal,asian→black,pull_MAD,neg,0.10851685145520577,23.939405177889565,250,0.07167271128055233,0.9429199075168023,0.9825411658552429
criminal,asian→black,pull_MAD,pos,-2.0130532488273456,17.15201851825069,250,-1.8557096678511913,0.06467651944566578,0.15522364666959787
criminal,asian→black,pull_early,neg,-0.1613655842840671,3.1243706339631623,250,-0.8166169159870864,0.41492796555464706,0.7779899354149632
criminal,asian→black,pull_early,pos,-0.00944078266620637,0.9785231367562592,250,-0.15254813605539563,0.8788781660767271,0.9416551779393504
criminal,asian→black,pull_final,neg,-1.5811195240045588,25.920852076607357,225,-0.914969646444298,0.36119144918546553,0.5857158635439982
criminal,asian→black,pull_final,pos,-1.0598001547623426,22.112886940765964,225,-0.718902166144955,0.472950464165496,0.6561380974059859
criminal,asian→black,pull_release,neg,0.1932292280253023,23.352772358320998,250,0.13082910707564652,0.8960161340511666,0.8960161340511666
criminal,asian→black,pull_release,pos,-2.2528759909328073,16.68854318868829,250,-2.134464146063212,0.03378175193558069,0.09651929124451626
criminal,asian→black,pull_tcp,neg,-1.672639540862292,26.86503111578074,250,-0.9844303977887658,0.32585951178811623,0.45468769086713895
criminal,asian→black,pull_tcp,pos,-3.4893468858208507,21.561977805771072,250,-2.558736449180476,0.01109772099926621,0.03329316299779863
criminal,asian→black,q_exploded,neg,0.006,0.054551843364434825,250,1.7390490211537188,0.08326201990151932,nan
criminal,asian→black,q_exploded,pos,0.008,0.06286340134701322,250,2.012158166696862,0.04528026312539456,nan
criminal,asian→black,q_jerk_in_grasp,neg,0.0,0.0,250,nan,nan,nan
criminal,asian→black,q_jerk_in_grasp,pos,0.0,0.0,250,nan,nan,nan
criminal,asian→black,q_tile_drift,neg,5.440682172775268e-05,0.0006710751906260061,250,1.281894184986493,0.20107205620294388,0.21543434593172558
criminal,asian→black,q_tile_drift,pos,9.204000234603881e-06,4.9072161130117435e-05,250,2.9655922681800506,0.0033145365202278823,0.007102578257631177
