topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,asian→black,choice_chosen_side_soft,neg,-8.578431372549023,-0.24509803921568818,41.42156862745098,17,12,6.800000000000001,4.8,0.4621373523764435,0.9184119454759841
criminal,asian→black,choice_first_touch_side,neg,-25.0,25.0,25.0,10,3,4.0,1.2,0.23076923076923075,0.7811844077961019
criminal,asian→latino,choice_chosen_side_soft,pos,-27.083333333333336,-10.416666666666666,22.916666666666664,8,9,3.2,3.5999999999999996,0.049773755656108594,0.3262946204122674
criminal,asian→latino,choice_chosen_side_soft,neg,-10.714285714285715,10.714285714285715,39.285714285714285,8,14,3.2,5.6000000000000005,0.38644650842793254,0.9184119454759841
criminal,asian→latino,choice_first_touch_side,pos,-9.999999999999998,20.0,40.0,5,5,2.0,2.0,1.0,1.0
criminal,asian→latino,choice_first_touch_side,neg,16.666666666666675,-16.666666666666668,66.66666666666667,4,6,1.6,2.4,0.5,0.9540499079697222
criminal,asian→middle_eastern,choice_chosen_side,neg,-19.047619047619047,-2.380952380952381,30.952380952380953,7,6,2.8000000000000003,2.4,0.2861305361305362,0.8758169934640523
criminal,asian→middle_eastern,choice_chosen_side_soft,pos,8.333333333333325,-8.333333333333332,58.33333333333333,4,6,1.6,2.4,1.0,1.0
criminal,asian→middle_eastern,choice_chosen_side_soft,neg,-26.682692307692307,-7.9326923076923075,23.317307692307693,13,16,5.2,6.4,0.007878310586708707,0.09296406492316275
criminal,asian→middle_eastern,choice_first_touch_side,neg,-18.75,6.25,31.25,8,8,3.2,3.2,0.3146853146853147,0.8123068492471902
criminal,black→latino,choice_chosen_side,neg,18.75,31.25,68.75,4,8,1.6,3.2,0.49090909090909085,0.9818181818181817
criminal,black→latino,choice_chosen_side_soft,pos,-4.166666666666669,-20.833333333333332,45.83333333333333,8,9,3.2,3.5999999999999996,1.0,1.0
criminal,black→latino,choice_chosen_side_soft,neg,3.076923076923077,6.923076923076921,53.07692307692308,15,13,6.0,5.2,1.0,1.0
criminal,black→latino,choice_first_touch_side,neg,-3.246753246753248,10.389610389610388,46.75324675324675,7,11,2.8000000000000003,4.3999999999999995,1.0,1.0
criminal,black→middle_eastern,choice_chosen_side_soft,pos,11.250000000000004,-1.250000000000001,61.25000000000001,5,8,2.0,3.2,0.5920745920745922,0.9230977565105869
criminal,black→middle_eastern,choice_chosen_side_soft,neg,12.5,4.1666666666666625,62.5,12,12,4.8,4.8,0.4136492125454302,0.9184119454759841
criminal,black→middle_eastern,choice_first_touch_side,neg,33.333333333333336,0.0,83.33333333333334,6,6,2.4,2.4,0.08008658008658008,0.5230769230769231
criminal,latino→middle_eastern,choice_chosen_side_soft,pos,20.833333333333325,4.166666666666669,70.83333333333333,4,9,1.6,3.5999999999999996,0.26573426573426573,0.7126509853782581
criminal,latino→middle_eastern,choice_chosen_side_soft,neg,-8.74125874125874,4.895104895104896,41.25874125874126,13,11,5.2,4.3999999999999995,0.44418831605868897,0.9184119454759841
