topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
CEO,gender,choice_chosen_side,pos,12.5,25.0,62.5,8,8,8.0,8.0,0.5692307692307692,1.0
CEO,gender,choice_chosen_side,neg,50.0,0.0,100.0,2,13,2.0,13.0,0.009523809523809523,0.32380952380952377
CEO,gender,choice_chosen_side_soft,pos,14.743589743589746,18.58974358974359,64.74358974358975,12,13,12.0,13.0,0.20155606407322657,0.8780487804878047
CEO,gender,choice_chosen_side_soft,neg,22.826086956521742,-22.826086956521742,72.82608695652173,4,23,4.0,23.0,0.04854700854700855,0.6241758241758243
CEO,gender,choice_first_touch_side,pos,12.895927601809953,21.71945701357466,62.89592760180995,13,17,13.0,17.0,0.22926536731634184,0.8315390749601277
CEO,gender,choice_first_touch_side,neg,48.684210526315795,1.315789473684209,98.6842105263158,5,38,5.0,38.0,6.233131587640947e-06,0.0006046137640011718
CEO,skin_color,choice_chosen_side,pos,1.6666666666666718,31.666666666666664,51.66666666666667,12,10,12.0,10.0,1.0,1.0
CEO,skin_color,choice_chosen_side_soft,pos,2.3809523809523836,30.952380952380953,52.38095238095239,12,14,12.0,14.000000000000002,1.0,1.0
CEO,skin_color,choice_first_touch_side,pos,-2.389705882352944,28.860294117647058,47.61029411764706,17,16,17.0,16.0,1.0,1.0
CEO,skin_color,choice_first_touch_side,neg,-10.714285714285715,-10.714285714285715,39.285714285714285,7,4,7.000000000000001,4.0,0.5757575757575758,1.0
architect,gender,choice_chosen_side,pos,3.57142857142857,-46.42857142857143,53.57142857142857,14,9,14.000000000000002,9.0,1.0,1.0
architect,gender,choice_chosen_side,neg,2.826086956521745,-42.82608695652174,52.82608695652174,10,23,10.0,23.0,0.5208333333333333,1.0
architect,gender,choice_chosen_side_soft,pos,2.0000000000000018,-48.0,52.0,25,17,25.0,17.0,1.0,1.0
architect,gender,choice_chosen_side_soft,neg,5.35714285714286,-41.07142857142857,55.35714285714286,14,28,14.000000000000002,28.000000000000004,0.2536585365853658,0.8780487804878047
architect,gender,choice_first_touch_side,pos,4.347826086956519,-45.652173913043484,54.347826086956516,23,17,23.0,17.0,0.49871794871794883,1.0
architect,gender,choice_first_touch_side,neg,4.629629629629628,-37.96296296296296,54.629629629629626,12,27,12.0,27.0,0.5732574679943102,1.0
architect,skin_color,choice_chosen_side,pos,-2.67857142857143,-40.17857142857143,47.32142857142857,14,8,14.000000000000002,8.0,1.0,1.0
architect,skin_color,choice_chosen_side,neg,3.57142857142857,-46.42857142857143,53.57142857142857,14,9,14.000000000000002,9.0,1.0,1.0
architect,skin_color,choice_chosen_side_soft,pos,-1.0180995475113142,-45.13574660633484,48.98190045248869,26,17,26.0,17.0,1.0,1.0
architect,skin_color,choice_chosen_side_soft,neg,-1.2987012987012991,-44.15584415584416,48.701298701298704,22,14,22.0,14.000000000000002,1.0,1.0
architect,skin_color,choice_first_touch_side,pos,0.9740259740259716,-41.883116883116884,50.97402597402597,22,14,22.0,14.000000000000002,1.0,1.0
architect,skin_color,choice_first_touch_side,neg,-8.169934640522875,-35.947712418300654,41.830065359477125,17,18,17.0,18.0,0.33766233766233766,0.8852228852228853
athlete,gender,choice_chosen_side,neg,-25.0,-25.0,25.0,11,2,11.0,2.0,0.15384615384615385,1.0
athlete,gender,choice_chosen_side_soft,neg,-33.333333333333336,-16.666666666666664,16.666666666666664,22,3,22.0,3.0,0.01,0.3
athlete,gender,choice_first_touch_side,pos,-6.060606060606066,-10.606060606060606,43.93939393939393,3,11,3.0,11.0,1.0,1.0
athlete,gender,choice_first_touch_side,neg,-41.66666666666667,-8.333333333333332,8.333333333333332,17,6,17.0,6.0,0.00017831139112603646,0.0049833332888531865
athlete,skin_color,choice_chosen_side_soft,pos,16.666666666666664,-33.333333333333336,66.66666666666666,3,9,3.0,9.0,0.25,0.8780487804878047
athlete,skin_color,choice_chosen_side_soft,neg,17.460317460317466,-10.31746031746032,67.46031746031747,7,9,7.000000000000001,9.0,0.30244755244755245,0.9721528471528471
athlete,skin_color,choice_first_touch_side,neg,23.214285714285722,-1.785714285714285,73.21428571428572,7,8,7.000000000000001,8.0,0.13193473193473193,0.7528040586864116
boss,gender,choice_chosen_side,pos,25.238095238095237,18.0952380952381,75.23809523809524,15,7,15.0,7.000000000000001,0.02073365231259968,0.35247208931419455
boss,gender,choice_chosen_side,neg,7.57575757575758,-24.242424242424246,57.57575757575758,3,11,3.0,11.0,1.0,1.0
boss,gender,choice_chosen_side_soft,pos,22.6890756302521,15.546218487394958,72.68907563025209,17,7,17.0,7.000000000000001,0.03806948200540878,0.5710422300811316
boss,gender,choice_chosen_side_soft,neg,1.1904761904761862,-34.523809523809526,51.19047619047619,6,14,6.0,14.000000000000002,1.0,1.0
boss,gender,choice_first_touch_side,pos,10.855263157894735,23.355263157894733,60.85526315789473,19,16,19.0,16.0,0.24530286176559812,0.8315390749601277
boss,gender,choice_first_touch_side,neg,-4.999999999999999,-38.333333333333336,45.0,15,18,15.0,18.0,0.6074046920821116,1.0
boss,skin_color,choice_chosen_side,pos,-6.25,18.75,43.75,8,8,8.0,8.0,1.0,1.0
boss,skin_color,choice_chosen_side,neg,-6.25,-43.75,43.75,3,8,3.0,8.0,1.0,1.0
boss,skin_color,choice_chosen_side_soft,pos,0.5050505050505083,5.050505050505053,50.505050505050505,9,11,9.0,11.0,1.0,1.0
boss,skin_color,choice_chosen_side_soft,neg,-14.285714285714285,-35.714285714285715,35.714285714285715,5,14,5.0,14.000000000000002,0.5304437564499485,1.0
boss,skin_color,choice_first_touch_side,pos,-7.638888888888889,20.13888888888889,42.36111111111111,8,9,8.0,9.0,0.6199095022624435,1.0
boss,skin_color,choice_first_touch_side,neg,1.5873015873015817,-29.365079365079367,51.58730158730158,9,21,9.0,21.0,1.0,1.0
chef,gender,choice_chosen_side,pos,4.1666666666666625,-45.83333333333333,54.166666666666664,12,11,12.0,11.0,1.0,1.0
chef,gender,choice_chosen_side,neg,-5.555555555555558,-44.44444444444444,44.44444444444444,15,9,15.0,9.0,0.37500000000000006,1.0
chef,gender,choice_chosen_side_soft,pos,4.761904761904767,-45.23809523809524,54.761904761904766,21,18,21.0,18.0,0.48987854251012153,1.0
chef,gender,choice_chosen_side_soft,neg,-3.125,-46.875,46.875,25,16,25.0,16.0,0.39024390243902435,1.0
chef,gender,choice_first_touch_side,pos,3.125,-40.625,53.125,16,16,16.0,16.0,1.0,1.0
chef,gender,choice_first_touch_side,neg,-13.333333333333336,-36.666666666666664,36.666666666666664,22,15,22.0,15.0,0.02066772655007949,0.2227521639286345
chef,skin_color,choice_chosen_side,pos,-4.999999999999999,-45.0,45.0,3,10,3.0,10.0,1.0,1.0
chef,skin_color,choice_chosen_side,neg,-5.882352941176472,-44.11764705882353,44.11764705882353,19,17,19.0,17.0,0.21587301587301588,1.0
chef,skin_color,choice_chosen_side_soft,pos,-2.777777777777779,-47.22222222222222,47.22222222222222,11,18,11.0,18.0,1.0,1.0
chef,skin_color,choice_chosen_side_soft,neg,-6.0,-44.0,44.0,24,25,24.0,25.0,0.23469387755102045,0.8780487804878047
chef,skin_color,choice_first_touch_side,pos,-2.8205128205128216,-39.48717948717949,47.179487179487175,13,15,13.0,15.0,1.0,1.0
chef,skin_color,choice_first_touch_side,neg,-4.761904761904762,-45.23809523809524,45.23809523809524,20,21,20.0,21.0,0.4878048780487805,1.0
chemical_engineer,gender,choice_chosen_side,pos,-6.25,-31.25,43.75,8,8,8.0,8.0,1.0,1.0
chemical_engineer,gender,choice_chosen_side_soft,pos,-4.487179487179482,-37.82051282051282,45.51282051282052,13,12,13.0,12.0,0.5930434782608696,1.0
chemical_engineer,gender,choice_first_touch_side,pos,-0.3205128205128194,-41.98717948717948,49.67948717948718,13,12,13.0,12.0,1.0,1.0
chemical_engineer,skin_color,choice_chosen_side,neg,9.999999999999998,0.0,60.0,5,5,5.0,5.0,1.0,1.0
chemical_engineer,skin_color,choice_chosen_side_soft,pos,-4.999999999999999,-45.0,45.0,7,10,7.000000000000001,10.0,1.0,1.0
chemical_engineer,skin_color,choice_chosen_side_soft,neg,11.250000000000004,1.250000000000001,61.25000000000001,8,5,8.0,5.0,0.5920745920745921,1.0
chemical_engineer,skin_color,choice_first_touch_side,pos,-10.31746031746032,-17.46031746031746,39.682539682539684,9,7,9.0,7.000000000000001,0.5961538461538463,1.0
chemical_engineer,skin_color,choice_first_touch_side,neg,-2.67857142857143,9.82142857142857,47.32142857142857,7,8,7.000000000000001,8.0,1.0,1.0
