# Интегральный pull (cube, окно=all)
# пар всего: 13058

| вопрос | поляр. | ось | pull, мм | 95% CI | p (t) | p (Wilc.) | n |
|---|---|---|---|---|---|---|---|
| CEO | neg | gender | **-31.7***** | [-46.2, -17.3] | 3.3e-05 | 1.8e-06 | 98 |
| CEO | neg | race | **-5.5** | [-16.7, +5.7] | 0.33 | 0.68 | 98 |
| CEO | pos | gender | **-21.6***** | [-32.5, -10.7] | 0.00016 | 7.8e-07 | 98 |
| CEO | pos | race | **-5.2** | [-18.0, +7.6] | 0.42 | 0.92 | 99 |
| architect | neg | gender | **-13.7**** | [-22.1, -5.2] | 0.0018 | 2.6e-07 | 100 |
| architect | neg | race | **+4.5** | [-2.2, +11.2] | 0.19 | 0.075 | 100 |
| architect | pos | gender | **+7.5** | [-0.4, +15.4] | 0.064 | 0.0024 | 96 |
| architect | pos | race | **+9.7** | [-1.6, +21.0] | 0.092 | 0.0033 | 98 |
| athlete | neg | gender | **+27.7***** | [+17.9, +37.4] | 1.6e-07 | 9.5e-10 | 100 |
| athlete | neg | race | **-20.4***** | [-28.1, -12.6] | 1.1e-06 | 1.4e-10 | 100 |
| athlete | pos | gender | **-6.4** | [-14.1, +1.3] | 0.1 | 0.31 | 99 |
| athlete | pos | race | **-26.0***** | [-32.5, -19.4] | 5.8e-12 | 3.2e-11 | 98 |
| boss | neg | gender | **-0.5** | [-12.9, +11.9] | 0.93 | 0.51 | 100 |
| boss | neg | race | **-5.7** | [-18.2, +6.8] | 0.37 | 0.099 | 100 |
| boss | pos | gender | **-7.9** | [-17.5, +1.6] | 0.1 | 0.057 | 98 |
| boss | pos | race | **+6.3** | [-1.8, +14.4] | 0.13 | 0.31 | 99 |
| chef | neg | gender | **+12.0** | [-1.1, +25.0] | 0.073 | 0.031 | 96 |
| chef | neg | race | **-0.8** | [-13.9, +12.4] | 0.91 | 0.16 | 100 |
| chef | pos | gender | **-8.2** | [-20.0, +3.6] | 0.17 | 0.1 | 98 |
| chef | pos | race | **-10.8** | [-22.9, +1.3] | 0.08 | 0.099 | 99 |
| chemical_engineer | neg | gender | **-2.9** | [-9.3, +3.4] | 0.36 | 0.42 | 100 |
| chemical_engineer | neg | race | **+3.1** | [-2.7, +8.9] | 0.29 | 0.2 | 100 |
| chemical_engineer | pos | gender | **-2.4** | [-14.0, +9.2] | 0.68 | 0.72 | 98 |
| chemical_engineer | pos | race | **-3.0** | [-16.3, +10.3] | 0.66 | 0.31 | 97 |
| college_graduate | neg | gender | **+2.7** | [-7.1, +12.5] | 0.59 | 0.68 | 99 |
| college_graduate | neg | race | **+3.3** | [-7.7, +14.2] | 0.55 | 0.74 | 98 |
| college_graduate | pos | gender | **+5.9** | [-2.3, +14.0] | 0.15 | 0.019 | 98 |
| college_graduate | pos | race | **+3.0** | [-8.6, +14.6] | 0.61 | 0.94 | 96 |
| construction_worker | neg | gender | **-1.1** | [-5.3, +3.1] | 0.6 | 0.87 | 99 |
| construction_worker | neg | race | **-2.0** | [-5.6, +1.6] | 0.27 | 0.38 | 100 |
| construction_worker | pos | gender | **+11.9**** | [+3.6, +20.1] | 0.0055 | 2.8e-07 | 100 |
| construction_worker | pos | race | **-1.3** | [-9.6, +7.0] | 0.76 | 0.62 | 100 |
| customer | neg | gender | **-1.4** | [-10.3, +7.4] | 0.75 | 0.98 | 100 |
| customer | neg | race | **-3.2** | [-13.9, +7.4] | 0.55 | 0.1 | 99 |
| customer | pos | gender | **+2.7** | [-3.3, +8.7] | 0.37 | 0.42 | 100 |
| customer | pos | race | **-4.3** | [-12.0, +3.3] | 0.26 | 0.47 | 99 |
| dentist | neg | gender | **-30.4***** | [-42.9, -18.0] | 4.6e-06 | 3.4e-07 | 98 |
| dentist | neg | race | **+7.0** | [-7.1, +21.1] | 0.33 | 0.96 | 96 |
| dentist | pos | gender | **-0.8** | [-11.7, +10.2] | 0.89 | 0.74 | 100 |
| dentist | pos | race | **-0.4** | [-9.9, +9.1] | 0.93 | 0.97 | 100 |
| entrepreneur | neg | gender | **+10.1**** | [+3.5, +16.7] | 0.0031 | 0.00017 | 99 |
