topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,gender,d_approach_retreat,-0.41100000000000003,-0.08576728785427416,500,500,-1.35609989177401,0.17538242303447968,0.4384560575861992
criminal,gender,d_latency,-0.27,-0.13771420962435038,500,500,-2.177452842914142,0.02968220425405736,0.0742055106351434
criminal,gender,d_peak_speed,-3.469223156571388e-05,-0.010620840540292352,500,500,-0.16793023386388584,0.8666741208515895,0.9181508832548534
criminal,gender,d_time_to_half,0.34700000000000003,0.06571031166488417,500,500,1.0389712531028243,0.29907216581547125,0.7109288878557677
criminal,gender,pull_AUC,-0.17117667029668238,-0.013888492448697883,500,500,-0.21959634701967273,0.8262317908300667,0.8262317908300666
criminal,gender,pull_MAD,1.0758800822502237,0.04739087981540887,500,500,0.7493156026799601,0.45385631799014126,0.7414828810189156
criminal,gender,pull_early,-1.2724889295175672,-0.06420742995235798,500,500,-1.0152086067758388,0.31025349856675755,0.5170891642779293
criminal,gender,pull_final,-1.0364036146705318,-0.026304360515390382,411,438,-0.3832413147167154,0.7016370931678245,0.7016370931678245
criminal,gender,pull_release,2.1921505240025,0.08868719586370816,500,500,1.4022676911139094,0.16114655959232296,0.2014331994904037
criminal,gender,pull_tcp,-2.200067013851367,-0.0895068072163971,500,500,-1.4152268844670524,0.15731482559962848,0.1966435319995356
criminal,gender,q_exploded,0.009000000000000001,0.11089435683720458,500,500,1.7533937363251635,0.07989084488270241,0.3994542244135121
criminal,gender,q_jerk_in_grasp,0.0,nan,500,500,nan,nan,nan
criminal,gender,q_tile_drift,0.0008200847953557969,0.18264833469326267,500,500,2.8879237423373083,0.004034086845102813,0.006723478075171356
criminal,gender,xpos_reversals,0.16899999999999993,0.23331174660947837,500,500,3.6889826207900955,0.00023731672121365306,0.0011865836060682654
education,gender,d_approach_retreat,-0.395,-0.09105405527829069,500,500,-1.439691024371377,0.15026845319881646,0.4384560575861992
education,gender,d_latency,0.188,0.11616156024400483,500,500,1.836675534649599,0.0665651670495749,0.11094194508262482
education,gender,d_peak_speed,-0.0002321612425148487,-0.07733925434377777,500,500,-1.2228409813270436,0.2216784481651751,0.9181508832548534
education,gender,d_time_to_half,0.048,0.008739093021165918,500,500,0.13817719315483187,0.8901283043781589,0.8901283043781589
education,gender,pull_AUC,0.3919260902968846,0.033874357505169074,500,500,0.5356006199557661,0.5923545166829826,0.7836563074567016
education,gender,pull_MAD,0.004549766717245829,0.00019889718931911254,500,500,0.003144840692270552,0.9974914459285811,0.9974914459285811
education,gender,pull_early,-2.25483208373189,-0.123972070379062,500,500,-1.960170543222649,0.050253804585576455,0.2512690229278823
education,gender,pull_final,2.5618153796855823,0.06736402324512186,424,428,0.9829238554396194,0.3259274430123369,0.49545380756412516
education,gender,pull_release,3.2141750275186496,0.12392222010349441,500,500,1.9593823411587459,0.05034620238149878,0.12586550595374693
education,gender,pull_tcp,3.031678846105933,0.11209125087110404,500,500,1.7723182926501089,0.07664763166640651,0.1966435319995356
education,gender,q_exploded,0.004,0.06372627119075715,500,500,1.0076008187618155,0.31390516375309746,0.5340016656892633
education,gender,q_jerk_in_grasp,0.0,nan,500,500,nan,nan,nan
education,gender,q_tile_drift,0.00010045042634010317,0.05340715007980171,500,500,0.8444411879530841,0.3986299899175969,0.3986299899175969
education,gender,xpos_reversals,-0.020000000000000018,-0.028544124444544825,500,500,-0.45132223530025134,0.6518555328084983,0.6710227305718932
janitor,gender,d_approach_retreat,-0.184,-0.040275331699110246,500,500,-0.6368089084398385,0.5243955465972053,0.6554944332465067
janitor,gender,d_latency,0.284,0.10120659372564779,500,500,1.6002167520017665,0.10989884895393401,0.1373735611924175
janitor,gender,d_peak_speed,2.5077007710933675e-05,0.006501023116757504,500,500,0.10279020085180232,0.9181508832548535,0.9181508832548534
janitor,gender,d_time_to_half,-0.37600000000000006,-0.05031039515073066,500,500,-0.7954771932969956,0.42655733271346064,0.7109288878557677
janitor,gender,pull_AUC,0.8113908692994833,0.059580129787690714,500,500,0.9420445670877348,0.34642471583044265,0.7836563074567016
janitor,gender,pull_MAD,0.9410214542795434,0.03379877621773494,500,500,0.5344055748718676,0.5931863048151325,0.7414828810189156
janitor,gender,pull_early,0.026645127870142615,0.0012452054037488745,500,500,0.019688426152980068,0.9842962557031365,0.9842962557031365
janitor,gender,pull_final,-3.858267067731151,-0.0839227279366094,438,381,-1.1932945029167936,0.2331222366636126,0.49545380756412516
janitor,gender,pull_release,1.4084744483116083,0.048466451104084096,500,500,0.766321877970441,0.44368048827480433,0.44368048827480433
janitor,gender,pull_tcp,-0.07093907368835062,-0.0022421793282868196,500,500,-0.03545196799966376,0.9717268334345667,0.9717268334345667
janitor,gender,q_exploded,-0.005000000000000001,-0.06166428616360327,500,500,-0.9749979728269638,0.32980519933032404,0.5340016656892633
janitor,gender,q_jerk_in_grasp,0.0,nan,500,500,nan,nan,nan
janitor,gender,q_tile_drift,-0.0017396112531423572,-0.48219725326262697,500,500,-7.624208008934798,8.32416353520908e-14,4.1620817676045396e-13
janitor,gender,xpos_reversals,-0.11299999999999999,-0.13756929391092382,500,500,-2.1751615242982614,0.029856724238602673,0.07464181059650668
pilot,gender,d_approach_retreat,-0.238,-0.058475114891003474,500,500,-0.9245727474779982,0.3554117521085579,0.5923529201809298
pilot,gender,d_latency,0.32599999999999996,0.17452857955441445,500,500,2.759539140929223,0.005900909098747963,0.029504545493739816
pilot,gender,d_peak_speed,3.275303170084955e-05,0.009543902304263776,500,500,0.15090234523801427,0.8800851400907741,0.9181508832548534
pilot,gender,d_time_to_half,0.099,0.015554327147254299,500,500,0.24593550628356414,0.8057930278315536,0.8901283043781589
