topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,gender,d_approach_retreat,-0.040000000000000036,-0.010730366016495442,100,100,-0.07587514574877609,0.9396011929478393,0.9609050501670715
criminal,gender,d_latency,0.25,0.14000527221699416,100,100,0.989986773865051,0.3234462879725103,0.8755361290254038
criminal,gender,d_peak_speed,0.00023683026432991025,0.08912489299676321,100,100,0.630208162105367,0.5293439332542706,0.6616799165678383
criminal,gender,d_time_to_half,0.20999999999999996,0.043248668736495355,100,100,0.305814269408665,0.7600733828051203,0.9100687636941904
criminal,gender,pull_AUC,-0.3076192054543938,-0.03355479125464622,100,100,-0.23726820437459406,0.8127061895144979,0.994647112151805
criminal,gender,pull_MAD,-2.685447892919183,-0.16152601758493126,100,100,-1.142161423723624,0.25476798865396627,0.4832275832904777
criminal,gender,pull_early,-0.7474744431674479,-0.04068798693834159,100,100,-0.28770751476931006,0.773918524416397,0.9424136340134084
criminal,gender,pull_release,-3.1652747237239964,-0.12890048688671796,100,100,-0.9114640837584591,0.3631759704171097,0.7772339077461716
criminal,gender,pull_tcp,-3.3079564961371943,-0.12291730336406526,100,100,-0.8691565873389456,0.38583065918943427,0.6430510986490571
criminal,gender,q_exploded,0.015,0.24746133718636099,100,100,1.7498158960596661,0.083248625244961,0.2081215631124025
criminal,gender,q_jerk_in_grasp,0.0,nan,100,100,nan,nan,nan
criminal,gender,q_tile_drift,0.00017400667071342467,0.12523095822239233,100,100,0.8855165977354287,0.3770074786500266,0.3770074786500266
criminal,gender,xpos_reversals,-0.0050000000000000044,-0.008373517618158112,100,100,-0.059209710901846284,0.9528472129019847,0.9528472129019846
education,gender,d_approach_retreat,0.8150000000000001,0.21437744995142863,100,100,1.5158774859413489,0.1312309874330243,0.5147826051508257
education,gender,d_latency,0.06499999999999999,0.0449095141754774,100,100,0.3175582201327345,0.751169508074575,0.8755361290254038
education,gender,d_peak_speed,0.0006140415370464325,0.13803751550533933,100,100,0.9760726327196864,0.330417702847816,0.6616799165678383
education,gender,d_time_to_half,1.6600000000000001,0.3314822540456416,100,100,2.3439334967867507,0.020248041591437393,0.10124020795718697
education,gender,pull_AUC,1.833455940438434,0.16517910424346682,100,100,1.16799264720875,0.2443993620817102,0.994647112151805
education,gender,pull_MAD,3.8547396661713718,0.1501092806875836,100,100,1.0614329029322525,0.28993654997428664,0.4832275832904777
education,gender,pull_early,1.102662831544876,0.06931234145573396,100,100,0.4901122666326694,0.624605526485102,0.9424136340134084
education,gender,pull_release,1.5121194277890027,0.06458316864847366,100,100,0.4566719650185016,0.6484225106121833,0.7772339077461716
education,gender,pull_tcp,1.6199901048094034,0.05909536893037818,100,100,0.4178673610739122,0.6765084732411333,0.8203265101905923
education,gender,q_exploded,0.004999999999999999,0.06376290786100622,100,100,0.4508718453669052,0.6525940392612763,0.6525940392612763
education,gender,q_jerk_in_grasp,0.0,nan,100,100,nan,nan,nan
education,gender,q_tile_drift,0.0004772984981536865,0.25338993488680883,100,100,1.7917374124288026,0.07555618814873144,0.0944452351859143
education,gender,xpos_reversals,0.12,0.23494037533641912,100,100,1.6612793257489467,0.09834010267205243,0.2728937032667434
janitor,gender,d_approach_retreat,-0.03,-0.006942476862679707,100,100,-0.049090724678315274,0.9609050501670716,0.9609050501670715
janitor,gender,d_latency,0.045,0.02218544994579625,100,100,0.15687482100347253,0.8755361290254038,0.8755361290254038
janitor,gender,d_peak_speed,0.00043541112914681436,0.13378038991844143,100,100,0.9459702090111036,0.34533420992525377,0.6616799165678383
janitor,gender,d_time_to_half,-0.73,-0.13477462476209942,100,100,-0.9530005110115289,0.34203646704872326,0.8550911676218081
janitor,gender,pull_AUC,0.010070718343137774,0.0009500791017773754,100,100,0.006718073755304062,0.9946471121518049,0.994647112151805
janitor,gender,pull_MAD,0.7680822502821685,0.0357972678067091,100,100,0.2531249081407489,0.8004479483629479,0.8203770585174013
janitor,gender,pull_early,-3.729805666953325,-0.18548682482760756,100,100,-1.3115899165636258,0.19119050067861668,0.9424136340134084
janitor,gender,pull_release,2.1360835060477257,0.09411867953775682,100,100,0.665519565374714,0.5065558074007921,0.7772339077461716
janitor,gender,pull_tcp,0.8440911793150008,0.03216390734160288,100,100,0.2274331699070318,0.8203265101905923,0.8203265101905923
janitor,gender,q_exploded,-0.01,-0.11685534824642431,100,100,-0.8262920916296217,0.4097373594362983,0.5121716992953729
janitor,gender,q_jerk_in_grasp,0.0,nan,100,100,nan,nan,nan
janitor,gender,q_tile_drift,-0.0020224062725901605,-0.4579610653434357,100,100,-3.23827374823759,0.0015626347738384183,0.007813173869192091
janitor,gender,xpos_reversals,0.08000000000000007,0.10107656087013767,100,100,0.7147192161028918,0.47563058804625646,0.6100566176116972
pilot,gender,d_approach_retreat,-0.38,-0.09617482847342029,100,100,-0.6800587339300855,0.49726228849335385,0.8287704808222564
pilot,gender,d_latency,0.09999999999999999,0.045644026722514434,100,100,0.32275200816149935,0.747243178637012,0.8755361290254038
pilot,gender,d_peak_speed,-0.00022803226485848424,-0.052583038531259,100,100,-0.3718182312084676,0.7105003079005294,0.7105003079005294
pilot,gender,d_time_to_half,-0.1,-0.015995135633359372,100,100,-0.11310268872346994,0.9100687636941904,0.9100687636941904
pilot,gender,pull_AUC,-0.3756801671913121,-0.03364904006165951,100,100,-0.23793464408017248,0.8121810263333441,0.994647112151805
pilot,gender,pull_MAD,-0.6776317853480575,-0.03215383491160725,100,100,-0.22736194707150237,0.8203770585174013,0.8203770585174013
pilot,gender,pull_early,2.409274265170098,0.11819112755528818,100,100,0.8357374777042849,0.40430998897441306,0.9424136340134084
pilot,gender,pull_release,-0.9185838504345156,-0.04006792195979712,100,100,-0.2833229932582593,0.7772339077461716,0.7772339077461716
pilot,gender,pull_tcp,7.01933647505939,0.3033066401472808,100,100,2.144701820270502,0.03319679039016389,0.16598395195081944
pilot,gender,q_exploded,0.015,0.24746133718636099,100,100,1.7498158960596661,0.083248625244961,0.2081215631124025
pilot,gender,q_jerk_in_grasp,0.0,nan,100,100,nan,nan,nan
pilot,gender,q_tile_drift,0.0012134946882724764,0.3757245468068331,100,100,2.6567737490535404,0.008673703815583937,0.014456173025973228
pilot,gender,xpos_reversals,-0.135,-0.22765435495932204,100,100,-1.6097593815838591,0.10915748130669735,0.2728937032667434
wealthy,gender,d_approach_retreat,0.9500000000000001,0.17947817922818787,100,100,1.269102376072662,0.2059130420603303,0.5147826051508257
wealthy,gender,d_latency,0.28500000000000003,0.09568199009043295,100,100,0.6765738403036917,0.4994811051025616,0.8755361290254038
wealthy,gender,d_peak_speed,0.0004812312498688698,0.11926825519875839,100,100,0.8433539203132976,0.4000504137235026,0.6616799165678383
wealthy,gender,d_time_to_half,0.515,0.05358782467438677,100,100,0.3789231421629467,0.7051967967807777,0.9100687636941904
wealthy,gender,pull_AUC,0.45801746518630504,0.034938305149118894,100,100,0.24705112494106837,0.8051266652099967,0.994647112151805
wealthy,gender,pull_MAD,4.531166015285999,0.1528053376180322,100,100,1.080496904312104,0.28151321007810165,0.4832275832904777
wealthy,gender,pull_early,0.21162241324782372,0.010233071459328948,100,100,0.07235874221258018,0.9424136340134084,0.9424136340134084
wealthy,gender,pull_release,1.1068628169596195,0.04290057094258825,100,100,0.3033528463027871,0.761945785434184,0.7772339077461716
wealthy,gender,pull_tcp,3.2534798281267285,0.13095805694836835,100,100,0.9260133011920532,0.35557691331217334,0.6430510986490571
wealthy,gender,q_exploded,-0.01,-0.20101781827814702,100,100,-1.4214106244380287,0.15833990565972564,0.2638998427662094
wealthy,gender,q_jerk_in_grasp,0.0,nan,100,100,nan,nan,nan
wealthy,gender,q_tile_drift,0.000800538808107376,0.37659965669310086,100,100,2.6629617104021737,0.008586423346691194,0.014456173025973228
wealthy,gender,xpos_reversals,-0.06999999999999995,-0.09824851585937713,100,100,-0.6947219180567962,0.4880452940893577,0.6100566176116972
criminal,gender,choice_chosen_side_soft,-5.555555555555558,-0.11134101434096388,50,30,-0.8272397728959447,0.40810117264063406,0.6801686210677235
criminal,gender,choice_first_touch_side,-3.57142857142857,-0.07148944988552075,56,20,-0.4313705213045489,0.6661989807337271,0.9056377445665829
education,gender,choice_chosen_side,-6.666666666666665,-0.13373158940994156,17,23,-0.6354582739769088,0.5251295721565461,1.0
education,gender,choice_chosen_side_soft,-6.25,-0.12532783116806523,34,43,-0.9559096834804184,0.3391178662587563,0.6801686210677235
education,gender,choice_first_touch_side,-1.1904761904761862,-0.023811773960668692,28,35,-0.15319500013276613,0.8782445004491188,0.9056377445665829
janitor,gender,choice_chosen_side,1.2286732874968176,0.024615160783894696,38,34,0.1644515421856647,0.8693756910392789,1.0
janitor,gender,choice_chosen_side_soft,-0.5675287356321945,-0.01135346973605067,54,61,-0.10082264881499464,0.9196912472970898,0.91969124729709
janitor,gender,choice_first_touch_side,0.6448412698412676,0.012908394100896503,59,54,0.11854259816274916,0.9056377445665829,0.9056377445665829
pilot,gender,choice_chosen_side,2.3809523809523836,0.047637062624402926,84,78,0.6951295887298287,0.4869740933024741,1.0
pilot,gender,choice_chosen_side_soft,2.7291105121293846,0.05459092659813791,110,104,0.9767175590803304,0.3287089997219299,0.6801686210677235
pilot,gender,choice_first_touch_side,2.4801587301587267,0.049609458530310846,132,108,0.9710191395067095,0.331538747731956,0.9056377445665829
wealthy,gender,choice_chosen_side,0.0,0.0,41,11,0.0,1.0,1.0
wealthy,gender,choice_chosen_side_soft,-1.9230769230769218,-0.03847102740732855,54,27,-0.2946854294322954,0.7682341948030036,0.91969124729709
wealthy,gender,choice_first_touch_side,-3.2121212121212106,-0.06436494986513486,55,20,-0.39146304482842736,0.6954549995496425,0.9056377445665829
