topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,gender,choice_chosen_side,pos,0.0,50.0,50.0,15,16,15.0,16.0,1.0,1.0
criminal,gender,choice_chosen_side_soft,pos,0.0,50.0,50.0,24,26,24.0,26.0,1.0,1.0
criminal,gender,choice_chosen_side_soft,neg,5.555555555555558,44.44444444444444,55.55555555555556,12,18,12.0,18.0,0.503448275862069,1.0
criminal,gender,choice_first_touch_side,pos,0.0,50.0,50.0,30,26,30.0,26.0,1.0,1.0
criminal,gender,choice_first_touch_side,neg,3.57142857142857,46.42857142857143,53.57142857142857,6,14,6.0,14.000000000000002,1.0,1.0
education,gender,choice_chosen_side,pos,0.0,50.0,50.0,11,6,11.0,6.0,1.0,1.0
education,gender,choice_chosen_side,neg,6.666666666666665,43.333333333333336,56.666666666666664,8,15,8.0,15.0,0.525691699604743,1.0
education,gender,choice_chosen_side_soft,pos,0.0,50.0,50.0,19,15,19.0,15.0,1.0,1.0
education,gender,choice_chosen_side_soft,neg,6.25,43.75,56.25,19,24,19.0,24.0,0.24252491694352157,1.0
education,gender,choice_first_touch_side,pos,0.0,50.0,50.0,13,15,13.0,15.0,1.0,1.0
education,gender,choice_first_touch_side,neg,1.1904761904761862,41.66666666666667,51.19047619047619,14,21,14.000000000000002,21.0,1.0,1.0
janitor,gender,choice_chosen_side,pos,3.5014005602240883,41.73669467787114,53.50140056022409,21,17,21.0,17.0,0.5768136557610242,1.0
janitor,gender,choice_chosen_side,neg,2.2727272727272707,47.72727272727273,52.27272727272727,12,22,12.0,22.0,1.0,1.0
janitor,gender,choice_chosen_side_soft,pos,0.8333333333333304,42.5,50.83333333333333,30,24,30.0,24.0,1.0,1.0
janitor,gender,choice_chosen_side_soft,neg,1.400862068965525,45.150862068965516,51.40086206896552,29,32,28.999999999999996,32.0,1.0,1.0
janitor,gender,choice_first_touch_side,pos,2.430555555555558,41.31944444444444,52.43055555555556,32,27,32.0,27.0,0.6522521435622423,1.0
janitor,gender,choice_first_touch_side,neg,1.7857142857142905,48.214285714285715,51.78571428571429,26,28,26.0,28.000000000000004,1.0,1.0
pilot,gender,choice_chosen_side,pos,2.3809523809523836,47.61904761904761,52.38095238095239,42,42,42.0,42.0,0.49397590361445787,1.0
pilot,gender,choice_chosen_side,neg,0.0,50.0,50.0,39,39,39.0,39.0,1.0,1.0
pilot,gender,choice_chosen_side_soft,pos,1.7857142857142905,48.214285714285715,51.78571428571429,54,56,54.0,56.00000000000001,0.4955796497080901,1.0
pilot,gender,choice_chosen_side_soft,neg,-0.9433962264150941,49.056603773584904,49.056603773584904,53,51,53.0,51.0,1.0,1.0
pilot,gender,choice_first_touch_side,pos,1.5873015873015817,48.41269841269841,51.58730158730158,69,63,69.0,63.0,0.22588480222068008,1.0
pilot,gender,choice_first_touch_side,neg,-0.8928571428571452,49.107142857142854,49.107142857142854,56,52,56.00000000000001,52.0,1.0,1.0
wealthy,gender,choice_chosen_side,pos,0.0,50.0,50.0,19,22,19.0,22.0,1.0,1.0
wealthy,gender,choice_chosen_side,neg,0.0,50.0,50.0,4,7,4.0,7.000000000000001,1.0,1.0
wealthy,gender,choice_chosen_side_soft,pos,-1.9230769230769218,48.07692307692308,48.07692307692308,26,28,26.0,28.000000000000004,0.48148148148148145,1.0
wealthy,gender,choice_chosen_side_soft,neg,0.0,50.0,50.0,11,16,11.0,16.0,1.0,1.0
wealthy,gender,choice_first_touch_side,pos,1.3333333333333308,44.666666666666664,51.33333333333333,25,30,25.0,30.0,1.0,1.0
wealthy,gender,choice_first_touch_side,neg,4.545454545454541,45.45454545454545,54.54545454545454,9,11,9.0,11.0,1.0,1.0
