topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,gender,choice_chosen_side,pos,-1.9076005961251863,46.45305514157973,48.092399403874815,55,61,11.0,12.2,0.3440168597582905,0.7275771346567808
criminal,gender,choice_chosen_side,neg,-0.4761904761904745,44.76190476190476,49.523809523809526,35,42,7.000000000000001,8.4,1.0,1.0
criminal,gender,choice_chosen_side_soft,pos,-1.112459546925565,46.9457928802589,48.887540453074436,96,103,19.2,20.599999999999998,0.43167939331558336,0.7231512773330515
criminal,gender,choice_chosen_side_soft,neg,-0.9421749136938995,45.260356731875724,49.0578250863061,88,79,17.599999999999998,15.8,0.7231512773330515,0.7231512773330515
criminal,gender,choice_first_touch_side,pos,1.2121212121212088,45.75757575757576,51.21212121212121,99,110,19.8,22.0,0.503838712056849,1.0
criminal,gender,choice_first_touch_side,neg,1.3871635610765987,42.81573498964803,51.3871635610766,69,70,13.8,14.000000000000002,0.7446515231530628,1.0
education,gender,choice_chosen_side,pos,0.7807417046193921,47.33246584255043,50.780741704619395,53,58,10.6,11.600000000000001,1.0,1.0
education,gender,choice_chosen_side,neg,-2.631578947368418,45.614035087719294,47.36842105263158,57,57,11.4,11.4,0.3637885673283904,0.7275771346567808
education,gender,choice_chosen_side_soft,pos,0.629299562226393,47.744684177611006,50.62929956222639,123,104,24.6,20.8,0.662672940469591,0.7231512773330515
education,gender,choice_chosen_side_soft,neg,-2.0219114634363544,45.225794958581986,47.97808853656365,103,109,20.599999999999998,21.8,0.20456408303789542,0.6967007826994641
education,gender,choice_first_touch_side,pos,0.7154882154882136,47.01178451178451,50.715488215488215,88,81,17.599999999999998,16.2,0.6714731329283503,1.0
education,gender,choice_first_touch_side,neg,-1.4932126696832526,43.800904977375566,48.50678733031675,91,85,18.2,17.0,0.5382988247197028,1.0
janitor,gender,choice_chosen_side,pos,-1.1295901096475103,41.78379571712414,48.87040989035249,107,127,21.4,25.4,0.6328772879448301,1.0
janitor,gender,choice_chosen_side,neg,2.7736131934033015,40.70464767616192,52.7736131934033,92,58,18.4,11.600000000000001,0.25030635690866887,0.7275771346567808
janitor,gender,choice_chosen_side_soft,pos,0.761351052048731,39.71483942414175,50.76135105204873,147,172,29.4,34.4,0.7146719027213668,0.7231512773330515
janitor,gender,choice_chosen_side_soft,neg,1.6510538641686168,42.63466042154567,51.65105386416862,140,122,28.000000000000004,24.4,0.3455550978705685,0.7231512773330515
janitor,gender,choice_first_touch_side,pos,0.15660940635247034,44.401213722899236,50.15660940635247,147,139,29.4,27.800000000000004,1.0,1.0
janitor,gender,choice_first_touch_side,neg,2.2521923996811077,42.81823013553016,52.25219239968111,142,106,28.4,21.2,0.2060742705227947,1.0
pilot,gender,choice_chosen_side,pos,1.37081525970415,48.217662106550996,51.37081525970415,243,222,48.6,44.4,0.030605293269367104,0.30605293269367106
pilot,gender,choice_chosen_side,neg,-0.1878463416924936,46.63755048370433,49.81215365830751,169,189,33.800000000000004,37.8,1.0,1.0
pilot,gender,choice_chosen_side_soft,pos,1.4786096256684478,47.0668449197861,51.47860962566845,275,272,55.00000000000001,54.400000000000006,0.04486438351109742,0.4486438351109742
pilot,gender,choice_chosen_side_soft,neg,-1.421119569424728,44.81319005400623,48.578880430575275,227,239,45.4,47.8,0.2090102348098392,0.6967007826994641
pilot,gender,choice_first_touch_side,pos,0.8473517654896789,47.886825449700204,50.84735176548968,316,304,63.2,60.8,0.16778674182421494,1.0
pilot,gender,choice_first_touch_side,neg,-0.5976775956284153,47.318989071038246,49.40232240437158,244,240,48.8,48.0,0.5759456062444288,1.0
wealthy,gender,choice_chosen_side,pos,1.4802631578947345,45.23026315789473,51.48026315789473,152,128,30.4,25.6,0.26691031744159877,0.7275771346567808
wealthy,gender,choice_chosen_side,neg,-0.44676098287416144,37.7885331347729,49.55323901712584,79,85,15.8,17.0,1.0,1.0
wealthy,gender,choice_chosen_side_soft,pos,-0.6552706552706566,41.93732193732194,49.344729344729345,195,162,39.0,32.4,0.7008270608148492,0.7231512773330515
wealthy,gender,choice_chosen_side_soft,neg,-1.3013302486986733,35.91671486408329,48.698669751301324,143,133,28.599999999999998,26.6,0.605401057370431,0.7231512773330515
wealthy,gender,choice_first_touch_side,pos,0.020396270396272342,44.33857808857809,50.020396270396276,195,176,39.0,35.199999999999996,1.0,1.0
wealthy,gender,choice_first_touch_side,neg,0.3848508702877673,39.70523921980233,50.384850870287764,111,103,22.2,20.599999999999998,1.0,1.0
