topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,gender,d_approach_retreat,-0.10300000000000001,-0.07569039306546034,500,500,-1.196770195401344,0.23168164961965115,0.3861360826994186
criminal,gender,d_latency,0.326,0.11396528968166554,500,500,1.8019494479747444,0.07187079514810492,0.30861450897164794
criminal,gender,d_peak_speed,5.1665954291820506e-05,0.01368691739563834,500,500,0.2164091655839855,0.8287192943864314,0.8287192943864314
criminal,gender,d_time_to_half,0.06,0.02687897786415609,500,500,0.4249939561399059,0.6709411460727936,0.822562193759158
criminal,gender,pull_AUC,-1.9185979430379219,-0.14028873818199045,500,500,-2.2181597136305955,0.026776749164561905,0.06694187291140476
criminal,gender,pull_MAD,-4.261353267619852,-0.14389332418289974,500,500,-2.2751532225547515,0.02311781889708212,0.057794547242705295
criminal,gender,pull_early,0.41340262694284324,0.07751936950762663,500,500,1.2256888521215277,0.2206060049384536,0.3531768742032431
criminal,gender,pull_release,-3.7357619253452867,-0.13564319496713761,500,500,-2.144707225992216,0.032228348604928105,0.08057087151232026
criminal,gender,pull_tcp,-3.323906034936954,-0.1261658131148997,500,500,-1.99485666145113,0.046330290507507886,0.11582572626876972
criminal,gender,q_exploded,0.001,0.017639324027394414,500,500,0.2789022015615034,0.7803779929488982,1.0
criminal,gender,q_jerk_in_grasp,0.0,nan,500,500,nan,nan,nan
criminal,gender,q_tile_drift,0.0012947929948568344,0.08232021918033296,500,500,1.301596950470657,0.1936229785423685,0.24202872317796065
criminal,gender,xpos_reversals,-0.050999999999999934,-0.08515853990143844,500,500,-1.3464747415143818,0.17845565937630897,0.2230695742203862
education,gender,d_approach_retreat,0.044,0.02593967436850614,500,500,0.4101422638378464,0.6817927538847119,0.8522409423558899
education,gender,d_latency,-0.094,-0.03065734925325292,500,500,-0.4847352533177072,0.6279707020184171,0.7849633775230214
education,gender,d_peak_speed,-0.0005902208983898163,-0.15538478561058752,500,500,-2.4568491813320703,0.014186265140114809,0.03546566285028702
education,gender,d_time_to_half,0.148,0.06880004729475506,500,500,1.0878242628936594,0.2770156519812791,0.6925391299531978
education,gender,pull_AUC,1.6256242237638354,0.1247300909397038,500,500,1.9721559006469784,0.048871786702556604,0.08145297783759434
education,gender,pull_MAD,3.3197928658593447,0.11555914977174596,500,500,1.827150588756221,0.06798742854745479,0.11331238091242464
education,gender,pull_early,0.11242758855223671,0.02555381678161141,500,500,0.40404131970262797,0.6862867435163628,0.6862867435163628
education,gender,pull_release,2.425948667753346,0.08720171902725433,500,500,1.3787802400408316,0.168287844334475,0.28047974055745833
education,gender,pull_tcp,3.0581886273575947,0.10244760521896058,500,500,1.6198388666083428,0.10559262594034666,0.17598770990057777
education,gender,q_exploded,0.0,0.0,500,500,0.0,1.0,1.0
education,gender,q_jerk_in_grasp,0.0,nan,500,500,nan,nan,nan
education,gender,q_tile_drift,-0.009504780389368535,-0.1411258452260327,500,500,-2.2313955381533175,0.02603566260882936,0.04339277101471559
education,gender,xpos_reversals,0.10699999999999998,0.1640497885979069,500,500,2.5938549081925313,0.009629983016691034,0.024074957541727584
janitor,gender,d_approach_retreat,0.14500000000000002,0.13209997616259816,500,500,2.088684017638798,0.037060365324067215,0.18530182662033606
janitor,gender,d_latency,-0.13,-0.09751308771113405,500,500,-1.5418172942147945,0.12344580358865917,0.30861450897164794
janitor,gender,d_peak_speed,-0.00021529901772737503,-0.09524814942470616,500,500,-1.5060054754906402,0.13240695755896117,0.1745785813245771
janitor,gender,d_time_to_half,0.012,0.014186995009878644,500,500,0.22431608692329758,0.8225621937591581,0.822562193759158
janitor,gender,pull_AUC,0.23577890448251937,0.021172519178060952,500,500,0.3347669220313436,0.7378734679234094,0.8170537469392629
janitor,gender,pull_MAD,0.0805363616929391,0.0029203279548775606,500,500,0.04617443926037261,0.9631814408468027,0.9981070083817942
janitor,gender,pull_early,-0.1601900033652783,-0.06801752695225649,500,500,-1.0754515299051066,0.2825414993625945,0.3531768742032431
janitor,gender,pull_release,0.5057225494892919,0.018601702220013828,500,500,0.2941187368572714,0.7687330118929925,0.9609162648662406
janitor,gender,pull_tcp,-0.15811975742690265,-0.009179980256354983,500,500,-0.1451482324272908,0.884623210541396,0.9570119905538256
janitor,gender,q_exploded,0.0,0.0,500,500,0.0,1.0,1.0
janitor,gender,q_jerk_in_grasp,0.0,nan,500,500,nan,nan,nan
janitor,gender,q_tile_drift,-2.5767803192138666e-05,-0.026780260772835143,500,500,-0.4234331018771007,0.6720901178058872,0.6720901178058872
janitor,gender,xpos_reversals,0.10899999999999999,0.19548895527274215,500,500,3.0909517803432403,0.002054275950965717,0.010271379754828586
pilot,gender,d_approach_retreat,0.022,0.01152027677540328,500,500,0.18215156942907204,0.855501287263998,0.855501287263998
pilot,gender,d_latency,0.009000000000000001,0.002970000564315041,500,500,0.046959832176104666,0.962554647499624,0.9625546474996242
pilot,gender,d_peak_speed,-0.00147063647210598,-0.41320258812846433,500,500,-6.533306567811994,1.0253244926528268e-10,5.126622463264134e-10
pilot,gender,d_time_to_half,0.216,0.0732574743880154,500,500,1.1583023734878917,0.24701867370891575,0.6925391299531978
pilot,gender,pull_AUC,12.69061719257289,0.5317986964489949,500,500,8.408475687436612,1.5419189359183588e-16,7.709594679591794e-16
pilot,gender,pull_MAD,29.81258430828311,0.5231612574353682,500,500,8.271905785267318,4.369069230658117e-16,2.1845346153290587e-15
pilot,gender,pull_early,0.6275367701426149,0.09049024368740155,500,500,1.4307763803793132,0.1528670610162169,0.3531768742032431
pilot,gender,pull_release,29.947918991092592,0.5381948631735601,500,500,8.509607963155636,6.67520944241356e-17,3.33760472120678e-16
pilot,gender,pull_tcp,14.520671169681009,0.4792192605345706,500,500,7.577121809554414,8.476835160409363e-14,4.2384175802046816e-13
pilot,gender,q_exploded,0.004,0.07344790394963353,500,500,1.1613133292305953,0.24582236192425053,0.705347297254353
pilot,gender,q_jerk_in_grasp,0.0,nan,500,500,nan,nan,nan
pilot,gender,q_tile_drift,-0.000896439842879772,-0.1429698035592862,500,500,-2.2605510793709622,0.024019720293343105,0.04339277101471559
pilot,gender,xpos_reversals,0.08200000000000007,0.1518919939948746,500,500,2.401623296842108,0.01650492902795877,0.02750821504659795
wealthy,gender,d_approach_retreat,-0.139,-0.10279596414406342,500,500,-1.6253469048412075,0.10440807709168157,0.2610201927292039
wealthy,gender,d_latency,-0.188,-0.0602770011675184,500,500,-0.9530630710699338,0.3407900605170502,0.5679834341950837
wealthy,gender,d_peak_speed,0.0002821660488843918,0.09349124908862287,500,500,1.4782264420709474,0.1396628650596617,0.1745785813245771
wealthy,gender,d_time_to_half,0.082,0.037637064352418835,500,500,0.5950942389798688,0.5519188560880066,0.822562193759158
wealthy,gender,pull_AUC,0.38545619155677224,0.014634850910842953,500,500,0.23139731047626766,0.8170537469392629,0.8170537469392629
wealthy,gender,pull_MAD,0.009249408761970557,0.0001500886760054286,500,500,0.0023731103358810837,0.9981070083817942,0.9981070083817942
wealthy,gender,pull_early,0.7026685748249292,0.08726482046745311,500,500,1.3797779614141568,0.16813162979571997,0.3531768742032431
wealthy,gender,pull_release,-0.03713309814338572,-0.0006151891219043841,500,500,-0.009726994084884179,0.9922410512061355,0.9922410512061355
wealthy,gender,pull_tcp,-0.1460322935017757,-0.0034100283608714107,500,500,-0.053917282530621294,0.9570119905538257,0.9570119905538256
wealthy,gender,q_exploded,-0.003999999999999999,-0.06806198645778871,500,500,-1.07615449641074,0.2821389189017412,0.705347297254353
wealthy,gender,q_jerk_in_grasp,0.0,nan,500,500,nan,nan,nan
wealthy,gender,q_tile_drift,-0.0017562853768467903,-0.14426871278105072,500,500,-2.2810886374438257,0.022809090004848702,0.04339277101471559
wealthy,gender,xpos_reversals,0.025000000000000022,0.04954325931461924,500,500,0.7833477107127469,0.43361303538706264,0.4336130353870626
criminal,gender,choice_chosen_side,-10.894281157439051,-0.22304934805952947,52,179,-1.6215012739898387,0.1049101769783003,0.26227544244575074
criminal,gender,choice_chosen_side_soft,-11.398246858323773,-0.23125014936442767,116,406,-2.4253951779551293,0.015291731043272389,0.03822932760818097
criminal,gender,choice_first_touch_side,-14.231436059794266,-0.2895934725818905,59,277,-2.3103633925193074,0.020868044017257895,0.052170110043144736
education,gender,choice_chosen_side,-10.513921415560763,-0.2120483592027087,106,39,-1.232603715931294,0.2177236498809223,0.36287274980153716
education,gender,choice_chosen_side_soft,3.2343567707285747,0.06543337061166676,293,134,0.6621909077226267,0.5078488805180363,0.7245717559617116
education,gender,choice_first_touch_side,-3.273566137372103,-0.06605864049201826,147,81,-0.498009616097801,0.6184772644510881,0.768358828668402
janitor,gender,choice_chosen_side,-0.4938845138313164,-0.0098783060685399,898,772,-0.6297787121937302,0.5288393754003877,0.6610492192504847
janitor,gender,choice_chosen_side_soft,-0.4016565075406098,-0.008033500095889545,917,849,-0.49187324461217785,0.6228089535462746,0.7245717559617116
janitor,gender,choice_first_touch_side,-0.836218491751034,-0.01672523526925085,924,789,-1.1145796583058811,0.26503059128577366,0.44171765214295605
pilot,gender,choice_chosen_side,16.238144183874255,0.32668125798298053,661,802,6.738053535032294,1.6052242994834588e-11,8.026121497417294e-11
pilot,gender,choice_chosen_side_soft,17.657712162552684,0.35513927843832627,819,841,7.912039440415048,2.5320614204941386e-15,1.2660307102470693e-14
pilot,gender,choice_first_touch_side,15.904070879753307,0.32002127433561856,704,877,6.823264725888333,8.899443923175686e-12,4.449721961587843e-11
wealthy,gender,choice_chosen_side,0.762309006989853,0.015276966403034553,774,380,0.25708394082590075,0.7971139743777136,0.7971139743777136
wealthy,gender,choice_chosen_side_soft,-0.8743439334800429,-0.017500993449526492,905,605,-0.35235538602921396,0.7245717559617116,0.7245717559617116
wealthy,gender,choice_first_touch_side,0.8284156756911687,0.016599893813215916,805,446,0.2945222961688394,0.768358828668402,0.768358828668402
