topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,gender,choice_chosen_side,pos,-15.606060606060607,-11.060606060606059,34.39393939393939,30,22,6.0,4.3999999999999995,0.03995020132889576,0.0998755033222394
criminal,gender,choice_chosen_side,neg,-4.711779448621556,35.76441102756892,45.288220551378444,95,84,19.0,16.8,0.09029097381409026,0.1698618103774101
criminal,gender,choice_chosen_side_soft,pos,-13.372267145852051,-4.8817011081162045,36.62773285414795,63,53,12.6,10.6,0.004914525692106272,0.016381752307020905
criminal,gender,choice_chosen_side_soft,neg,-1.9740202875282775,35.07261183682405,48.025979712471724,213,193,42.6,38.6,0.3303675808599573,0.41295947607494665
criminal,gender,choice_first_touch_side,pos,-15.277777777777779,-9.722222222222221,34.72222222222222,32,27,6.4,5.4,0.031047036379495498,0.10349012126498498
criminal,gender,choice_first_touch_side,neg,-1.0463417179835122,37.75962843127022,48.95365828201649,143,134,28.599999999999998,26.8,0.714612758394124,0.7940141759934711
education,gender,choice_chosen_side,pos,-10.910746812386158,3.533697632058286,39.08925318761384,61,45,12.2,9.0,0.031571591447953413,0.0998755033222394
education,gender,choice_chosen_side,neg,-0.3968253968253954,-11.507936507936511,49.60317460317461,21,18,4.2,3.5999999999999996,1.0,1.0
education,gender,choice_chosen_side_soft,pos,-5.850464657842858,10.567445789918331,44.149535342157144,159,134,31.8,26.8,0.04300952921220462,0.08601905842440924
education,gender,choice_chosen_side_soft,neg,-9.084821428571432,-13.772321428571429,40.91517857142857,70,64,14.000000000000002,12.8,0.03193579930044764,0.0798394982511191
education,gender,choice_first_touch_side,pos,-8.218283582089548,4.468283582089552,41.78171641791045,80,67,16.0,13.4,0.06735361303988105,0.16838403259970264
education,gender,choice_first_touch_side,neg,-4.944717444717445,7.217444717444716,45.05528255528255,44,37,8.799999999999999,7.3999999999999995,0.49972667834255724,0.6246583479281965
janitor,gender,choice_chosen_side,pos,-0.7867063492063453,46.7688492063492,49.21329365079365,448,450,89.60000000000001,90.0,0.19238911718574356,0.24048639648217945
janitor,gender,choice_chosen_side,neg,-0.2928218353750289,-48.69707715452397,49.70717816462497,396,376,79.2,75.2,0.5369099070593187,0.5965665633992431
janitor,gender,choice_chosen_side_soft,pos,-0.6664446770050403,46.29007706212539,49.33355532299496,457,460,91.4,92.0,0.300043260236912,0.41295947607494665
janitor,gender,choice_chosen_side_soft,neg,-0.2647881694644305,-48.34632294164668,49.73521183053557,432,417,86.4,83.39999999999999,0.5985572042036353,0.5985572042036353
janitor,gender,choice_first_touch_side,pos,-0.8658008658008642,46.75324675324675,49.134199134199136,462,462,92.4,92.4,0.19308573168588522,0.2758367595512646
janitor,gender,choice_first_touch_side,neg,-0.029582374049830218,-48.98519595107332,49.97041762595017,406,383,81.2,76.6,1.0,1.0
pilot,gender,choice_chosen_side,pos,5.474358974358973,-2.8589743589743586,55.47435897435897,325,336,65.0,67.2,0.005072175909667725,0.025360879548338624
pilot,gender,choice_chosen_side,neg,-10.76378520951528,26.24601871205335,39.236214790484716,394,408,78.8,81.6,4.481599105288439e-13,4.481599105288439e-12
pilot,gender,choice_chosen_side_soft,pos,7.537391760692724,-4.62477040146943,57.53739176069273,412,407,82.39999999999999,81.39999999999999,1.801305664211813e-05,9.006528321059064e-05
pilot,gender,choice_chosen_side_soft,neg,-10.120320401859962,26.062349387367213,39.87967959814004,414,427,82.8,85.39999999999999,5.715718698295504e-12,5.715718698295504e-11
pilot,gender,choice_first_touch_side,pos,4.985472154963677,-2.4430992736077464,54.985472154963674,354,350,70.8,70.0,0.00836141197997248,0.0418070598998624
pilot,gender,choice_first_touch_side,neg,-10.91859872478963,25.611081640507173,39.08140127521037,439,438,87.8,87.6,3.758281381216106e-14,3.7582813812161064e-13
wealthy,gender,choice_chosen_side,pos,-2.7837902837902826,-19.18590668590669,47.21620971620972,396,378,79.2,75.6,0.10191708622644607,0.1698618103774101
wealthy,gender,choice_chosen_side,neg,-3.546099290780136,-11.879432624113475,46.453900709219866,188,192,37.6,38.4,0.17034251166105163,0.24048639648217945
wealthy,gender,choice_chosen_side_soft,pos,-2.428886804985736,-21.693920212558123,47.57111319501426,456,449,91.2,89.8,0.12106448545010282,0.20177414241683803
wealthy,gender,choice_chosen_side_soft,neg,-1.554542871505693,-9.50156273905536,48.445457128494304,303,302,60.6,60.4,0.45661142542796646,0.5073460282532961
wealthy,gender,choice_first_touch_side,pos,-2.6591144932549273,-19.49584918713248,47.340885506745074,413,392,82.6,78.4,0.1078719782203258,0.21574395644065164
wealthy,gender,choice_first_touch_side,neg,-3.487530168946096,-9.239742558326627,46.512469831053906,220,226,44.0,45.2,0.1486587835421428,0.24776463923690464
