topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,gender,d_approach_retreat,0.07500000000000001,0.06920211156805202,100,100,0.4893328236219761,0.6252239621846818,0.6306980907839783
criminal,gender,d_latency,0.05499999999999999,0.02087940497900674,100,100,0.14763968847795825,0.882777413190513,1.0
criminal,gender,d_peak_speed,0.000831909216940403,0.2375483497585564,100,100,1.6797204897394902,0.0946257789720578,0.47312889486028903
criminal,gender,d_time_to_half,0.315,0.17537801194843503,100,100,1.2401098151975376,0.21683408521783126,0.3217255392632731
criminal,gender,pull_AUC,-0.752250136581424,-0.09223125959147684,100,100,-0.6521734909451007,0.5150942923567303,0.8584904872612172
criminal,gender,pull_MAD,0.1381237010587939,0.007899764690949692,100,100,0.05585977182748577,0.9555201057071175,0.9555201057071174
criminal,gender,pull_early,-0.30893033370375633,-0.21411202670894192,100,100,-1.51400066019488,0.13199573273882584,0.43183932491446425
criminal,gender,pull_final,0.8156247767607137,0.03709800971397734,93,91,0.2514133808549688,0.8017850147192647,0.8017850147192647
criminal,gender,pull_release,-0.30820877058431506,-0.01839196003894139,100,100,-0.13005079662847457,0.8966820211965036,0.986404770358668
criminal,gender,pull_tcp,7.597524685552344,0.38450474225834197,100,100,2.7188591064925927,0.007141172929896867,0.03570586464948434
criminal,gender,q_exploded,0.0,0.0,100,100,0.0,1.0,nan
criminal,gender,q_jerk_in_grasp,0.0,nan,100,100,nan,nan,nan
criminal,gender,q_tile_drift,-0.000571054145693779,-0.24656480084494473,100,100,-1.74347642679371,0.08280390979330254,0.1380065163221709
criminal,gender,xpos_reversals,0.08999999999999997,0.15959094924671433,100,100,1.1284784242834984,0.26051541847870896,0.43419236413118156
education,gender,d_approach_retreat,0.06,0.068099968615552,100,100,0.4815394960664788,0.6306980907839783,0.6306980907839783
education,gender,d_latency,0.0,0.0,100,100,0.0,1.0,1.0
education,gender,d_peak_speed,0.00027978952974081037,0.08107388757820932,100,100,0.5732789568370761,0.5671107334176845,0.676064429509624
education,gender,d_time_to_half,-0.345,-0.16063259227390375,100,100,-1.1358439527645117,0.25797829237231107,0.3217255392632731
education,gender,pull_AUC,-0.15430184814374726,-0.019324777667575163,100,100,-0.13664681333664752,0.8914489142255533,0.9013726317538712
education,gender,pull_MAD,0.48766719707346073,0.027687548755129476,100,100,0.19578053479185206,0.8449827231703317,0.9555201057071174
education,gender,pull_early,0.19787019863724734,0.14060388581062658,100,100,0.9942196111787304,0.3225397920910187,0.5182274064506196
education,gender,pull_final,-1.1672719004765097,-0.03723733214890081,93,91,-0.2521651033940195,0.8012228143113872,0.8017850147192647
education,gender,pull_release,-0.2802709839306772,-0.015181843159434945,100,100,-0.10735184248947047,0.9146191521880029,0.986404770358668
education,gender,pull_tcp,-2.010184987448156,-0.09769241536745775,100,100,-0.6907896937682226,0.4905510255451917,0.7631912486089655
education,gender,q_exploded,-0.009999999999999998,-0.14250506063888502,100,100,-1.0076629473115575,0.31514373830730763,nan
education,gender,q_jerk_in_grasp,0.0,nan,100,100,nan,nan,nan
education,gender,q_tile_drift,-0.0016942466050386426,-0.40577393100764647,100,100,-2.8692549824422913,0.004991084893866924,0.02495542446933462
education,gender,xpos_reversals,-0.04500000000000004,-0.08166663342676612,100,100,-0.5774703029274229,0.5642860955471611,0.634988452327178
janitor,gender,d_approach_retreat,-0.07,-0.1077438381971729,100,100,-0.7618639862028711,0.44707658141146767,0.6306980907839783
janitor,gender,d_latency,-0.005,-0.00265874579454916,100,100,-0.01880017180776927,0.9850383280186171,1.0
janitor,gender,d_peak_speed,-0.00013430539518594742,-0.0592074690589188,100,100,-0.41866002868454183,0.676064429509624,0.676064429509624
janitor,gender,d_time_to_half,0.135,0.14058621403063656,100,100,0.9940946528240647,0.3217255392632731,0.3217255392632731
janitor,gender,pull_AUC,-0.193166287616477,-0.01756848504182912,100,100,-0.12422794908251794,0.9013726317538713,0.9013726317538712
janitor,gender,pull_MAD,-1.5569887548685075,-0.0529635504197607,100,100,-0.37450885657528404,0.7087903366826356,0.9555201057071174
janitor,gender,pull_early,0.3346262089908123,0.11584019695257111,100,100,0.8191138879914828,0.41458192516049563,0.5182274064506196
janitor,gender,pull_final,2.0599804561414867,0.0596165955871015,99,95,0.4167698465055056,0.6773696504131179,0.8017850147192647
janitor,gender,pull_release,-0.06919991225004196,-0.0024155946887721947,100,100,-0.017080833850290265,0.986404770358668,0.986404770358668
