topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,gender,choice_chosen_side,neg,2.4853801169590684,41.95906432748538,52.48538011695907,18,19,18.0,19.0,1.0,1.0
criminal,gender,choice_chosen_side_soft,pos,-4.166666666666669,-20.833333333333332,45.83333333333333,16,12,16.0,12.0,0.6908212560386472,0.7884336523748162
criminal,gender,choice_chosen_side_soft,neg,-2.857142857142858,38.57142857142857,47.14285714285714,35,35,35.0,35.0,0.7095902871373345,0.7884336523748162
criminal,gender,choice_first_touch_side,neg,1.61904761904762,43.61904761904762,51.61904761904762,21,25,21.0,25.0,1.0,1.0
education,gender,choice_chosen_side,pos,16.666666666666664,-33.333333333333336,66.66666666666666,12,6,12.0,6.0,0.2450980392156863,0.6543028681936011
education,gender,choice_chosen_side,neg,16.666666666666675,-16.666666666666668,66.66666666666667,8,6,8.0,6.0,0.3006993006993007,0.6543028681936011
education,gender,choice_chosen_side_soft,pos,-12.878787878787879,-3.78787878787879,37.121212121212125,21,22,21.0,22.0,0.1292079856278938,0.40574178816907086
education,gender,choice_chosen_side_soft,neg,-8.529411764705886,-11.470588235294118,41.470588235294116,20,17,20.0,17.0,0.3276745043152162,0.6553490086304324
education,gender,choice_first_touch_side,pos,8.03571428571428,-29.464285714285715,58.03571428571428,14,8,14.000000000000002,8.0,0.6129718234981394,1.0
education,gender,choice_first_touch_side,neg,9.82142857142857,-2.67857142857143,59.82142857142857,14,8,14.000000000000002,8.0,0.6594427244582043,1.0
janitor,gender,choice_chosen_side,pos,1.1014806789454656,30.58866016612496,51.101480678945464,71,78,71.0,78.0,0.8367263641855325,1.0
janitor,gender,choice_chosen_side,neg,0.0,-50.0,50.0,82,81,82.0,81.0,1.0,1.0
janitor,gender,choice_chosen_side_soft,pos,-2.062569213732007,25.318383167220375,47.937430786267996,86,84,86.0,84.0,0.5954500124464708,0.7884336523748162
janitor,gender,choice_chosen_side_soft,neg,0.0,-50.0,50.0,88,86,88.0,86.0,1.0,1.0
janitor,gender,choice_first_touch_side,pos,-0.14739032425871712,29.59944511877926,49.852609675741284,73,79,73.0,79.0,1.0,1.0
janitor,gender,choice_first_touch_side,neg,-0.5952380952380931,-49.404761904761905,49.404761904761905,83,84,83.0,84.0,1.0,1.0
pilot,gender,choice_chosen_side,pos,0.9920634920634885,-46.230158730158735,50.99206349206349,63,72,63.0,72.0,0.6640414567652624,0.9960621851478936
pilot,gender,choice_chosen_side,neg,-9.618441971383152,10.969793322734498,40.38155802861685,74,68,74.0,68.0,0.025338917254859854,0.22805025529373868
pilot,gender,choice_chosen_side_soft,pos,2.5779561593084255,-44.98301945044767,52.57795615930843,79,82,79.0,82.0,0.16229671526762834,0.40574178816907086
pilot,gender,choice_chosen_side_soft,neg,-8.702377075871054,12.91924454575057,41.297622924128945,83,74,83.0,74.0,0.03180795313361831,0.2569697116750683
pilot,gender,choice_first_touch_side,pos,0.9850746268656674,-45.01492537313433,50.98507462686567,67,75,67.0,75.0,0.7070728514767399,1.0
pilot,gender,choice_first_touch_side,neg,-10.81081081081081,12.16216216216216,39.189189189189186,74,74,74.0,74.0,0.010701981328901697,0.09631783196011527
wealthy,gender,choice_chosen_side,pos,-7.702020202020204,-22.853535353535353,42.29797979797979,72,66,72.0,66.0,0.054296039975454125,0.24433217988954356
wealthy,gender,choice_chosen_side,neg,-7.500000000000001,-17.5,42.5,24,25,24.0,25.0,0.36350159344088945,0.6543028681936011
wealthy,gender,choice_chosen_side_soft,pos,-6.61997885835095,-25.938160676532775,43.38002114164905,86,88,86.0,88.0,0.05139394233501367,0.2569697116750683
wealthy,gender,choice_chosen_side_soft,neg,-2.643784786641934,-20.825602968460107,47.35621521335807,49,44,49.0,44.0,0.6501027528366451,0.7884336523748162
wealthy,gender,choice_first_touch_side,pos,-7.293073509550451,-24.898707312367353,42.70692649044955,73,71,73.0,71.0,0.05452149179713263,0.24534671308709682
wealthy,gender,choice_first_touch_side,neg,-7.870370370370372,-17.129629629629626,42.129629629629626,32,27,32.0,27.0,0.2657599154742088,0.7972797464226264
