topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,gender,d_approach_retreat,0.07,0.05865965860236817,500,500,0.9274906397568639,0.35389725787356996,0.5898287631226166
criminal,gender,d_latency,-0.215,-0.05693710316441977,500,500,-0.9002546468577349,0.3682034270315582,0.6136723783859303
criminal,gender,d_peak_speed,0.000634519137442112,0.12606729154484245,500,500,1.9932988986509461,0.04650521518732429,0.07750869197887382
criminal,gender,d_time_to_half,-0.13899999999999998,-0.08159241531307464,500,500,-1.2900893609185815,0.19746083002560452,0.6745463955057359
criminal,gender,pull_AUC,-2.3388849877033615,-0.12266335318631451,500,500,-1.9394779075121307,0.0527309125557622,0.08788485425960367
criminal,gender,pull_MAD,-5.087060036917682,-0.1216214830655182,500,500,-1.9230044944731755,0.054774532199555394,0.07048382947186882
criminal,gender,pull_early,-0.0536578424274921,-0.01362682856342671,500,500,-0.2154590777253433,0.8294650432162762,0.8842602935709998
criminal,gender,pull_final,-4.631691696557114,-0.11258189516183481,451,457,-1.6970310423988755,0.09004085313945812,0.12577452104304102
criminal,gender,pull_release,-4.605589793296531,-0.11610144623616384,500,500,-1.8357250487293058,0.06670816211899,0.11118027019831667
criminal,gender,pull_tcp,-0.9980822209035978,-0.032090940805228105,500,500,-0.5074023260107935,0.6119919313366453,0.939121961566396
criminal,gender,q_exploded,0.001,0.019156701806993845,500,500,0.3028940508338193,0.7620342374361053,0.7620342374361053
criminal,gender,q_jerk_in_grasp,0.0,nan,500,500,nan,nan,nan
criminal,gender,q_tile_drift,0.0008359284102916718,0.04960142571520262,500,500,0.7842674022584332,0.433118538909935,0.5413981736374187
criminal,gender,xpos_reversals,0.10999999999999999,0.21166132481847688,500,500,3.3466593949755623,0.0008493878243619863,0.002123469560904966
education,gender,d_approach_retreat,0.07200000000000001,0.04167136565276558,500,500,0.6588821433622425,0.5101267936913655,0.6014809397776549
education,gender,d_latency,-0.076,-0.0198768593247526,500,500,-0.31428074098487346,0.7533736085341947,0.7533736085341947
education,gender,d_peak_speed,-0.0002340348958969116,-0.04342510419001023,500,500,-0.6866111843527681,0.49249014486771003,0.49249014486771003
education,gender,d_time_to_half,0.013000000000000012,0.005082533501689618,500,500,0.08036191074725223,0.9359693190985572,0.9359693190985572
education,gender,pull_AUC,2.2115300755120835,0.1233206017540256,500,500,1.9498699198263834,0.05147348580774531,0.08788485425960367
education,gender,pull_MAD,4.845995744158281,0.12081809133268903,500,500,1.9103017558277273,0.05638706357749506,0.07048382947186882
education,gender,pull_early,0.23929718229919675,0.06268736151720433,500,500,0.9911742145037713,0.321877730525722,0.8727202317741511
education,gender,pull_final,4.826838721910928,0.1134613611975679,440,412,1.6593560928624986,0.09741617929347533,0.12577452104304102
education,gender,pull_release,3.648800986356946,0.09325085948457125,500,500,1.4744255486978015,0.1406957688887234,0.17586971111090424
education,gender,pull_tcp,0.6277660153864417,0.019146716726554464,500,500,0.30273617284977705,0.7621562678084718,0.939121961566396
education,gender,q_exploded,-0.008000000000000002,-0.10057003011850212,500,500,-1.5901517976310018,0.1121458398858494,0.2803645997146235
education,gender,q_jerk_in_grasp,0.0,nan,500,500,nan,nan,nan
education,gender,q_tile_drift,-0.0011093631312251093,-0.03354595649263034,500,500,-0.5304081440281267,0.5960118477667624,0.5960118477667624
education,gender,xpos_reversals,-0.04699999999999993,-0.07569856420664815,500,500,-1.1968993924875257,0.23163059681561077,0.28953824601951345
janitor,gender,d_approach_retreat,0.159,0.166545350927505,500,500,2.6333132132147608,0.00864194660799818,0.0432097330399909
janitor,gender,d_latency,0.18800000000000003,0.10695607062182848,500,500,1.6911239637339985,0.09120334902194197,0.2280083725548549
janitor,gender,d_peak_speed,-0.00025063501670956616,-0.1064438532516769,500,500,-1.683025096000096,0.0926830003543038,0.11585375044287974
janitor,gender,d_time_to_half,0.053,0.06251308000335623,500,500,0.9884185818146602,0.32331898760949795,0.6745463955057359
janitor,gender,pull_AUC,-0.32139696167894294,-0.022530937623554213,500,500,-0.3562454035480636,0.7217541343827902,0.7217541343827902
janitor,gender,pull_MAD,-2.335215435731807,-0.06413227908505198,500,500,-1.0140203672317185,0.3109114807706241,0.3109114807706241
janitor,gender,pull_early,-0.02586113736033443,-0.030034438722196723,500,500,-0.4748861730344942,0.6350140306778517,0.8842602935709998
janitor,gender,pull_final,-1.2772842918914566,-0.033904877969685096,481,479,-0.5255251764277039,0.5993698160093384,0.5993698160093384
janitor,gender,pull_release,-1.5113896392285824,-0.042436470273443584,500,500,-0.6709795096105508,0.502443528824791,0.502443528824791
janitor,gender,pull_tcp,-0.10078085510758683,-0.004831626280805663,500,500,-0.07639471925037092,0.9391219615663959,0.939121961566396
janitor,gender,q_exploded,-0.002,-0.04016940682842421,500,500,-0.6351340891787052,0.5254922624376785,0.6568653280470982
janitor,gender,q_jerk_in_grasp,0.0,nan,500,500,nan,nan,nan
janitor,gender,q_tile_drift,6.176836788654327e-05,0.06858859964682976,500,500,1.0844809820270127,0.2786191169702455,0.4643651949504091
janitor,gender,xpos_reversals,0.031000000000000028,0.06205505320033512,500,500,0.9811765421799005,0.3267439925892621,0.3267439925892621
pilot,gender,d_approach_retreat,-0.12999999999999998,-0.07122342524073631,500,500,-1.1261412325972657,0.2604032003986371,0.5898287631226166
pilot,gender,d_latency,-0.568,-0.15816310548146012,500,500,-2.5007782756343815,0.012552069038454454,0.06276034519227228
pilot,gender,d_peak_speed,-0.0014247367903590202,-0.3377760104316009,500,500,-5.340707659643265,1.1505318959706954e-07,5.752659479853478e-07
pilot,gender,d_time_to_half,-0.10500000000000001,-0.05272342867293353,500,500,-0.8336306032994936,0.40472783730344153,0.6745463955057359
pilot,gender,pull_AUC,14.298212139510468,0.5090498113895277,500,500,8.048784232350153,2.442656261379393e-15,1.2213281306896965e-14
pilot,gender,pull_MAD,33.52085760650691,0.49689687627467427,500,500,7.856629456254268,1.0342011099792832e-14,5.171005549896416e-14
pilot,gender,pull_early,0.31032218784093857,0.05925536212614092,500,500,0.9369095394834148,0.34908809270966046,0.8727202317741511
pilot,gender,pull_final,29.81653769355668,0.45260465608218764,459,455,6.839567335356069,1.4724097026916908e-11,7.362048513458454e-11
pilot,gender,pull_release,32.17231935169548,0.4871748042493745,500,500,7.7029100003735005,3.249649182782644e-14,1.624824591391322e-13
pilot,gender,pull_tcp,14.646404625847936,0.44114464877190546,500,500,6.975109338571114,5.715604496298211e-12,2.8578022481491054e-11
pilot,gender,q_exploded,-0.004,-0.06372627119075715,500,500,-1.0076008187618155,0.31390516375309746,0.5231752729218291
pilot,gender,q_jerk_in_grasp,0.0,nan,500,500,nan,nan,nan
pilot,gender,q_tile_drift,-0.0010018301755189895,-0.12369817847219983,500,500,-1.9558399319307938,0.05093259359002687,0.2546629679501344
pilot,gender,xpos_reversals,0.17500000000000004,0.381714237493045,500,500,6.035432028962317,2.2570712383219215e-09,1.1285356191609608e-08
wealthy,gender,d_approach_retreat,-0.039,-0.033042023497056545,500,500,-0.522440263757503,0.6014809397776549,0.6014809397776549
wealthy,gender,d_latency,-0.08400000000000002,-0.022822182534005246,500,500,-0.36085038991784885,0.7182880694729261,0.7533736085341947
wealthy,gender,d_peak_speed,0.0008456121347844601,0.24824197432346512,500,500,3.925050248595931,9.275336995424572e-05,0.0002318834248856143
wealthy,gender,d_time_to_half,-0.023,-0.018649332862187583,500,500,-0.2948718434356991,0.7681533000453954,0.9359693190985572
wealthy,gender,pull_AUC,-3.0451396887992312,-0.10321878371690954,500,500,-1.6320322692886735,0.1029890784925811,0.12873634811572637
wealthy,gender,pull_MAD,-8.745123240239916,-0.12650588164964646,500,500,-2.00023361710291,0.045745623654157276,0.07048382947186882
wealthy,gender,pull_early,0.06834060223773121,0.009210301218290605,500,500,0.14562764893010993,0.8842602935709998,0.8842602935709998
wealthy,gender,pull_final,-7.351866336809769,-0.1080369857503149,485,443,-1.6435135796622915,0.10061961683443281,0.12577452104304102
wealthy,gender,pull_release,-8.360980831974302,-0.12335956603439822,500,500,-1.9504859991932175,0.051397845757147564,0.11118027019831667
wealthy,gender,pull_tcp,-4.274248257279396,-0.09268906958244481,500,500,-1.4655428704117885,0.14309308209625998,0.35773270524064993
wealthy,gender,q_exploded,-0.005,-0.10592944773507962,500,500,-1.674891630633081,0.09436425011068614,0.2803645997146235
wealthy,gender,q_jerk_in_grasp,0.0,nan,500,500,nan,nan,nan
wealthy,gender,q_tile_drift,-0.0026164366081357004,-0.08693765073167962,500,500,-1.3746049536815583,0.16985224623159978,0.42463061557899945
wealthy,gender,xpos_reversals,0.08400000000000007,0.20316370935587988,500,500,3.2123002972652026,0.0013593920577690721,0.0022656534296151202
criminal,gender,choice_chosen_side,-3.6807492668771538,-0.07368424475241153,113,237,-0.7494507256366945,0.45358558702948104,0.5669819837868513
criminal,gender,choice_chosen_side_soft,-6.69315601772944,-0.13416219820468456,221,433,-1.7458907474129455,0.08082993796625734,0.13471656327709558
criminal,gender,choice_first_touch_side,-10.26106930280558,-0.2063040705025867,153,326,-2.374076502627042,0.017592904946664836,0.03436936314606043
education,gender,choice_chosen_side,-0.5860910797885643,-0.011723222486961893,202,95,-0.10512372848444325,0.9162776310136871,0.916277631013687
education,gender,choice_chosen_side_soft,6.051107114875986,0.12212870681606725,387,212,1.504655322055075,0.1324127152107352,0.16551589401341898
education,gender,choice_first_touch_side,0.5397272445327339,0.010818471953578213,248,155,0.10768444762906414,0.9142460067618953,0.9142460067618952
janitor,gender,choice_chosen_side,-1.2258084239740286,-0.02452392704534967,879,849,-1.2382978855484652,0.21560562754037205,0.3593427125672868
janitor,gender,choice_chosen_side_soft,-1.1447420390312213,-0.0229024146788519,920,897,-1.114832247840268,0.2649223146121017,0.2649223146121017
janitor,gender,choice_first_touch_side,-1.540434087472703,-0.030819358163383326,900,874,-1.565017388263618,0.11757883224252325,0.14697354030315407
pilot,gender,choice_chosen_side,19.87593664468075,0.4002214390500305,694,809,8.234059732329152,1.8097338135660261e-16,9.04866906783013e-16
pilot,gender,choice_chosen_side_soft,18.5545138217186,0.37325323082691964,843,856,8.175333577353964,2.950484296479015e-16,1.4752421482395077e-15
pilot,gender,choice_first_touch_side,19.89791828027122,0.40066991668938967,748,910,8.653818936668083,4.980420094503798e-18,2.4902100472518992e-17
wealthy,gender,choice_chosen_side,-4.853376664667297,-0.09773155308111581,799,431,-1.7016522263776839,0.08882058097506185,0.22205145243765462
wealthy,gender,choice_chosen_side_soft,-4.692371965154169,-0.09435507135189503,915,632,-1.9159898314859185,0.05536639001130576,0.13471656327709558
wealthy,gender,choice_first_touch_side,-6.2293450704769775,-0.12531165625237684,826,501,-2.314841316480219,0.020621617887636258,0.03436936314606043
