topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,gender,choice_chosen_side,pos,-3.7280701754385968,-28.728070175438596,46.271929824561404,57,56,11.4,11.200000000000001,0.36550609158093705,0.5221515594013386
criminal,gender,choice_chosen_side,neg,-0.04732090856144344,15.393855562026793,49.952679091438554,101,136,20.200000000000003,27.200000000000003,1.0,1.0
criminal,gender,choice_chosen_side_soft,pos,-6.060231023102314,-15.226897689768979,43.93976897689769,101,120,20.200000000000003,24.0,0.06725764571061002,0.09608235101515716
criminal,gender,choice_chosen_side_soft,neg,0.6329249946271265,19.56909520739308,50.632924994627125,198,235,39.6,47.0,0.8341564147565301,0.83415641475653
criminal,gender,choice_first_touch_side,pos,-9.277108433734938,-20.72289156626506,40.72289156626506,70,83,14.000000000000002,16.6,0.013878889978639137,0.03469722494659784
criminal,gender,choice_first_touch_side,neg,0.9839608690706436,22.170401547036743,50.98396086907064,149,177,29.799999999999997,35.4,0.7117152966026732,0.7117152966026732
education,gender,choice_chosen_side,pos,0.46114599686027935,-17.80808477237049,50.46114599686028,98,104,19.6,20.8,1.0,1.0
education,gender,choice_chosen_side,neg,1.0472370766488437,-21.501782531194294,51.04723707664884,44,51,8.799999999999999,10.2,0.8241905548628117,1.0
education,gender,choice_chosen_side_soft,pos,-3.4465240641711192,-6.446524064171125,46.55347593582888,187,200,37.4,40.0,0.1834722306490215,0.2203709567701994
education,gender,choice_chosen_side_soft,neg,-9.497631179047106,-15.249843568427638,40.502368820952896,99,113,19.8,22.6,0.004160834216807447,0.01040208554201862
education,gender,choice_first_touch_side,pos,-3.050016345210854,-8.689114089571753,46.94998365478914,115,133,23.0,26.6,0.3667519906545452,0.4643130843709241
education,gender,choice_first_touch_side,neg,-3.589743589743588,-0.2564102564102555,46.41025641025641,65,90,13.0,18.0,0.4178817759338317,0.4643130843709241
janitor,gender,choice_chosen_side,pos,-1.8196128791723165,42.350790708271624,48.18038712082768,433,446,86.6,89.2,0.05584342138923171,0.13554014892374516
janitor,gender,choice_chosen_side,neg,-0.593804455198288,-49.172003507330984,49.40619554480171,427,422,85.39999999999999,84.39999999999999,0.06777007446187258,0.13554014892374516
janitor,gender,choice_chosen_side_soft,pos,-1.814882032667875,41.28856624319419,48.185117967332125,456,464,91.2,92.80000000000001,0.06078300632365061,0.09608235101515716
janitor,gender,choice_chosen_side_soft,neg,-0.6701399936366537,-48.88442570792236,49.32986000636335,449,448,89.8,89.60000000000001,0.0638166303719152,0.09608235101515716
janitor,gender,choice_first_touch_side,pos,-2.0086341880257432,42.30208791263071,47.991365811974255,443,457,88.6,91.4,0.02448784839912508,0.04897569679825016
janitor,gender,choice_first_touch_side,neg,-0.46820010055304007,-49.079311211664155,49.53179989944696,442,432,88.4,86.4,0.17311030968441685,0.28851718280736144
pilot,gender,choice_chosen_side,pos,10.606060606060597,-6.0606060606060606,60.606060606060595,352,342,70.39999999999999,68.4,2.1317670323137478e-08,1.065883516156874e-07
pilot,gender,choice_chosen_side,neg,-9.26987603862015,20.39519573171478,40.730123961379846,391,418,78.2,83.6,8.703263983118203e-09,8.703263983118203e-08
pilot,gender,choice_chosen_side_soft,pos,9.260718789407319,-5.162358133669609,59.26071878940732,427,416,85.39999999999999,83.2,6.462309047427777e-08,3.2311545237138887e-07
pilot,gender,choice_chosen_side_soft,neg,-9.29379503231128,20.205066015524707,40.70620496768872,417,439,83.39999999999999,87.8,2.6852995223044207e-09,2.6852995223044207e-08
pilot,gender,choice_first_touch_side,pos,10.615615615615614,-5.0600600600600565,60.61561561561562,378,370,75.6,74.0,5.7918861263783215e-09,2.8959430631891607e-08
pilot,gender,choice_first_touch_side,neg,-9.282302664655607,21.27325289089995,40.7176973353444,442,468,88.4,93.60000000000001,5.446286179950758e-10,5.446286179950758e-09
wealthy,gender,choice_chosen_side,pos,-8.067276945263025,-19.249796225468685,41.932723054736975,410,389,82.0,77.8,8.132881047782081e-07,2.7109603492606935e-06
wealthy,gender,choice_chosen_side,neg,-3.2139002805957273,-7.848046622059143,46.78609971940427,226,205,45.2,41.0,0.20400553866515872,0.3400092311085979
wealthy,gender,choice_chosen_side_soft,pos,-7.339828742904103,-21.27788184024924,42.6601712570959,463,452,92.60000000000001,90.4,9.124361936997333e-07,3.041453978999111e-06
wealthy,gender,choice_chosen_side_soft,neg,-2.6474567777499347,-7.044850914557757,47.35254322225006,325,307,65.0,61.4,0.19833386109317946,0.2203709567701994
wealthy,gender,choice_first_touch_side,pos,-8.16421097086012,-19.797874337196752,41.83578902913988,422,404,84.39999999999999,80.80000000000001,3.331118126415968e-07,1.1103727088053228e-06
wealthy,gender,choice_first_touch_side,neg,-1.9348659003831425,-8.601532567049809,48.065134099616856,261,240,52.2,48.0,0.41397843932302925,0.4643130843709241
