topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,gender,d_approach_retreat,0.01200000000000001,0.0031259803397127722,500,500,0.04942608897199631,0.9605902671782076,0.9605902671782076
criminal,gender,d_latency,0.035,0.013347564395606703,500,500,0.21104352352942965,0.8329002495894735,0.8840460451545574
criminal,gender,d_peak_speed,-0.0007405228354036809,-0.1764936481966053,500,500,-2.790609604268711,0.005398319608352319,0.008997199347253865
criminal,gender,d_time_to_half,-0.45899999999999996,-0.13844542577172778,500,500,-2.189014385352172,0.028878294950426223,0.07219573737606555
criminal,gender,pull_AUC,-0.6351526963857359,-0.03885606046419639,500,500,-0.6143682598404001,0.5391153289636758,0.5391153289636758
criminal,gender,pull_MAD,-1.1472821183188344,-0.03320280790121061,500,500,-0.5249824884043023,0.5997135575081765,0.5997135575081765
criminal,gender,pull_early,-0.1791898987037711,-0.026319235294319555,500,500,-0.4161436490197093,0.6774122047824892,0.6774122047824892
criminal,gender,pull_final,-6.613363532685615,-0.11630431063927557,226,266,-1.277236705423708,0.20218646564430437,0.20218646564430437
criminal,gender,pull_release,-0.9512394964804116,-0.029455517446522302,500,500,-0.46573262394918713,0.6415097922951867,0.6415097922951867
criminal,gender,pull_tcp,-3.609294989379123,-0.05273479259606606,500,500,-0.8338102827007629,0.40458827423239774,0.5057353427904971
criminal,gender,q_exploded,0.011999999999999997,0.05939383039947075,500,500,0.9390989151203797,0.34790884132651756,0.434886051658147
criminal,gender,q_jerk_in_grasp,0.005999999999999998,0.036691599399342176,500,500,0.5801451254819364,0.5619477176478205,0.5619477176478205
criminal,gender,q_tile_drift,0.013075885742902749,0.024726203848749368,500,500,0.3909556102583477,0.6959142013125419,0.8698927516406774
criminal,gender,xpos_reversals,-0.04200000000000004,-0.0509543351005075,500,500,-0.805658777885342,0.42063163708622175,0.42063163708622175
education,gender,d_approach_retreat,0.24,0.06601391592113173,500,500,1.043771657888143,0.2968440795216529,0.7421101988041323
education,gender,d_latency,-0.026999999999999996,-0.009226241915671856,500,500,-0.14587969348619115,0.8840460451545575,0.8840460451545574
education,gender,d_peak_speed,0.00021574055403470992,0.055380929132665305,500,500,0.8756493749779785,0.3814364215331202,0.3814364215331202
education,gender,d_time_to_half,-0.062,-0.01752780735258146,500,500,-0.27713896811401706,0.7817317307525045,0.7817317307525045
education,gender,pull_AUC,0.8288168620666516,0.047860821328390514,500,500,0.7567460304203981,0.4493909357508563,0.5391153289636758
education,gender,pull_MAD,2.151970987122332,0.06074469345046763,500,500,0.9604579353609513,0.33707303554115886,0.4213412944264486
education,gender,pull_early,-0.3622620036243462,-0.047829278354105026,500,500,-0.7562472922058068,0.44968037325490595,0.5621004665686324
education,gender,pull_final,10.085753856005297,0.1724785509693479,257,248,1.9340280538185866,0.053704473155633155,0.06713059144454145
education,gender,pull_release,2.1125885329965968,0.06351116865861742,500,500,1.00419974910166,0.3155361623057216,0.394420202882152
education,gender,pull_tcp,2.8858829631935805,0.037551726507514094,500,500,0.5937449291773229,0.5528190165838989,0.5528190165838989
education,gender,q_exploded,-0.011999999999999997,-0.061303825295130634,500,500,-0.969298586068284,0.33263253978818075,0.434886051658147
education,gender,q_jerk_in_grasp,-0.009000000000000001,-0.056388444001493364,500,500,-0.8915795837878906,0.3728359522064776,0.46604494025809695
education,gender,q_tile_drift,-0.049905257254838936,-0.13714160717186488,500,500,-2.1683992031958796,0.03038334112793188,0.050638901879886476
education,gender,xpos_reversals,0.040999999999999925,0.051606596999314955,500,500,0.8159719440412312,0.4147110707837969,0.42063163708622175
janitor,gender,d_approach_retreat,-0.04600000000000001,-0.013671414088198318,500,500,-0.21616403677010398,0.8289057417472419,0.9605902671782076
janitor,gender,d_latency,0.267,0.07342980410020915,500,500,1.1610271454831593,0.24593436733211502,0.4098906122201917
janitor,gender,d_peak_speed,-0.0030492675006389617,-0.5397410966789803,500,500,-8.534056061513606,6.793257421861417e-17,1.6983143554653544e-16
janitor,gender,d_time_to_half,1.234,0.15108470633631868,500,500,2.388858958202203,0.017085781140221096,0.07219573737606555
janitor,gender,pull_AUC,18.469914861974043,0.8208349441193081,500,500,12.97854003237024,3.674049126037581e-35,9.185122815093952e-35
janitor,gender,pull_MAD,45.98170291002752,0.9386520542210414,500,500,14.841392108671787,2.8055504182722704e-44,7.013876045680676e-44
janitor,gender,pull_early,1.6639888248406356,0.21696601648078354,500,500,3.430533934664531,0.0006295118843251508,0.0015737797108128769
janitor,gender,pull_final,38.01783308228886,0.7499543868192976,397,329,9.950043031209763,9.884314242516486e-22,2.4710785606291216e-21
janitor,gender,pull_release,44.02735279111948,0.9485301102514813,500,500,14.997577888226544,4.2959692865560626e-45,1.0739923216390156e-44
janitor,gender,pull_tcp,33.91930640337523,0.588223222489728,500,500,9.300625778357606,9.696828478864688e-20,4.848414239432344e-19
janitor,gender,q_exploded,-0.033,-0.23757558667302797,500,500,-3.7563998516875654,0.00018347239225571075,0.0009173619612785537
janitor,gender,q_jerk_in_grasp,-0.034,-0.3603019375687853,500,500,-5.69687384044576,2.0296307785552454e-08,1.0148153892776227e-07
janitor,gender,q_tile_drift,-0.05927823661267757,-0.3710636892904536,500,500,-5.86703207571431,6.722122060595408e-09,3.361061030297704e-08
janitor,gender,xpos_reversals,0.07700000000000007,0.09774923004317873,500,500,1.5455510323210195,0.1225474772786312,0.306368693196578
pilot,gender,d_approach_retreat,0.485,0.11881908350832818,500,500,1.8786946669003368,0.06057811198726382,0.30289055993631914
pilot,gender,d_latency,0.913,0.25126812994785186,500,500,3.972897970231886,7.711234989874155e-05,0.00038556174949370774
pilot,gender,d_peak_speed,-0.0027619594093412163,-0.6732813042283979,500,500,-10.645512136852464,6.537981716950458e-25,3.268990858475229e-24
