topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,gender,choice_chosen_side,pos,-4.454386306166114,39.36004668352461,45.545613693833886,53,97,10.6,19.400000000000002,0.08467263917140394,0.14112106528567323
criminal,gender,choice_chosen_side,neg,-1.6267123287671215,14.126712328767125,48.37328767123288,48,73,9.6,14.6,0.8462451708137151,0.8462451708137151
criminal,gender,choice_chosen_side_soft,pos,-1.2795708380969162,39.23137806701257,48.720429161903084,83,137,16.6,27.400000000000002,0.6502693628758444,0.7225215143064937
criminal,gender,choice_chosen_side_soft,neg,-4.468864468864464,16.007326007326007,45.53113553113553,78,105,15.6,21.0,0.20988018939191622,0.2998288419884517
criminal,gender,choice_first_touch_side,pos,-0.5412102243088135,39.273604590506004,49.45878977569119,142,216,28.4,43.2,0.7300155971466882,0.8264774939065465
criminal,gender,choice_first_touch_side,neg,-7.710681696188942,19.44981213097155,42.28931830381106,115,162,23.0,32.4,0.007195600339241407,0.017989000848103516
education,gender,choice_chosen_side,pos,-10.457271364317844,15.629685157421289,39.54272863568215,29,46,5.800000000000001,9.2,0.07693024114994845,0.14112106528567323
education,gender,choice_chosen_side,neg,-12.5,20.833333333333336,37.5,36,66,7.199999999999999,13.200000000000001,0.008558480958752158,0.021396202396880393
education,gender,choice_chosen_side_soft,pos,-13.148148148148142,16.851851851851855,36.851851851851855,54,70,10.8,14.000000000000002,0.0031550916591340855,0.007887729147835214
education,gender,choice_chosen_side_soft,neg,-13.874658469945356,16.33367486338798,36.12534153005464,61,96,12.2,19.2,0.00034505400401101886,0.0011501800133700629
education,gender,choice_first_touch_side,pos,-7.860287303058383,18.101251158480075,42.139712696941615,83,104,16.6,20.8,0.025963801288785157,0.05192760257757032
education,gender,choice_first_touch_side,neg,-12.857142857142856,17.14285714285714,37.142857142857146,105,155,21.0,31.0,1.6676609855170427e-05,5.558869951723476e-05
janitor,gender,choice_chosen_side,pos,11.538461538461542,-38.46153846153846,61.53846153846154,13,9,2.6,1.7999999999999998,0.24025974025974028,0.3432282003710575
janitor,gender,choice_chosen_side,neg,-14.962121212121215,-31.62878787878788,35.03787878787878,88,24,17.599999999999998,4.8,0.00016366426715391964,0.0008183213357695982
janitor,gender,choice_chosen_side_soft,pos,7.401315789473683,-36.348684210526315,57.401315789473685,19,16,3.8,3.2,0.346829640947288,0.43353705118411
janitor,gender,choice_chosen_side_soft,neg,-20.25816087049285,-26.072114358864944,29.74183912950715,109,43,21.8,8.6,4.571169703351627e-09,2.2855848516758136e-08
janitor,gender,choice_first_touch_side,pos,4.11111111111111,-18.11111111111111,54.11111111111111,25,18,5.0,3.5999999999999996,0.7438297445158918,0.8264774939065465
janitor,gender,choice_first_touch_side,neg,-15.238505040570448,-30.544627489550034,34.76149495942955,166,49,33.2,9.8,1.0549603029869817e-07,5.274801514934908e-07
pilot,gender,choice_chosen_side,pos,-2.321981424148606,-41.795665634674926,47.6780185758514,68,38,13.600000000000001,7.6,0.4532665649785348,0.5041439187780651
pilot,gender,choice_chosen_side,neg,-18.788291354663034,-30.326752893124574,31.211708645336966,113,26,22.6,5.2,9.732026966716645e-08,9.732026966716644e-07
pilot,gender,choice_chosen_side_soft,pos,-3.3033033033033066,-42.19219219219219,46.69669669669669,111,72,22.2,14.399999999999999,0.13830978763046878,0.23051631271744796
pilot,gender,choice_chosen_side_soft,neg,-19.791666666666664,-28.125,30.208333333333336,144,36,28.799999999999997,7.199999999999999,1.0933688760527867e-09,1.0933688760527867e-08
pilot,gender,choice_first_touch_side,pos,-3.692355629414207,-36.82488574989613,46.30764437058579,116,83,23.200000000000003,16.6,0.13369585848701862,0.19099408355288375
pilot,gender,choice_first_touch_side,neg,-20.555555555555554,-26.111111111111114,29.444444444444446,180,54,36.0,10.8,9.851990609886164e-13,9.851990609886164e-12
wealthy,gender,choice_chosen_side,pos,14.583333333333325,27.083333333333332,64.58333333333333,36,40,7.199999999999999,8.0,0.003122203362680607,0.010407344542268689
wealthy,gender,choice_chosen_side,neg,5.35714285714286,-30.357142857142854,55.35714285714286,20,21,4.0,4.2,0.4537295269002586,0.5041439187780651
wealthy,gender,choice_chosen_side_soft,pos,9.810239885427851,29.985678481919088,59.810239885427855,49,57,9.8,11.4,0.01622247795176804,0.03244495590353608
wealthy,gender,choice_chosen_side_soft,neg,0.3722084367245637,-34.24317617866005,50.37220843672456,31,26,6.2,5.2,1.0,1.0
wealthy,gender,choice_first_touch_side,pos,6.293965198074791,24.787115883006297,56.293965198074794,74,73,14.799999999999999,14.6,0.08961069293203622,0.14935115488672704
wealthy,gender,choice_first_touch_side,neg,-0.07739938080495445,-23.60681114551084,49.922600619195045,38,34,7.6,6.800000000000001,1.0,1.0
