topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,gender,d_approach_retreat,0.74,0.23544582376248394,100,100,1.6648533858450514,0.0976185470508817,0.4880927352544085
criminal,gender,d_latency,-0.32999999999999996,-0.13052071052878403,100,100,-0.9229207950018959,0.3573210855538185,0.3573210855538185
criminal,gender,d_peak_speed,-0.00047592168673872944,-0.10380398283343854,100,100,-0.7340050017569635,0.46385708773789136,0.4638570877378914
criminal,gender,d_time_to_half,-0.63,-0.20220554623438494,100,100,-1.4298091293586352,0.15475913333614708,0.3868978333403677
criminal,gender,pull_AUC,-1.9768137297802513,-0.15466589723055046,100,100,-1.093653047500239,0.2756829368944183,0.34460367111802287
criminal,gender,pull_MAD,-6.268750109674875,-0.2344826200672635,100,100,-1.6580425071995086,0.09910245168799821,0.16517075281333035
criminal,gender,pull_early,0.8208818035200238,0.1598705990739228,100,100,1.1304558471752657,0.25978611416259256,0.34362425008391423
criminal,gender,pull_release,-6.329896204988472,-0.26105840864427293,100,100,-1.845961710381342,0.06657940894909915,0.11096568158183191
criminal,gender,pull_tcp,6.39008038881002,0.0965786338953988,100,100,0.6829140694516944,0.4954624440820209,0.4954624440820209
criminal,gender,q_exploded,0.0,0.0,100,100,0.0,1.0,1.0
criminal,gender,q_jerk_in_grasp,-0.03,-0.13617336076906728,100,100,-0.9628910681676965,0.3368332155118291,0.4210415193897864
criminal,gender,q_tile_drift,-0.08248740378767251,-0.19666133293784993,100,100,-1.3906056211753899,0.1662674945088956,0.415668736272239
criminal,gender,xpos_reversals,-0.07000000000000006,-0.07485799650500127,100,100,-0.5293259695472528,0.5971778470705362,0.5971778470705362
education,gender,d_approach_retreat,0.265,0.07083333300167607,100,100,0.5008673009953001,0.6170331096266197,0.6816709313130165
education,gender,d_latency,-0.925,-0.3357149172322122,100,100,-2.3738629452037774,0.018560123133887038,0.046400307834717595
education,gender,d_peak_speed,-0.001588109601289034,-0.32011502367933464,100,100,-2.263555040033497,0.024762138050026767,0.04127023008337794
education,gender,d_time_to_half,-0.135,-0.045174143298471366,100,100,-0.3194294306064193,0.7498603568456035,0.8305322644399371
education,gender,pull_AUC,1.9111050734930726,0.1568455676748665,100,100,1.1090656450195164,0.2688821552063586,0.34460367111802287
education,gender,pull_MAD,4.48741611673031,0.16798449675709382,100,100,1.1878297679115064,0.23660769985199367,0.2957596248149921
education,gender,pull_early,-0.022722107241861522,-0.0032798881060003143,100,100,-0.023192311212859237,0.9815216252291007,0.9815216252291007
education,gender,pull_release,3.6203686334192753,0.14557112629423272,100,100,1.029343305476153,0.3047718901259129,0.3809648626573911
education,gender,pull_tcp,-10.446019044611603,-0.13598027848377267,100,100,-0.9615257702351082,0.33746155409550027,0.42182694261937537
education,gender,q_exploded,-0.04000000000000001,-0.17559076509976593,100,100,-1.2416142071577865,0.21585242087045553,0.35975403478409257
education,gender,q_jerk_in_grasp,-0.045000000000000005,-0.24162717417459398,100,100,-1.7085621337779842,0.08925809602524336,0.1487634933754056
education,gender,q_tile_drift,-0.009032423123717326,-0.02021494073100333,100,100,-0.142941216721766,0.8864821330978545,0.8864821330978545
education,gender,xpos_reversals,-0.32499999999999996,-0.42366284393838766,100,100,-2.9957486988561195,0.0031316384024288853,0.015658192012144426
janitor,gender,d_approach_retreat,-0.42500000000000004,-0.1144824866285044,100,100,-0.8095134262211371,0.4192264535463659,0.6816709313130165
janitor,gender,d_latency,-0.5,-0.14620489745017476,100,100,-1.0338247442970234,0.30266724420053576,0.3573210855538185
janitor,gender,d_peak_speed,-0.0020107882469892506,-0.37068515761323595,100,100,-2.6211398863352335,0.00951642161482152,0.023791054037053803
janitor,gender,d_time_to_half,0.865,0.10382213535126043,100,100,0.7341333594414383,0.46387674830348014,0.7731279138391335
janitor,gender,pull_AUC,22.148093957526495,0.8721982112887154,100,100,6.167372697410278,4.820431615478125e-09,1.2051079038695312e-08
janitor,gender,pull_MAD,48.34612821938936,0.9287263761233947,100,100,6.5670871842366045,6.383136178171109e-10,1.5957840445427773e-09
janitor,gender,pull_early,5.29625403531827,0.44290826653444565,100,100,3.1318343871008527,0.0020076718856863983,0.010038359428431991
janitor,gender,pull_release,45.51836376078427,0.8990750484324498,100,100,6.357420635422089,1.8644732476653953e-09,4.6611831191634884e-09
janitor,gender,pull_tcp,34.233550714561716,0.5467395215326752,100,100,3.8660322321844314,0.00015525786859059258,0.00038814467147648145
janitor,gender,q_exploded,-0.055,-0.42048996197065297,100,100,-2.9733130353032218,0.0035925716659477303,0.01796285832973865
janitor,gender,q_jerk_in_grasp,-0.03,-0.35550383784623796,100,100,-2.5137917447891764,0.013556758919315062,0.06778379459657531
janitor,gender,q_tile_drift,-0.11456762738525868,-0.6286081215368974,100,100,-4.444930654476775,2.2743762550038432e-05,0.00011371881275019216
janitor,gender,xpos_reversals,-0.125,-0.18507879116553977,100,100,-1.3087046828696205,0.19224073980106496,0.3204012330017749
pilot,gender,d_approach_retreat,0.255,0.058094464655590185,100,100,0.4107898990737002,0.6816709313130165,0.6816709313130165
pilot,gender,d_latency,-1.235,-0.36975891383693915,100,100,-2.61459035378272,0.009735728618985046,0.046400307834717595
pilot,gender,d_peak_speed,-0.003652016557753086,-0.9510699285933598,100,100,-6.725079958909703,2.339661915360384e-10,1.169830957680192e-09
pilot,gender,d_time_to_half,-0.17500000000000004,-0.030307428084029576,100,100,-0.2143058791854093,0.8305322644399371,0.8305322644399371
pilot,gender,pull_AUC,31.151577020444886,1.2558240060719212,100,100,8.880016706703115,2.242455895138667e-15,1.1212279475693334e-14
pilot,gender,pull_MAD,64.19027857709735,1.3232598220044098,100,100,9.35685993411022,2.857352822955078e-16,1.428676411477539e-15
pilot,gender,pull_early,5.241598017048091,0.3615447670288264,100,100,2.5565075646859365,0.011332271173607746,0.028330677934019364
pilot,gender,pull_release,62.07726657466992,1.2839660709270149,100,100,9.0790111556594,7.348470514699248e-16,3.674235257349624e-15
pilot,gender,pull_tcp,57.18221282819286,0.8356296086939177,100,100,5.908793628677303,1.779611385108633e-08,8.898056925543165e-08
