topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,gender,choice_chosen_side,pos,-4.1666666666666625,37.5,45.833333333333336,6,12,6.0,12.0,1.0,1.0
criminal,gender,choice_chosen_side,neg,-11.507936507936506,17.063492063492063,38.492063492063494,9,14,9.0,14.000000000000002,0.36303674787992996,0.711111111111111
criminal,gender,choice_chosen_side_soft,pos,-9.538461538461535,36.46153846153846,40.46153846153847,13,25,13.0,25.0,0.10655015918173813,0.42970822281167104
criminal,gender,choice_chosen_side_soft,neg,-11.363636363636365,11.363636363636365,38.63636363636363,14,22,14.000000000000002,22.0,0.2858542413381123,0.577391304347826
criminal,gender,choice_first_touch_side,pos,-4.863636363636364,42.86363636363637,45.13636363636363,25,44,25.0,44.0,0.13169446883230906,0.38063921943672385
criminal,gender,choice_first_touch_side,neg,3.703703703703698,12.962962962962962,53.703703703703695,18,27,18.0,27.0,0.7566095772346243,0.9727837421588027
education,gender,choice_chosen_side,neg,-10.416666666666668,27.083333333333332,39.58333333333333,6,16,6.0,16.0,0.29186602870813394,0.711111111111111
education,gender,choice_chosen_side_soft,pos,4.761904761904756,11.904761904761903,54.76190476190476,6,7,6.0,7.000000000000001,1.0,1.0
education,gender,choice_chosen_side_soft,neg,-14.73684210526316,24.736842105263158,35.26315789473684,10,19,10.0,19.0,0.143236074270557,0.42970822281167104
education,gender,choice_first_touch_side,pos,-2.1428571428571463,12.14285714285714,47.857142857142854,10,14,10.0,14.000000000000002,1.0,1.0
education,gender,choice_first_touch_side,neg,-11.494252873563221,28.160919540229884,38.50574712643678,9,29,9.0,28.999999999999996,0.1310654871026388,0.38063921943672385
janitor,gender,choice_chosen_side,pos,-20.0,-30.0,30.0,5,5,5.0,5.0,0.4444444444444444,0.711111111111111
janitor,gender,choice_chosen_side,neg,0.0,-50.0,50.0,15,5,15.0,5.0,1.0,1.0
janitor,gender,choice_chosen_side_soft,pos,-1.9480519480519431,-33.76623376623377,48.05194805194806,7,11,7.000000000000001,11.0,1.0,1.0
janitor,gender,choice_chosen_side_soft,neg,-8.333333333333332,-41.66666666666667,41.66666666666667,21,12,21.0,12.0,0.125,0.42970822281167104
janitor,gender,choice_first_touch_side,pos,-5.35714285714286,-30.35714285714286,44.64285714285714,7,8,7.000000000000001,8.0,1.0,1.0
janitor,gender,choice_first_touch_side,neg,-2.0512820512820493,-45.38461538461539,47.94871794871795,39,15,39.0,15.0,0.4821802935010483,0.7232704402515724
pilot,gender,choice_chosen_side,pos,-2.857142857142858,-32.85714285714286,47.14285714285714,14,10,14.000000000000002,10.0,1.0,1.0
pilot,gender,choice_chosen_side,neg,-8.333333333333332,-41.66666666666667,41.66666666666667,28,6,28.000000000000004,6.0,0.1764705882352941,0.711111111111111
pilot,gender,choice_chosen_side_soft,pos,-1.4170040485829927,-40.89068825910931,48.582995951417004,26,19,26.0,19.0,1.0,1.0
pilot,gender,choice_chosen_side_soft,neg,-4.934210526315791,-42.43421052631579,45.06578947368421,38,8,38.0,8.0,0.3207729468599034,0.577391304347826
pilot,gender,choice_first_touch_side,pos,-8.991228070175438,-32.675438596491226,41.00877192982456,24,19,24.0,19.0,0.21146623302040213,0.38063921943672385
pilot,gender,choice_first_touch_side,neg,-7.389937106918238,-40.723270440251575,42.61006289308176,53,12,53.0,12.0,0.08511904761904762,0.38063921943672385
wealthy,gender,choice_chosen_side,pos,13.33333333333333,-3.3333333333333326,63.33333333333333,15,6,15.0,6.0,0.3614551083591332,0.711111111111111
wealthy,gender,choice_chosen_side_soft,pos,4.8872180451127845,-2.2556390977443606,54.88721804511278,19,14,19.0,14.000000000000002,0.7282820955113843,1.0
wealthy,gender,choice_first_touch_side,pos,13.392857142857139,-0.8928571428571452,63.39285714285714,24,14,24.0,14.000000000000002,0.17879926645221417,0.38063921943672385
