topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,gender,d_approach_retreat,-0.024999999999999994,-0.007037871077981538,500,500,-0.11127851242523083,0.9114179581523265,0.9391187387796902
criminal,gender,d_latency,-0.07999999999999999,-0.028811446018289767,500,500,-0.45554896050392474,0.6488234281324539,0.6488234281324539
criminal,gender,d_peak_speed,-0.0006677442453801632,-0.133404425947766,500,500,-2.1093091797110364,0.035167970935959844,0.035167970935959844
criminal,gender,d_time_to_half,-0.369,-0.09519539652065716,500,500,-1.5051713788407244,0.13260224727959696,0.3315056181989924
criminal,gender,pull_AUC,-1.6459834505253275,-0.09326376987149793,500,500,-1.4746296798386134,0.14062888398231976,0.14062888398231976
criminal,gender,pull_MAD,-4.235977994998686,-0.10839848068342302,500,500,-1.7139304693069108,0.08685208857357578,0.08685208857357578
criminal,gender,pull_early,0.04637443012325093,0.007339664958301586,500,500,0.11605029265378893,0.9076365106879783,0.9076365106879785
criminal,gender,pull_final,-9.29331396390281,-0.1589203955154024,244,269,-1.7930142789332746,0.07358607585243539,0.09198259481554423
criminal,gender,pull_release,-2.476922700283467,-0.068585664208742,500,500,-1.084434568675574,0.2784343207190908,0.2784343207190908
criminal,gender,pull_tcp,-2.1188472518115304,-0.030365463763360124,500,500,-0.4801201384976309,0.6312473747612036,0.6399042126231594
criminal,gender,q_exploded,0.007999999999999993,0.04016382665203555,500,500,0.635045858843037,0.5255451024227604,0.5354755260976953
criminal,gender,q_jerk_in_grasp,0.004,0.0316237668403476,500,500,0.500015657048024,0.6171779362925005,0.7714724203656256
criminal,gender,q_tile_drift,0.042430815443396566,0.11083016937736637,500,500,1.7523788434736165,0.08002308819998542,0.20005772049996356
criminal,gender,xpos_reversals,0.06099999999999994,0.07435566444470997,500,500,1.1756662829024132,0.24000908739281368,0.3000113592410171
education,gender,d_approach_retreat,0.14,0.03684789583439778,500,500,0.5826163891066378,0.5602852195968206,0.9391187387796902
education,gender,d_latency,-0.45499999999999996,-0.13655219432659282,500,500,-2.159079767829779,0.031081973554083975,0.15540986777041987
education,gender,d_peak_speed,0.0008288368210196495,0.22903802185263591,500,500,3.621409099168738,0.0003095607170454398,0.0005159345284090664
education,gender,d_time_to_half,-0.24,-0.06203453640534224,500,500,-0.9808521431675791,0.32690379089085575,0.5448396514847595
education,gender,pull_AUC,2.5177488691507106,0.13064022535436082,500,500,2.06560333078729,0.039128617580878815,0.05871208663627023
education,gender,pull_MAD,6.025003502775871,0.1564513825749514,500,500,2.4737135600961264,0.013540815607320116,0.022568026012200194
education,gender,pull_early,-0.1610180855495853,-0.019300630324985645,500,500,-0.30516976051935235,0.7603007010597664,0.9076365106879785
education,gender,pull_final,-6.152513828748682,-0.11536275819941068,292,258,-1.3457518423979002,0.17896832944020616,0.17896832944020616
education,gender,pull_release,5.167720006873424,0.1439658658198634,500,500,2.2763002065447626,0.023043691860299143,0.028804614825373928
education,gender,pull_tcp,2.174534703954123,0.02959800057256328,500,500,0.4679854799813389,0.6399042126231594,0.6399042126231594
education,gender,q_exploded,-0.024999999999999994,-0.13408918160369895,500,500,-2.12013611727819,0.03425058996104826,0.08562647490262065
education,gender,q_jerk_in_grasp,-0.0010000000000000009,-0.00923674052399369,500,500,-0.1460456910589861,0.8839148278458286,0.8839148278458285
education,gender,q_tile_drift,-0.024342702791094795,-0.05233337755674002,500,500,-0.827463353644181,0.4081787975289236,0.4081787975289236
education,gender,xpos_reversals,-0.10699999999999998,-0.14438646268696584,500,500,-2.2829504269286365,0.022645133773967773,0.056612834434919435
janitor,gender,d_approach_retreat,-0.107,-0.029158314269758328,500,500,-0.4610334291171281,0.6448820231011352,0.9391187387796902
janitor,gender,d_latency,-0.14600000000000002,-0.0402469152691376,500,500,-0.6363596052314175,0.5247060837661188,0.6488234281324539
janitor,gender,d_peak_speed,-0.0033252216055989266,-0.64405421022162,500,500,-10.18339120460609,3.558665874910831e-23,8.896664687277077e-23
janitor,gender,d_time_to_half,-0.35500000000000004,-0.03968518326842158,500,500,-0.6274778424470875,0.5304899959057685,0.6631124948822107
janitor,gender,pull_AUC,23.953326432982664,1.0051425099559086,500,500,15.892698522595712,1.7528888289561166e-50,4.382222072390291e-50
janitor,gender,pull_MAD,56.378347569487524,1.08742084094268,500,500,17.19363316257275,1.1509506008669612e-57,2.8773765021674033e-57
janitor,gender,pull_early,2.4242006498388946,0.2928528863911859,500,500,4.6304107017533775,4.132396087843024e-06,1.0370096231970074e-05
janitor,gender,pull_final,52.99589087989713,0.9844840122237278,403,349,13.406299893785485,1.1884593747825314e-36,5.942296873912657e-36
janitor,gender,pull_release,53.7396712921327,1.0831926972979253,500,500,17.126780341613795,2.5480774098863115e-57,6.370193524715779e-57
janitor,gender,pull_tcp,47.57578809070401,0.7862422012090641,500,500,12.431580741825178,4.5996760767771673e-33,1.945724206432983e-32
janitor,gender,q_exploded,-0.028999999999999998,-0.24779181335255776,500,500,-3.9179325786870307,9.676405970143807e-05,0.00048382029850719036
janitor,gender,q_jerk_in_grasp,-0.02,-0.27499160468681366,500,500,-4.347999041174826,1.638088928926139e-05,8.190444644630695e-05
janitor,gender,q_tile_drift,-0.028404158771038055,-0.22199298022744848,500,500,-3.5100172104373057,0.0004688145386298822,0.002344072693149411
janitor,gender,xpos_reversals,-0.09199999999999997,-0.12357640740275892,500,500,-1.9539145622680543,0.05099038372463852,0.08498397287439753
pilot,gender,d_approach_retreat,0.601,0.14442797362456952,500,500,2.2836067724818205,0.022604098227200404,0.11302049113600202
pilot,gender,d_latency,0.309,0.0769797257094311,500,500,1.2171563344841172,0.2238712680505831,0.5067739797333081
pilot,gender,d_peak_speed,-0.0035345298685133457,-0.6967400481142897,500,500,-11.016427445482302,2.426313231630522e-26,1.2131566158152609e-25
pilot,gender,d_time_to_half,-0.059,-0.007983021931468857,500,500,-0.12622265957259096,0.8995917943959637,0.8995917943959636
pilot,gender,pull_AUC,26.328381292101987,1.052723696628485,500,500,16.64502314089066,2.5460615658976445e-54,1.2730307829488222e-53
pilot,gender,pull_MAD,59.99116614327185,1.1761296402665806,500,500,18.5962424343844,9.330731741601333e-65,4.6653658708006665e-64
pilot,gender,pull_early,3.7654676977253985,0.29279827945416875,500,500,4.62954729026828,4.14803849278803e-06,1.0370096231970074e-05
pilot,gender,pull_final,53.14350224791574,0.9245016855450723,334,346,12.07962378865092,1.9649256349430785e-30,4.912314087357696e-30
pilot,gender,pull_release,57.92016047384823,1.169663497374636,500,500,18.49400373831114,4.976773157092395e-64,2.488386578546197e-63
pilot,gender,pull_tcp,53.287404805189,0.7849351462832385,500,500,12.410914388862421,7.782896825731932e-33,1.945724206432983e-32
pilot,gender,q_exploded,0.006000000000000005,0.039204932571908824,500,500,0.6198844122027747,0.5354755260976953,0.5354755260976953
pilot,gender,q_jerk_in_grasp,-0.012000000000000002,-0.13207154710626773,500,500,-2.088234514790131,0.03708413243259264,0.0927103310814816
pilot,gender,q_tile_drift,0.032127447247505186,0.08764167586799866,500,500,1.3857365684854517,0.16630255003521618,0.2771709167253603
pilot,gender,xpos_reversals,-0.0040000000000000036,-0.006181786750298825,500,500,-0.09774263070197428,0.9221564394097924,0.9221564394097925
wealthy,gender,d_approach_retreat,0.017000000000000015,0.00483179699926878,500,500,0.07639741854628136,0.9391187387796903,0.9391187387796902
wealthy,gender,d_latency,0.219,0.06503662184223803,500,500,1.028319281722641,0.30406438783998485,0.5067739797333081
