topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,gender,choice_chosen_side,pos,-3.2943349753694564,37.22290640394089,46.70566502463054,56,116,11.200000000000001,23.200000000000003,0.21423394483058217,0.30604849261511735
criminal,gender,choice_chosen_side,neg,-12.628161312371834,17.891319207108683,37.37183868762817,38,77,7.6,15.4,0.007391264363728086,0.024637547879093617
criminal,gender,choice_chosen_side_soft,pos,-6.414576802507837,32.55094043887147,43.58542319749216,88,145,17.599999999999998,28.999999999999996,0.015318015635627926,0.030636031271255852
criminal,gender,choice_chosen_side_soft,neg,-11.755952380952383,15.922619047619047,38.24404761904761,72,112,14.399999999999999,22.400000000000002,0.0011039551813249804,0.0036798506044166015
criminal,gender,choice_first_touch_side,pos,-5.074264749393459,40.345582578850816,44.92573525060654,129,262,25.8,52.400000000000006,0.0010615059751431315,0.002123011950286263
criminal,gender,choice_first_touch_side,neg,-11.074867971419694,20.534327430879156,38.92513202858031,111,174,22.2,34.8,6.295764988469719e-05,0.00015739412471174299
education,gender,choice_chosen_side,pos,-5.366847826086957,27.241847826086957,44.63315217391305,32,46,6.4,9.2,0.2788536807364145,0.3485671009205181
education,gender,choice_chosen_side,neg,-4.973118279569894,29.973118279569892,45.026881720430104,36,93,7.199999999999999,18.6,0.20524398459015192,0.30604849261511735
education,gender,choice_chosen_side_soft,pos,-10.333915320820603,20.678742907027498,39.6660846791794,58,79,11.600000000000001,15.8,0.011563381523944507,0.02890845380986127
education,gender,choice_chosen_side_soft,neg,-6.8376068376068355,26.068376068376065,43.162393162393165,65,117,13.0,23.400000000000002,0.04027834481743277,0.057540492596332524
education,gender,choice_first_touch_side,pos,-3.7346437346437336,25.356265356265357,46.26535626535627,74,110,14.799999999999999,22.0,0.2910128984064308,0.2910128984064308
education,gender,choice_first_touch_side,neg,-12.243457806527491,24.34872096442223,37.75654219347251,95,179,19.0,35.8,6.10795357493228e-06,2.0359845249774266e-05
janitor,gender,choice_chosen_side,pos,15.897435897435896,-27.435897435897438,65.8974358974359,13,15,2.6,3.0,0.06908212560386474,0.1381642512077295
janitor,gender,choice_chosen_side,neg,-29.08256880733945,-19.08256880733945,20.91743119266055,109,15,21.8,3.0,1.7614490548306435e-08,1.7614490548306437e-07
janitor,gender,choice_chosen_side_soft,pos,11.67048054919908,-22.540045766590385,61.670480549199084,23,19,4.6,3.8,0.1693393577736615,0.18815484197073498
janitor,gender,choice_chosen_side_soft,neg,-33.00127713920817,-14.035759897828864,16.998722860791826,135,29,27.0,5.800000000000001,3.4114648068480238e-15,3.4114648068480234e-14
janitor,gender,choice_first_touch_side,pos,17.391304347826086,-19.565217391304344,67.3913043478261,23,23,4.6,4.6,0.02304289541952616,0.032918422027894516
janitor,gender,choice_first_touch_side,neg,-26.733407489803483,-18.668891360771227,23.266592510196517,174,31,34.8,6.2,6.2477019670082875e-12,6.247701967008288e-11
pilot,gender,choice_chosen_side,pos,-6.550802139037437,-38.903743315508024,43.44919786096256,66,51,13.200000000000001,10.2,0.02996142323310021,0.07490355808275052
pilot,gender,choice_chosen_side,neg,-19.082991803278688,-28.457991803278688,30.917008196721312,122,32,24.4,6.4,4.9705933379695645e-08,2.485296668984782e-07
pilot,gender,choice_chosen_side_soft,pos,-5.343232716650437,-38.88753651411879,44.656767283349566,104,79,20.8,15.8,0.02647413281861658,0.0441235546976943
pilot,gender,choice_chosen_side_soft,neg,-18.80863039399625,-27.345215759849907,31.19136960600375,156,41,31.2,8.200000000000001,4.821498868037157e-09,2.4107494340185787e-08
pilot,gender,choice_first_touch_side,pos,-5.930922827846735,-31.22504047490556,44.069077172153264,109,85,21.8,17.0,0.039117054669489046,0.04889631833686131
pilot,gender,choice_first_touch_side,neg,-20.048309178743963,-25.60386473429952,29.951690821256037,184,45,36.8,9.0,1.3395945148322991e-10,6.697972574161496e-10
wealthy,gender,choice_chosen_side,pos,3.425012973533992,0.2335236118318651,53.425012973533995,41,47,8.200000000000001,9.4,0.6693616196074865,0.6693616196074865
wealthy,gender,choice_chosen_side,neg,-7.000000000000001,-26.999999999999996,43.0,25,10,5.0,2.0,0.381093371720212,0.4234370796891245
wealthy,gender,choice_chosen_side_soft,pos,4.803675856307432,3.9264828738512945,54.803675856307436,63,57,12.6,11.4,0.359603505987072,0.359603505987072
wealthy,gender,choice_chosen_side_soft,neg,-13.80718954248366,-16.748366013071898,36.19281045751634,36,17,7.199999999999999,3.4000000000000004,0.05255616925692627,0.06569521157115785
wealthy,gender,choice_first_touch_side,pos,6.25,3.749999999999998,56.25,85,80,17.0,16.0,0.12006713800220196,0.13340793111355775
wealthy,gender,choice_first_touch_side,neg,-13.33333333333333,-16.666666666666664,36.66666666666667,45,30,9.0,6.0,0.021134501700252075,0.032918422027894516
