topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,gender,d_approach_retreat,-0.387,-0.09452993140112889,500,500,-1.4946494514351967,0.13532373419162277,0.4901586422559689
criminal,gender,d_latency,-0.07799999999999999,-0.023602159683717296,500,500,-0.37318291149773,0.7090919361745687,0.8293303181861112
criminal,gender,d_peak_speed,-4.694080725312233e-05,-0.011846841983967085,500,500,-0.18731501874721973,0.851451938778903,0.9500413932215974
criminal,gender,d_time_to_half,-0.378,-0.04686843644441083,500,500,-0.7410550476759094,0.458834490566434,0.48513082705452637
criminal,gender,pull_AUC,-0.5580215930609105,-0.028778092780247375,500,500,-0.455021599506146,0.6491932141386788,0.8114915176733485
criminal,gender,pull_MAD,-0.27466177879832676,-0.006877928932723613,500,500,-0.10874960506088814,0.9134233010926464,0.9134233010926464
criminal,gender,pull_early,-1.2449883143999614,-0.06902832029100177,500,500,-1.0914335758759126,0.2753467679500441,0.7093785536601466
criminal,gender,pull_final,-0.3918139558105693,-0.007200464941780342,401,384,-0.1008162359985523,0.9197222790763653,0.9197222790763654
criminal,gender,pull_release,1.745295038272161,0.03921816038660721,500,500,0.6200935623173425,0.5353379215240256,0.6979002858853041
criminal,gender,pull_tcp,2.5401754325721413,0.03927069929099725,500,500,0.6209242753355543,0.5347912376321806,0.8596902102310942
criminal,gender,q_exploded,0.004999999999999999,0.05766380967607297,500,500,0.9117448856942338,0.3621285780546184,0.7017910873436479
criminal,gender,q_jerk_in_grasp,0.001,0.0632455532033676,500,500,1.0,0.3177951761118719,nan
criminal,gender,q_tile_drift,-0.005862066663801669,-0.08756536764946914,500,500,-1.384530029611736,0.16679775309695646,0.16679775309695646
criminal,gender,xpos_reversals,-0.15399999999999991,-0.14964770807944386,500,500,-2.3661380207751224,0.018168219150743688,0.030280365251239477
education,gender,d_approach_retreat,-0.32899999999999996,-0.07687679089781613,500,500,-1.2155287922079987,0.2244521768555754,0.4901586422559689
education,gender,d_latency,0.176,0.06620750975198558,500,500,1.0468326451204206,0.2954441870279421,0.4924069783799035
education,gender,d_peak_speed,-1.692296564579008e-05,-0.0039636387033135006,500,500,-0.06267063062233523,0.9500413932215974,0.9500413932215974
education,gender,d_time_to_half,-0.684,-0.08673472870210415,500,500,-1.3713964746771454,0.17056089154313647,0.28426815257189414
education,gender,pull_AUC,0.0014667164871664529,7.562907503322162e-05,500,500,0.0011958006721837743,0.9990461384092296,0.9990461384092295
education,gender,pull_MAD,-1.0132865713319916,-0.027058262319324282,500,500,-0.4278286922768751,0.6688800850541265,0.8361001063176582
education,gender,pull_early,0.7440731698108722,0.03617180519933462,500,500,0.5719264575490915,0.5675028429281173,0.7093785536601466
education,gender,pull_final,-1.2106726066960056,-0.025169094001771915,383,360,-0.3430771618899527,0.7316377657137582,0.9145472071421977
education,gender,pull_release,-1.3753483489854261,-0.03337214387006769,500,500,-0.527659925161201,0.5978595276388015,0.6979002858853041
education,gender,pull_tcp,1.357663809787482,0.021472012007000954,500,500,0.33950231944303166,0.7343045599071445,0.8596902102310942
education,gender,q_exploded,0.002999999999999999,0.03832397428700272,500,500,0.6059552386832805,0.5446824353609063,0.7017910873436479
education,gender,q_jerk_in_grasp,0.003,0.05723904777499233,500,500,0.9050288103408441,0.3658146392010422,nan
education,gender,q_tile_drift,-0.00791272807121277,-0.13024025417134094,500,500,-2.059279231103415,0.0399286541251921,0.06654775687532016
education,gender,xpos_reversals,0.31399999999999995,0.34927645434569854,500,500,5.522545644001117,4.284405986337289e-08,2.1422029931686446e-07
janitor,gender,d_approach_retreat,0.11700000000000002,0.030106039275476074,500,500,0.47601827718494905,0.6341682470848684,0.6401126314946488
janitor,gender,d_latency,0.324,0.11118528003665078,500,500,1.7579936359973303,0.0790582643373859,0.3952913216869295
janitor,gender,d_peak_speed,4.9436615779995915e-05,0.01520481772628695,500,500,0.24040927711384696,0.8100623648667615,0.9500413932215974
janitor,gender,d_time_to_half,-0.35700000000000004,-0.04416883169963193,500,500,-0.6983705487974149,0.48513082705452637,0.48513082705452637
janitor,gender,pull_AUC,0.7596190028694662,0.0346669153079307,500,500,0.5481320591260923,0.5837310306567842,0.8114915176733485
janitor,gender,pull_MAD,1.9749167447118086,0.04340753868247152,500,500,0.6863334492923723,0.49268650351302046,0.8361001063176582
janitor,gender,pull_early,0.778230984324182,0.04187150919047013,500,500,0.6620466905527933,0.508103180328704,0.7093785536601466
janitor,gender,pull_final,1.5163225462368937,0.029274724495749457,431,417,0.427056300647877,0.6694519512839805,0.9145472071421977
janitor,gender,pull_release,1.0539688598364592,0.024556811573688088,500,500,0.3882772832221907,0.6979002858853041,0.6979002858853041
janitor,gender,pull_tcp,0.5490122570190579,0.011182767131620867,500,500,0.17681507339594948,0.8596902102310942,0.8596902102310942
janitor,gender,q_exploded,-0.007000000000000001,-0.083252908064254,500,500,-1.3163440565782119,0.18838902446363726,0.7017910873436479
janitor,gender,q_jerk_in_grasp,0.002,0.08953247599071586,500,500,1.4156327434250127,0.15750688111504377,nan
