topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,gender,choice_chosen_side,pos,1.4763865767107642,-34.66222728467537,51.476386576710766,113,101,22.6,20.200000000000003,0.5753782323792989,0.763389304549706
criminal,gender,choice_chosen_side,neg,3.921892189218923,-27.189218921892188,53.92189218921892,101,90,20.200000000000003,18.0,0.23010229246206804,0.763389304549706
criminal,gender,choice_chosen_side_soft,pos,-0.9395973154362414,-30.939597315436245,49.06040268456376,149,145,29.799999999999997,28.999999999999996,0.7667547101883796,0.8604004993870271
criminal,gender,choice_chosen_side_soft,neg,1.4189615303762837,-23.95417279798192,51.418961530376286,142,134,28.4,26.8,0.680970181087358,0.8604004993870271
criminal,gender,choice_first_touch_side,pos,1.7321571772253463,-29.663191659983962,51.732157177225346,145,129,28.999999999999996,25.8,0.5489798775034457,0.7842569678620652
criminal,gender,choice_first_touch_side,neg,2.4867724867724927,-22.116402116402117,52.486772486772495,135,126,27.0,25.2,0.4090608919383523,0.6817681532305873
education,gender,choice_chosen_side,pos,-0.9271978021977989,-37.46565934065934,49.072802197802204,112,104,22.400000000000002,20.8,0.6870503740947355,0.763389304549706
education,gender,choice_chosen_side,neg,0.16036655211912887,-45.715922107674686,50.16036655211913,90,97,18.0,19.400000000000002,1.0,1.0
education,gender,choice_chosen_side_soft,pos,1.0397350993377463,-37.03973509933775,51.03973509933775,150,151,30.0,30.2,0.6110071122556275,0.8604004993870271
education,gender,choice_chosen_side_soft,neg,-0.6381137789314317,-43.39173696733723,49.361886221068566,134,138,26.8,27.6,0.8084792199963258,0.8604004993870271
education,gender,choice_first_touch_side,pos,-0.6321839080459801,-32.701149425287355,49.36781609195402,138,145,27.6,28.999999999999996,0.8753508432132454,0.9298232336988551
education,gender,choice_first_touch_side,neg,1.6960907944514547,-40.92686002522068,51.69609079445146,130,122,26.0,24.4,0.38810724831203736,0.6817681532305873
janitor,gender,choice_chosen_side,pos,2.2594855762398725,29.678840414949555,52.259485576239875,227,217,45.4,43.4,0.240619183696256,0.763389304549706
janitor,gender,choice_chosen_side,neg,1.3155408597071316,-32.82239017477563,51.315540859707134,146,145,29.2,28.999999999999996,0.6415054231234217,0.763389304549706
janitor,gender,choice_chosen_side_soft,pos,2.6255583396884274,29.491229981479467,52.625558339688425,274,268,54.800000000000004,53.6,0.13724967024679152,0.6862483512339577
janitor,gender,choice_chosen_side_soft,neg,0.6015228426395902,-29.601522842639593,50.60152284263959,200,197,40.0,39.4,0.8039800144647868,0.8604004993870271
janitor,gender,choice_first_touch_side,pos,1.9005366346102726,30.544604431220446,51.900536634610276,319,295,63.800000000000004,59.0,0.2612723428996837,0.6817681532305873
janitor,gender,choice_first_touch_side,neg,-2.112220916568741,-29.409518213866036,47.88777908343126,184,185,36.8,37.0,0.36777797831640957,0.6817681532305873
pilot,gender,choice_chosen_side,pos,1.6874910239839114,-12.293551630044519,51.68749102398391,231,211,46.2,42.199999999999996,0.4925340310718608,0.763389304549706
pilot,gender,choice_chosen_side,neg,1.7625527174345512,-32.98320999442985,51.76255271743455,213,236,42.6,47.199999999999996,0.37782044815237353,0.763389304549706
pilot,gender,choice_chosen_side_soft,pos,0.4402647161267814,-9.712991988854055,50.440264716126784,275,261,55.00000000000001,52.2,0.8604004993870271,0.8604004993870271
pilot,gender,choice_chosen_side_soft,neg,1.8036582879445429,-29.131593510616604,51.80365828794454,247,278,49.4,55.60000000000001,0.3328250511768748,0.8604004993870271
pilot,gender,choice_first_touch_side,pos,0.7783987226277378,-6.252851277372262,50.778398722627735,274,256,54.800000000000004,51.2,0.7268433827971612,0.9085542284964515
pilot,gender,choice_first_touch_side,neg,1.710450067606728,-24.936256519219626,51.71045006760673,310,334,62.0,66.8,0.3184278050079563,0.6817681532305873
wealthy,gender,choice_chosen_side,pos,-1.4055023923444987,8.82177033492823,48.5944976076555,209,176,41.8,35.199999999999996,0.6043140359263347,0.763389304549706
wealthy,gender,choice_chosen_side,neg,-4.64767616191904,23.613193403298354,45.35232383808096,174,161,34.8,32.2,0.0634018204606067,0.6340182046060671
wealthy,gender,choice_chosen_side_soft,pos,-1.5601982054372576,10.72050354894871,48.43980179456274,262,228,52.400000000000006,45.6,0.5168357518866221,0.8604004993870271
wealthy,gender,choice_chosen_side_soft,neg,-4.619065145380935,23.849834376150163,45.38093485461906,221,209,44.2,41.8,0.03705361994295856,0.3705361994295856
wealthy,gender,choice_first_touch_side,pos,-0.24535505901965848,11.809980909359794,49.75464494098034,294,253,58.8,50.6,0.9298232336988552,0.9298232336988551
wealthy,gender,choice_first_touch_side,neg,-3.880567792462064,27.008321096426823,46.11943220753793,227,225,45.4,45.0,0.05746736941307948,0.5746736941307948
