topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,gender,d_approach_retreat,-0.285,-0.09702456861284962,100,100,-0.6860673040784542,0.4934988738454875,0.49349887384548746
criminal,gender,d_latency,0.27,0.11186279782477505,100,100,0.7909894290439822,0.429917024324848,0.8044411700510288
criminal,gender,d_peak_speed,-0.0008695143647491932,-0.24476817839097906,100,100,-1.7307723875893983,0.0850950366122008,0.212737591530502
criminal,gender,d_time_to_half,-1.4249999999999998,-0.21013227285692346,100,100,-1.4858595508327248,0.13895538398056329,0.3473884599514082
criminal,gender,pull_AUC,1.044768377324741,0.06452518713357444,100,100,0.4562619737948145,0.6487336697357041,0.6487336697357041
criminal,gender,pull_MAD,-1.8646152858389544,-0.05868340337530478,100,100,-0.4149543246978354,0.6786248520285632,0.7980468717341163
criminal,gender,pull_early,0.099408447757015,0.007415150104950817,100,100,0.05243302922726862,0.9582378744139964,0.9582378744139964
criminal,gender,pull_final,5.352985759453718,0.11468915323774825,81,77,0.717501959852303,0.47429834489066347,0.4742983448906635
criminal,gender,pull_release,2.7592325289879227,0.07626305092522925,100,100,0.5392612046320461,0.5903131536111776,0.737891442013972
criminal,gender,pull_tcp,6.043517894577235,0.09359148788349728,100,100,0.6617917574375952,0.5088803095769694,0.6361003869712117
criminal,gender,q_exploded,0.005000000000000001,0.05416025603090641,100,100,0.3829708431025353,0.7021600028210033,1.0
criminal,gender,q_jerk_in_grasp,0.0,nan,100,100,nan,nan,nan
criminal,gender,q_tile_drift,-0.0019529746472835537,-0.1248924390677627,100,100,-0.883122905837427,0.3782684886951402,0.4182962098988233
criminal,gender,xpos_reversals,-0.24499999999999988,-0.2800057721842569,100,100,-1.979939802828636,0.049284531803250986,0.20673415289135147
education,gender,d_approach_retreat,-0.45499999999999996,-0.1304634696658085,100,100,-0.9225160409781861,0.3573822713726821,0.49349887384548746
education,gender,d_latency,0.07500000000000001,0.03507484813954684,100,100,0.2480166296856193,0.8044411700510289,0.8044411700510288
education,gender,d_peak_speed,0.0011987409740686417,0.35794400993530245,100,100,2.531046367103573,0.012150236632742718,0.060751183163713585
education,gender,d_time_to_half,-0.20500000000000002,-0.034073894037075295,100,100,-0.24093881535047806,0.8098520613616902,0.9259890251961608
education,gender,pull_AUC,-6.6054742922061145,-0.3820825410459111,100,100,-2.701731557465511,0.007497409472895601,0.037487047364478006
education,gender,pull_MAD,-12.73880838882178,-0.38212002500250086,100,100,-2.7019966090644143,0.007547993077455888,0.037739965387279445
education,gender,pull_early,2.173487171530724,0.1373558435072702,100,100,0.9712524837958898,0.33281121894542764,0.9582378744139964
education,gender,pull_final,-21.246381087069935,-0.4649633228146909,76,63,-2.7621794205887102,0.0065344590330829455,0.03267229516541473
education,gender,pull_release,-15.346281301463023,-0.41810606812118073,100,100,-2.956456360237315,0.003525899375795907,0.017629496878979533
education,gender,pull_tcp,-8.336935774423182,-0.12543369453741554,100,100,-0.8869501599668852,0.3762102369584198,0.6270170615973664
education,gender,q_exploded,-0.004999999999999999,-0.06376290786100622,100,100,-0.4508718453669052,0.6525940392612763,1.0
education,gender,q_jerk_in_grasp,0.0,nan,100,100,nan,nan,nan
education,gender,q_tile_drift,-0.008949947506189345,-0.5439965984925597,100,100,-3.846636837365045,0.00018136650109795864,0.0009068325054897932
education,gender,xpos_reversals,0.1449999999999999,0.24706792631005617,100,100,1.7470340610753892,0.08269366115654059,0.20673415289135147
janitor,gender,d_approach_retreat,0.485,0.14577067245965647,100,100,1.030754309943462,0.3039134875481848,0.49349887384548746
janitor,gender,d_latency,0.135,0.04667807349881189,100,100,0.33006382303733967,0.7417007289110542,0.8044411700510288
janitor,gender,d_peak_speed,-0.00017159647308290005,-0.05479912170048303,100,100,-0.3874883055747844,0.6988323595002686,0.8513122791151437
janitor,gender,d_time_to_half,-1.0350000000000001,-0.12860956084128303,100,100,-0.9094069259629508,0.36426638523817567,0.6071106420636262
janitor,gender,pull_AUC,-4.327316342305694,-0.2322222249703876,100,100,-1.6420591001878908,0.10217357854711866,0.25543394636779665
janitor,gender,pull_MAD,-6.474135076254607,-0.1432695403920069,100,100,-1.0130686354866802,0.3123440825309999,0.5205734708849997
janitor,gender,pull_early,-0.4028056713286783,-0.023161454036702528,100,100,-0.1637762121149289,0.8700744108150644,0.9582378744139964
janitor,gender,pull_final,-9.482671178963379,-0.20332026740917136,84,83,-1.313875566187739,0.19071339194259163,0.3178556532376527
janitor,gender,pull_release,-9.473641439108178,-0.2219602849444561,100,100,-1.5694962263832326,0.11814223202314925,0.2953555800578731
janitor,gender,pull_tcp,-7.411323184496723,-0.13958766399871175,100,100,-0.9870338378347838,0.32483664252067246,0.6270170615973664
janitor,gender,q_exploded,-0.015,-0.14436795095573635,100,100,-1.0208355710680808,0.3087048334640283,1.0
janitor,gender,q_jerk_in_grasp,0.0,nan,100,100,nan,nan,nan
janitor,gender,q_tile_drift,0.022213060371577737,0.11493209989167227,100,100,0.8126926720941113,0.4182962098988233,0.4182962098988233
janitor,gender,xpos_reversals,0.14000000000000012,0.14150342051406872,100,100,1.0005802820658962,0.318251415799902,0.318251415799902
pilot,gender,d_approach_retreat,0.65,0.1720998706435071,100,100,1.2169298557335149,0.22507949887919562,0.49349887384548746
pilot,gender,d_latency,-0.15999999999999992,-0.05610861188079531,100,100,-0.39674779943874444,0.6919961774713785,0.8044411700510288
pilot,gender,d_peak_speed,8.753756061196326e-05,0.02654348761083792,100,100,0.18769080085964604,0.8513122791151437,0.8513122791151437
pilot,gender,d_time_to_half,1.815,0.2231194779783404,100,100,1.5776929589328705,0.11623448681421365,0.3473884599514082
pilot,gender,pull_AUC,-1.3393622608088136,-0.07506480933167495,100,100,-0.5307883570690259,0.5962139573217621,0.6487336697357041
pilot,gender,pull_MAD,1.459083302039653,0.0362390773136782,100,100,0.2562489731244543,0.7980468717341163,0.7980468717341163
pilot,gender,pull_early,0.895730948774144,0.04607580997146993,100,100,0.32580517679489124,0.7449161442977323,0.9582378744139964
pilot,gender,pull_final,5.688141986981055,0.11123549115449503,93,78,0.7217788253914665,0.471496357872234,0.4742983448906635
pilot,gender,pull_release,1.1555499761016108,0.029595057041106196,100,100,0.2092686552336887,0.8344661910968523,0.8344661910968523
pilot,gender,pull_tcp,-1.5074416335846763,-0.03120738886479204,100,100,-0.22066956289420003,0.8255777258394608,0.8255777258394608
pilot,gender,q_exploded,0.0,0.0,100,100,0.0,1.0,1.0
pilot,gender,q_jerk_in_grasp,0.0,nan,100,100,nan,nan,nan
pilot,gender,q_tile_drift,0.014632377810776233,0.15556002755912868,100,100,1.099975503686261,0.2739637732862812,0.4182962098988233
pilot,gender,xpos_reversals,0.15500000000000003,0.15780752730448758,100,100,1.115867726792844,0.2658671159661128,0.318251415799902
wealthy,gender,d_approach_retreat,0.37,0.09844487965285272,100,100,0.6961104197562573,0.48717608310807814,0.49349887384548746
wealthy,gender,d_latency,-0.5,-0.17037381182817735,100,100,-1.2047247768030502,0.22974821160640677,0.8044411700510288
wealthy,gender,d_peak_speed,-0.00028286784887313846,-0.08371165583615914,100,100,-0.5919307950610254,0.5545772817853474,0.8513122791151437
wealthy,gender,d_time_to_half,-0.10499999999999998,-0.013154359397022903,100,100,-0.09301536731799878,0.9259890251961607,0.9259890251961608
wealthy,gender,pull_AUC,-1.310897576913405,-0.08702666554296716,100,100,-0.6153714534948574,0.53901648128784,0.6487336697357041
wealthy,gender,pull_MAD,-6.736467863898724,-0.17226265173115804,100,100,-1.2180808918427841,0.22464784349198677,0.5205734708849997
wealthy,gender,pull_early,0.15495043969713124,0.011861535104777022,100,100,0.08387371907870117,0.9332452174242499,0.9582378744139964
wealthy,gender,pull_final,-9.007978776608478,-0.21515272812569308,89,89,-1.4352477105666512,0.1529912567789242,0.3178556532376527
wealthy,gender,pull_release,-3.3430627794587053,-0.0899703113177524,100,100,-0.636186172382475,0.5253969361058883,0.737891442013972
wealthy,gender,pull_tcp,-11.742727404343896,-0.2629269136217276,100,100,-1.859174035783732,0.06448844595636531,0.3224422297818266
wealthy,gender,q_exploded,0.0,0.0,100,100,0.0,1.0,1.0
wealthy,gender,q_jerk_in_grasp,0.0,nan,100,100,nan,nan,nan
wealthy,gender,q_tile_drift,0.0032043166086077697,0.2888082532224123,100,100,2.0421827431620927,0.04267975450869903,0.10669938627174758
wealthy,gender,xpos_reversals,-0.17500000000000004,-0.1595988323211784,100,100,-1.1285341660375998,0.26046005863638605,0.318251415799902
criminal,gender,choice_chosen_side,-0.016233766233764158,-0.00032520368768640395,27,36,-0.0016860696444171677,0.9986547116996857,0.9986547116996857
criminal,gender,choice_chosen_side_soft,1.767676767676768,0.035355389285217864,49,51,0.25200967002477703,0.8010335893830208,0.8010335893830207
criminal,gender,choice_first_touch_side,-0.5072463768115876,-0.010152461528813328,35,46,-0.06057470116346694,0.9516979220619973,0.9516979220619973
education,gender,choice_chosen_side,-15.296052631578949,-0.3109057135605937,35,21,-1.6694213350495297,0.09503390834216231,0.40208756687544617
education,gender,choice_chosen_side_soft,-9.629629629629633,-0.1938035199596344,57,35,-1.414567549980057,0.15719532872824288,0.481540317430698
education,gender,choice_first_touch_side,-10.037878787878785,-0.20213117941306735,46,25,-1.2513486479155613,0.2108073038974203,0.5270182597435508
janitor,gender,choice_chosen_side,-0.7922188839238009,-0.015875144151601184,63,54,-0.09605211397542121,0.9234791828950217,0.9986547116996857
janitor,gender,choice_chosen_side_soft,-3.6864543114543125,-0.07383597857329938,79,72,-0.5114707370285685,0.6090214740259171,0.7612768425323964
janitor,gender,choice_first_touch_side,-3.2853443437035224,-0.06577918994568299,96,70,-0.4807221351281506,0.6307139970040552,0.9516979220619973
pilot,gender,choice_chosen_side,2.9639593528413055,0.05944376896346193,65,70,0.3864258751468129,0.6991812899454815,0.9986547116996857
pilot,gender,choice_chosen_side_soft,7.4998501827770125,0.15062334919345832,81,78,1.0604846042312563,0.2889241904584188,0.481540317430698
pilot,gender,choice_first_touch_side,-1.4571146962323867,-0.02920281983197004,89,100,-0.21833428125092702,0.827168666114986,0.9516979220619973
wealthy,gender,choice_chosen_side,-10.833872010342594,-0.21788535319119395,52,69,-1.4022686888140294,0.16083502675017847,0.40208756687544617
wealthy,gender,choice_chosen_side_soft,-7.880457060873136,-0.15796349048365843,69,81,-1.0990953012256817,0.2717264992375056,0.481540317430698
wealthy,gender,choice_first_touch_side,-10.830897217737833,-0.21746597124072298,80,86,-1.621011666568721,0.10501513665878247,0.5250756832939123
