topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,gender,d_approach_retreat,0.04300000000000001,0.010310180705950035,500,500,0.16301827059362425,0.8705372350919401,0.9022826071042275
criminal,gender,d_latency,-0.033,-0.010271321700856328,500,500,-0.16240385577510325,0.871020874255514,0.8710208742555141
criminal,gender,d_peak_speed,-0.0005659772045910358,-0.10857970240381869,500,500,-1.7167958362966336,0.08638914622552654,0.24134189710502793
criminal,gender,d_time_to_half,0.391,0.05077510055619155,500,500,0.802824830908238,0.42227863754593753,0.8724944621291165
criminal,gender,pull_AUC,0.16326007901995943,0.008021200556905365,500,500,0.12682631664416,0.8991037395713103,0.8991037395713104
criminal,gender,pull_MAD,0.9768228827050187,0.02445388213731914,500,500,0.3866498259361745,0.699098467487496,0.7546494414232948
criminal,gender,pull_early,0.9927483252715317,0.05111298424263172,500,500,0.8081672410750634,0.41918856011808414,0.5239857001476051
criminal,gender,pull_final,2.8931325728546113,0.05369275189050782,372,371,0.7318092540749873,0.4645171969101327,0.7741953281835544
criminal,gender,pull_release,1.3397026362945326,0.030569968012514874,500,500,0.4833536345901887,0.628951456926253,0.7861893211578163
criminal,gender,pull_tcp,-1.3911311402916908,-0.02208949982202066,500,500,-0.3492656590573466,0.7269637113774787,0.8309024353749305
criminal,gender,q_exploded,-0.005000000000000001,-0.06166428616360328,500,500,-0.9749979728269638,0.32980519933032393,0.6501811169644681
criminal,gender,q_jerk_in_grasp,0.001,0.0632455532033676,500,500,1.0000000000000002,0.3177951761118718,nan
criminal,gender,q_tile_drift,0.0020360461845993997,0.04404939136242959,500,500,0.6964820312471254,0.4864062326675158,0.48640623266751587
criminal,gender,xpos_reversals,-0.06899999999999995,-0.07579787173973623,500,500,-1.1984695824543803,0.23102285168526246,0.3850380861421041
education,gender,d_approach_retreat,-0.299,-0.07300954637998185,500,500,-1.154382287482219,0.2486382955938312,0.621595738984578
education,gender,d_latency,-0.041999999999999996,-0.01620136981113723,500,500,-0.2561661490894283,0.7978844597602278,0.8710208742555141
education,gender,d_peak_speed,0.00044174661487340926,0.10074325126636141,500,500,1.5928906644617224,0.11152731139496362,0.24134189710502793
education,gender,d_time_to_half,-0.296,-0.03783379531241909,500,500,-0.5982048285792302,0.5498401860886083,0.8724944621291165
