topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,gender,choice_chosen_side,pos,-1.0033444816053505,-33.61204013377927,48.99665551839465,91,92,18.2,18.4,0.8421318257347583,0.8421318257347583
criminal,gender,choice_chosen_side,neg,2.4264705882352966,-29.926470588235293,52.4264705882353,80,85,16.0,17.0,0.44472333483551796,0.6353190497650257
criminal,gender,choice_chosen_side_soft,pos,1.1627906976744207,-32.55813953488372,51.162790697674424,129,129,25.8,25.8,0.7431098379305917,0.9288872974132396
criminal,gender,choice_chosen_side_soft,neg,-0.2247488101533579,-27.644103648863034,49.77525118984664,122,124,24.4,24.8,1.0,1.0
criminal,gender,choice_first_touch_side,pos,-2.3391812865497075,-30.116959064327485,47.66081871345029,114,117,22.8,23.400000000000002,0.41252512499877825,0.5893216071411117
criminal,gender,choice_first_touch_side,neg,0.7861883691529736,-26.892383059418457,50.786188369152974,113,112,22.6,22.400000000000002,0.8745454002240862,0.9317886316703754
education,gender,choice_chosen_side,pos,3.253079507278833,-35.16797312430011,53.253079507278834,94,95,18.8,19.0,0.22574142017097865,0.4391746846490326
education,gender,choice_chosen_side,neg,-4.145152036718303,-42.240390131956396,45.8548479632817,83,84,16.6,16.8,0.07979434190646681,0.35256626994362716
education,gender,choice_chosen_side_soft,pos,-1.2221501189703665,-33.106208089984854,48.77784988102963,134,138,26.8,27.6,0.6298968179117711,0.8998525970168159
education,gender,choice_chosen_side_soft,neg,-2.2286821705426396,-43.895348837209305,47.77131782945736,129,120,25.8,24.0,0.18420876588069643,0.4605219147017411
education,gender,choice_first_touch_side,pos,2.5626016260162587,-32.23739837398374,52.56260162601626,123,125,24.6,25.0,0.3213606268801492,0.5356010448002487
education,gender,choice_first_touch_side,neg,-4.993941492123938,-41.232473602215684,45.00605850787606,106,109,21.2,21.8,0.014522942133629344,0.03922193510183306
janitor,gender,choice_chosen_side,pos,0.4874835309617964,25.270092226613965,50.487483530961796,231,230,46.2,46.0,0.8296824209124439,0.8421318257347583
janitor,gender,choice_chosen_side,neg,-3.3575317604355726,-36.116152450090745,46.64246823956443,133,116,26.6,23.200000000000003,0.14102650797745087,0.35256626994362716
janitor,gender,choice_chosen_side_soft,pos,-0.1255722694571637,26.852844996729885,49.874427730542834,275,278,55.00000000000001,55.60000000000001,1.0,1.0
janitor,gender,choice_chosen_side_soft,neg,-3.0968915343915326,-29.97189153439154,46.90310846560847,189,160,37.8,32.0,0.17739043560753143,0.4605219147017411
janitor,gender,choice_first_touch_side,pos,-0.418939602056434,27.291903771437543,49.58106039794357,307,332,61.4,66.4,0.8501701233053202,0.9317886316703754
janitor,gender,choice_first_touch_side,neg,-5.468580910468218,-28.962556814082678,44.53141908953178,167,166,33.4,33.2,0.015688774040733225,0.03922193510183306
pilot,gender,choice_chosen_side,pos,-0.7935108446482153,-19.01780991006877,49.20648915535178,212,214,42.4,42.8,0.7538550948872571,0.8421318257347583
pilot,gender,choice_chosen_side,neg,-2.396085446701041,-25.8844575397243,47.60391455329896,221,215,44.2,43.0,0.26350481078941956,0.4391746846490326
pilot,gender,choice_chosen_side_soft,pos,-2.0802331349206336,-14.189608134920634,47.91976686507937,252,256,50.4,51.2,0.3551953970390589,0.7103907940781178
pilot,gender,choice_chosen_side_soft,neg,-1.019593613933234,-22.94267053701016,48.98040638606677,265,260,53.0,52.0,0.6240117638946234,0.8998525970168159
pilot,gender,choice_first_touch_side,pos,-2.308307191119691,-12.92606780888031,47.69169280888031,256,259,51.2,51.800000000000004,0.31564963293754955,0.5356010448002487
pilot,gender,choice_first_touch_side,neg,-0.21787423103212245,-16.665242652084757,49.78212576896788,308,304,61.6,60.8,0.9317886316703755,0.9317886316703754
wealthy,gender,choice_chosen_side,pos,-4.349016253207871,10.92044482463644,45.65098374679213,175,167,35.0,33.4,0.1207379371281569,0.35256626994362716
wealthy,gender,choice_chosen_side,neg,-4.73646723646724,15.633903133903132,45.26353276353276,156,135,31.2,27.0,0.1084873182103219,0.35256626994362716
wealthy,gender,choice_chosen_side_soft,pos,-5.127105427323764,14.515751715533378,44.87289457267624,229,224,45.800000000000004,44.800000000000004,0.0242170436352425,0.24217043635242502
wealthy,gender,choice_chosen_side_soft,neg,-4.624027657735519,16.162489196197065,45.37597234226448,195,178,39.0,35.6,0.06372760216579627,0.31863801082898136
wealthy,gender,choice_first_touch_side,pos,-5.544005544005542,17.815067815067813,44.45599445599446,273,259,54.6,51.800000000000004,0.00714335507409281,0.03922193510183306
wealthy,gender,choice_first_touch_side,neg,-5.963938973647709,20.249653259362,44.03606102635229,210,206,42.0,41.199999999999996,0.00995753349818657,0.03922193510183306
