topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,gender,choice_chosen_side,neg,15.000000000000002,-35.0,65.0,10,6,2.0,1.2,0.25,0.6515601856423422
criminal,gender,choice_chosen_side_soft,pos,-2.9761904761904767,11.30952380952381,47.023809523809526,12,14,2.4,2.8000000000000003,1.0,1.0
criminal,gender,choice_chosen_side_soft,neg,12.111111111111118,-10.111111111111109,62.111111111111114,25,18,5.0,3.5999999999999996,0.1319565776373839,0.3808054755689835
criminal,gender,choice_first_touch_side,pos,-7.777777777777778,2.2222222222222197,42.22222222222222,9,5,1.7999999999999998,1.0,1.0,1.0
criminal,gender,choice_first_touch_side,neg,9.150326797385622,-29.738562091503262,59.150326797385624,17,9,3.4000000000000004,1.7999999999999998,0.37975068409851015,0.6329178068308502
education,gender,choice_chosen_side,pos,3.57142857142857,46.42857142857143,53.57142857142857,8,14,1.6,2.8000000000000003,1.0,1.0
education,gender,choice_chosen_side,neg,-17.5,-7.500000000000001,32.5,16,10,3.2,2.0,0.10869687587953841,0.48913594145792283
education,gender,choice_chosen_side_soft,pos,1.0000000000000009,49.0,51.0,39,50,7.8,10.0,1.0,1.0
education,gender,choice_chosen_side_soft,neg,-7.642205818497616,16.825879287885368,42.357794181502385,49,47,9.8,9.4,0.13296486326183213,0.3808054755689835
education,gender,choice_first_touch_side,pos,4.656862745098033,37.009803921568626,54.65686274509803,12,17,2.4,3.4000000000000004,0.6220790703549324,0.691198967061036
education,gender,choice_first_touch_side,neg,-16.81818181818182,-3.181818181818183,33.18181818181818,20,11,4.0,2.1999999999999997,0.12765460587678512,0.3644064008582157
janitor,gender,choice_chosen_side,pos,-9.375,-9.375,40.625,16,10,3.2,2.0,0.4249562525238928,0.7649212545430071
janitor,gender,choice_chosen_side,neg,-2.573529411764708,-34.92647058823529,47.42647058823529,16,17,3.2,3.4000000000000004,1.0,1.0
janitor,gender,choice_chosen_side_soft,pos,3.1351351351351364,-17.135135135135137,53.13513513513514,50,37,10.0,7.3999999999999995,0.6471732254171716,0.924533179167388
janitor,gender,choice_chosen_side_soft,neg,1.885031728256814,-39.60432997387085,51.88503172825681,57,47,11.4,9.4,0.7504359354403238,0.9380449193004048
janitor,gender,choice_first_touch_side,pos,-6.666666666666665,-10.0,43.333333333333336,21,15,4.2,3.0,0.4992122218460662,0.691198967061036
janitor,gender,choice_first_touch_side,neg,-11.14718614718615,-29.329004329004327,38.85281385281385,21,22,4.2,4.3999999999999995,0.1323910410694302,0.3644064008582157
pilot,gender,choice_chosen_side,pos,-19.999999999999996,10.0,30.000000000000004,5,5,1.0,1.0,0.5238095238095238,0.7857142857142857
pilot,gender,choice_chosen_side,neg,-6.740196078431376,-39.09313725490196,43.259803921568626,24,17,4.8,3.4000000000000004,0.28958230472992985,0.6515601856423422
pilot,gender,choice_chosen_side_soft,pos,-7.114624505928852,-29.841897233201582,42.88537549407115,23,22,4.6,4.3999999999999995,0.28366644929322193,0.5673328985864439
pilot,gender,choice_chosen_side_soft,neg,-1.809210526315791,-45.55921052631579,48.19078947368421,76,64,15.2,12.8,0.4121062848789425,0.6868438081315708
pilot,gender,choice_first_touch_side,pos,-14.28571428571429,-7.142857142857142,35.71428571428571,7,7,1.4000000000000001,1.4000000000000001,0.592074592074592,0.691198967061036
pilot,gender,choice_first_touch_side,neg,-7.857142857142857,-38.80952380952381,42.142857142857146,30,21,6.0,4.2,0.14576256034328627,0.3644064008582157
wealthy,gender,choice_chosen_side,pos,-13.823529411764701,-3.823529411764706,36.1764705882353,34,30,6.800000000000001,6.0,0.04351310296961536,0.3916179267265382
wealthy,gender,choice_chosen_side,neg,2.130325814536338,9.273182957393486,52.130325814536334,57,49,11.4,9.8,0.6949196771859616,0.8934681563819505
wealthy,gender,choice_chosen_side_soft,pos,-5.222426049071316,-19.267369869296033,44.777573950928684,98,89,19.6,17.8,0.15232219022759338,0.3808054755689835
wealthy,gender,choice_chosen_side_soft,neg,5.555555555555558,1.7094017094017089,55.55555555555556,117,130,23.400000000000002,26.0,0.09753298255249032,0.3808054755689835
wealthy,gender,choice_first_touch_side,pos,-12.974254742547425,-10.196476964769646,37.02574525745258,41,36,8.200000000000001,7.199999999999999,0.034253864888552296,0.342538648885523
wealthy,gender,choice_first_touch_side,neg,5.0142045454545485,5.923295454545455,55.01420454545455,64,55,12.8,11.0,0.3541742297099285,0.6329178068308502
