topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,gender,d_approach_retreat,-0.303,-0.07369218444151027,500,500,-1.165175742941979,0.24423580628969932,0.45663408670735867
criminal,gender,d_latency,-0.164,-0.058239608827969434,500,500,-0.9208490696681646,0.3573728482772329,0.5956214137953882
criminal,gender,d_peak_speed,-0.00015897458791732787,-0.03443171463571214,500,500,-0.5444132099690255,0.5862792508778973,0.7328490635973717
criminal,gender,d_time_to_half,0.462,0.07683582036139847,500,500,1.2148809911478053,0.22470024557135107,0.5526320895721502
criminal,gender,pull_AUC,0.14868812950486032,0.01620617134935609,500,500,0.25624206807464806,0.7978200444159426,0.9178574913873574
criminal,gender,pull_MAD,0.453166733360849,0.02174702565306649,500,500,0.34385066698900413,0.7310350247017473,0.8603928204128316
criminal,gender,pull_early,0.2265498559921981,0.08544563928684659,500,500,1.351014181378003,0.17715583197990695,0.22144478997488368
criminal,gender,pull_final,-1.6527310253572605,-0.06042301896449838,444,455,-0.9055353773159591,0.36542609424213246,0.5894184148562593
criminal,gender,pull_release,0.135887712262047,0.00678227623574822,500,500,0.10723720312698742,0.9146234971214983,0.9146234971214982
criminal,gender,pull_tcp,0.704817668069154,0.029384351171028528,500,500,0.46460738633343035,0.6423179821411766,0.8028974776764708
criminal,gender,q_exploded,-0.001,-0.02115736275281981,500,500,-0.33452727790660325,0.7380528521440113,0.7949901597990956
criminal,gender,q_jerk_in_grasp,0.0,nan,500,500,nan,nan,nan
criminal,gender,q_tile_drift,-2.7662515640258784e-05,-0.028324042128715532,500,500,-0.44784242834652577,0.6544203194335911,0.8610389360538887
criminal,gender,xpos_reversals,-0.041999999999999926,-0.06516604845782908,500,500,-1.0303656961982148,0.3030884326002393,0.3788605407502992
education,gender,d_approach_retreat,0.341,0.08165343002575484,500,500,1.2910540882328327,0.19705272660924952,0.45663408670735867
education,gender,d_latency,-0.073,-0.03190904115172663,500,500,-0.504526239957493,0.6140157597465713,0.7675196996832141
education,gender,d_peak_speed,-0.0004391382783651352,-0.12228557515599751,500,500,-1.9335047123832616,0.053497858767581924,0.13374464691895482
education,gender,d_time_to_half,0.126,0.023825688345584767,500,500,0.3767172099668842,0.706464108817235,0.706464108817235
education,gender,pull_AUC,1.731428208901442,0.18427545923127667,500,500,2.913650840221676,0.003660392531828775,0.009150981329571938
education,gender,pull_MAD,4.434445557720028,0.18748663532531706,500,500,2.964423992346929,0.0031103581422940677,0.007775895355735169
education,gender,pull_early,-0.16144501119852067,-0.09495128981416183,500,500,-1.5013117129174867,0.13367557604959193,0.22144478997488368
education,gender,pull_final,0.8302433558924056,0.02978535767300208,445,455,0.4469967201838243,0.6549858368603534,0.6549858368603534
education,gender,pull_release,4.252747394377366,0.18674941075201806,500,500,2.952767448353576,0.0032289364991371127,0.008072341247842781
education,gender,pull_tcp,3.1312884148210287,0.12430742825117443,500,500,1.9654730167583632,0.049641710745929546,0.12410427686482386
education,gender,q_exploded,0.001,0.016437895642637805,500,500,0.25990595085446344,0.7949901597990956,0.7949901597990956
education,gender,q_jerk_in_grasp,0.0,nan,500,500,nan,nan,nan
education,gender,q_tile_drift,4.741117358207707e-06,0.011074162813110645,500,500,0.17509788834483606,0.8610389360538887,0.8610389360538887
education,gender,xpos_reversals,0.02200000000000002,0.04464729106057316,500,500,0.7059356555394295,0.48039700167466404,0.48039700167466404
janitor,gender,d_approach_retreat,-0.042,-0.006791182967503743,500,500,-0.10737803092126545,0.9145107304975363,0.9145107304975364
janitor,gender,d_latency,-0.396,-0.11263223831533656,500,500,-1.780872055196749,0.07524147716410474,0.2078054549333126
janitor,gender,d_peak_speed,-0.001274910792708397,-0.2571876898373102,500,500,-4.066494430214201,5.14843201949272e-05,0.000257421600974636
janitor,gender,d_time_to_half,0.193,0.038365122149002555,500,500,0.6066058435071094,0.5442508493265954,0.6803135616582443
janitor,gender,pull_AUC,4.187765096618889,0.2914735114162175,500,500,4.608600868411689,4.602624818573889e-06,2.3013124092869445e-05
janitor,gender,pull_MAD,9.479593641060637,0.37244013991376385,500,500,5.888795670996406,5.357782827760244e-09,2.6788914138801223e-08
janitor,gender,pull_early,1.1332525823323523,0.0966080966243584,500,500,1.527508128732984,0.1269531721729174,0.22144478997488368
janitor,gender,pull_final,9.733914838655242,0.33848146591043143,441,455,5.067906117246808,4.889066483108227e-07,2.4445332415541135e-06
janitor,gender,pull_release,8.615981232091144,0.3540171647049181,500,500,5.597502856312562,2.8329144094358075e-08,1.4164572047179038e-07
janitor,gender,pull_tcp,7.028918972588144,0.27575085424964535,500,500,4.360003830830002,1.4416937600466044e-05,7.208468800233022e-05
janitor,gender,q_exploded,-0.004,-0.06002406256363027,500,500,-0.9490637605875857,0.34284314197588606,0.7949901597990956
janitor,gender,q_jerk_in_grasp,0.0,nan,500,500,nan,nan,nan
janitor,gender,q_tile_drift,2.1909892559051513e-05,0.024656613175432877,500,500,0.38985528510042355,0.696756336740307,0.8610389360538887
janitor,gender,xpos_reversals,0.10699999999999998,0.19912534851672548,500,500,3.1484482059384193,0.001690275406289596,0.00422568851572399
pilot,gender,d_approach_retreat,0.361,0.05587007929170747,500,500,0.8833835180800127,0.37724533438628693,0.47155666798285867
pilot,gender,d_latency,0.402,0.10970511690163642,500,500,1.7345902019210269,0.08312218197332503,0.2078054549333126
pilot,gender,d_peak_speed,0.0002903379499912262,0.04772711039363348,500,500,0.7546318749108862,0.45067602679222196,0.7328490635973717
pilot,gender,d_time_to_half,-0.8420000000000001,-0.14256286844164826,500,500,-2.2541168702127394,0.02440981630307035,0.12204908151535175
pilot,gender,pull_AUC,-2.1851591780039463,-0.12221934865737785,500,500,-1.9324575794977812,0.05363284928795602,0.08938808214659337
pilot,gender,pull_MAD,-2.134536647902569,-0.08824383346318,500,500,-1.395257516041165,0.16332769622989013,0.2722128270498169
pilot,gender,pull_early,-2.3827995009341976,-0.12663266821095015,500,500,-2.0022382886550107,0.04556330756247763,0.22144478997488368
pilot,gender,pull_final,-1.7950093929821729,-0.05326050623643968,432,410,-0.7683791062332676,0.44252299022565134,0.5894184148562593
pilot,gender,pull_release,-1.3029472455964424,-0.051884164459246596,500,500,-0.8203606709298886,0.41226100108991337,0.687101668483189
pilot,gender,pull_tcp,-1.2225131936720572,-0.04375055926886783,500,500,-0.6917570809790667,0.48930770096357756,0.8028974776764708
pilot,gender,q_exploded,-0.002999999999999999,-0.033558888306821084,500,500,-0.5306126139637309,0.5958062104484895,0.7949901597990956
pilot,gender,q_jerk_in_grasp,0.0,nan,500,500,nan,nan,nan
pilot,gender,q_tile_drift,-0.0009595579206943513,-0.3717062425333984,500,500,-5.8771917345424765,6.661146608213337e-09,1.6652866520533345e-08
pilot,gender,xpos_reversals,-0.14500000000000002,-0.25435800081450566,500,500,-4.021753118304009,6.224250156150422e-05,0.00031121250780752113
wealthy,gender,d_approach_retreat,-0.315,-0.06923821167382084,500,500,-1.094752250030666,0.27398045202441523,0.45663408670735867
