topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
criminal,gender,choice_chosen_side,neg,1.388888888888884,-26.38888888888889,51.388888888888886,8,9,1.6,1.7999999999999998,1.0,1.0
criminal,gender,choice_chosen_side_soft,pos,0.23923444976076125,13.397129186602871,50.23923444976076,11,19,2.1999999999999997,3.8,1.0,1.0
criminal,gender,choice_chosen_side_soft,neg,-1.9047619047619035,-13.80952380952381,48.095238095238095,35,21,7.000000000000001,4.2,0.781484730340885,0.8683163670454277
criminal,gender,choice_first_touch_side,pos,-19.480519480519483,12.337662337662337,30.519480519480517,7,11,1.4000000000000001,2.1999999999999997,0.1414027149321267,0.3535067873303167
criminal,gender,choice_first_touch_side,neg,-1.5151515151515138,-15.151515151515152,48.484848484848484,12,11,2.4,2.1999999999999997,1.0,1.0
education,gender,choice_chosen_side,pos,-8.080808080808078,30.808080808080806,41.919191919191924,11,18,2.1999999999999997,3.5999999999999996,0.3386383731211319,0.5079575596816978
education,gender,choice_chosen_side,neg,-14.646464646464647,3.535353535353536,35.35353535353536,18,22,3.5999999999999996,4.3999999999999995,0.10983627628208564,0.32950882884625693
education,gender,choice_chosen_side_soft,pos,-1.1132860288720348,42.916564717396625,48.88671397112797,61,67,12.2,13.4,0.7356150304096618,0.8683163670454277
education,gender,choice_chosen_side_soft,neg,-7.302231237322515,22.008113590263694,42.697768762677484,51,58,10.2,11.600000000000001,0.13180785490255784,0.21967975817092975
education,gender,choice_first_touch_side,pos,-7.070707070707072,29.292929292929294,42.92929292929293,18,22,3.5999999999999996,4.3999999999999995,0.4295218295218295,0.6688301810253031
education,gender,choice_first_touch_side,neg,-15.883190883190885,8.190883190883191,34.116809116809115,26,27,5.2,5.4,0.026696564470098827,0.11572431732236566
janitor,gender,choice_chosen_side,pos,6.25,-31.25,56.25,12,16,2.4,3.2,0.6239316239316237,0.7019230769230766
janitor,gender,choice_chosen_side,neg,-12.5,-37.5,37.5,17,12,3.4000000000000004,2.4,0.06020799124247401,0.27093596059113306
janitor,gender,choice_chosen_side_soft,pos,5.4807692307692335,-32.98076923076923,55.48076923076923,40,52,8.0,10.4,0.2543833796178135,0.3634048280254478
janitor,gender,choice_chosen_side_soft,neg,-5.767077267637183,-39.97760358342665,44.232922732362816,47,38,9.4,7.6,0.1315480606821588,0.21967975817092975
janitor,gender,choice_first_touch_side,pos,7.093821510297483,-25.514874141876433,57.09382151029748,19,23,3.8,4.6,0.46818112671771217,0.6688301810253031
janitor,gender,choice_first_touch_side,neg,-1.1904761904761862,-34.523809523809526,48.80952380952381,21,18,4.2,3.5999999999999996,1.0,1.0
pilot,gender,choice_chosen_side,pos,14.28571428571428,-35.714285714285715,64.28571428571428,7,5,1.4000000000000001,1.0,0.4696969696969697,0.6038961038961039
pilot,gender,choice_chosen_side,neg,11.111111111111116,-38.88888888888889,61.111111111111114,18,22,3.5999999999999996,4.3999999999999995,0.033482875588138755,0.27093596059113306
pilot,gender,choice_chosen_side_soft,pos,10.526315789473683,-39.473684210526315,60.526315789473685,19,26,3.8,5.2,0.02601429578173764,0.09981238376839914
pilot,gender,choice_chosen_side_soft,neg,3.930288461538467,-42.99278846153846,53.93028846153847,64,65,12.8,13.0,0.09576085445969501,0.21967975817092975
pilot,gender,choice_first_touch_side,pos,11.111111111111105,-27.77777777777778,61.11111111111111,9,9,1.7999999999999998,1.7999999999999998,0.5764705882352941,0.7205882352941175
pilot,gender,choice_first_touch_side,neg,8.695652173913038,-41.30434782608695,58.69565217391304,23,30,4.6,6.0,0.030239904379748998,0.11572431732236566
wealthy,gender,choice_chosen_side,pos,-8.870967741935488,-8.870967741935484,41.12903225806451,31,32,6.2,6.4,0.20282622688637775,0.3650872083954799
wealthy,gender,choice_chosen_side,neg,-7.135416666666666,3.802083333333334,42.864583333333336,45,64,9.0,12.8,0.17242383485596915,0.3650872083954799
wealthy,gender,choice_chosen_side_soft,pos,-11.694444444444441,-10.305555555555554,38.30555555555556,75,72,15.0,14.399999999999999,0.004292011749679988,0.04292011749679989
wealthy,gender,choice_chosen_side_soft,neg,-7.312396694214874,0.28760330578512516,42.687603305785125,121,125,24.2,25.0,0.029943715130519744,0.09981238376839914
wealthy,gender,choice_first_touch_side,pos,-5.375375375375374,-17.5975975975976,44.62462462462462,37,45,7.3999999999999995,9.0,0.35085618679070185,0.6688301810253031
wealthy,gender,choice_first_touch_side,neg,-9.592034968431278,0.9713453132588645,40.40796503156872,58,71,11.600000000000001,14.2,0.0347172951967097,0.11572431732236566
